,Open,High,Low,Close
2006-01-03,35.615,38.215,35.495,38.175
2006-01-04,37.825,39.425,37.355,39.225
2006-01-05,39.125,39.415,37.575,38.205
2006-01-06,39.625,39.905,39.065,39.695
2006-01-09,39.825,40.285,38.945,39.725
2006-01-10,39.425,41.125,39.3677,40.625
2006-01-11,40.285,41.145,39.135,40.805
2006-01-12,41.115,41.345,39.475,39.555
2006-01-13,39.295,40.975,39.225,40.585
2006-01-17,41.775,42.105,41.335,41.735
2006-01-18,41.625,41.925,40.435,41.665
2006-01-19,41.905,44.935,41.815,44.515
2006-01-20,45.725,46.125,43.735,44.065
2006-01-23,43.325,45.775,42.975,45.575
2006-01-24,44.815,46.095,44.725,45.355
2006-01-25,45.675,45.715,42.505,43.065
2006-01-26,42.725,42.985,40.306,41.805
2006-01-27,42.625,43.125,39.925,41.055
2006-01-30,41.725,42.325,41.295,41.555
2006-01-31,41.275,41.325,40.315,40.845
2006-02-01,41.045,41.405,38.355,38.525
2006-02-02,38.405,39.185,36.385,37.385
2006-02-03,38.375,39.505,37.885,38.645
2006-02-06,40.475,41.015,39.025,39.845
2006-02-07,38.715,38.785,36.725,37.145
2006-02-08,38.125,38.125,36.325,37.315
2006-02-09,37.745,37.995,35.725,35.975
2006-02-10,36.155,37.225,35.285,36.275
2006-02-13,36.275,36.765,34.755,35.225
2006-02-14,33.475,34.635,33.415,34.125
2006-02-15,34.825,35.145,32.545,33.225
2006-02-16,33.247,34.215,33.225,34.005
2006-02-17,34.575,35.435,34.445,35.015
2006-02-21,36.325,37.825,36.275,37.625
2006-02-22,36.525,36.725,35.315,35.495
2006-02-23,35.935,36.545,34.195,35.155
2006-02-24,36.475,37.665,35.885,37.285
2006-02-27,36.575,36.915,35.015,35.125
2006-02-28,34.915,35.105,33.605,34.415
2006-03-01,36.105,36.105,34.535,35.615
2006-03-02,36.205,37.225,35.605,37.185
2006-03-03,36.665,37.775,36.645,37.285
2006-03-06,37.285,36.725,34.105,34.525
2006-03-07,35.335,36.185,33.425,34.175
2006-03-08,33.515,34.845,32.805,34.315
2006-03-09,34.294,35.515,34.155,34.375
2006-03-10,33.905,35.325,33.245,35.095
2006-03-13,35.75,36.49,35.45,36.11
2006-03-14,36.088,37.65,35.52,37.42
2006-03-15,36.75,37.25,36.05,36.95
2006-03-16,37.25,38.58,36.55,38.12
2006-03-17,37.75,38.48,37.06,37.55
2006-03-20,37.3,38.11,35.63,36.04
2006-03-21,35.55,37.22,35.55,36.28
2006-03-22,36.45,37.79,36.3,37.09
2006-03-23,37.71,38.63,37.55,38.62
2006-03-24,38.61,39.5,38.37,39.47
2006-03-27,39.47,39.5,38.54,39.21
2006-03-28,39.75,40.65,39.63,40.19
2006-03-29,39.99,41.54,39.99,41.45
2006-03-30,41.55,42.75,41.55,42.7
2006-03-31,42.15,42.35,40.62,41.2
