,Open,High,Low,Close
2011-01-25,18.72,18.72,18.72,18.72
2011-01-26,20.47,21.5,20.02,20.72
2011-01-27,20.62,21.57,20.62,21.12
2011-01-28,21.12,21.12,20.72,20.72
2011-01-31,20.7,22.22,20.47,21.79
2011-02-01,22.17,22.35,21.22,21.47
2011-02-02,21.7,22.05,21.46,21.67
2011-02-03,21.48,21.8,21.47,21.67
2011-02-04,21.77,22.82,21.47,21.8
2011-02-07,21.77,21.92,21.36,21.51
2011-02-08,21.42,21.78,21.37,21.75
2011-02-09,21.69,21.92,21.25,21.3
2011-02-10,21.22,21.36,20.72,21.12
2011-02-11,21.74,21.74,20.83,20.94
2011-02-14,21.19,21.19,20.83,21.09
2011-02-15,21.04,21.14,20.78,21.1
2011-02-16,21.03,21.72,21.03,21.72
2011-02-17,21.6,22.93,21.6,22.73
2011-02-18,22.8,23.56,22.6,23.41
2011-02-22,22.87,23.21,21.93,22.14
2011-02-23,21.87,22.44,21.69,22.38
2011-02-24,22.18,22.24,21.66,21.67
2011-02-25,21.76,21.88,21.5,21.71
2011-02-28,21.83,22.46,21.68,22.31
2011-03-01,21.72,23.22,21.6401,22.85
2011-03-02,22.77,22.97,22.46,22.64
2011-03-03,22.56,22.66,21.79,22.46
2011-03-04,22.24,22.76,22.04,22.27
2011-03-07,22.99,23.56,22.57,22.72
2011-03-08,22.72,23.21,22.62,22.82
2011-03-09,22.72,22.9,22.4,22.69
2011-03-10,22.19,22.66,21.59,21.74
2011-03-11,21.53,22.2,21.53,21.72
2011-03-14,21.51,22.48,21.49,22.18
2011-03-15,21.62,22.3,21.53,22.06
2011-03-16,22.04,22.1,21.43,21.75
2011-03-17,22.15,22.21,21.76,21.81
2011-03-18,21.92,22.38,21.92,22.36
2011-03-21,22.37,22.78,22.16,22.72
2011-03-22,22.63,23.19,22.54,22.87
2011-03-23,22.73,23.1,22.35,22.5
2011-03-24,22.57,22.86,22.15,22.78
2011-03-25,22.93,23.87,22.93,23.34
2011-03-28,23.3,23.74,23.06,23.21
2011-03-29,23.24,23.66,23.03,23.66
