,Open,High,Low,Close
2006-01-03,29.915,29.98,29.055,29.98
2006-01-04,30.065,30.51,30.04,30.34
2006-01-05,30.36,30.765,30.36,30.765
2006-01-06,30.89,31.335,30.65,31.195
2006-01-09,31.145,31.65,31.145,31.555
2006-01-10,32.44,32.645,31.34,31.375
2006-01-11,31.14,32.09,31.14,31.875
2006-01-12,31.775,32.02,31.51,31.93
2006-01-13,32.01,32.44,31.995,32.31
2006-01-17,32.49,32.74,32.245,32.605
2006-01-18,32.565,32.665,32.33,32.54
2006-01-19,32.815,33.585,32.615,33.585
2006-01-20,33.24,33.415,32.82,32.825
2006-01-23,32.83,32.835,32.225,32.385
2006-01-24,33.29,33.55,32.325,32.675
2006-01-25,33.04,33.1,32.405,32.465
2006-01-26,32.465,32.47,32.09,32.38
2006-01-27,32.3,32.61,32.165,32.38
2006-01-30,32.47,33.29,32.465,33.29
2006-01-31,33.415,33.965,33.39,33.865
2006-02-01,33.665,34.24,33.64,34.215
2006-02-02,34.04,34.14,33.53,33.765
2006-02-03,33.64,33.9,33.555,33.64
2006-02-06,33.54,34.515,33.54,34.42
2006-02-07,33.455,34.5,33.455,34.0
2006-02-08,33.985,34.29,33.86,34.135
2006-02-09,34.04,34.64,33.99,34.625
2006-02-10,34.625,34.64,34.04,34.505
2006-02-13,34.45,34.455,34.0,34.195
2006-02-14,34.04,34.34,33.77,34.34
2006-02-15,34.04,34.25,33.59,34.125
2006-02-16,34.34,34.395,33.945,34.395
2006-02-17,34.375,34.5064,34.07,34.4
2006-02-21,34.285,34.72,34.205,34.64
2006-02-22,34.64,35.37,34.64,35.21
2006-02-23,35.14,35.165,34.675,34.765
2006-02-24,34.765,35.11,34.595,35.07
2006-02-27,35.5,35.615,35.26,35.51
2006-02-28,35.385,35.385,34.845,35.075
2006-03-01,35.11,35.185,34.235,34.725
2006-03-02,34.635,34.64,33.97,34.33
2006-03-03,34.28,35.23,34.13,34.895
2006-03-06,34.975,35.07,34.565,34.605
2006-03-07,34.5,34.725,34.03,34.43
2006-03-08,34.43,34.5,33.855,34.5
2006-03-09,34.45,35.08,34.45,34.68
2006-03-10,34.675,34.935,34.495,34.695
2006-03-13,34.625,34.845,34.6,34.825
2006-03-14,34.73,35.62,34.71,35.585
2006-03-15,35.325,35.55,35.21,35.5
2006-03-16,35.5,35.88,35.435,35.66
2006-03-17,35.725,35.725,35.385,35.595
2006-03-20,35.545,35.61,35.09,35.1
2006-03-21,34.825,35.6,34.805,35.19
2006-03-22,34.87,35.875,34.87,35.67
2006-03-23,35.545,35.765,35.46,35.66
2006-03-24,35.55,36.035,35.475,35.95
2006-03-27,36.005,36.64,35.99,36.51
2006-03-28,36.175,36.75,36.175,36.545
2006-03-29,36.575,36.88,36.565,36.65
2006-03-30,36.725,37.15,36.505,36.57
2006-03-31,36.64,37.1,36.625,36.675
2006-04-03,36.725,37.49,36.675,36.675
2006-04-04,36.775,36.955,36.35,36.415
2006-04-05,36.575,37.015,36.355,36.52
2006-04-06,36.42,36.62,36.005,36.21
2006-04-07,36.21,36.25,35.445,36.125
2006-04-10,36.095,36.14,35.67,35.78
2006-04-11,35.88,35.9,35.325,35.43
2006-04-12,35.415,36.0,35.405,35.885
2006-04-13,35.635,36.225,35.595,35.87
2006-04-17,35.915,36.325,35.77,35.9
2006-04-18,36.2,36.65,36.04,36.45
2006-04-19,36.45,37.075,36.45,36.965
2006-04-20,37.625,40.1,37.61,39.385
2006-04-21,40.68,41.285,39.575,40.035
2006-04-24,39.49,40.52,39.49,40.255
2006-04-25,40.25,40.305,39.6,39.805
2006-04-26,39.87,40.125,39.465,39.525
2006-04-27,39.45,39.78,38.885,38.925
2006-04-28,38.645,38.97,38.575,38.95
2006-05-01,39.075,40.335,39.075,39.655
2006-05-02,39.705,40.34,39.635,40.14
2006-05-03,40.31,40.37,39.99,40.155
2006-05-04,40.225,40.88,40.155,40.74
2006-05-05,40.8,41.13,40.665,40.975
2006-05-08,40.875,41.04,40.61,40.875
2006-05-09,40.755,40.785,40.28,40.585
2006-05-10,40.47,40.8199,39.95,40.365
2006-05-11,40.295,40.555,39.26,39.34
2006-05-12,39.49,39.65,38.905,38.985
2006-05-15,38.985,39.125,38.32,38.745
2006-05-16,38.725,38.8,38.275,38.725
2006-05-17,38.625,38.625,37.415,37.605
2006-05-18,37.69,37.92,36.79,36.865
2006-05-19,36.905,37.465,36.475,37.06
2006-05-22,36.66,36.825,35.795,36.075
2006-05-23,37.025,37.535,36.995,37.14
2006-05-24,37.135,37.675,36.87,37.63
2006-05-25,37.825,38.345,37.725,38.22
2006-05-26,38.275,38.485,38.135,38.21
2006-05-30,37.75,38.075,37.455,37.5
2006-05-31,37.505,38.055,37.125,37.755
2006-06-01,37.75,38.14,37.505,37.91
2006-06-02,37.905,37.94,37.41,37.7
2006-06-05,37.7,37.71,37.16,37.295
2006-06-06,37.245,37.26,36.085,36.41
2006-06-07,36.365,36.975,35.995,36.065
2006-06-08,36.065,36.245,34.67,35.685
2006-06-09,35.71,35.9,35.215,35.325
2006-06-12,35.325,35.645,34.55,34.755
2006-06-13,34.63,35.09,34.28,34.535
2006-06-14,34.445,35.645,34.375,35.645
2006-06-15,37.615,37.615,35.765,36.885
2006-06-16,36.485,36.75,36.41,36.545
2006-06-19,36.54,36.54,35.465,35.72
2006-06-20,35.65,35.735,35.325,35.43
2006-06-21,35.41,36.175,35.35,35.86
2006-06-22,35.825,36.48,35.68,36.47
2006-06-23,36.36,37.4,36.335,37.185
2006-06-26,37.61,37.96,37.435,37.96
2006-06-27,37.875,38.105,37.065,37.195
2006-06-28,37.245,37.76,36.925,37.695
2006-06-29,37.97,39.81,37.935,39.64
2006-06-30,39.605,39.995,39.455,39.87
2006-07-03,39.895,40.28,39.7,40.205
2006-07-05,39.91,39.91,39.085,39.345
2006-07-06,39.545,40.425,39.545,40.31
2006-07-07,40.26,40.26,39.03,39.16
2006-07-10,39.245,39.38,38.79,38.91
2006-07-11,38.955,39.59,38.53,39.465
2006-07-12,39.535,39.765,39.105,39.245
2006-07-13,39.245,39.245,37.81,37.855
2006-07-14,37.86,38.06,36.91,37.175
2006-07-17,36.96,37.08,36.375,36.71
2006-07-18,36.91,36.925,36.18,36.775
2006-07-19,36.875,37.86,36.825,37.215
2006-07-20,39.35,39.35,36.325,36.66
2006-07-21,36.66,36.66,35.335,35.41
2006-07-24,35.415,36.645,35.415,36.51
2006-07-25,36.4,36.765,36.01,36.39
2006-07-26,36.34,36.595,35.785,36.31
2006-07-27,36.37,36.855,35.635,35.74
2006-07-28,35.905,36.605,35.905,36.42
2006-07-31,36.31,36.595,36.06,36.49
2006-08-01,36.43,36.615,36.03,36.505
2006-08-02,36.505,37.05,36.435,36.715
2006-08-03,36.71,37.395,36.68,36.995
2006-08-04,37.045,37.36,36.74,37.11
2006-08-07,36.885,37.035,36.46,36.57
2006-08-08,36.63,36.75,35.6,35.67
2006-08-09,35.67,35.885,34.66,34.66
2006-08-10,34.64,35.5,34.64,35.11
2006-08-11,35.11,35.33,35.005,35.185
2006-08-14,35.31,35.935,35.27,35.46
2006-08-15,35.56,36.29,35.56,36.06
2006-08-16,36.06,36.965,35.92,36.76
2006-08-17,36.685,36.935,36.635,36.83
2006-08-18,36.935,36.935,36.63,36.795
2006-08-21,36.685,36.76,36.335,36.475
2006-08-22,36.475,36.73,36.31,36.495
2006-08-23,36.435,36.62,36.375,36.53
2006-08-24,36.55,36.585,35.515,35.575
2006-08-25,35.45,35.535,34.97,35.135
2006-08-28,35.135,35.515,35.045,35.195
2006-08-29,35.195,35.305,34.04,34.515
2006-08-30,34.41,34.52,33.995,34.445
2006-08-31,33.995,34.59,33.995,34.535
2006-09-01,34.99,35.78,34.535,35.44
2006-09-05,35.51,35.54,35.225,35.345
2006-09-06,35.12,35.195,34.215,34.225
2006-09-07,34.225,34.225,33.57,33.91
2006-09-08,34.05,34.435,33.955,34.17
2006-09-11,34.05,34.12,33.675,33.83
2006-09-12,33.93,34.28,33.895,34.18
2006-09-13,34.08,34.825,34.045,34.73
2006-09-14,34.78,35.09,34.535,34.865
2006-09-15,34.865,34.95,34.495,34.62
2006-09-18,34.795,35.22,34.595,35.145
2006-09-19,35.095,35.405,34.685,35.295
2006-09-20,35.645,35.935,35.365,35.61
2006-09-21,35.605,35.74,35.05,35.19
2006-09-22,35.26,35.26,34.485,34.87
2006-09-25,35.095,35.595,34.81,35.52
2006-09-26,35.52,36.185,35.45,35.955
2006-09-27,36.455,36.84,35.895,36.045
2006-09-28,36.06,36.155,35.695,36.01
2006-09-29,36.045,36.62,35.99,36.205
2006-10-02,36.55,37.105,36.31,36.76
2006-10-03,36.765,36.91,36.13,36.195
2006-10-04,36.155,37.005,36.095,36.915
2006-10-05,36.795,37.64,36.765,37.515
2006-10-06,37.195,37.48,36.745,37.395
2006-10-09,37.32,37.89,37.22,37.89
2006-10-10,37.92,38.09,37.635,37.75
2006-10-11,37.47,38.46,37.4,38.11
2006-10-12,38.115,38.315,37.915,38.3
2006-10-13,37.97,38.7,37.97,38.635
2006-10-16,38.635,39.245,38.635,39.245
2006-10-17,39.22,39.245,38.735,38.865
2006-10-18,39.345,39.875,38.44,38.685
2006-10-19,38.585,38.865,38.2,38.755
2006-10-20,38.795,38.795,37.865,38.12
2006-10-23,38.12,38.895,37.795,38.435
2006-10-24,38.945,39.785,38.84,39.62
2006-10-25,39.645,39.675,39.045,39.445
2006-10-26,39.545,39.7,39.28,39.395
2006-10-27,39.295,39.295,38.585,38.595
2006-10-30,38.605,39.05,38.52,38.785
2006-10-31,38.845,39.1393,38.32,38.32
2006-11-01,38.67,38.8,37.845,37.905
2006-11-02,37.845,38.0,37.28,37.96
2006-11-03,38.32,38.475,37.97,38.245
2006-11-06,38.245,39.095,38.095,39.005
2006-11-07,39.01,39.93,38.95,39.27
2006-11-08,39.27,39.845,38.9,39.64
2006-11-09,39.645,39.82,39.42,39.465
2006-11-10,39.465,39.705,39.17,39.69
2006-11-13,39.595,40.285,39.445,40.15
2006-11-14,40.195,40.94,40.195,40.345
2006-11-15,40.34,40.46,40.205,40.365
2006-11-16,40.465,40.745,40.27,40.345
2006-11-17,40.295,40.395,40.05,40.295
2006-11-20,40.495,40.73,39.995,40.155
2006-11-21,40.155,40.35,39.995,40.29
2006-11-22,40.235,40.675,40.135,40.235
2006-11-24,40.075,40.295,40.015,40.22
2006-11-27,40.045,40.045,38.87,38.935
2006-11-28,38.83,38.945,38.51,38.895
2006-11-29,39.33,39.58,39.045,39.55
2006-11-30,39.535,39.675,38.895,39.5
2006-12-01,39.73,39.775,38.95,39.355
2006-12-04,40.73,40.76,40.035,40.265
2006-12-05,40.48,40.48,39.955,40.28
2006-12-06,40.43,40.6,40.105,40.5
2006-12-07,40.74,41.025,40.21,40.39
2006-12-08,40.13,40.635,40.05,40.4
2006-12-11,40.13,40.13,38.58,38.78
2006-12-12,38.43,38.88,37.92,38.6
2006-12-13,39.09,39.8,38.885,39.195
2006-12-14,39.215,39.63,39.14,39.315
2006-12-15,39.38,39.57,38.655,38.75
