,Open,High,Low,Close
2006-01-03,14.055,14.715,14.035,14.515
2006-01-04,14.594999999999999,14.675,14.265,14.675
2006-01-05,14.695,15.035,14.555,14.895
2006-01-06,16.215,16.575,15.114999999999998,16.365
2006-01-09,16.015,16.365,15.965,16.275
2006-01-10,15.415,15.695,15.395,15.605
2006-01-11,15.614999999999998,15.855,15.274999999999999,15.855
2006-01-12,15.754999999999999,16.215,15.754999999999999,15.805
2006-01-13,15.515,15.575,15.285,15.425
2006-01-17,14.715,16.195,14.715,16.055
2006-01-18,15.635000000000002,16.215,15.625,16.205
2006-01-19,16.115,16.455,16.015,16.305
2006-01-20,16.325,16.794999999999998,16.315,16.405
2006-01-23,16.125,16.175,15.715,15.945
2006-01-24,15.765,15.915,15.315000000000001,15.805
2006-01-25,16.085,16.425,15.9952,16.185
2006-01-26,16.215,16.475,16.155,16.435
2006-01-27,16.415,16.815,16.415,16.645
2006-01-30,16.645,16.715,16.205,16.645
2006-01-31,17.565,17.565,16.365,16.745
2006-02-01,16.77,17.005,16.475,16.935
2006-02-02,16.935,17.165,16.805,16.875
2006-02-03,16.675,16.865,16.565,16.685
2006-02-06,16.665,17.215,16.625,17.205
2006-02-07,16.965,17.915000000000003,16.875,17.505
2006-02-08,17.505,17.944999999999997,17.495,17.654999999999998
2006-02-09,17.654999999999998,17.865,16.955,16.955
2006-02-10,16.865,17.235000000000003,16.725,17.185
2006-02-13,16.665,17.565,16.345,17.395
2006-02-14,17.425,17.444999999999997,17.105,17.105
2006-02-15,17.105,17.694999999999997,17.105,17.575
2006-02-16,17.665000000000003,18.075,17.415000000000003,18.044999999999998
2006-02-17,18.154999999999998,18.154999999999998,17.715,17.915000000000003
2006-02-21,17.764999999999997,17.885,17.465,17.555000000000003
2006-02-22,17.605,17.745,17.325,17.654999999999998
2006-02-23,17.715,17.724999999999998,17.435,17.605
2006-02-24,17.595000000000002,17.694999999999997,17.365,17.615
2006-02-27,17.395,18.264999999999997,17.365,18.154999999999998
2006-02-28,18.035,18.075,17.595000000000002,17.874999999999996
2006-03-01,17.974999999999998,18.154999999999998,17.785,17.845000000000002
2006-03-02,17.895,17.895,17.115,17.815
2006-03-03,17.715,17.855,17.575,17.735000000000003
2006-03-06,17.735000000000003,17.74,17.435,17.584999999999997
2006-03-07,17.385,17.474999999999998,16.655,17.095
2006-03-08,17.075,17.095,16.443,16.745
2006-03-09,16.895,17.065,16.585,16.645
2006-03-10,16.765,16.835,16.595,16.775
2006-03-13,16.765,16.965,16.625,16.765
2006-03-14,16.665,17.275000000000002,16.625,16.885
2006-03-15,16.785,17.215,16.665,17.105
2006-03-16,17.165,17.305000000000003,16.965,17.055
2006-03-17,16.985,17.235000000000003,16.715,16.725
2006-03-20,16.635,17.095,16.575,16.655
2006-03-21,16.635,17.505,16.475,17.135
2006-03-22,17.075,17.645,16.885,17.565
2006-03-23,17.474999999999998,17.584999999999997,17.264999999999997,17.374999999999996
2006-03-24,17.374999999999996,17.535,16.275,16.715
2006-03-27,16.715,16.765,15.465,16.035
2006-03-28,16.085,16.305,15.825,16.115
2006-03-29,14.015,14.445,13.425,14.325
2006-03-30,14.065000000000001,15.294999999999998,14.065000000000001,15.274999999999999
2006-03-31,15.265,15.585,15.094999999999999,15.285
2006-04-03,15.274999999999999,15.274999999999999,14.594999999999999,15.125
2006-04-04,15.120000000000001,15.695,14.754999999999999,15.565000000000001
2006-04-05,15.145,15.415,14.855,14.915
2006-04-06,14.715,14.885000000000002,14.315000000000001,14.614999999999998
2006-04-07,14.594999999999999,14.815000000000001,14.245000000000001,14.245000000000001
2006-04-10,14.245000000000001,14.375,14.035,14.225000000000001
2006-04-11,14.175,14.175,13.815000000000001,13.965
2006-04-12,14.015,14.745000000000001,14.004999999999999,14.605
2006-04-13,14.415,14.965,14.379999999999999,14.704999999999998
2006-04-17,14.465,15.165,14.425,14.895
2006-04-18,14.815000000000001,15.895,14.815000000000001,15.794999999999998
2006-04-19,15.364999999999998,15.794999999999998,15.315000000000001,15.415
2006-04-20,15.415,15.614999999999998,15.325,15.375
2006-04-21,15.265,15.524999999999999,15.024999999999999,15.225000000000001
2006-04-24,14.915,15.155000000000001,14.645,14.925
2006-04-25,14.864999999999998,14.965,14.695,14.864999999999998
2006-04-26,14.815000000000001,15.254999999999999,14.725000000000001,14.815000000000001
2006-04-27,14.745000000000001,15.055,14.375,14.905000000000001
2006-04-28,14.765,14.765,14.215,14.285
2006-05-01,14.235,15.004999999999999,14.235,14.684999999999999
2006-05-02,14.635000000000002,14.985,14.625,14.665
2006-05-03,14.614999999999998,14.875,14.454999999999998,14.575
2006-05-04,14.535,14.815000000000001,14.395,14.565000000000001
2006-05-05,14.265,14.754999999999999,14.265,14.665
2006-05-08,14.245000000000001,14.815000000000001,14.235,14.715
2006-05-09,14.715,14.885000000000002,14.415,14.625
2006-05-10,14.485,14.774999999999999,14.315000000000001,14.715
2006-05-11,14.675,15.215,14.635000000000002,14.835
2006-05-12,14.495000000000001,14.934999999999999,14.315000000000001,14.385000000000002
2006-05-15,13.915,14.075,13.575,14.075
2006-05-16,13.945,14.184999999999999,13.815000000000001,14.184999999999999
2006-05-17,14.114999999999998,14.294999999999998,13.745000000000001,13.875
2006-05-18,13.774999999999999,13.875,12.934999999999999,12.954999999999998
2006-05-19,12.864999999999998,12.895,11.995000000000001,12.895
2006-05-22,11.715,12.665,11.385000000000002,12.475000000000001
2006-05-23,12.915,13.385000000000002,12.565000000000001,12.575
2006-05-24,12.465,13.114999999999998,12.215,13.065000000000001
2006-05-25,13.065000000000001,13.415,12.655000000000001,13.235
2006-05-26,13.165,13.305,12.905000000000001,13.165
2006-05-30,13.044999999999998,13.075,12.665,12.925
2006-05-31,12.915,13.415,12.815000000000001,13.364999999999998
2006-06-01,13.364999999999998,13.544999999999998,13.004999999999999,13.294999999999998
2006-06-02,13.315000000000001,13.315000000000001,12.985,13.105
2006-06-05,13.044999999999998,13.055,12.594999999999999,12.684999999999999
2006-06-06,12.675,12.735,12.145,12.655000000000001
2006-06-07,12.665,12.704999999999998,12.245000000000001,12.245000000000001
2006-06-08,12.195,12.315000000000001,11.524999999999999,12.254999999999999
2006-06-09,12.565000000000001,12.614999999999998,12.065000000000001,12.274999999999999
2006-06-12,12.114999999999998,12.215,11.745000000000001,11.825
2006-06-13,11.395,11.524999999999999,10.945,11.215
2006-06-14,11.184999999999999,11.684999999999999,11.094999999999999,11.195
2006-06-15,11.594999999999999,11.844999999999999,11.285,11.445
2006-06-16,11.635000000000002,11.794999999999998,10.905000000000001,10.995000000000001
2006-06-19,10.895,11.385000000000002,10.895,11.195
2006-06-20,11.195,11.684999999999999,11.114999999999998,11.504999999999999
2006-06-21,11.684999999999999,12.805,11.544999999999998,12.504999999999999
2006-06-22,12.515,12.515,11.815000000000001,12.065000000000001
2006-06-23,12.114999999999998,12.565000000000001,12.065000000000001,12.315000000000001
2006-06-26,12.465,12.802599999999998,12.434999999999999,12.475000000000001
2006-06-27,12.285,12.655000000000001,12.015,12.265
2006-06-28,12.265,12.695,12.175,12.665
2006-06-29,12.715,13.385000000000002,12.635000000000002,13.315000000000001
2006-06-30,14.165,14.4149,12.954999999999998,13.535
2006-07-03,12.965,13.715,12.945,13.704999999999998
2006-07-05,13.065000000000001,13.945,13.004999999999999,13.655000000000001
2006-07-06,13.415,13.954999999999998,13.375,13.454999999999998
2006-07-07,13.065000000000001,13.524999999999999,13.065000000000001,13.215
2006-07-10,13.215,13.715,13.004999999999999,13.184999999999999
2006-07-11,13.065000000000001,13.075,12.575,12.905000000000001
2006-07-12,12.855,13.605,12.855,13.454999999999998
2006-07-13,13.265,13.465,13.114999999999998,13.265
2006-07-14,13.175,13.765,13.015,13.585
2006-07-17,13.285,13.695,13.225000000000001,13.325
2006-07-18,13.274999999999999,13.385000000000002,12.675,13.204999999999998
2006-07-19,13.165,14.204999999999998,13.145,14.125
2006-07-20,13.695,13.945,13.265,13.415
2006-07-21,13.285,13.305,12.835,13.135000000000002
2006-07-24,12.934999999999999,13.575,12.815000000000001,13.425
2006-07-25,13.155000000000001,14.105,13.085,13.995000000000001
2006-07-26,13.465,13.765,13.325,13.504999999999999
2006-07-27,13.515,13.965,13.454999999999998,13.774999999999999
2006-07-28,13.715,14.155000000000001,13.715,14.135000000000002
2006-07-31,13.465,14.585,13.465,14.475000000000001
