,Open,High,Low,Close
2006-01-03,67.24514,67.69554,64.99354,66.02664
2006-01-04,66.02664,67.40414,65.81474,67.03324
2006-01-05,67.03324,66.98024,65.25844,65.54984
2006-01-06,65.81474,65.81474,64.38424,64.38424
2006-01-09,64.38424,68.59614,64.38424,68.25184
2006-01-10,68.17234,68.27824,66.58294,67.24514
2006-01-11,67.24514,68.01334,66.60944,66.79484
2006-01-12,67.90744,68.86104,67.51004,68.51674
2006-01-13,68.33124,69.09944,67.77494,68.03984
2006-01-17,67.72204,67.82794,66.13264,66.60944
2006-01-18,66.60944,66.60944,64.99354,65.44384
2006-01-19,65.49684,65.49684,62.63594,62.92734
2006-01-20,63.08624,63.13924,60.54324,61.20544
2006-01-23,61.60284,62.13264,60.22534,60.88754
2006-01-24,61.12594,62.71534,61.12594,62.47694
2006-01-25,62.92734,63.58954,62.87434,63.16574
2006-01-26,63.40414,63.53654,62.63594,63.13924
2006-01-27,63.21874,64.25184,63.00674,63.27164
2006-01-30,63.53654,64.11934,63.40414,63.58954
2006-01-31,63.58954,63.61604,60.83464,61.04654
2006-02-01,61.07304,61.41734,59.37764,60.75514
2006-02-02,60.75514,61.09954,59.98694,60.22534
2006-02-03,60.22534,60.78164,59.96044,60.19884
2006-02-06,60.59614,61.36444,60.03994,60.59614
2006-02-07,60.75514,61.92064,60.62264,61.78824
2006-02-08,62.31804,64.19884,61.86774,63.51004
2006-02-09,64.03984,64.72864,60.03994,61.23194
2006-02-10,61.39084,61.89424,60.38424,61.33794
2006-02-13,61.33794,62.10614,59.85444,59.90744
2006-02-14,59.80144,59.80144,58.58294,59.19224
2006-02-15,59.16574,61.54984,58.95384,61.47034
2006-02-16,61.39084,62.15914,60.94054,61.81474
2006-02-17,61.81474,64.22534,61.62934,62.47694
2006-02-21,62.45044,63.03324,61.15244,61.78824
2006-02-22,62.15914,62.84784,61.76174,61.78824
2006-02-23,61.89424,62.07964,61.47034,61.76174
2006-02-24,61.81474,61.97364,60.64914,61.44384
2006-02-27,61.36444,62.13264,61.23194,61.76174
2006-02-28,61.81474,62.37104,60.14584,60.33124
2006-03-01,60.59614,61.89424,60.41074,61.81474
2006-03-02,61.84124,62.34454,61.41734,61.78824
2006-03-03,61.36444,62.02664,61.33794,61.54984
2006-03-06,61.36444,61.39084,58.90084,59.98694
2006-03-07,59.98694,59.98694,58.79484,59.05974
2006-03-08,58.87434,59.08624,58.13264,58.37104
2006-03-09,58.29154,58.29154,57.09954,57.86774
2006-03-10,58.00014,58.74184,57.89154,58.50344
2006-03-13,58.74184,60.09284,58.68894,59.05974
2006-03-14,58.87434,59.69554,58.68894,59.32464
2006-03-15,59.35114,60.09284,59.27164,59.98694
2006-03-16,60.22534,61.12594,59.35114,59.35114
2006-03-17,59.48364,59.48364,57.94714,58.23854
2006-03-20,58.52994,58.87434,57.73524,58.07964
2006-03-21,57.84124,58.02664,57.09954,57.33794
2006-03-22,57.20544,57.73524,56.11934,56.41074
2006-03-23,56.22534,57.04654,56.01344,57.02004
2006-03-24,57.23194,58.71544,57.20544,58.71544
2006-03-27,58.63594,59.48364,57.94714,59.32464
2006-03-28,59.21874,59.51014,58.79484,58.90084
2006-03-29,59.073055,59.920655,58.993555,59.814755
2006-03-30,59.655755,60.397555,59.655755,60.106155
2006-03-31,59.894155,60.609455,59.894155,60.476955
2006-04-03,60.476955,62.967055,60.344555,61.642555
2006-04-04,61.774955,63.205455,61.616055,62.569655
2006-04-05,63.337855,63.470055,62.702155,62.940555
2006-04-06,62.967055,62.967055,62.145855,62.728655
2006-04-07,62.755155,62.834555,62.119355,62.145855
2006-04-10,62.225355,62.384255,61.245155,61.430655
2006-04-11,61.006755,61.245155,60.476955,60.715355
2006-04-12,60.635955,60.847855,59.867755,60.265055
2006-04-13,60.476955,60.582955,60.053155,60.318055
2006-04-17,63.496855,63.496855,61.907455,61.960455
2006-04-18,61.960455,63.814755,61.722055,63.364355
2006-04-19,63.390855,64.556455,63.205455,64.556455
2006-04-20,64.371055,64.741855,63.602755,64.397455
2006-04-21,64.556455,65.033255,63.549855,63.708755
2006-04-24,63.894155,64.079655,62.092855,63.602755
2006-04-25,63.867655,63.867655,61.616055,62.066355
2006-04-26,62.092855,62.675655,61.722055,62.066355
2006-04-27,62.225355,62.967055,61.669055,62.596155
2006-04-28,62.596155,63.205455,62.066355,62.834555
2006-05-01,63.099455,63.523355,61.589555,62.463755
2006-05-02,62.437255,62.914055,62.145855,62.304755
2006-05-03,62.357755,62.993555,61.669055,61.907455
2006-05-04,61.510055,61.510055,59.337955,60.185555
2006-05-05,60.053155,60.980255,58.808155,59.231955
2006-05-08,59.258455,60.291555,59.258455,59.920655
2006-05-09,61.748455,62.013355,60.238555,60.609455
2006-05-10,60.715355,61.218655,60.503455,60.953755
2006-05-11,60.953755,62.172355,60.794855,61.218655
2006-05-12,61.112755,61.536555,60.556455,60.927355
2006-05-15,60.556455,61.112755,60.318055,60.980255
2006-05-16,60.980255,62.543155,60.582955,62.463755
2006-05-17,62.172355,62.808055,61.880955,61.907455
2006-05-18,62.119355,62.728655,61.960455,62.251855
2006-05-19,62.225355,62.437255,61.986955,62.066355
2006-05-22,62.066355,63.020055,61.271655,61.827955
2006-05-23,62.225355,62.596155,61.536555,62.251855
2006-05-24,62.119355,62.145855,61.192255,61.192255
2006-05-25,61.457155,62.940555,61.457155,62.755155
2006-05-26,62.834555,62.834555,61.907455,62.039855
2006-05-30,61.642555,61.933955,60.715355,60.927355
2006-05-31,61.536555,62.066355,60.847855,61.774955
2006-06-01,61.774955,62.967055,61.616055,62.861055
2006-06-02,62.940555,63.576355,62.463755,62.940555
2006-06-05,62.940555,62.967055,60.980255,61.430655
2006-06-06,61.563055,62.145855,59.841255,60.662455
2006-06-07,60.529955,60.953755,59.788255,59.814755
2006-06-08,59.920655,60.450455,59.470355,59.655755
2006-06-09,60.318055,60.318055,59.655755,59.735255
2006-06-12,59.735255,59.814755,58.914055,58.914055
2006-06-13,58.993555,59.549855,58.145855,58.225355
2006-06-14,58.225355,58.384255,56.529955,56.582955
2006-06-15,56.741855,58.490255,56.741855,58.278355
2006-06-16,58.331255,58.357755,57.165755,57.165755
2006-06-19,57.218755,57.271655,56.556455,56.556455
2006-06-20,56.582955,57.298155,56.159155,56.582955
2006-06-21,56.212055,56.768355,55.841255,56.424055
2006-06-22,56.874355,57.112755,55.708755,55.973655
2006-06-23,55.973655,56.318055,55.178955,55.602855
2006-06-26,55.602855,55.814755,55.311455,55.682255
2006-06-27,55.814755,56.000155,54.914055,55.125955
2006-06-28,55.37767,55.48357,54.82137,55.21867
