,Open,High,Low,Close
2006-01-03,46.6775,46.847500000000004,45.847500000000004,46.657500000000006
2006-01-04,47.353750000000005,47.36375,46.95375,47.27375
2006-01-05,47.29375,47.29375,46.31375,46.603750000000005
2006-01-06,46.853750000000005,47.90375,46.84375,47.823750000000004
2006-01-09,47.80375,48.073750000000004,46.44375,47.95375
2006-01-10,47.503750000000004,47.81375,46.80375,47.76375
2006-01-11,47.70375,47.753750000000004,47.05375,47.44375
2006-01-12,47.493750000000006,47.91375,46.95375,47.08375
2006-01-13,47.08375,47.353750000000005,46.753750000000004,47.243750000000006
2006-01-17,47.243750000000006,47.83375,47.09535,47.70375
2006-01-18,47.853750000000005,48.68375,47.81375,48.43375
2006-01-19,48.503750000000004,48.77375,48.253750000000004,48.44375
2006-01-20,48.44375,48.44375,47.52375,47.72375
2006-01-23,47.753750000000004,48.143750000000004,47.54375,47.94375
2006-01-24,47.96275,48.173750000000005,47.753750000000004,48.13375
2006-01-25,47.70375,48.13375,46.033750000000005,46.173750000000005
2006-01-26,46.26375,46.51375,45.90375,46.05375
2006-01-27,47.003750000000004,47.003750000000004,45.40375,45.90375
2006-01-30,45.90375,46.003750000000004,45.30375,45.70375
2006-01-31,45.783750000000005,45.783750000000005,44.923750000000005,45.37375
2006-02-01,45.396750000000004,45.51375,44.603750000000005,44.88375
2006-02-02,44.88375,45.20375,44.45375,44.87375
2006-02-03,44.45375,44.97375,43.97375,44.243750000000006
2006-02-06,44.003750000000004,44.20375,43.45375,43.65375
2006-02-07,43.40375,43.993750000000006,43.243750000000006,43.603750000000005
2006-02-08,43.90375,44.65375,43.77375,44.37375
2006-02-09,44.37375,44.97375,44.27375,44.34375
2006-02-10,44.393750000000004,44.69375,44.04375,44.69375
2006-02-13,44.603750000000005,44.98375,44.423750000000005,44.90375
2006-02-14,45.253750000000004,45.893750000000004,45.15375,45.823750000000004
2006-02-15,45.63375,46.18375,45.23375,46.04375
2006-02-16,46.06575,45.83375,44.95375,45.37375
2006-02-17,45.37375,45.643750000000004,44.603750000000005,45.16375
2006-02-21,44.853750000000005,44.90375,44.353750000000005,44.47375
2006-02-22,44.103750000000005,44.45375,43.05375,43.20375
2006-02-23,43.253750000000004,43.55375,42.503750000000004,43.173750000000005
2006-02-24,43.195750000000004,43.253750000000004,42.533750000000005,42.97375
2006-02-27,42.98375,43.853750000000005,42.963750000000005,43.603750000000005
2006-02-28,43.253750000000004,43.26375,42.283750000000005,42.853750000000005
2006-03-01,42.853750000000005,43.08375,42.36375,42.68375
2006-03-02,42.68375,42.80375,42.15375,42.70375
2006-03-03,42.68375,42.84375,42.393750000000004,42.43375
2006-03-06,42.603750000000005,42.643750000000004,42.073750000000004,42.29375
2006-03-07,42.073750000000004,42.34375,41.923750000000005,42.13375
2006-03-08,42.003750000000004,42.31375,41.823750000000004,42.20375
2006-03-09,42.40375,42.87375,42.37375,42.73375
2006-03-10,42.63375,43.12375,42.45375,42.823750000000004
2006-03-13,42.76375,42.783750000000005,42.05375,42.213750000000005
2006-03-14,41.90375,42.503750000000004,41.713750000000005,42.20375
2006-03-15,42.503750000000004,42.503750000000004,41.70375,42.05375
2006-03-16,42.07575,42.103750000000005,41.70375,41.86375
2006-03-17,41.88375,41.893750000000004,41.37375,41.56375
2006-03-20,41.55375,42.603750000000005,41.283750000000005,42.43375
2006-03-21,42.44375,42.55375,41.91375,42.01375
2006-03-22,41.40375,42.80375,41.40375,42.73375
2006-03-23,43.423750000000005,43.423750000000005,42.213750000000005,42.76375
2006-03-24,42.76375,43.00365,42.103750000000005,42.13375
2006-03-27,41.90375,41.91375,40.69375,40.743750000000006
2006-03-28,40.70375,41.23375,40.323750000000004,40.923750000000005
2006-03-29,40.90375,41.23375,40.40375,40.783750000000005
2006-03-30,40.65375,40.695150000000005,40.18375,40.48375
2006-03-31,40.003750000000004,40.01375,39.45375,39.65375
2006-04-03,40.16375,40.34375,39.823750000000004,40.04375
2006-04-04,40.20375,40.61375,39.77375,40.40375
2006-04-05,39.5,39.900000000000006,39.0,39.58
2006-04-06,39.8,40.64,39.75,40.49000000000001
2006-04-07,40.45,40.55,39.900000000000006,39.95
2006-04-10,39.66,40.16,39.45,39.93000000000001
2006-04-11,40.0,40.09,39.34,39.5
2006-04-12,39.78,40.71000000000001,39.44,40.040000000000006
2006-04-13,39.57000000000001,40.040000000000006,38.620000000000005,38.93000000000001
2006-04-17,38.93000000000001,39.52000000000001,38.5,38.56
2006-04-18,38.650000000000006,38.97,37.95,38.290000000000006
2006-04-19,38.290000000000006,38.55,37.96000000000001,38.11
2006-04-20,38.19,39.0,38.19,38.45
2006-04-21,38.85000000000001,39.28,38.28,38.52000000000001
2006-04-24,38.5,38.92,38.2,38.790000000000006
2006-04-25,38.8,38.85000000000001,37.77000000000001,38.05
2006-04-26,38.3,38.900000000000006,38.22,38.730000000000004
2006-04-27,39.730000000000004,39.730000000000004,38.69,38.89
2006-04-28,38.900000000000006,39.25,38.85000000000001,39.120000000000005
2006-05-01,39.150000000000006,39.31,38.8,38.95
2006-05-02,39.06,39.06,38.16,38.52000000000001
2006-05-03,38.53,38.53,37.28,37.49000000000001
2006-05-04,37.650000000000006,37.93000000000001,37.2,37.540000000000006
2006-05-05,37.75,37.82000000000001,37.02000000000001,37.36
2006-05-08,37.370000000000005,37.39,36.94,37.05
2006-05-09,37.02000000000001,37.43000000000001,37.0,37.35000000000001
2006-05-10,37.17,37.49000000000001,37.05,37.34
2006-05-11,37.33,37.77000000000001,37.25,37.75
2006-05-12,37.74000000000001,37.84,37.35000000000001,37.72
2006-05-15,37.5,38.120000000000005,37.44,38.05
2006-05-16,38.400000000000006,38.53,38.28,38.38000000000001
2006-05-17,38.3,38.66,38.120000000000005,38.19
2006-05-18,38.0,38.55,37.900000000000006,38.35000000000001
2006-05-19,38.5,38.650000000000006,38.0,38.3
2006-05-22,38.05,38.11,37.510000000000005,37.57000000000001
2006-05-23,37.400000000000006,37.650000000000006,36.8,36.95
2006-05-24,38.480000000000004,39.64,37.84,39.17
2006-05-25,39.18000000000001,40.150000000000006,39.17,39.60000000000001
2006-05-26,39.61,39.870000000000005,39.010000000000005,39.260000000000005
2006-05-30,39.45,39.620000000000005,39.09,39.27000000000001
2006-05-31,39.370000000000005,39.5,38.95,39.49000000000001
2006-06-01,39.5,40.05,39.5,40.02000000000001
2006-06-02,40.2,40.400000000000006,40.07000000000001,40.2
2006-06-05,40.0,40.35000000000001,39.55,39.71000000000001
2006-06-06,39.72,40.07000000000001,39.52000000000001,39.870000000000005
2006-06-07,40.10000000000001,40.83,40.05,40.43000000000001
2006-06-08,40.400000000000006,40.63000000000001,39.8,40.33
2006-06-09,40.10000000000001,40.5,39.74000000000001,39.88000000000001
2006-06-12,39.88000000000001,40.07000000000001,39.56,39.58
2006-06-13,39.45,40.2,39.39,39.650000000000006
2006-06-14,39.85000000000001,40.0,39.35000000000001,39.57000000000001
2006-06-15,39.5,39.58,38.92,39.53
2006-06-16,39.370000000000005,39.68000000000001,39.150000000000006,39.25
2006-06-19,39.5,39.510000000000005,38.66,38.75
2006-06-20,38.60000000000001,38.900000000000006,38.5,38.75
2006-06-21,39.35000000000001,39.35000000000001,38.2,38.38000000000001
2006-06-22,38.150000000000006,38.480000000000004,37.81,37.95
2006-06-23,37.5,37.93000000000001,37.46000000000001,37.480000000000004
2006-06-26,37.60000000000001,37.74000000000001,37.16,37.28
2006-06-27,37.10000000000001,37.35000000000001,36.14,36.24000000000001
2006-06-28,36.14,36.5,35.77000000000001,35.99000000000001
2006-06-29,36.150000000000006,36.24000000000001,35.91,36.0
2006-06-30,36.10000000000001,36.150000000000006,35.58,35.92
2006-07-03,36.0,36.150000000000006,35.75,35.86
2006-07-05,35.61,36.290000000000006,35.519999999999996,36.16
2006-07-06,36.36,36.68000000000001,36.230000000000004,36.540000000000006
2006-07-07,36.519999999999996,36.85000000000001,36.32000000000001,36.7
2006-07-10,36.36,37.06,36.05,36.81
2006-07-11,36.68000000000001,37.24000000000001,36.68000000000001,37.09
2006-07-12,36.91,37.1964,36.75,36.84
2006-07-13,36.84,37.03,36.540000000000006,36.61
2006-07-14,36.56,36.84,35.85000000000001,36.16
2006-07-17,36.11,36.82000000000001,36.10000000000001,36.61
2006-07-18,36.620000000000005,36.790000000000006,35.83,36.39
2006-07-19,36.56,37.21000000000001,36.46000000000001,36.93000000000001
2006-07-20,36.81,37.34,36.6875,37.06
2006-07-21,37.11,37.33,36.650000000000006,36.92
2006-07-24,37.010000000000005,37.260000000000005,36.730000000000004,36.81
2006-07-25,36.510000000000005,38.75,36.43000000000001,38.43000000000001
2006-07-26,38.61,39.21000000000001,38.2,39.010000000000005
2006-07-27,39.19,39.2,38.49000000000001,38.92
2006-07-28,39.230000000000004,39.83,39.010000000000005,39.61
2006-07-31,39.41,39.769999999999996,39.019999999999996,39.63000000000001
2006-08-01,39.31,39.58,39.05,39.58
2006-08-02,41.86,41.86,39.91,40.040000000000006
2006-08-03,34.120000000000005,35.0,33.31,33.43000000000001
2006-08-04,33.61,33.96000000000001,32.59,32.730000000000004
2006-08-07,32.71000000000001,32.96000000000001,32.66,32.91
2006-08-08,33.11,33.16,31.94,31.990000000000006
2006-08-09,32.61,33.010000000000005,32.34,32.66
2006-08-10,32.36,32.86,32.26990000000001,32.510000000000005
2006-08-11,32.21000000000001,32.44,32.07000000000001,32.17
2006-08-14,31.98,32.36,31.48,31.580000000000002
2006-08-15,31.610000000000003,32.480000000000004,31.55,32.36
2006-08-16,32.510000000000005,32.66,32.269999999999996,32.41
2006-08-17,32.22,34.56,32.21000000000001,33.61
2006-08-18,33.69,34.86,33.61,34.64
2006-08-21,34.11,34.94,34.010000000000005,34.68000000000001
2006-08-22,34.36,34.71000000000001,34.08,34.47
2006-08-23,35.06,35.36,33.72,34.42
2006-08-24,33.519999999999996,35.60000000000001,33.519999999999996,35.31
2006-08-25,35.43000000000001,35.60000000000001,34.78,35.25
2006-08-28,35.21000000000001,35.57000000000001,35.0,35.05
2006-08-29,35.5,35.5,34.81,35.09
2006-08-30,35.33,35.86,35.18000000000001,35.66
2006-08-31,36.11,36.13000000000001,35.66,36.010000000000005
2006-09-01,36.21000000000001,36.21000000000001,35.75,36.019999999999996
2006-09-05,36.21000000000001,36.31,35.53,35.64
2006-09-06,35.66,36.040000000000006,35.49000000000001,35.91
2006-09-07,35.91,36.010000000000005,35.61,35.85000000000001
2006-09-08,33.21000000000001,36.07000000000001,33.21000000000001,35.769999999999996
2006-09-11,37.60000000000001,37.60000000000001,33.97,35.96000000000001
2006-09-12,35.96000000000001,36.290000000000006,35.3,36.290000000000006
2006-09-13,36.25,36.260000000000005,35.41,35.47
2006-09-14,35.47,35.730000000000004,35.462,35.519999999999996
2006-09-15,35.58,35.69,35.120000000000005,35.31
2006-09-18,34.61,35.64,34.61,35.63000000000001
2006-09-19,35.63000000000001,36.010000000000005,35.480000000000004,35.60000000000001
2006-09-20,35.86,36.95,35.71000000000001,36.64
2006-09-21,36.760000000000005,36.86,36.13000000000001,36.34
2006-09-22,36.010000000000005,36.019999999999996,35.28,35.71000000000001
2006-09-25,36.11,36.16,35.17,35.58
2006-09-26,35.31,35.66,35.040000000000006,35.39
2006-09-27,35.14,35.38000000000001,34.99000000000001,35.08
2006-09-28,34.99000000000001,35.47,34.41,35.46000000000001
2006-09-29,35.21000000000001,35.790000000000006,35.14,35.55
2006-10-02,35.61,36.290000000000006,35.61,35.81
2006-10-03,36.03,36.71000000000001,35.93000000000001,36.36
2006-10-04,36.57000000000001,38.22,36.42,38.14
2006-10-05,37.72,38.85000000000001,37.39,38.400000000000006
2006-10-06,38.400000000000006,38.7,38.24000000000001,38.510000000000005
2006-10-09,38.42,38.620000000000005,38.269999999999996,38.510000000000005
2006-10-10,38.53,38.69,38.22,38.66
2006-10-11,38.66,38.71000000000001,38.22,38.31
2006-10-12,38.31,38.32000000000001,37.72,38.24000000000001
2006-10-13,38.22,38.32000000000001,37.769999999999996,37.84
2006-10-16,38.010000000000005,38.370000000000005,37.730000000000004,37.85000000000001
2006-10-17,37.85000000000001,38.0,37.68000000000001,37.870000000000005
2006-10-18,37.870000000000005,38.08,37.129999999999995,37.32000000000001
2006-10-19,37.019999999999996,37.34,36.81,37.3
2006-10-20,37.519999999999996,38.05,37.173,37.66
2006-10-23,37.44,37.900000000000006,37.32000000000001,37.74000000000001
2006-10-24,38.17,38.60000000000001,37.95,38.24000000000001
2006-10-25,38.44,38.47,37.86,38.21000000000001
2006-10-26,38.14,38.2,37.82000000000001,37.980000000000004
2006-10-27,37.870000000000005,38.120000000000005,37.790000000000006,37.89
2006-10-30,38.010000000000005,38.379999999999995,37.84,37.92
2006-10-31,37.85000000000001,38.03,37.64,37.900000000000006
2006-11-01,37.94,38.129999999999995,37.72,37.879999999999995
2006-11-02,37.66,38.150000000000006,37.66,38.14
2006-11-03,38.22,38.42,38.08,38.230000000000004
2006-11-06,38.260000000000005,38.84,38.22,38.81
2006-11-07,39.06,39.3,38.72,38.730000000000004
2006-11-08,38.59,38.760000000000005,38.269999999999996,38.67
2006-11-09,38.58,39.07000000000001,38.10000000000001,38.24000000000001
2006-11-10,38.19,38.47,38.06,38.18000000000001
2006-11-13,38.230000000000004,38.57000000000001,38.08,38.120000000000005
2006-11-14,37.730000000000004,38.45,37.480000000000004,38.18000000000001
2006-11-15,38.19,38.45,37.42,37.55
2006-11-16,37.43000000000001,38.31,37.43000000000001,38.03
2006-11-17,38.05,38.05,37.269999999999996,37.93000000000001
2006-11-20,38.07000000000001,38.45,37.85000000000001,38.17
2006-11-21,41.72,43.08,41.510000000000005,42.769999999999996
2006-11-22,42.22,43.400000000000006,42.17,43.09
2006-11-24,42.69,42.790000000000006,42.480000000000004,42.67
2006-11-27,42.25,42.3,41.41,42.040000000000006
2006-11-28,41.730000000000004,42.21000000000001,41.68000000000001,41.870000000000005
2006-11-29,41.78,42.18000000000001,41.5,41.95
2006-11-30,41.900000000000006,42.040000000000006,41.290000000000006,41.35000000000001
2006-12-01,40.94,41.8,40.620000000000005,41.379999999999995
2006-12-04,41.55,42.730000000000004,41.33,42.57000000000001
2006-12-05,42.22,42.769999999999996,42.03,42.32000000000001
2006-12-06,42.32000000000001,42.94,42.22,42.8
2006-12-07,42.8,43.09,42.46000000000001,42.75
2006-12-08,42.47,42.92,42.28,42.650000000000006
2006-12-11,42.71000000000001,43.44,42.67,43.14
2006-12-12,42.97,43.61,42.53,43.379999999999995
2006-12-13,43.5,43.7,43.120000000000005,43.33
2006-12-14,43.32000000000001,43.620000000000005,43.06,43.16
