,Open,High,Low,Close
2006-01-03,37.809999999999995,37.809999999999995,36.66,37.29
2006-01-04,37.519999999999996,37.629999999999995,36.71,37.129999999999995
2006-01-05,37.15,37.199999999999996,36.839999999999996,37.05
2006-01-06,37.379999999999995,37.55,37.129999999999995,37.43
2006-01-09,37.58,37.82,37.489999999999995,37.82
2006-01-10,37.339999999999996,37.61,37.08,37.54
2006-01-11,37.54,37.71,37.17,37.18
2006-01-12,37.019999999999996,37.68,36.989999999999995,37.64
2006-01-13,37.64,38.269999999999996,37.629999999999995,38.08
2006-01-17,38.03,38.04,36.73,36.79
2006-01-18,36.12,36.29,34.61,35.1
2006-01-19,35.17,35.5,34.989999999999995,35.23
2006-01-20,35.129999999999995,35.14,34.05,34.19
2006-01-23,34.6,34.78,34.03,34.17
2006-01-24,34.37,34.58,33.92,34.23
2006-01-25,34.96,35.03,34.47,34.64
2006-01-26,34.94,35.08,34.05,34.3
2006-01-27,33.989999999999995,34.21,33.6,33.629999999999995
2006-01-30,33.629999999999995,33.83,33.48,33.6
2006-01-31,33.76,33.82,33.23,33.23
2006-02-01,33.21,34.15899999999999,32.92,33.89
2006-02-02,35.73,36.55,35.339999999999996,36.309999999999995
2006-02-03,36.1,36.739999999999995,36.059999999999995,36.629999999999995
2006-02-06,36.519999999999996,37.03,36.449999999999996,36.72
2006-02-07,36.53,36.68,35.739999999999995,35.82
2006-02-08,35.8,35.98,35.17,35.93
2006-02-09,36.11,36.42,35.91,36.42
2006-02-10,36.43,36.769999999999996,36.309999999999995,36.67
2006-02-13,36.67,37.07,36.53,36.96
2006-02-14,36.91,38.18,36.809999999999995,37.989999999999995
2006-02-15,37.98,39.1,37.82,38.68
2006-02-16,38.48,39.0,38.35,38.94
2006-02-17,38.73,39.05,38.12,38.23
2006-02-21,36.93,37.699999999999996,36.589999999999996,37.33
2006-02-22,37.33,37.53,37.199999999999996,37.33
2006-02-23,37.33,37.37,37.089999999999996,37.199999999999996
2006-02-24,37.19,37.199999999999996,36.769999999999996,36.83
2006-02-27,36.91,37.029999999999994,36.73,36.88999999999999
2006-02-28,36.83,36.83,36.47,36.54
2006-03-01,36.58,37.23,36.51,37.23
2006-03-02,36.61,37.089999999999996,36.61,37.029999999999994
2006-03-03,36.93,37.379999999999995,36.75,37.169999999999995
2006-03-06,37.169999999999995,37.239999999999995,36.08,36.209999999999994
2006-03-07,35.98,36.22,35.589999999999996,36.059999999999995
2006-03-08,35.9,36.18,35.63999999999999,35.68
2006-03-09,35.93,35.959999999999994,35.15,35.239999999999995
2006-03-10,35.5,35.88999999999999,35.41,35.57
2006-03-13,35.669999999999995,36.349999999999994,35.669999999999995,36.25
2006-03-14,36.25,36.55,36.08,36.199999999999996
2006-03-15,36.36,36.41,35.779999999999994,36.01
2006-03-16,36.2153,35.5,34.51,34.76
2006-03-17,35.01,35.029999999999994,34.68,34.93
2006-03-20,35.36,35.41,34.43,34.5
2006-03-21,34.72,34.779999999999994,34.339999999999996,34.47
2006-03-22,34.779999999999994,35.459999999999994,34.69,35.22
2006-03-23,34.449999999999996,34.58,33.279999999999994,33.58
2006-03-24,33.589999999999996,34.33,33.459999999999994,34.26
2006-03-27,34.26,34.66,34.26,34.599999999999994
2006-03-28,34.709999999999994,34.739999999999995,34.38999999999999,34.489999999999995
2006-03-29,34.489999999999995,34.94,34.44,34.75
2006-03-30,34.779999999999994,35.23,34.69,34.98
2006-03-31,34.769999999999996,35.129999999999995,34.08,34.5
2006-04-03,34.629999999999995,35.32,34.629999999999995,35.15
2006-04-04,35.08,35.239999999999995,34.66,34.839999999999996
2006-04-05,34.839999999999996,34.839999999999996,34.44,34.519999999999996
2006-04-06,34.529999999999994,34.66,33.989999999999995,34.63999999999999
2006-04-07,34.58,35.05,34.459999999999994,34.519999999999996
2006-04-10,34.519999999999996,34.599999999999994,34.22,34.51
2006-04-11,34.48,34.489999999999995,34.05,34.29
2006-04-12,34.29,34.489999999999995,34.0,34.32
2006-04-13,34.3,34.62,34.18,34.62
2006-04-17,34.62,34.62,34.32,34.37
2006-04-18,34.18,34.32,33.800799999999995,34.15
2006-04-19,33.98,34.01,33.16,33.72
2006-04-20,33.33,34.209999999999994,32.879999999999995,34.029999999999994
2006-04-21,36.01,36.339999999999996,35.13999999999999,35.25
2006-04-24,35.26,35.349999999999994,34.629999999999995,34.93
2006-04-25,34.97,34.97,34.36,34.48
2006-04-26,34.75,34.849999999999994,34.599999999999994,34.629999999999995
2006-04-27,34.58,34.629999999999995,34.33,34.51
2006-04-28,34.339999999999996,34.459999999999994,33.98,34.269999999999996
2006-05-01,34.309999999999995,34.529999999999994,33.75,33.809999999999995
2006-05-02,34.13999999999999,34.459999999999994,34.11,34.37
2006-05-03,34.43,34.57,34.209999999999994,34.519999999999996
2006-05-04,34.98,35.419999999999995,34.809999999999995,35.13999999999999
2006-05-05,35.529999999999994,35.529999999999994,35.099999999999994,35.349999999999994
2006-05-08,35.339999999999996,35.769999999999996,35.339999999999996,35.489999999999995
2006-05-09,35.55,35.629999999999995,34.879999999999995,34.949999999999996
2006-05-10,35.169999999999995,35.23,34.08,34.63999999999999
2006-05-11,34.65,34.73,34.0,34.12
2006-05-12,34.099999999999994,34.11,33.12,33.33
