,Open,High,Low,Close
2012-09-17,34.515,39.015,33.775,36.165
2012-09-18,36.465,36.465,34.635,35.145
2012-09-19,35.265,36.215,35.165,35.685
2012-09-20,35.445,35.895,35.025,35.615
2012-09-21,35.645,36.015,35.515,35.915
2012-09-24,35.565,35.825,35.075,35.595
2012-09-25,36.055,36.055,34.205,34.465
2012-09-26,34.075,34.455,33.285000000000004,33.505
2012-09-27,33.995,34.115,32.693000000000005,33.915
2012-09-28,34.765,34.765,33.445,34.015
2012-10-01,33.795,35.315,33.455,35.285000000000004
2012-10-02,35.195,36.565,34.315,36.345
2012-10-03,36.575,38.365,36.575,37.105000000000004
2012-10-04,37.105000000000004,37.395,36.405,36.585
2012-10-05,36.715,37.005,34.985,36.255
2012-10-08,34.655,36.55,34.575,36.245
2012-10-09,36.105000000000004,36.5949,35.255,35.515
2012-10-10,34.985,35.655,34.745,35.075
2012-10-11,35.165,35.225,33.765,34.465
2012-10-12,34.245,34.515,33.995,34.495
2012-10-15,33.795,34.595,33.39,34.565
2012-10-16,35.005,36.015,34.565,35.855000000000004
2012-10-17,35.925,37.015,35.835,36.835
2012-10-18,35.275,37.015,34.925,36.575
2012-10-19,36.775,37.115,36.235,36.815
2012-10-22,36.615,36.985,36.365,36.915
2012-10-23,36.175,36.625,35.945,36.105000000000004
2012-10-24,36.165,36.585,35.565,36.335
2012-10-25,37.765,40.465,37.765,39.175
2012-10-26,38.995,40.595,38.935,39.875
2012-10-31,39.775,40.015,38.785000000000004,39.525
2012-11-01,39.525,39.845,38.980000000000004,39.295
2012-11-02,40.205,41.015,39.365,39.515
2012-11-05,39.515,40.525,39.185,39.895
2012-11-06,40.535000000000004,40.805,39.675,39.735
2012-11-07,39.615,39.845,38.865,38.995
2012-11-08,38.995,40.355000000000004,38.405,39.775
2012-11-09,40.105000000000004,41.365,39.885,41.075
2012-11-12,41.075,42.985,40.715,40.865
2012-11-13,40.425,41.205,40.215,40.845
2012-11-14,40.785000000000004,40.785000000000004,39.405,39.525
2012-11-15,39.515,39.985,39.005,39.415
2012-11-16,39.515,39.655,38.955,39.045
2012-11-19,39.475,40.295,39.215,39.755
2012-11-20,39.805,40.355000000000004,39.715,40.265
2012-11-21,40.315,40.715,40.125,40.675
2012-11-23,40.745,40.925,40.445,40.875
2012-11-26,40.665,41.285000000000004,40.6251,41.115
2012-11-27,43.015,43.015,41.466,41.585
2012-11-28,40.395,42.285000000000004,40.395,42.165
2012-11-29,42.315,43.225,42.175,42.805
2012-11-30,42.845,43.995,42.745,43.915
2012-12-03,43.825,43.8913,42.295,42.735
2012-12-04,42.325,43.015,41.965,42.015
2012-12-05,42.055,42.335,41.765,42.085
2012-12-06,41.845,42.205,41.265,41.895
2012-12-07,42.015,43.985,41.995,43.565
2012-12-10,43.575,43.895,43.085,43.265
2012-12-11,43.505,43.605000000000004,42.865,43.045
2012-12-12,43.285000000000004,43.655,42.865,43.235
2012-12-13,43.035000000000004,43.545,42.615,43.015
2012-12-14,43.015,44.105000000000004,42.715,43.915
2012-12-17,44.075,44.755,43.375,44.345
2012-12-18,44.345,45.015,43.335,43.745
2012-12-19,43.635,43.635,42.855000000000004,42.975
2012-12-20,43.005,43.735,42.725,43.385
2012-12-21,42.875,43.115,42.365,42.745
2012-12-24,42.625,43.435,42.439,43.135
2012-12-26,43.245,43.245,42.29,43.075
2012-12-27,43.345,44.495,43.135,44.245
2012-12-28,43.755,44.295,43.265,43.365
2012-12-31,43.015,44.665,42.615,44.505
2013-01-02,45.075,45.325,43.945,44.035000000000004
2013-01-03,44.055,44.665,43.545,44.125
2013-01-04,44.245,44.815,43.875,44.765
2013-01-07,44.275,45.185,44.265,44.675
2013-01-08,45.025,45.515,43.845,44.485
2013-01-09,44.605000000000004,44.705,43.645,44.015
2013-01-10,44.355000000000004,44.675,43.705,44.515
2013-01-11,44.675,44.965,44.145,44.855000000000004
2013-01-14,44.985,45.515,44.515,45.395
2013-01-15,45.025,45.515,44.565,45.265
2013-01-16,45.195,45.915,44.975,45.805
2013-01-17,46.005,46.175,45.725,46.005
2013-01-18,46.555,46.925,45.685,45.995
2013-01-22,46.245,46.265,45.265,45.995
2013-01-23,45.875,46.1925,45.205,45.375
2013-01-24,45.435,45.825,44.615,44.825
2013-01-25,45.055,45.315,44.645,45.195
2013-01-28,45.265,45.485,44.485,44.985
2013-01-29,44.985,45.0148,44.465,44.525
2013-01-30,47.015,47.115,45.415,46.015
2013-01-31,45.775,46.325,45.425,45.515
2013-02-01,45.905,45.905,45.105000000000004,45.605000000000004
2013-02-04,45.325,45.535000000000004,45.165,45.165
2013-02-05,45.505,46.065,45.025,46.025
2013-02-06,45.645,46.405,45.615,45.935
2013-02-07,46.135,46.485,45.945,46.165
2013-02-08,46.065,46.265,45.465,45.685
2013-02-11,45.765,45.975,45.605000000000004,45.645
2013-02-12,45.715,45.895,45.045,45.305
2013-02-13,45.525,45.705,45.215,45.415
2013-02-14,45.485,45.585,44.665,44.745
2013-02-15,44.975,45.285000000000004,44.115,44.415
2013-02-19,44.415,45.52,44.365,45.285000000000004
2013-02-20,45.765,45.905,45.125,45.375
2013-02-21,45.215,45.325,43.935,44.405
2013-02-22,44.595,45.355000000000004,44.425,44.995
2013-02-25,45.485,45.965,44.145,44.255
2013-02-26,44.365,44.735,44.365,44.585
2013-02-27,44.325,46.315,44.325,46.005
2013-02-28,45.945,46.415,45.315,45.905
2013-03-01,45.515,46.215,45.315,45.945
2013-03-04,45.965,46.745,45.955,46.725
2013-03-05,46.845,47.6775,46.815,46.995
2013-03-06,47.285000000000004,47.374900000000004,46.325,46.365
2013-03-07,46.305,46.675,45.93,46.055
2013-03-08,46.255,46.865,45.775,45.895
2013-03-11,45.825,47.305,45.775,46.465
2013-03-12,46.535000000000004,46.975,46.535000000000004,46.755
2013-03-13,46.685,48.215,46.685,47.745
2013-03-14,47.745,48.385,47.095,47.245
2013-03-15,46.955,47.565,46.775,47.425
2013-03-18,47.065,47.585,46.515,47.175
2013-03-19,47.185,47.695,46.865,47.115
2013-03-20,47.405,47.625,46.915,47.035000000000004
2013-03-21,46.885,48.365,46.815,46.895
2013-03-22,46.965,47.495,46.285000000000004,46.845
2013-03-25,47.175,47.395,46.335,46.485
2013-03-26,46.735,46.963,46.25,46.365
2013-03-27,46.245,47.265,46.245,46.605000000000004
2013-03-28,46.715,47.01,46.345,46.955
2013-04-01,46.865,46.875,45.56,46.015
2013-04-02,45.255,45.735,44.29,44.485
2013-04-03,43.015,44.255,42.585,43.965
2013-04-04,44.115,44.215,42.53,42.845
2013-04-05,42.225,44.655,41.275,44.335
