,Open,High,Low,Close
2013-12-09,22.75,24.240000000000002,22.2501,23.400000000000002
2013-12-10,23.34,23.970000000000002,23.21,23.68
2013-12-11,24.240000000000002,26.0,24.17,24.79
2013-12-12,25.0,25.51,24.25,24.25
2013-12-13,24.41,25.1,24.3201,25.03
2013-12-16,25.43,25.5658,25.150000000000002,25.41
2013-12-17,25.27,25.39,24.7501,24.900000000000002
2013-12-18,24.79,25.03,24.35,25.03
2013-12-19,24.89,25.29,24.621,24.92
2013-12-20,24.96,25.29,24.94,25.13
2013-12-23,25.09,25.29,24.85,24.98
2013-12-24,24.8,25.060000000000002,24.8,25.05
2013-12-26,24.92,25.16,24.775000000000002,24.93
2013-12-27,24.75,24.900000000000002,23.71,23.740000000000002
2013-12-30,23.67,24.05,23.45,23.580000000000002
2013-12-31,23.54,24.05,23.43,24.05
2014-01-02,23.87,24.62,23.86,24.16
2014-01-03,24.55,25.55,24.310000000000002,25.34
2014-01-06,25.42,26.0,25.400000000000002,25.830000000000002
2014-01-07,26.0,26.1997,25.470000000000002,25.705000000000002
2014-01-08,25.17,26.48,25.150000000000002,26.43
2014-01-09,27.04,28.400000000000002,27.0,28.220000000000002
2014-01-10,27.85,28.63,27.55,28.150000000000002
2014-01-13,27.98,28.330000000000002,27.38,27.45
2014-01-14,27.55,27.84,27.51,27.67
2014-01-15,27.7,28.240000000000002,27.5,27.64
2014-01-16,27.740000000000002,28.19,27.5,28.14
2014-01-17,28.1,28.82,27.971,28.82
2014-01-21,29.46,29.6,29.0,29.46
2014-01-22,29.51,30.04,29.45,30.0
2014-01-23,29.45,30.26,29.42,30.150000000000002
2014-01-24,29.82,29.98,28.71,29.2
2014-01-27,29.2,29.67,27.470000000000002,28.98
2014-01-28,29.12,31.000000000000004,28.82,30.76
2014-01-29,31.040000000000003,32.199999999999996,30.900000000000002,31.779999999999998
2014-01-30,32.16,33.0,32.0,32.599999999999994
2014-01-31,32.239999999999995,32.879999999999995,31.8,32.349999999999994
2014-02-03,32.75,33.279999999999994,31.849999999999998,32.76
2014-02-04,32.839999999999996,33.18,32.379999999999995,32.849999999999994
2014-02-05,32.62,32.769999999999996,32.199999999999996,32.599999999999994
2014-02-06,32.51,33.72,32.5,33.459999999999994
2014-02-07,33.61,34.5,33.449999999999996,34.47
2014-02-10,34.9,34.949999999999996,34.18,34.379999999999995
2014-02-11,34.379999999999995,34.44,33.19,33.93
2014-02-12,33.69,33.8,33.16,33.489999999999995
2014-02-13,32.87,33.839999999999996,32.86,33.824999999999996
2014-02-14,33.65,33.976,33.019999999999996,33.209999999999994
2014-02-18,33.529999999999994,33.75,33.0,33.11
2014-02-19,33.05,33.89,32.91,33.39
2014-02-20,33.23,34.4694,33.23,34.459999999999994
2014-02-21,34.58,35.25,34.55,34.97
2014-02-24,35.0,35.459999999999994,34.82,35.449999999999996
2014-02-25,35.43,35.949999999999996,35.309999999999995,35.8
2014-02-26,35.919999999999995,36.08,35.379999999999995,35.55
2014-02-27,35.68,35.7485,35.14,35.36
2014-02-28,34.91,35.779999999999994,34.87,35.73
2014-03-03,34.97,35.199999999999996,34.12,34.9
2014-03-04,35.37,36.26,35.37,36.14
2014-03-05,36.4,36.83,36.309999999999995,36.66
2014-03-06,37.08,38.125,37.08,37.61
2014-03-07,38.019999999999996,38.089999999999996,36.91,37.82
2014-03-10,37.5,38.68,37.349999999999994,37.76
2014-03-11,37.449999999999996,38.059999999999995,36.75,36.879999999999995
2014-03-12,36.769999999999996,36.879999999999995,36.029999999999994,36.359899999999996
2014-03-13,36.699999999999996,36.789899999999996,34.55,35.54
2014-03-14,34.8,35.9799,34.47,35.14
2014-03-17,35.419999999999995,36.57,35.33,36.5
2014-03-18,36.55,36.839999999999996,35.89,36.15
2014-03-19,36.07,36.43,35.48,35.879999999999995
2014-03-20,35.41,35.89,35.08,35.36
2014-03-21,35.559999999999995,35.62,34.709999999999994,34.91
2014-03-24,35.05,35.66,34.83,35.599999999999994
2014-03-25,35.68,36.99699999999999,35.66,36.699999999999996
2014-03-26,36.949999999999996,37.059999999999995,35.44,35.5
2014-03-27,35.419999999999995,35.57,33.82,34.57
2014-03-28,34.57,35.3,34.15,34.19
2014-03-31,34.64,35.669999999999995,34.55,35.4
2014-04-01,35.75,36.989999999999995,35.65,36.739999999999995
2014-04-02,37.04,37.699999999999996,36.279999999999994,36.51
2014-04-03,36.519999999999996,37.239999999999995,35.76,36.14
2014-04-04,36.209999999999994,36.519999999999996,35.1001,35.36
2014-04-07,35.58,36.279999999999994,34.26,34.58
2014-04-08,34.8,35.019999999999996,32.419999999999995,34.779999999999994
2014-04-09,34.879999999999995,35.8,33.959999999999994,35.699999999999996
2014-04-10,35.5,36.18,33.4,34.089999999999996
2014-04-11,32.9,34.26,32.39,32.4799
2014-04-14,32.8,33.57,31.570000000000004,32.169999999999995
2014-04-15,32.32,33.129999999999995,30.66,32.519999999999996
2014-04-16,32.97,34.39,32.739999999999995,34.309999999999995
2014-04-17,34.3,34.665,33.62,34.199999999999996
2014-04-21,33.879999999999995,34.589999999999996,33.66,34.47
2014-04-22,34.559999999999995,35.54,34.55,34.959999999999994
2014-04-23,35.94,36.4,35.199999999999996,35.89
2014-04-24,36.64,37.04,34.599999999999994,36.059999999999995
2014-04-25,35.8,35.91,34.709999999999994,34.8
2014-04-28,35.209999999999994,35.519999999999996,33.14,33.959999999999994
2014-04-29,34.0,34.449999999999996,33.769999999999996,34.309999999999995
2014-04-30,34.48,34.68,33.69,33.87
2014-05-01,34.66,35.5,34.265,35.19
2014-05-02,35.07,35.515,34.86,35.29
2014-05-05,34.879999999999995,35.58,34.589999999999996,35.4
2014-05-06,35.94,36.199999999999996,35.19,35.47
2014-05-07,35.33,36.11,35.11,36.019999999999996
2014-05-08,36.05,37.05,35.849999999999994,37.05
2014-05-09,36.76,37.5,36.709999999999994,37.059999999999995
2014-05-12,37.15,38.29,37.15,38.19
2014-05-13,37.75,38.54,37.65,38.11
2014-05-14,37.879999999999995,38.04,37.36,37.64
2014-05-15,37.349999999999994,37.529999999999994,36.279999999999994,36.989999999999995
2014-05-16,36.809999999999995,37.48,36.559999999999995,37.324999999999996
2014-05-19,37.29,37.9601,36.9,37.37
2014-05-20,37.339999999999996,37.68,36.82,37.04
2014-05-21,37.08,37.65,36.849999999999994,37.12
2014-05-22,37.099999999999994,37.68,37.099999999999994,37.519999999999996
2014-05-23,37.33,38.3,37.33,37.91
2014-05-27,38.18,38.73,38.029999999999994,38.15
