,Open,High,Low,Close
2006-01-03,18.919999999999998,18.959999999999997,18.31,18.95
2006-01-04,18.869999999999997,19.849999999999998,18.869999999999997,19.79
2006-01-05,19.849999999999998,19.95,19.63,19.7
2006-01-06,19.939999999999998,20.15,19.799999999999997,20.13
2006-01-09,20.5,20.83,20.45,20.75
2006-01-10,20.711,20.86,20.389999999999997,20.709999999999997
2006-01-11,20.79,21.259999999999998,20.779999999999998,21.2
2006-01-12,21.299999999999997,21.299999999999997,20.599999999999998,20.77
2006-01-13,20.740999999999996,20.939999999999998,20.389999999999997,20.5
2006-01-17,20.5,20.5,20.02,20.15
2006-01-18,20.15,20.99,19.88,20.93
2006-01-19,21.11,21.45,20.88,21.15
2006-01-20,21.15,21.2,20.41,20.45
2006-01-23,20.47,20.59,20.229999999999997,20.389999999999997
2006-01-24,20.409,21.349999999999998,20.229999999999997,21.24
2006-01-25,21.299999999999997,21.349999999999998,20.61,20.75
2006-01-26,20.86,20.93,20.65,20.83
2006-01-27,20.88,21.15,20.7,21.06
2006-01-30,21.15,21.34,21.099999999999998,21.24
2006-01-31,21.63,22.759999999999998,21.57,22.59
2006-02-01,22.564999999999998,23.049999999999997,22.2,22.709999999999997
2006-02-02,22.731999999999996,22.81,22.15,22.38
2006-02-03,22.354999999999997,22.389999999999997,21.799999999999997,22.369999999999997
2006-02-06,22.369999999999997,22.939999999999998,22.369999999999997,22.889999999999997
2006-02-07,22.856999999999996,23.699999999999996,22.65,22.7
2006-02-08,22.7,23.27,22.66,23.0
2006-02-09,23.0,23.049999999999997,22.054,22.139999999999997
2006-02-10,22.13,23.139999999999997,22.119999999999997,22.919999999999998
2006-02-13,22.709999999999997,22.83,21.979999999999997,22.15
2006-02-14,22.119999999999997,22.56,21.95,22.06
2006-02-15,22.06,23.099999999999998,22.06,22.9
2006-02-16,22.9,23.38,22.709999999999997,23.25
2006-02-17,23.29,23.4,23.099999999999998,23.099999999999998
2006-02-21,23.04,23.56,23.04,23.349999999999998
2006-02-22,23.419999999999998,23.549999999999997,23.229999999999997,23.38
2006-02-23,23.65,23.83,22.959999999999997,23.13
2006-02-24,23.549999999999997,24.33,23.24,23.86
2006-02-27,24.049999999999997,24.189999999999998,23.419999999999998,23.439999999999998
2006-02-28,23.395,23.509999999999998,23.029999999999998,23.479999999999997
2006-03-01,23.479999999999997,23.839999999999996,22.82,23.15
2006-03-02,23.108,23.38,22.88,23.15
2006-03-03,22.81,23.009999999999998,22.38,22.479999999999997
2006-03-06,22.5,22.689999999999998,21.81,22.259999999999998
2006-03-07,22.259999999999998,22.349999999999998,21.369999999999997,21.74
2006-03-08,21.65,21.889999999999997,20.95,21.86
2006-03-09,21.84,22.18,21.27,21.479999999999997
2006-03-10,21.479999999999997,22.16,21.47,22.049999999999997
2006-03-13,22.299999999999997,22.34,21.61,21.959999999999997
2006-03-14,21.981999999999996,22.299999999999997,21.66,22.279999999999998
2006-03-15,22.299999999999997,22.5,22.169999999999998,22.25
2006-03-16,22.272,22.88,22.2,22.24
2006-03-17,22.24,22.81,22.24,22.81
2006-03-20,23.0,23.049999999999997,22.41,22.56
2006-03-21,22.31,22.93,22.25,22.599999999999998
2006-03-22,22.47,22.74,22.31,22.63
2006-03-23,22.669999999999998,22.729999999999997,22.34,22.549999999999997
2006-03-24,22.549999999999997,22.68,22.318,22.52
2006-03-27,22.31,22.31,21.799999999999997,21.88
2006-03-28,21.729999999999997,21.779999999999998,21.25,21.369999999999997
2006-03-29,21.29,21.639999999999997,20.95,21.57
2006-03-30,21.619999999999997,21.95,21.15,21.34
2006-03-31,21.479999999999997,22.15,21.31,21.97
2006-04-03,21.959999999999997,22.52,21.889999999999997,22.2
