Date,Open,High,Low,Close
2006-01-03,21.97,22.07,21.69,22.0
2006-01-04,22.13,22.37,22.09,22.36
2006-01-05,22.33,22.45,22.22,22.3
2006-01-06,22.3,22.5,21.98,22.4
2006-01-09,22.36,22.87,22.35,22.85
2006-01-10,22.85,22.85,22.66,22.71
2006-01-11,22.76,22.87,22.57,22.8
2006-01-12,22.81,22.86,22.4,22.48
2006-01-13,22.5,22.84,22.5,22.7
2006-01-17,22.62,22.62,22.16,22.32
2006-01-18,22.33,22.5,22.11,22.35
2006-01-19,22.35,22.49,22.3,22.49
2006-01-20,22.88,22.9,22.15,22.22
2006-01-23,22.22,22.35,22.1,22.16
2006-01-24,22.15,22.19,21.93,22.05
2006-01-25,22.09,22.17,21.85,21.96
2006-01-26,22.03,22.39,22.0,22.29
2006-01-27,22.25,22.4,22.16,22.39
2006-01-30,22.39,22.39,22.22,22.31
2006-01-31,22.21,22.4,22.12,22.29
2006-02-01,22.29,22.4,22.09,22.34
2006-02-02,22.362,22.62,22.27,22.28
2006-02-03,22.25,22.44,22.14,22.26
2006-02-06,22.42,22.67,22.28,22.35
2006-02-07,22.39,22.4,22.15,22.17
2006-02-08,22.23,22.24,22.0,22.1
2006-02-09,21.25,21.71,21.19,21.36
2006-02-10,21.37,21.54,21.25,21.44
2006-02-13,21.44,21.53,21.23,21.26
2006-02-14,21.27,21.45,21.1,21.42
2006-02-15,21.42,21.71,21.36,21.57
2006-02-16,21.58,21.7,21.33,21.53
2006-02-17,21.7,21.75,21.56,21.69
2006-02-21,21.63,21.65,21.12,21.23
2006-02-22,21.33,21.61,21.32,21.51
2006-02-23,21.44,21.65,21.38,21.4
2006-02-24,21.45,21.55,21.25,21.35
2006-02-27,21.38,21.62,21.36,21.39
2006-02-28,21.3,21.38,20.82,20.91
2006-03-01,20.96,21.33,20.86,21.27
2006-03-02,21.14,21.15,20.69,20.91
2006-03-03,20.9,21.18,20.54,21.13
2006-03-06,21.08,21.12,20.78,20.89
2006-03-07,22.31,22.57,22.11,22.26
2006-03-08,22.1,22.16,21.85,21.91
2006-03-09,21.7,21.99,21.52,21.86
2006-03-10,21.86,21.99,21.81,21.82
2006-03-13,21.88,21.97,21.71,21.74
2006-03-14,21.66,21.85,21.62,21.79
2006-03-15,21.79,21.93,21.76,21.85
2006-03-16,21.9,22.11,21.76,21.88
2006-03-17,22.32,22.32,21.89,21.95
2006-03-20,21.87,22.01,21.82,21.91
2006-03-21,21.9,21.95,21.82,21.85
2006-03-22,21.82,21.92,21.67,21.8
2006-03-23,21.83,21.9,21.65,21.75
2006-03-24,21.65,21.85,21.43,21.53
2006-03-27,21.44,21.5,21.27,21.32
2006-03-28,21.36,21.45,21.25,21.32
2006-03-29,21.32,21.53,21.29,21.4
