Date,Open,High,Low,Close
2006-01-03,13.18,13.41,13.08,13.225
2006-01-04,13.23,13.4,13.13,13.195
2006-01-05,13.17,13.37,13.07,13.225
2006-01-06,13.23,13.29,12.97,13.22
2006-01-09,13.1,13.13,12.65,12.705
2006-01-10,12.5,12.5,12.235,12.38
2006-01-11,12.375,12.375,11.955,11.995
2006-01-12,11.925,12.195,11.775,12.1
2006-01-13,12.1,12.1,11.59,11.73
2006-01-17,11.615,11.7,11.36,11.425
2006-01-18,11.35,12.05,11.35,11.965
2006-01-19,12.0,12.195,11.73,12.005
2006-01-20,11.9,12.13,11.7551,11.96
2006-01-23,12.005,12.135,11.975,12.095
2006-01-24,12.0855,12.585,12.15,12.535
2006-01-25,12.57,12.625,12.46,12.595
2006-01-26,12.61,12.84,12.46,12.72
2006-01-27,12.745,13.01,12.635,12.985
2006-01-30,12.963,13.035,12.755,12.89
2006-01-31,12.89,13.16,12.715,13.145
2006-02-01,13.225,13.95,13.16,13.72
2006-02-02,13.731,13.625,12.97,13.055
2006-02-03,13.065,13.16,12.775,13.115
2006-02-06,13.115,13.135,12.7,12.77
2006-02-07,14.05,14.05,12.475,13.195
2006-02-08,13.44,13.525,13.125,13.4
2006-02-09,13.46,13.545,13.205,13.27
2006-02-10,13.29,13.175,12.865,13.07
2006-02-13,13.105,13.105,12.8,12.87
2006-02-14,12.905,13.125,12.89,13.085
2006-02-15,12.955,13.3,12.905,13.26
2006-02-16,13.0,13.005,12.48,13.0
2006-02-17,12.595,13.35,12.595,13.245
2006-02-21,13.75,13.78,13.45,13.555
2006-02-22,13.62,13.79,13.5,13.79
2006-02-23,13.785,13.995,13.53,13.82
2006-02-24,13.85,13.99,13.595,13.94
2006-02-27,14.0,14.095,13.805,13.9
2006-02-28,13.875,13.915,13.5538,13.675
2006-03-01,13.7,14.12,13.555,14.065
2006-03-02,14.065,14.44,14.0301,14.31
2006-03-03,14.315,14.715,14.205,14.27
2006-03-06,14.25,14.255,13.9,13.915
2006-03-07,13.78,14.095,13.75,13.905
2006-03-08,13.875,14.2,13.82,14.14
2006-03-09,14.125,14.265,13.915,14.135
2006-03-10,14.075,14.6,14.075,14.405
2006-03-13,14.495,14.615,14.15,14.275
2006-03-14,14.25,14.63,14.23,14.5
2006-03-15,14.5,14.725,14.43,14.655
2006-03-16,14.665,14.8899,14.5751,14.625
2006-03-17,14.695,15.13,13.8,14.23
2006-03-20,14.375,14.545,14.115,14.33
2006-03-21,14.33,14.475,13.925,14.06
2006-03-22,14.075,14.385,13.985,14.315
2006-03-23,14.385,14.445,14.135,14.305
2006-03-24,14.165,14.695,14.165,14.56
2006-03-27,14.525,14.585,14.33,14.55
2006-03-28,14.46,14.645,14.2,14.37
2006-03-29,14.62,14.62,14.11,14.385
2006-03-30,14.36,14.63,14.145,14.33
2006-03-31,14.38,14.595,14.185,14.585
2006-04-03,14.5,14.51,14.205,14.4
2006-04-04,14.435,14.615,14.24,14.535
2006-04-05,14.61,14.665,14.4,14.505
2006-04-06,14.505,14.52,14.25,14.35
2006-04-07,14.325,14.5,14.145,14.23
2006-04-10,14.23,14.39,14.075,14.275
2006-04-11,14.275,14.325,13.995,14.13
2006-04-12,14.13,14.65,14.13,14.44
2006-04-13,14.44,14.5,14.29,14.425
2006-04-17,14.425,14.44,14.005,14.24
2006-04-18,14.33,14.59,14.09,14.5
2006-04-19,14.475,14.795,14.365,14.525
2006-04-20,14.525,14.525,14.22,14.425
2006-04-21,14.6,14.6,13.875,14.13
2006-04-24,14.135,14.185,13.835,14.07
