,Open,High,Low,Close
2006-01-03,11.51,11.59,11.36,11.56
2006-01-04,11.61,11.69,11.46,11.6
2006-01-05,11.55,11.61,11.33,11.38
2006-01-06,11.38,11.64,11.36,11.6
2006-01-09,11.59,11.66,11.485999999999999,11.65
2006-01-10,11.56,11.76,11.51,11.67
2006-01-11,11.77,12.08,11.66,12.04
2006-01-12,12.04,12.08,11.81,11.84
2006-01-13,11.81,12.2,11.79,12.18
2006-01-17,12.35,12.57,12.29,12.54
2006-01-18,12.62,12.75,12.37,12.51
2006-01-19,12.65,13.0,12.55,12.83
2006-01-20,13.14,13.2,12.85,13.05
2006-01-23,13.05,13.05,12.76,12.78
2006-01-24,12.799000000000001,12.78,12.57,12.59
2006-01-25,12.6,12.61,12.22,12.27
2006-01-26,12.35,12.4,11.94,12.25
2006-01-27,12.33,12.9,12.33,12.82
2006-01-30,12.79,12.95,12.62,12.91
2006-01-31,12.8,12.91,12.65,12.71
2006-02-01,12.732999999999999,12.81,12.51,12.63
2006-02-02,12.45,12.55,12.1,12.23
2006-02-03,12.21,12.46,12.1,12.33
2006-02-06,12.48,12.74,12.46,12.51
2006-02-07,12.52,12.52,12.02,12.03
2006-02-08,12.05,12.21,11.9,11.91
2006-02-09,11.95,12.22,11.73,11.76
2006-02-10,11.83,11.88,11.57,11.79
2006-02-13,11.79,11.85,11.57,11.63
2006-02-14,11.56,11.75,11.46,11.63
2006-02-15,11.65,11.84,11.52,11.63
2006-02-16,11.69,12.55,11.67,12.36
2006-02-17,12.45,12.85,12.45,12.71
2006-02-21,12.66,12.84,12.66,12.78
2006-02-22,12.78,12.78,12.4,12.63
2006-02-23,12.46,12.64,12.3,12.5
2006-02-24,12.68,12.84,12.67,12.83
2006-02-27,12.69,12.8,12.52,12.54
2006-02-28,12.44,12.44,12.15,12.33
2006-03-01,12.26,12.44,11.95,12.159999999999998
2006-03-02,12.18,12.37,12.0,12.28
2006-03-03,12.27,12.329999999999998,12.17,12.26
2006-03-06,12.079999999999998,12.09,11.559999999999999,11.59
2006-03-07,11.61,11.709999999999999,11.28,11.36
2006-03-08,11.399999999999999,11.479999999999999,11.129999999999999,11.43
2006-03-09,11.579999999999998,11.69,11.26,11.27
2006-03-10,11.229999999999999,11.36,11.149999999999999,11.309999999999999
2006-03-13,11.469999999999999,11.62,11.389999999999999,11.5
2006-03-14,11.522,11.68,11.34,11.68
2006-03-15,11.579999999999998,11.649999999999999,11.43,11.45
2006-03-16,11.469999999999999,11.69,11.36,11.6
2006-03-17,11.77,11.78,11.549999999999999,11.61
2006-03-20,11.51,11.649999999999999,11.35,11.36
2006-03-21,11.36,11.399999999999999,11.09,11.17
2006-03-22,11.09,11.29,11.09,11.19
2006-03-23,11.159999999999998,11.34,11.129999999999999,11.28
2006-03-24,11.28,11.459999999999999,11.25,11.299999999999999
2006-03-27,11.229999999999999,11.299999999999999,11.139999999999999,11.26
2006-03-28,11.129999999999999,11.469999999999999,11.129999999999999,11.45
2006-03-29,11.45,11.559999999999999,11.409999999999998,11.51
2006-03-30,11.469999999999999,11.559999999999999,11.44,11.5
2006-03-31,11.459999999999999,11.5,11.29,11.34
2006-04-03,11.43,11.569999999999999,11.319999999999999,11.36
2006-04-04,11.36,11.44,11.27,11.36
2006-04-05,11.43,11.6,11.37,11.53
2006-04-06,11.61,11.79,11.59,11.78
2006-04-07,11.7,11.76,11.489999999999998,11.52
2006-04-10,11.579999999999998,11.719999999999999,11.5,11.51
2006-04-11,11.559999999999999,11.649999999999999,11.2,11.309999999999999
2006-04-12,11.459999999999999,11.459999999999999,11.19,11.26
2006-04-13,11.149999999999999,11.37,11.139999999999999,11.35
2006-04-17,11.44,11.569899999999999,11.399999999999999,11.52
2006-04-18,11.62,11.829999999999998,11.59,11.79
2006-04-19,11.719999999999999,12.049999999999999,11.7,12.04
2006-04-20,11.979999999999999,12.03,11.7,11.969999999999999
2006-04-21,12.069999999999999,12.18,11.93,12.069999999999999
2006-04-24,12.149999999999999,12.18,11.909999999999998,12.04
2006-04-25,12.04,12.09,11.86,12.069999999999999
2006-04-26,12.069999999999999,12.25,11.95,12.079999999999998
2006-04-27,11.87,12.299999999999999,11.87,12.17
2006-04-28,12.17,12.319999999999999,12.1,12.2
