,Open,High,Low,Close
2006-01-03,6.14626,7.66626,5.72626,7.14626
2006-01-04,7.00626,8.75626,6.96626,8.16626
2006-01-05,8.38626,9.16626,7.85626,8.96626
2006-01-06,8.92626,9.38926,8.72626,9.20626
2006-01-09,8.82626,10.36626,8.82626,9.82626
2006-01-10,9.71626,9.82626,9.09626,9.63626
2006-01-11,9.51626,10.83626,9.51626,10.63626
2006-01-12,10.50626,11.24626,10.50626,11.04626
2006-01-13,10.86626,12.14626,10.86626,11.71126
2006-01-17,11.19626,12.20626,11.19626,12.08626
2006-01-18,11.66626,12.62626,11.11626,12.28626
2006-01-19,12.26626,13.23626,11.78626,13.05626
2006-01-20,13.01626,13.01626,11.59626,11.85626
2006-01-23,12.15626,12.15626,11.70626,11.91626
2006-01-24,11.71626,12.40626,11.68626,12.28626
2006-01-25,12.40626,12.96626,11.92626,12.56626
2006-01-26,12.44626,12.51626,11.86626,12.32626
2006-01-27,12.16626,13.51626,12.16626,13.11626
2006-01-30,13.19626,13.19626,12.35626,12.83626
2006-01-31,12.59626,12.96626,12.37626,12.64626
2006-02-01,12.28626,12.86626,12.28626,12.76626
2006-02-02,12.54626,12.75626,12.14626,12.33626
2006-02-03,12.29626,12.72626,11.98626,12.20626
2006-02-06,11.94626,12.38626,11.59626,12.19626
2006-02-07,11.87626,12.58626,11.80626,12.40626
2006-02-08,12.29626,13.99626,12.29626,13.71626
2006-02-09,11.94626,12.98626,10.29626,12.96626
2006-02-10,12.71626,13.43626,12.19626,13.21626
2006-02-13,12.85626,12.93626,10.54626,10.68626
2006-02-14,10.49626,11.05626,10.14626,10.66626
2006-02-15,10.77626,10.79626,10.14626,10.79626
2006-02-16,10.85626,12.78626,10.85626,12.76626
2006-02-17,12.67626,12.90626,12.26626,12.61626
2006-02-21,12.55626,12.69626,11.80626,11.83626
2006-02-22,11.77626,13.46626,11.77626,12.98626
2006-02-23,12.49626,15.21626,12.35626,13.76626
2006-02-24,13.88626,16.91626,13.48626,16.23626
2006-02-27,16.10626,17.91626,15.97626,17.87626
2006-02-28,17.56626,18.34626,17.46626,18.15626
2006-03-01,17.99626,18.61626,17.35626,18.56626
2006-03-02,18.66626,18.91626,17.42626,18.22626
2006-03-03,17.92626,17.99626,17.45626,17.52626
2006-03-06,17.52626,17.96626,16.97626,17.57626
2006-03-07,17.43626,17.63626,15.86626,16.51626
2006-03-08,16.20626,16.64626,15.87326,16.42626
2006-03-09,16.45626,17.50626,16.45626,17.37626
2006-03-10,17.11626,19.25626,17.11626,19.25626
2006-03-13,19.29626,21.79626,19.16626,20.67626
2006-03-14,20.78626,22.11626,20.78626,21.21626
2006-03-15,21.04626,21.13626,19.92626,20.87626
2006-03-16,21.02626,21.43626,19.80626,20.05626
2006-03-17,20.32626,22.36626,20.13626,21.76626
2006-03-20,21.70626,21.71626,20.60626,21.20626
2006-03-21,21.02626,21.91626,20.84626,21.02626
2006-03-22,20.69626,22.08626,20.69626,21.96626
2006-03-23,22.10626,23.71626,21.41626,23.24626
2006-03-24,23.65626,26.38626,23.15626,24.25626
2006-03-27,24.65626,24.75626,23.84626,24.30626
2006-03-28,24.03626,24.53626,23.58626,24.01626
2006-03-29,24.36626,25.44626,23.71626,24.73626
2006-03-30,25.18626,27.60626,24.29626,27.54626
2006-03-31,27.15626,30.12626,27.15626,29.93626
2006-04-03,28.71626,28.72626,26.42626,27.81626
2006-04-04,28.05626,28.10626,25.00626,25.23626
2006-04-05,24.96626,25.02626,21.62626,23.77626
2006-04-06,23.90626,25.75626,23.19626,25.71626
2006-04-07,25.48626,25.71626,23.61626,24.72626
2006-04-10,24.67626,24.91626,21.56626,22.35626
2006-04-11,22.08626,22.66626,20.98626,21.71626
2006-04-12,21.76626,22.76626,21.71626,22.60626
2006-04-13,22.84626,23.92526,22.30626,23.06626
2006-04-17,22.62626,23.43626,20.84626,22.49626
2006-04-18,22.50626,23.43626,22.50626,22.86626
2006-04-19,23.09626,23.86626,22.80626,23.06626
2006-04-20,22.75626,23.37626,22.71626,22.77626
2006-04-21,23.07626,23.74626,22.88626,23.23626
2006-04-24,23.74626,23.99626,21.55626,22.20626
2006-04-25,22.13626,23.62626,22.13626,23.54626
2006-04-26,23.23626,23.91626,21.06626,22.14626
2006-04-27,25.58626,29.53626,24.48626,27.71626
2006-04-28,27.32626,32.04626,27.32626,31.61626
2006-05-01,31.28626,31.51626,28.89626,29.32626
2006-05-02,29.13626,29.98626,28.52626,28.57626
2006-05-03,28.34626,28.71626,26.84626,27.25626
2006-05-04,27.14626,29.71626,26.83626,29.60626
2006-05-05,29.48626,30.03626,28.77626,28.82626
2006-05-08,28.62626,30.54626,28.43626,30.27626
2006-05-09,29.90626,30.71626,29.50626,30.15626
2006-05-10,29.91626,31.63626,29.82626,30.91626
2006-05-11,31.01626,31.01626,28.06626,28.25626
2006-05-12,27.51626,29.29626,27.31626,28.80626
2006-05-15,28.29626,28.71626,26.97626,28.56626
2006-05-16,28.42626,29.36626,28.17626,29.10626
2006-05-17,28.42626,28.91626,26.65626,27.61626
2006-05-18,28.03626,29.04626,24.71626,25.38626
2006-05-19,25.16626,25.51626,21.64626,22.68626
2006-05-22,22.41626,23.80626,21.17626,22.83626
2006-05-23,22.91626,23.09626,21.91626,21.97626
2006-05-24,22.15626,22.35626,19.18626,20.96626
2006-05-25,21.23626,21.64626,20.07626,20.41626
2006-05-26,20.87626,25.02626,20.62626,24.52626
2006-05-30,23.83626,24.39626,22.76626,23.36626
2006-05-31,23.61626,24.02626,22.99626,23.99626
2006-06-01,23.97626,26.26626,22.41626,26.14626
2006-06-02,26.36626,27.36626,25.79626,26.74626
2006-06-05,26.21626,26.79626,24.71626,25.36626
2006-06-06,25.56626,26.24626,24.39626,24.74626
2006-06-07,24.98626,25.71626,24.40626,24.44626
2006-06-08,24.20626,24.20626,20.06626,22.95626
2006-06-09,22.94626,24.36626,21.51626,21.87626
2006-06-12,18.05626,19.70626,16.50626,18.09626
2006-06-13,18.21626,18.39626,13.53626,14.95626
2006-06-14,14.82626,16.30626,14.02626,14.69626
2006-06-15,15.11626,17.85626,15.00626,16.71626
2006-06-16,16.71626,16.84626,14.79626,15.38626
2006-06-19,15.67626,15.86626,13.21626,13.72626
2006-06-20,13.84626,14.22626,13.37626,13.41626
2006-06-21,13.34626,17.56626,13.22626,16.67626
2006-06-22,16.71626,16.92626,15.67626,16.12626
2006-06-23,16.16626,17.85626,15.52026,17.33626
2006-06-26,17.58626,18.02626,16.71626,17.01626
2006-06-27,17.20626,17.71626,16.15626,16.52626
2006-06-28,16.86626,16.87626,15.19626,16.83626
2006-06-29,16.98626,20.88626,16.98626,19.91626
2006-06-30,18.31626,21.21626,18.21626,20.57626
2006-07-03,19.90626,21.20626,19.90626,20.61626
2006-07-05,19.65626,20.46626,18.60626,18.80626
2006-07-06,18.84626,19.66626,18.01626,18.29626
2006-07-07,18.04626,18.65626,17.40626,17.42626
2006-07-10,17.38626,17.77626,15.19626,16.12626
2006-07-11,15.84626,16.48626,14.32626,16.33626
2006-07-12,16.26626,17.31626,16.26626,16.38626
2006-07-13,16.58626,16.58626,13.77626,13.95626
2006-07-14,13.71626,14.32626,11.64626,12.60626
2006-07-17,12.25626,12.91626,11.32626,12.08626
2006-07-18,12.37626,13.37626,12.01626,12.89626
2006-07-19,13.04626,15.42626,12.68626,14.94626
2006-07-20,14.88626,15.27626,12.88626,13.19626
2006-07-21,12.90626,13.42626,11.84626,12.59626
2006-07-24,12.73626,14.21626,12.73626,14.06626
2006-07-25,14.26626,16.04626,13.72626,15.61626
2006-07-26,15.70626,16.35626,14.39626,15.80626
2006-07-27,15.88626,16.78626,14.51626,14.72626
2006-07-28,16.71626,17.04626,15.19626,16.39626
2006-07-31,16.89626,18.40626,16.21626,18.09626
2006-08-01,17.49626,17.96626,16.12626,16.38626
2006-08-02,16.71626,17.91626,15.85626,17.75626
2006-08-03,15.43626,16.31626,13.14626,16.21626
2006-08-04,16.71626,16.71626,14.71626,15.44626
2006-08-07,14.86626,15.20626,13.04626,14.51626
2006-08-08,14.53626,16.21626,14.36626,15.64626
2006-08-09,16.38626,17.52626,15.65626,15.94626
2006-08-10,15.49626,16.35626,15.07626,15.91626
2006-08-11,15.49626,16.35626,15.08626,15.76626
2006-08-14,16.17626,16.84126,15.49626,16.04626
2006-08-15,18.24626,24.53626,17.96626,23.71626
2006-08-16,24.58626,24.92626,23.00626,24.81626
2006-08-17,24.08626,25.39626,24.08626,25.08626
2006-08-18,24.84626,25.21626,23.31626,25.15626
2006-08-21,24.65626,24.65626,22.73626,23.06626
2006-08-22,23.00626,23.31626,22.21626,22.84626
2006-08-23,22.72626,23.06626,21.36626,21.55626
2006-08-24,21.81626,23.91626,21.81626,23.61626
2006-08-25,23.24626,24.66626,22.08626,22.53626
2006-08-28,22.39626,23.31626,21.69626,22.65626
2006-08-29,22.50626,23.14626,21.19626,23.07626
2006-08-30,22.92626,24.93626,22.92626,24.08626
2006-08-31,24.50626,24.50626,23.15626,23.38626
2006-09-01,23.77626,25.10626,23.18626,24.54626
2006-09-05,24.28626,27.68626,24.26626,27.40626
2006-09-06,26.73626,26.91626,24.56626,25.30626
2006-09-07,25.00626,26.52626,24.69626,26.04626
2006-09-08,26.17626,27.44626,25.51626,27.01626
2006-09-11,26.51626,28.19626,26.28626,27.93626
2006-09-12,28.06626,28.71626,27.11626,27.52626
2006-09-13,27.40626,29.14626,27.40626,28.92626
2006-09-14,28.70626,29.71626,26.27626,26.95626
2006-09-15,27.56626,28.05626,26.75626,27.28626
2006-09-18,26.05626,28.09626,26.05626,27.76626
2006-09-19,27.92626,28.21626,24.46626,26.04626
2006-09-20,26.08626,27.57626,26.08626,26.67626
2006-09-21,27.15626,27.59626,25.31626,25.75626
2006-09-22,25.46626,25.59626,24.98626,25.27626
2006-09-25,25.52626,28.99626,24.88626,28.53626
2006-09-26,28.61626,30.53626,27.20626,27.27626
2006-09-27,27.09626,27.09626,25.19626,25.35626
2006-09-28,25.70626,26.40626,24.68626,25.72626
2006-09-29,25.80626,27.30626,25.45626,25.81626
2006-10-02,25.34626,25.89626,24.51626,25.34626
2006-10-03,25.12626,26.22626,23.56626,24.62626
2006-10-04,24.30626,26.98626,24.20626,26.91626
2006-10-05,26.73626,29.71626,26.73626,29.44626
2006-10-06,29.02626,29.55626,28.39626,28.64626
2006-10-09,28.42626,29.68626,28.09626,29.32626
2006-10-10,29.71626,29.98626,27.47626,27.99626
2006-10-11,27.50626,28.96626,27.08626,27.63626
2006-10-12,27.84626,30.01626,27.66626,29.70626
2006-10-13,29.76626,31.59526,29.41626,30.22626
2006-10-16,29.92626,31.64626,29.52626,30.59626
2006-10-17,30.00626,30.88626,29.13626,30.42626
2006-10-18,29.79626,31.40626,29.40626,31.08626
2006-10-19,30.94626,32.81626,30.61626,32.24626
2006-10-20,32.49626,33.58626,31.85626,32.93626
2006-10-23,33.08626,34.18626,32.21626,33.63626
2006-10-24,33.69626,33.91626,33.08626,33.79626
2006-10-25,33.91626,34.84626,33.17626,34.08626
2006-10-26,32.66626,36.45626,32.66626,36.36626
2006-10-27,35.92626,36.39626,34.50626,34.54626
2006-10-30,34.54626,35.26626,34.01626,34.61626
2006-10-31,33.71626,34.88626,33.61626,34.11626
2006-11-01,33.73626,33.96626,32.69626,32.72626
2006-11-02,32.46626,33.23626,32.31626,33.01626
2006-11-03,33.03626,33.90626,32.61626,33.39626
2006-11-06,33.47626,34.24626,33.47626,34.12626
2006-11-07,34.01626,36.01626,33.94626,35.03626
2006-11-08,34.61626,36.32626,34.07626,35.60626
2006-11-09,35.63626,36.11626,35.32626,35.72626
2006-11-10,35.58626,35.93626,35.21626,35.71626
2006-11-13,35.50626,36.11626,35.31626,35.70626
2006-11-14,35.80626,38.28626,35.16626,38.21626
2006-11-15,38.01626,39.63626,38.01626,38.79626
2006-11-16,38.71626,39.41626,37.74626,38.00626
2006-11-17,37.97626,38.52626,37.46626,38.17626
2006-11-20,37.37626,40.42626,37.14626,40.29626
2006-11-21,40.48626,43.18626,40.43626,42.16626
2006-11-22,42.34626,43.38626,42.13626,42.65626
2006-11-24,42.01626,42.62626,41.73626,41.73626
2006-11-27,41.23626,41.25626,39.30626,39.66626
2006-11-28,39.06626,39.62326,38.60626,39.03626
2006-11-29,39.66626,41.41626,38.97626,40.37626
2006-11-30,40.37626,42.88626,40.31626,42.22626
2006-12-01,41.29626,41.89626,39.04626,40.54626
2006-12-04,40.65626,42.91626,40.12626,42.04626
2006-12-05,42.55626,43.15626,41.56626,41.93626
2006-12-06,42.67626,45.18626,42.23626,44.43626
2006-12-07,44.71626,47.00626,43.40626,44.13626
2006-12-08,44.18626,44.43626,43.07626,43.66626
2006-12-11,44.68626,47.31626,44.44626,45.05626
2006-12-12,45.40626,45.85626,43.46626,44.94626
2006-12-13,45.69626,46.91626,45.31626,46.53626
2006-12-14,46.60626,48.70626,46.42626,48.22626
2006-12-15,48.41626,48.82626,47.32626,47.61626
2006-12-18,46.47626,47.36626,43.36626,43.83626
2006-12-19,43.30626,44.86626,42.87626,43.69626
2006-12-20,43.49626,44.02626,42.39626,42.71626
2006-12-21,42.91626,42.99626,41.12626,41.62626
2006-12-22,41.46626,41.54626,40.41626,41.10626
2006-12-26,40.84626,41.91626,40.81626,41.73626
2006-12-27,41.96626,44.66626,41.96626,43.86626
2006-12-28,43.89626,43.89626,41.71626,42.08626
2006-12-29,42.08626,42.61626,41.26626,41.33626
2007-01-03,41.71626,43.40626,40.98626,41.09626
2007-01-04,39.93626,43.31626,37.66626,42.91626
2007-01-05,42.40626,42.71626,40.44626,41.88626
2007-01-08,41.90626,42.03626,40.98626,41.70626
2007-01-09,41.82626,44.45626,41.13626,43.89626
2007-01-10,43.61626,46.14626,43.31626,45.56626
2007-01-11,45.11626,50.09626,45.06626,48.08626
2007-01-12,48.21626,48.21626,47.15626,47.64626
2007-01-16,47.72626,48.19626,47.46626,47.78626
2007-01-17,47.61626,47.69626,46.58626,47.31626
2007-01-18,46.71626,47.04626,43.72626,45.25626
2007-01-19,45.25626,49.05626,45.25626,48.72626
2007-01-22,48.39626,48.42626,46.61626,47.47626
2007-01-23,47.26626,49.99626,47.06626,48.70626
2007-01-24,49.00626,49.66626,48.62626,48.73626
2007-01-25,48.90626,49.26626,47.42626,48.06626
2007-01-26,48.05626,48.44626,46.72626,47.40626
2007-01-29,47.25626,48.86626,47.15626,47.66626
2007-01-30,47.85626,50.52626,47.76626,49.28626
2007-01-31,49.70626,50.65626,48.79626,49.78626
2007-02-01,49.86626,51.33626,48.89626,48.91626
2007-02-02,49.16626,50.12626,48.79626,48.87626
2007-02-05,48.73626,49.70626,48.23626,48.40626
2007-02-06,48.95626,48.97626,47.06626,47.78626
2007-02-07,48.06626,50.51626,47.42626,50.31626
2007-02-08,49.86626,51.96626,46.26626,46.55626
2007-02-09,46.71626,47.51626,44.26626,45.79626
2007-02-12,45.81626,45.89626,44.84626,45.82626
2007-02-13,46.08626,49.45626,45.95626,49.26626
2007-02-14,48.92626,53.43626,48.69626,52.20626
2007-02-15,52.26626,53.12626,50.71626,51.73626
2007-02-16,51.73626,52.85626,50.45626,52.71626
2007-02-20,52.41626,53.49626,51.31626,53.02626
2007-02-21,52.57626,53.34626,51.42626,52.89626
2007-02-22,52.81626,54.39626,52.66626,54.07626
2007-02-23,54.17626,54.54626,53.61626,54.30626
2007-02-26,54.32626,54.47626,53.34626,54.27626
2007-02-27,53.52626,53.52626,49.36626,50.05626
2007-02-28,50.25626,50.86626,47.24626,48.38626
2007-03-01,46.93626,48.95626,46.02626,48.85626
2007-03-02,48.03626,48.81626,45.96626,46.09626
2007-03-05,45.89626,47.47626,44.73626,44.82626
2007-03-06,45.68626,48.77626,45.45626,48.57626
2007-03-07,48.62626,49.69626,46.80626,47.04626
