,Open,High,Low,Close
2006-01-03,33.02,35.07,33.02,35.07
2006-01-04,35.2,35.44,34.66,35.17
2006-01-05,35.17,35.42,34.47,34.88
2006-01-06,35.36,36.16,35.36,36.03
2006-01-09,36.4,36.47,35.87,36.0
2006-01-10,35.8,36.76,35.76,36.46
2006-01-11,36.28,37.09,35.92,36.87
2006-01-12,37.1,37.6,36.2,36.24
2006-01-13,36.11,37.59,36.11,37.57
2006-01-17,37.86,38.34,37.68,38.14
2006-01-18,38.32,38.35,36.72,37.28
2006-01-19,37.28,38.3,37.02,38.1
2006-01-20,38.41,38.66,36.95,37.13
2006-01-23,37.13,38.24,36.72,37.8
2006-01-24,37.5,38.13,37.35,37.56
2006-01-25,37.94,38.25,36.15,36.81
2006-01-26,37.39,37.62,36.17,36.55
2006-01-27,36.96,38.13,36.91,37.89
2006-01-30,39.48,40.56,39.39,39.71
2006-01-31,39.35,40.05,38.9,39.35
2006-02-01,39.37,39.68,38.51,38.55
2006-02-02,38.5,38.89,37.81,38.55
2006-02-03,38.25,38.42,37.63,37.99
2006-02-06,38.3,39.21,38.25,38.57
2006-02-07,38.19,38.45,37.0,37.15
2006-02-08,36.92,37.56,36.6,37.31
2006-02-09,37.47,38.31,36.66,36.84
2006-02-10,36.97,37.85,35.52,36.35
2006-02-13,36.35,37.27,36.03,36.52
2006-02-14,36.18,36.82,35.72,36.47
2006-02-15,36.73,36.87,35.97,36.68
2006-02-16,36.82,37.17,36.43,37.17
2006-02-17,37.29,37.6,37.13,37.47
2006-02-21,37.92,38.22,37.57,37.68
2006-02-22,37.52,37.66,36.88,37.18
2006-02-23,36.93,37.46,36.55,36.75
2006-02-24,37.26,37.65,37.1,37.34
2006-02-27,37.12,37.44,36.82,36.84
2006-02-28,36.44,36.67,36.02,36.29
2006-03-01,36.51,37.46,36.4501,37.26
2006-03-02,37.26,37.9,36.9,37.77
2006-03-03,37.75,38.42,37.73,37.9
2006-03-06,37.9,38.01,36.855,36.9
2006-03-07,36.82,36.94,36.37,36.77
2006-03-08,36.79,37.33,36.07,36.63
2006-03-09,36.92,36.93,35.78,35.84
2006-03-10,35.84,36.13,35.36,36.1
2006-03-13,36.6,36.88,36.37,36.56
2006-03-14,36.582,37.79,36.36,37.73
2006-03-15,37.59,38.12,37.33,37.94
2006-03-16,37.89,38.84,37.77,38.56
2006-03-17,38.72,38.72,37.91,37.97
2006-03-20,37.69,38.27,37.25,37.58
2006-03-21,37.58,38.15,37.29,37.64
2006-03-22,37.55,38.41,37.54,37.97
2006-03-23,38.03,38.27,37.84,38.17
2006-03-24,38.07,38.61,37.825,38.09
2006-03-27,38.03,38.39,37.85,38.21
2006-03-28,38.37,38.81,37.78,37.87
2006-03-29,37.87,38.42,37.87,38.2
2006-03-30,38.17,38.65,37.92,38.04
2006-03-31,37.82,38.1,37.74,37.78
2006-04-03,38.28,38.9,37.79,37.95
2006-04-04,37.57,38.93,37.35,38.67
2006-04-05,38.55,39.1,38.47,39.08
2006-04-06,38.52,39.62,38.52,39.01
2006-04-07,38.69,39.51,38.15,38.25
2006-04-10,38.82,39.02,38.42,38.86
2006-04-11,39.12,39.65,38.72,38.92
2006-04-12,38.97,39.18,38.12,38.38
2006-04-13,38.21,38.7,37.92,38.48
2006-04-17,38.86,39.11,38.53,38.97
2006-04-18,39.41,40.72,39.37,40.46
2006-04-19,40.02,41.4,39.85,41.22
2006-04-20,40.92,41.7,40.25,40.84
2006-04-21,41.12,41.92,41.02,41.92
2006-04-24,41.68,41.79,41.16,41.33
2006-04-25,41.77,41.9,40.05,40.87
2006-04-26,40.9,41.72,39.93,40.02
2006-04-27,38.42,40.32,37.92,39.34
2006-04-28,39.49,40.42,39.44,40.0
2006-05-01,40.32,41.25,40.24,40.34
2006-05-02,40.74,41.69,40.74,41.59
2006-05-03,41.52,41.69,40.12,40.69
2006-05-04,40.69,41.33,39.81,40.23
2006-05-05,40.82,40.97,40.12,40.92
2006-05-08,40.52,41.01,40.09,40.63
2006-05-09,40.52,41.09,40.35,40.86
2006-05-10,40.74,41.19,40.24,41.12
2006-05-11,41.34,41.5,40.49,40.7
2006-05-12,40.7,40.74,39.3,39.48
2006-05-15,38.75,39.72,38.59,39.24
2006-05-16,39.35,39.95,38.78,39.2
2006-05-17,38.69,38.98,37.176,37.42
2006-05-18,37.49,38.24,37.1,37.13
2006-05-19,37.14,38.28,36.74,37.69
2006-05-22,37.19,38.65,36.8,38.02
2006-05-23,38.54,38.96,37.43,37.63
2006-05-24,37.24,38.14,36.39,37.34
2006-05-25,38.02,39.17,37.76,38.76
