Date,Open,High,Low,Close
2006-01-03,21.47,22.31,21.37,21.98
2006-01-04,22.0,22.52,21.54,22.22
2006-01-05,22.15,23.08,22.15,23.02
2006-01-06,23.04,23.24,22.68,22.83
2006-01-09,23.01,23.64,22.87,23.19
2006-01-10,22.92,23.33,22.83,22.99
2006-01-11,22.89,22.96,22.38,22.49
2006-01-12,22.4,22.57,22.02,22.21
2006-01-13,22.27,22.35,21.7999,22.14
2006-01-17,22.46,22.53,21.86,22.01
2006-01-18,22.23,23.11,21.95,23.02
2006-01-19,22.51,23.05,22.37,22.86
2006-01-20,22.99,23.05,22.53,22.53
2006-01-23,22.66,22.75,22.46,22.57
2006-01-24,22.63,22.83,22.47,22.75
2006-01-25,22.74,22.88,22.55,22.8
2006-01-26,22.97,23.09,22.75,23.0
2006-01-27,23.15,23.64,22.89,22.91
2006-01-30,22.88,23.07,22.62,22.77
2006-01-31,22.78,23.8,22.62,23.69
2006-02-01,23.75,23.84,23.39,23.58
2006-02-02,23.54,23.82,23.02,23.19
2006-02-03,17.42,18.69,17.0,17.38
2006-02-06,17.39,17.66,17.18,17.35
2006-02-07,17.62,18.43,17.51,18.1
2006-02-08,18.14,18.22,17.52,17.83
2006-02-09,17.92,18.29,17.8,17.85
2006-02-10,17.85,18.3,17.77,18.08
2006-02-13,18.08,18.19,17.85,18.0
2006-02-14,17.951,18.3,17.951,18.18
2006-02-15,18.2,18.41,18.03,18.35
2006-02-16,18.35,18.6,18.16,18.29
2006-02-17,18.33,18.53,18.1,18.41
2006-02-21,18.49,19.27,18.23,18.53
2006-02-22,18.28,18.28,17.58,17.7
2006-02-23,17.65,17.68,17.24,17.27
2006-02-24,17.33,17.4,16.75,17.13
2006-02-27,17.19,17.35,16.9845,17.13
2006-02-28,17.13,17.23,16.99,17.02
2006-03-01,17.02,17.26,17.0,17.18
2006-03-02,17.18,17.5,17.0,17.45
2006-03-03,17.38,17.53,17.0,17.04
2006-03-06,17.14,17.14,17.0,17.01
2006-03-07,17.0,17.11,16.87,16.98
