Date,Open,High,Low,Close
2006-01-03,25.3,25.55,25.08,25.35
2006-01-04,25.4,26.25,25.4,26.15
2006-01-05,26.15,26.53,26.05,26.4
2006-01-06,26.55,27.01,26.24,26.93
2006-01-09,27.0,27.69,26.98,27.57
2006-01-10,27.45,27.48,27.06,27.25
2006-01-11,27.25,27.29,27.04,27.16
2006-01-12,27.16,27.21,26.54,26.6
2006-01-13,26.55,26.98,26.36,26.91
2006-01-17,26.41,26.97,26.38,26.46
2006-01-18,26.47,26.47,25.97,26.39
2006-01-19,26.6,27.12,26.6,27.04
2006-01-20,27.3,27.75,26.15,26.23
2006-01-23,26.19,26.89,26.03,26.63
2006-01-24,26.6,27.11,26.6,26.75
2006-01-25,26.75,26.85,26.0,26.22
2006-01-26,26.34,27.03,26.34,26.92
2006-01-27,26.97,27.05,25.98,26.1
2006-01-30,26.056,25.97,25.48,25.54
2006-01-31,25.61,25.79,25.18,25.25
2006-02-01,25.225,25.47,25.05,25.3
2006-02-02,25.36,25.53,24.95,25.15
2006-02-03,25.125,25.99,25.15,25.46
2006-02-06,25.49,26.34,25.46,26.3
2006-02-07,26.3,26.59,26.09,26.58
2006-02-08,26.66,27.69,26.64,27.55
2006-02-09,27.98,28.13,27.72,27.92
2006-02-10,27.85,27.99,27.17,27.58
2006-02-13,27.63,27.65,27.24,27.6
2006-02-14,27.73,27.95,27.37,27.73
2006-02-15,27.61,28.26,27.42,28.23
2006-02-16,28.15,28.54,28.15,28.45
2006-02-17,28.65,28.65,27.65,27.69
2006-02-21,27.66,27.7,26.7,26.7
2006-02-22,26.69,27.05,26.05,26.86
2006-02-23,26.81,26.88,26.55,26.6
2006-02-24,26.56,26.58,26.15,26.5
2006-02-27,26.55,27.3,26.53,27.0
2006-02-28,26.85,27.09,26.59,27.04
2006-03-01,27.07,28.09,27.07,28.0
2006-03-02,27.9,27.97,27.61,27.82
2006-03-03,27.81,27.93,27.4,27.41
2006-03-06,27.45,27.57,26.88,27.01
2006-03-07,27.02,27.02,26.3,26.48
2006-03-08,26.48,26.58,26.29,26.48
2006-03-09,26.41,26.88,26.16,26.23
2006-03-10,26.27,26.37,25.83,26.12
2006-03-13,26.14,26.53,26.14,26.36
2006-03-14,26.37,27.0,26.3,26.87
2006-03-15,27.05,27.37,26.99,27.3
2006-03-16,27.35,27.35,26.32,26.35
2006-03-17,26.15,26.42,25.59,26.27
2006-03-20,26.22,26.82,26.19,26.78
2006-03-21,26.85,27.6,26.75,27.15
2006-03-22,27.15,28.03,26.95,27.95
2006-03-23,27.93,28.05,27.33,27.61
2006-03-24,27.54,27.81,27.19,27.56
2006-03-27,27.15,27.63,27.15,27.3
2006-03-28,27.33,27.56,26.88,27.01
2006-03-29,26.98,27.66,26.97,27.45
2006-03-30,27.44,28.28,27.38,28.03
2006-03-31,28.04,28.17,27.55,27.77
2006-04-03,27.9,28.82,27.9,28.3
2006-04-04,28.36,28.5,28.01,28.3
2006-04-05,28.41,29.36,28.37,29.3
2006-04-06,29.3,29.44,28.8,29.06
2006-04-07,29.06,29.12,28.02,28.11
2006-04-10,28.11,28.13,27.69,27.93
2006-04-11,27.93,28.15,27.12,27.61
2006-04-12,27.63,28.2,27.62,28.12
2006-04-13,28.21,28.54,28.02,28.29
2006-04-17,28.29,28.84,27.73,27.99
2006-04-18,28.15,29.43,28.13,29.28
2006-04-19,29.47,29.84,29.22,29.7
2006-04-20,31.1,32.25,30.7,31.44
2006-04-21,32.0,32.0,31.1901,31.41
2006-04-24,30.46,31.35,30.46,30.85
2006-04-25,30.91,31.32,30.91,31.0
2006-04-26,31.08,31.22,30.82,31.01
2006-04-27,31.1,31.83,30.8,31.51
2006-04-28,31.65,31.83,31.4,31.67
2006-05-01,31.8,32.44,31.8,32.11
2006-05-02,32.16,32.41,31.92,32.38
2006-05-03,32.38,32.58,32.25,32.5
