Date,Open,High,Low,Close
2006-01-03,70.67,72.39,69.3,71.92
2006-01-04,71.75,73.88,71.22,73.83
2006-01-05,73.8,74.72,73.8,74.7
2006-01-06,74.7,75.34,74.22,74.6
2006-01-09,73.95,75.18,73.46,75.04
2006-01-10,74.07,74.5,72.8,74.42
2006-01-11,74.43,74.43,73.51,73.7699
2006-01-12,73.15,73.61,70.78,72.71
2006-01-13,73.15,73.17,71.58,72.82
2006-01-17,72.29,73.36,72.15,73.22
2006-01-18,73.29,73.32,71.78,71.98
2006-01-19,71.965,71.9996,70.324,70.99
2006-01-20,70.92,71.09,69.94,70.13
2006-01-23,70.25,70.3,69.13,70.07
2006-01-24,70.16,70.22,69.41,69.79
2006-01-25,69.74,70.81,69.23,70.36
2006-01-26,71.0,71.1,70.31,70.65
2006-01-27,70.68,71.92,70.6,71.33
2006-01-30,71.63,71.95,70.48,70.65
2006-01-31,70.83,71.58,70.13,70.94
2006-02-01,70.925,72.04,70.1,71.85
2006-02-02,71.83,72.0,70.09,70.23
2006-02-03,70.0,71.69,69.21,71.3
2006-02-06,70.95,72.119,70.86,71.75
2006-02-07,71.47,71.69,70.92,71.23
2006-02-08,71.07,71.08,69.8,70.05
2006-02-09,70.005,70.35,67.28,67.63
2006-02-10,67.82,68.52,65.49,68.05
2006-02-13,67.94,68.03,66.58,67.54
2006-02-14,67.7,69.15,67.38,68.38
2006-02-15,68.05,69.99,67.62,69.12
2006-02-16,70.15,70.45,69.2,69.8
2006-02-17,69.73,70.23,69.51,69.93
2006-02-21,69.83,70.01,68.61,69.75
2006-02-22,69.99,70.53,69.62,70.41
2006-02-23,70.15,70.501,69.43,69.57
2006-02-24,69.65,70.36,69.22,69.99
2006-02-27,70.51,70.51,69.91,70.0
2006-02-28,69.84,69.92,68.51,69.34
2006-03-01,69.19,69.655,68.64,68.69
2006-03-02,68.29,68.5,67.42,67.84
2006-03-03,67.51,67.66,66.41,66.72
2006-03-06,66.75,67.22,66.01,66.33
2006-03-07,66.035,67.23,65.74,67.06
2006-03-08,66.95,68.9,66.29,68.51
2006-03-09,68.5,69.25,68.06,68.54
2006-03-10,68.31,68.99,67.35,68.65
2006-03-13,68.73,69.19,67.75,68.74
2006-03-14,68.64,70.35,68.51,70.11
2006-03-15,70.49,70.51,69.14,69.98
2006-03-16,69.82,70.04,68.82,69.42
2006-03-17,69.59,70.0,68.8,69.56
2006-03-20,69.465,69.75,67.5,67.98
2006-03-21,67.535,68.04,66.19,66.43
2006-03-22,65.9,67.86,65.68,67.75
2006-03-23,67.37,67.63,66.55,67.21
2006-03-24,67.21,68.03,66.91,67.91
2006-03-27,67.56,68.2,67.12,67.51
2006-03-28,67.68,67.68,65.5,65.75
2006-03-29,65.76,67.32,65.75,66.77
2006-03-30,66.51,67.5,66.51,67.13
2006-03-31,67.38,67.64,66.9,67.22
2006-04-03,67.82,67.89,66.36,66.4
2006-04-04,66.59,67.85,65.79,67.78
2006-04-05,67.34,68.06,67.07,67.9
2006-04-06,67.85,68.47,66.0,66.31
2006-04-07,66.5,66.79,65.24,65.5
2006-04-10,63.97,65.13,63.64,63.74
2006-04-11,63.67,63.98,62.68,63.4
2006-04-12,63.33,65.06,63.27,64.89
2006-04-13,64.7,65.64,64.38,64.82
2006-04-17,64.5,65.33,63.63,64.35
2006-04-18,64.17,66.13,63.8,65.78
2006-04-19,61.8,62.91,59.73,60.65
2006-04-20,60.9,62.02,59.32,61.87
2006-04-21,62.09,62.43,60.96,61.26
2006-04-24,61.31,61.33,60.79,61.05
2006-04-25,61.1,61.48,59.73,60.13
2006-04-26,60.38,60.39,59.25,59.54
2006-04-27,59.33,61.66,59.1,61.19
2006-04-28,61.08,62.13,60.05,61.16
2006-05-01,61.09,61.24,59.3,59.42
2006-05-02,59.25,59.48,57.6,58.73
2006-05-03,58.6,59.41,58.13,58.91
2006-05-04,58.95,59.3,57.72,58.11
2006-05-05,58.33,59.93,57.69,59.43
2006-05-08,59.22,59.55,58.62,58.62
2006-05-09,57.45,57.82,56.6,56.93
2006-05-10,57.0,57.08,55.85,56.24
2006-05-11,55.761,56.99,55.2,56.68
2006-05-12,56.45,56.7,55.29,55.6
2006-05-15,55.86,56.55,55.31,55.96
2006-05-16,55.79,55.87,54.64,55.0
2006-05-17,54.9,58.23,54.73,58.06
2006-05-18,58.06,59.5,57.8,58.17
2006-05-19,57.85,58.46,56.57,58.37
2006-05-22,57.94,58.5,57.44,58.11
2006-05-23,58.5,58.84,56.42,56.42
2006-05-24,56.48,58.23,56.0,57.94
2006-05-25,58.86,59.69,57.8,58.5
2006-05-26,59.95,60.41,59.0,60.41
2006-05-30,59.7,60.36,59.26,59.35
2006-05-31,59.31,60.01,59.19,59.5
2006-06-01,59.4,61.42,59.4,61.42
2006-06-02,61.83,62.91,61.69,62.23
2006-06-05,62.3,62.75,59.69,59.8
2006-06-06,59.79,60.6,59.06,59.19
2006-06-07,59.22,60.51,59.2,59.63
2006-06-08,59.48,61.15,58.9,60.83
