Date,Open,High,Low,Close
2006-01-03,43.725,44.4,42.6,43.8
2006-01-04,43.95,44.7,42.75,42.75
2006-01-05,42.75,43.05,41.25,41.25
2006-01-06,41.4,42.75,40.65,41.25
2006-01-09,41.325,42.0,40.8,40.95
2006-01-10,41.25,43.65,40.8,43.2
2006-01-11,43.725,50.55,43.35,48.45
2006-01-12,49.05,52.2,48.3,49.65
2006-01-13,49.95,51.0,48.0,50.25
2006-01-17,49.05,51.45,49.05,49.95
2006-01-18,48.3,50.7,48.15,50.7
2006-01-19,51.45,52.5,51.15,51.9
2006-01-20,51.75,52.05,49.65,51.15
2006-01-23,50.325,52.05,50.25,50.85
2006-01-24,50.85,53.265,50.55,52.5
2006-01-25,52.8,53.85,51.6,52.5
2006-01-26,53.55,55.5,52.95,54.6
2006-01-27,55.05,55.5019,53.55,54.3
2006-01-30,54.6,56.1,54.0,55.95
2006-01-31,55.725,56.25,53.9981,56.25
2006-02-01,55.8,57.75,55.2,55.8
2006-02-02,56.1,56.1,51.75,52.5
2006-02-03,52.8,55.8,52.05,55.5
2006-02-06,55.5,55.5,53.4,54.6
2006-02-07,54.15,54.75,50.85,52.65
2006-02-08,52.725,52.95,51.0,51.15
2006-02-09,51.15,51.3,49.35,50.4
2006-02-10,50.4,52.5,49.65,52.35
2006-02-13,51.975,51.975,50.1,50.25
2006-02-14,50.55,51.15,49.05,50.85
2006-02-15,50.55,51.15,49.95,50.1
2006-02-16,50.1,52.05,49.6528,52.05
2006-02-17,51.15,54.15,51.15,53.7
2006-02-21,53.55,53.7,50.1,51.3
2006-02-22,51.3,51.75,50.1,50.85
2006-02-23,50.7,50.7,49.2,49.8
2006-02-24,49.65,51.15,49.2,50.55
2006-02-27,50.475,50.7,50.25,50.7
2006-02-28,50.25,52.5,50.25,51.0
2006-03-01,51.75,52.95,51.0,52.65
2006-03-02,52.575,54.3,52.35,53.25
2006-03-03,53.55,56.7,53.55,56.1
2006-03-06,55.5,55.8,53.7,54.45
2006-03-07,54.3,54.375,51.3,51.45
2006-03-08,51.6,51.9,50.4,51.3
2006-03-09,51.6,51.75,50.55,50.55
2006-03-10,51.0,51.0,49.5,51.0
2006-03-13,51.225,51.75,49.8,49.95
2006-03-14,50.25,51.45,48.3,51.15
2006-03-15,50.85,52.5,50.25,50.7
2006-03-16,51.3,52.05,49.65,50.7
2006-03-17,51.0,51.0,50.25,50.4
2006-03-20,50.55,55.95,50.55,55.95
2006-03-21,55.5,57.0,52.935,53.25
2006-03-22,52.8,54.75,51.45,51.6
2006-03-23,57.3,61.65,57.0,60.15
2006-03-24,60.75,66.45,60.45,63.6
2006-03-27,63.6,68.1,63.6,67.05
2006-03-28,76.35,78.9,73.65,77.7
2006-03-29,76.8,84.6,75.15,84.0
2006-03-30,85.8,87.0,76.05,77.25
2006-03-31,78.45,78.75,76.35,77.7
2006-04-03,74.55,76.5,72.6,73.05
2006-04-04,72.75,76.2,72.6,74.55
2006-04-05,74.55,75.15,73.05,73.5
2006-04-06,75.3,78.3,74.7,77.55
2006-04-07,79.2,81.75,75.6,75.9
2006-04-10,76.2,76.2,71.4,71.55
2006-04-11,71.85,74.7,69.0,72.9
2006-04-12,74.25,74.55,71.1,73.65
2006-04-13,73.65,73.8,71.85,72.45
2006-04-17,72.45,75.6,72.45,73.35
2006-04-18,74.1,76.2,73.05,75.6
2006-04-19,76.95,79.65,76.05,78.3
2006-04-20,77.7,78.0,76.05,76.95
2006-04-21,77.55,78.3,74.1,74.55
2006-04-24,74.85,75.6,73.5,73.8
2006-04-25,82.05,83.7,79.2,79.8
2006-04-26,80.7,81.3,77.85,78.75
2006-04-27,78.75,83.25,78.6,80.55
2006-04-28,80.1,83.4,79.2,81.0
2006-05-01,87.0,90.0,84.6,85.8
2006-05-02,86.1,86.415,82.05,85.2
2006-05-03,84.885,86.4,83.55,85.2
2006-05-04,84.9,85.2,82.2,83.7
