,Open,High,Low,Close
2011-06-23,13.625,14.125,12.875,14.125
2011-06-24,14.0,14.2,13.045,13.25
2011-06-27,12.97,13.6,12.92,13.45
2011-06-28,13.795,14.62,13.475,13.975
2011-06-29,14.125,15.11,13.975,14.66
2011-06-30,14.96,15.625,14.7125,15.325
2011-07-01,15.225,18.34,15.125,15.725
2011-07-05,15.73,16.125,15.45,15.73
2011-07-06,15.425,15.75,15.13,15.57
2011-07-07,15.72,16.255,15.4775,15.515
2011-07-08,15.025,15.925,14.885,15.33
2011-07-11,15.02,15.02,14.38,14.675
2011-07-12,14.555,15.12,14.345,14.865
2011-07-13,14.885,15.245,14.245,14.605
2011-07-14,14.61,14.635,13.73,13.945
2011-07-15,14.125,14.36,13.675,14.205
2011-07-18,13.99,14.42,13.5,14.185
2011-07-19,14.255,14.595,14.19,14.495
2011-07-20,14.52,14.595,14.325,14.39
2011-07-21,14.39,14.745,14.18,14.675
2011-07-22,14.765,15.035,14.58,14.91
2011-07-25,15.25,15.685,14.95,15.31
2011-07-26,15.32,16.485,15.26,16.15
2011-07-27,16.135,16.275,15.61,15.655
2011-07-28,15.84,16.095,15.72,16.015
2011-07-29,15.8,16.93,15.612,16.52
2011-08-01,17.145,17.315,16.62,17.11
2011-08-02,16.89,17.075,15.75,15.79
2011-08-03,16.265,17.325,14.135,15.34
2011-08-04,14.98,14.98,13.24,13.835
2011-08-05,14.08,14.235,11.345,13.28
2011-08-08,12.245,12.625,9.365,10.79
2011-08-09,11.16,12.83,10.835,12.675
2011-08-10,12.4,13.045,11.685,12.185
2011-08-11,12.575,13.925,12.34,13.295
2011-08-12,13.42,14.185,13.0775,13.33
2011-08-15,13.67,14.55,13.67,14.275
2011-08-16,13.905,14.445,13.785,14.155
2011-08-17,14.54,14.705,14.13,14.275
2011-08-18,13.78,13.9793,12.43,13.03
2011-08-19,12.615,13.06,12.045,12.22
2011-08-22,12.635,12.725,10.9,11.01
2011-08-23,11.04,12.075,10.75,11.85
2011-08-24,11.925,12.74,11.58,12.64
2011-08-25,12.82,13.1725,11.6832,11.915
2011-08-26,11.925,13.105,11.76,12.16
2011-08-29,12.36,12.903,12.245,12.725
2011-08-30,12.67,12.915,12.1,12.74
2011-08-31,12.98,13.45,12.98,13.255
2011-09-01,13.44,13.835,13.18,13.23
2011-09-02,12.64,13.22,12.285,12.435
2011-09-06,11.84,12.425,11.37,12.225
2011-09-07,12.515,13.19,12.35,12.87
2011-09-08,12.805,13.8,12.51,13.59
2011-09-09,13.035,13.615,12.69,12.9
2011-09-12,12.395,13.165,12.17,13.055
2011-09-13,12.925,13.0399,11.945,12.395
2011-09-14,12.345,12.38,11.955,12.24
2011-09-15,12.665,13.205,12.34,12.435
2011-09-16,12.49,12.56,12.155,12.275
2011-09-19,11.815,12.005,11.275,11.5
2011-09-20,11.51,11.84,11.475,11.57
2011-09-21,11.4,11.955,10.895,10.925
2011-09-22,10.305,10.425,9.145,9.46
2011-09-23,9.315,9.885,9.255,9.49
2011-09-26,9.675,9.905,9.475,9.775
2011-09-27,10.14,10.635,9.575,9.64
2011-09-28,9.71,10.045,9.185,9.215
2011-09-29,9.56,9.65,7.9,8.645
2011-09-30,8.41,8.69,8.14,8.255
2011-10-03,8.18,8.625,8.03,8.3
2011-10-04,8.125,9.13,8.06,9.105
2011-10-05,9.26,10.615,8.99,10.465
2011-10-06,10.485,11.4,10.275,11.37
2011-10-07,11.585,11.715,10.35,10.525
2011-10-10,10.865,11.46,10.765,11.21
2011-10-11,11.065,11.53,10.94,11.3
2011-10-12,11.435,11.79,11.365,11.51
2011-10-13,11.39,11.67,11.14,11.61
2011-10-14,11.94,12.825,11.9,12.795
2011-10-17,12.745,12.965,12.15,12.195
2011-10-18,12.1,12.995,11.81,12.82
2011-10-19,12.82,13.255,12.45,12.525
2011-10-20,12.525,13.055,12.37,12.97
2011-10-21,13.175,13.565,12.975,13.4
2011-10-24,13.5,13.96,12.495,12.65
2011-10-25,12.05,12.05,10.43,11.21
2011-10-26,11.635,12.2,11.325,12.09
2011-10-27,12.36,13.585,12.36,13.39
2011-10-28,13.315,13.535,12.855,13.385
2011-10-31,13.23,13.23,12.435,12.675
2011-11-01,12.475,13.785,11.8711,12.725
2011-11-02,13.175,13.94,13.1,13.89
2011-11-03,14.225,14.5,13.775,14.06
2011-11-04,13.825,14.085,13.47,14.035
2011-11-07,13.79,14.25,13.79,14.185
2011-11-08,14.24,14.445,13.585,13.78
2011-11-09,13.235,14.22,12.995,13.235
2011-11-10,13.57,13.67,12.725,13.575
2011-11-11,13.86,14.315,13.545,13.61
2011-11-14,13.565,13.665,12.535,13.205
2011-11-15,13.105,13.51,12.971,13.34
2011-11-16,12.22,12.38,10.95,11.17
2011-11-17,11.21,11.515,10.47,10.66
2011-11-18,10.775,11.325,10.655,11.26
2011-11-21,11.015,11.5025,10.5,11.27
2011-11-22,11.395,11.625,10.965,11.61
2011-11-23,11.34,11.565,11.095,11.265
2011-11-25,11.17,11.21,10.945,10.985
2011-11-28,11.66,11.945,11.185,11.49
2011-11-29,11.605,11.655,11.24,11.435
2011-11-30,11.905,12.115,11.075,11.545
2011-12-01,11.81,12.015,11.5275,11.825
2011-12-02,12.06,12.235,11.4125,11.505
2011-12-05,11.865,12.575,11.78,12.05
2011-12-06,12.135,12.24,11.85,12.17
2011-12-07,12.08,12.1475,11.755,12.1
2011-12-08,12.015,12.135,11.595,11.86
2011-12-09,11.865,12.305,11.75,12.29
2011-12-12,12.06,12.145,11.8,12.145
2011-12-13,11.905,12.295,11.575,11.825
2011-12-14,11.685,11.77,10.865,11.19
2011-12-15,11.355,11.485,11.015,11.115
2011-12-16,11.275,11.475,10.745,10.83
2011-12-19,10.85,11.2595,10.71,10.82
2011-12-20,11.185,11.33,10.755,10.95
2011-12-21,10.875,11.2725,10.85,11.185
2011-12-22,11.315,11.555,11.185,11.505
2011-12-23,11.51,11.64,11.455,11.615
2011-12-27,11.625,11.84,11.545,11.675
2011-12-28,11.645,11.77,11.2225,11.42
2011-12-29,11.525,11.53,11.28,11.49
2011-12-30,11.515,11.6,11.355,11.495
2012-01-03,12.125,12.325,11.53,11.555
2012-01-04,11.5,11.795,11.455,11.73
2012-01-05,11.38,11.415,10.35,10.81
2012-01-06,10.835,10.865,10.415,10.68
2012-01-09,10.665,10.7,9.97,10.33
2012-01-10,10.605,10.79,10.335,10.765
2012-01-11,10.635,11.39,10.385,11.295
2012-01-12,11.325,11.515,11.1,11.17
2012-01-13,11.1,11.5,11.015,11.365
2012-01-17,11.565,11.825,11.32,11.62
2012-01-18,11.57,12.7725,11.45,12.58
2012-01-19,12.685,12.895,12.39,12.775
2012-01-20,13.48,13.74,13.23,13.435
2012-01-23,13.435,13.855,13.355,13.785
2012-01-24,13.59,14.37,13.41,14.37
2012-01-25,14.23,14.275,13.82,14.23
2012-01-26,14.34,14.345,13.525,13.605
2012-01-27,13.55,13.88,13.455,13.615
2012-01-30,13.34,13.67,13.3,13.59
2012-01-31,14.225,14.225,13.49,13.96
2012-02-01,15.7,16.59,15.185,15.79
2012-02-02,15.575,16.345,15.355,16.13
2012-02-03,16.405,16.9875,16.35,16.84
2012-02-06,16.955,17.37,16.73,17.06
2012-02-07,17.0,17.345,16.45,16.81
2012-02-08,16.925,17.56,16.905,17.325
2012-02-09,17.23,17.47,16.765,17.27
2012-02-10,17.035,17.235,16.745,16.89
2012-02-13,16.955,17.16,16.415,16.59
2012-02-14,16.525,17.31,16.51,16.985
2012-02-15,17.18,17.48,16.7,16.825
2012-02-16,16.785,17.22,16.755,17.02
2012-02-17,17.125,17.225,16.605,16.695
2012-02-21,16.715,16.9999,16.615,16.88
2012-02-22,16.915,17.185,16.715,16.735
2012-02-23,16.675,17.145,16.625,16.82
2012-02-24,16.91,16.975,16.37,16.405
2012-02-27,16.285,16.545,16.065,16.28
2012-02-28,16.245,16.27,15.63,15.81
2012-02-29,15.825,16.195,15.695,15.75
2012-03-01,15.76,16.385,15.76,16.335
2012-03-02,16.24,16.53,15.96,16.065
2012-03-05,16.11,16.415,15.825,16.35
2012-03-06,16.105,16.335,15.8675,15.97
2012-03-07,15.885,16.605,15.885,16.25
2012-03-08,16.525,16.89,16.25,16.795
2012-03-09,16.81,16.975,16.545,16.925
2012-03-12,16.85,16.92,16.5,16.865
2012-03-13,16.93,17.135,16.79,16.995
2012-03-14,17.03,17.16,16.82,16.93
2012-03-15,16.995,17.185,16.725,16.925
2012-03-16,17.095,17.1749,16.78,17.07
2012-03-19,17.03,17.45,17.02,17.25
2012-03-20,17.14,17.14,16.81,16.87
2012-03-21,16.86,16.9825,16.6,16.815
2012-03-22,16.55,16.825,16.435,16.66
2012-03-23,16.605,17.155,16.575,16.975
2012-03-26,17.355,17.65,17.195,17.58
2012-03-27,17.625,17.67,16.96,16.975
2012-03-28,16.85,16.935,16.545,16.755
2012-03-29,16.555,16.715,16.425,16.595
2012-03-30,16.74,16.97,16.61,16.655
2012-04-02,16.67,16.82,16.48,16.695
2012-04-03,16.71,16.755,15.98,16.175
2012-04-04,16.03,16.305,15.855,16.27
2012-04-05,16.11,16.44,15.87,16.04
2012-04-09,15.78,16.365,15.78,16.205
2012-04-10,16.15,16.29,15.865,15.89
2012-04-11,16.12,16.135,15.6425,15.73
2012-04-12,15.685,16.2775,15.585,15.855
2012-04-13,15.825,16.05,15.71,15.785
2012-04-16,15.365,15.555,14.96,14.98
2012-04-17,15.09,15.4,14.97,14.97
2012-04-18,14.875,14.9675,14.69,14.905
2012-04-19,14.965,15.1975,14.765,14.845
2012-04-20,14.9,15.08,14.8075,14.925
2012-04-23,14.58,15.07,14.555,14.975
2012-04-24,15.015,15.175,14.92,15.105
2012-04-25,15.255,15.36,14.83,15.03
2012-04-26,14.975,15.36,14.945,15.3
2012-04-27,15.485,15.8,15.47,15.62
2012-04-30,15.705,15.97,15.63,15.78
2012-05-01,16.34,16.41,15.495,15.58
2012-05-02,15.545,15.91,15.45,15.72
2012-05-03,15.71,15.725,15.04,15.155
2012-05-04,15.02,15.145,14.65,14.845
2012-05-07,14.69,14.95,14.61,14.805
2012-05-08,14.77,14.77,14.075,14.235
2012-05-09,13.98,14.28,13.94,14.08
2012-05-10,14.06,14.475,13.975,14.075
2012-05-11,13.995,14.005,13.54,13.58
2012-05-14,13.47,13.475,12.95,13.01
2012-05-15,13.025,13.195,12.6948,12.75
2012-05-16,12.84,13.205,12.535,12.735
2012-05-17,12.74,12.985,12.535,12.535
2012-05-18,12.625,12.895,12.321,12.56
2012-05-21,12.575,13.15,12.5301,13.08
2012-05-22,13.15,13.36,12.68,12.795
2012-05-23,12.665,12.84,12.3,12.81
2012-05-24,12.905,13.0,12.7,13.0
2012-05-25,12.915,13.62,12.915,13.54
2012-05-29,13.67,13.79,13.515,13.715
2012-05-30,13.52,13.575,13.25,13.39
2012-05-31,13.45,13.465,12.74,13.135
2012-06-01,12.78,12.965,12.62,12.72
2012-06-04,12.71,12.835,11.9275,12.24
2012-06-05,12.24,12.775,12.23,12.7
2012-06-06,12.91,13.63,12.865,13.26
2012-06-07,13.645,14.125,13.495,13.72
2012-06-08,13.57,13.8,13.41,13.78
2012-06-11,14.06,14.28,13.77,14.04
2012-06-12,14.04,14.76,14.035,14.635
2012-06-13,14.5,14.58,14.2475,14.48
2012-06-14,14.535,14.92,14.445,14.8
2012-06-15,14.585,15.195,14.585,15.175
2012-06-18,15.045,15.11,14.63,15.02
2012-06-19,15.195,15.6975,14.975,15.535
2012-06-20,15.945,16.525,15.81,16.5
2012-06-21,16.55,16.59,15.665,15.765
2012-06-22,15.955,16.06,15.54,15.995
2012-06-25,15.835,15.835,15.265,15.77
2012-06-26,15.77,16.505,15.76,16.375
2012-06-27,16.475,16.52,16.07,16.36
2012-06-28,16.23,17.225,16.125,17.195
2012-06-29,17.555,17.775,17.115,17.56
2012-07-02,17.9,18.36,17.54,18.135
2012-07-03,18.28,18.28,17.6,17.78
2012-07-05,17.6,17.65,17.16,17.2
2012-07-06,16.95,17.375,16.765,17.355
2012-07-09,17.375,17.375,17.085,17.295
2012-07-10,17.43,17.59,17.005,17.095
2012-07-11,17.155,17.585,16.89,17.29
2012-07-12,16.745,16.98,16.4,16.815
2012-07-13,16.94,17.615,16.82,17.575
2012-07-16,17.48,17.575,17.23,17.525
2012-07-17,17.61,17.915,17.375,17.825
2012-07-18,17.73,18.675,17.73,18.515
2012-07-19,18.575,18.84,17.77,17.855
2012-07-20,17.785,17.965,17.63,17.88
2012-07-23,17.525,18.145,17.395,18.03
2012-07-24,17.93,18.0249,16.91,17.32
2012-07-25,17.46,17.52,17.17,17.355
2012-07-26,17.755,18.18,17.64,18.01
2012-07-27,17.99,18.645,17.99,18.62
2012-07-30,18.52,19.07,18.2,18.835
2012-07-31,18.8,19.54,18.49,18.75
2012-08-01,18.905,19.005,17.28,18.5
2012-08-02,18.225,19.195,18.22,19.1
2012-08-03,19.56,19.93,19.25,19.795
2012-08-06,19.885,19.935,19.53,19.775
2012-08-07,19.95,20.495,19.845,20.32
2012-08-08,20.075,20.1,19.465,19.835
2012-08-09,19.85,19.85,19.4675,19.495
