Date,Open,High,Low,Close
2006-01-03,28.125,28.67,27.87,28.575
2006-01-04,28.55,28.65,28.31,28.4
2006-01-05,28.4,28.55,27.905,27.97
2006-01-06,28.07,28.2,27.9764,28.02
2006-01-09,27.8,27.8,27.425,27.65
2006-01-10,27.45,27.5,27.25,27.44
2006-01-11,27.325,27.425,27.105,27.31
2006-01-12,27.26,27.79,27.245,27.765
2006-01-13,27.75,28.02,27.65,27.9
2006-01-17,27.9,28.015,27.795,27.95
2006-01-18,27.95,28.375,27.95,28.295
2006-01-19,28.2,28.355,27.915,28.2
2006-01-20,28.1,28.13,27.46,27.49
2006-01-23,27.65,27.65,26.96,27.3
2006-01-24,27.3095,27.5,27.005,27.42
2006-01-25,27.32,27.59,27.145,27.535
2006-01-26,27.635,27.95,27.635,27.75
2006-01-27,27.75,28.15,27.75,27.965
2006-01-30,27.825,27.825,27.495,27.56
2006-01-31,27.5,27.525,26.995,27.05
2006-02-01,27.0615,27.23,26.85,27.035
2006-02-02,27.046,26.79,26.0,26.395
2006-02-03,26.45,27.35,26.45,27.285
2006-02-06,27.25,27.255,26.72,26.94
2006-02-07,26.85,27.065,26.745,27.03
2006-02-08,26.95,27.03,26.745,26.98
2006-02-09,26.98,27.67,26.925,27.525
2006-02-10,27.475,27.505,27.055,27.295
2006-02-13,27.095,27.24,26.855,27.21
2006-02-14,27.215,27.7,27.215,27.535
2006-02-15,27.77,28.0,27.625,27.99
2006-02-16,27.95,28.145,27.675,28.135
2006-02-17,28.135,28.46,28.0,28.345
2006-02-21,28.47,28.55,28.32,28.375
2006-02-22,28.625,28.875,28.495,28.6
2006-02-23,28.375,28.52,28.065,28.375
2006-02-24,28.4,28.4,27.935,28.05
2006-02-27,27.825,28.125,27.665,28.005
2006-02-28,27.7,27.94,27.54,27.86
2006-03-01,29.0,29.75,29.0,29.64
2006-03-02,29.64,29.9,29.375,29.645
2006-03-03,29.05,29.5,28.975,29.025
2006-03-06,28.9,29.0,28.45,28.585
2006-03-07,28.505,29.13,28.465,29.12
2006-03-08,29.1,29.42,28.95,29.4
2006-03-09,29.4,29.73,29.345,29.46
2006-03-10,29.5,29.5,29.32,29.34
2006-03-13,29.225,29.54,29.08,29.35
2006-03-14,29.275,29.385,29.085,29.325
2006-03-15,29.44,29.69,29.2,29.645
2006-03-16,29.75,29.855,29.57,29.61
2006-03-17,29.775,29.775,29.33,29.385
2006-03-20,29.75,29.75,29.23,29.39
2006-03-21,29.4,29.5,29.225,29.325
2006-03-22,29.2,29.625,29.16,29.595
2006-03-23,29.7,29.7,29.2,29.325
2006-03-24,29.47,30.32,29.47,30.09
2006-03-27,29.7,30.09,29.155,29.27
2006-03-28,29.215,29.915,29.205,29.68
2006-03-29,29.575,29.680999999999997,29.305,29.43
2006-03-30,29.2,29.365,28.795,28.795
2006-03-31,28.65,28.94,28.545,28.61
2006-04-03,28.55,28.625,28.17,28.4
2006-04-04,28.41,28.55,27.965,28.395
2006-04-05,28.395,28.44,27.81,27.985
2006-04-06,27.825,28.015,27.45,27.54
2006-04-07,27.535,27.945,27.395,27.5
2006-04-10,27.525,27.675,27.135,27.605
