,Open,High,Low,Close
2006-01-03,14.04,14.39,13.33,14.27
2006-01-04,14.27,14.72,14.27,14.65
2006-01-05,14.44,14.91,14.02,14.7
2006-01-06,14.61,14.88,14.39,14.64
2006-01-09,14.74,15.18,14.27,15.18
2006-01-10,14.97,14.97,14.65,14.85
2006-01-11,15.01,15.11,14.83,14.98
2006-01-12,15.08,15.1,14.87,15.0
2006-01-13,15.05,15.24,14.87,14.99
2006-01-17,14.63,15.17,14.53,14.73
2006-01-18,14.64,14.94,14.47,14.55
2006-01-19,14.88,15.15,14.74,14.84
2006-01-20,14.84,14.95,14.53,14.77
2006-01-23,14.66,14.73,14.28,14.35
2006-01-24,14.331,14.53,14.13,14.3
2006-01-25,14.22,14.76,14.07,14.71
2006-01-26,14.86,15.57,14.84,15.47
2006-01-27,15.32,16.37,15.23,16.22
2006-01-30,15.93,16.17,15.58,15.98
2006-01-31,16.39,16.4,15.91,16.02
2006-02-01,15.997,16.26,15.72,16.18
2006-02-02,16.07,16.25,15.22,15.34
2006-02-03,16.02,16.16,15.34,15.91
2006-02-06,15.76,15.81,15.26,15.35
2006-02-07,15.22,15.92,15.08,15.21
2006-02-08,15.42,16.0,15.16,15.81
2006-02-09,16.0,16.22,15.82,15.86
2006-02-10,15.22,15.92,15.18,15.83
2006-02-13,15.84,16.21,15.65,15.83
2006-02-14,16.03,16.24,15.87,16.19
2006-02-15,16.1,16.82,16.1,16.81
2006-02-16,16.52,17.6,16.5,17.5
2006-02-17,17.5,17.58,17.04,17.57
2006-02-21,18.04,18.17,16.99,17.11
2006-02-22,17.33,17.77,17.02,17.44
2006-02-23,17.07,17.22,16.81,16.93
2006-02-24,17.06,17.06,16.52,16.62
2006-02-27,16.54,17.11,16.54,16.88
2006-02-28,16.61,16.81,16.38,16.38
2006-03-01,16.38,16.88,16.23,16.48
2006-03-02,16.48,16.78,16.23,16.64
2006-03-03,16.46,16.94,16.27,16.71
2006-03-06,16.63,16.87,16.32,16.48
2006-03-07,16.48,16.52,16.2,16.42
2006-03-08,16.44,16.75,16.24,16.58
2006-03-09,16.47,16.55,16.29,16.41
2006-03-10,16.65,16.86,16.4,16.66
2006-03-13,16.68,17.25,16.65,17.1
2006-03-14,17.0,17.36,16.85,17.0
2006-03-15,16.9,17.17,16.78,17.06
2006-03-16,16.9,17.41,16.86,17.18
2006-03-17,17.37,17.59,17.25,17.54
2006-03-20,17.44,17.83,17.32,17.56
2006-03-21,17.76,18.08,17.54,17.79
2006-03-22,17.45,18.22,17.45,18.13
2006-03-23,18.0,18.4,17.81,18.1
2006-03-24,18.02,18.22,17.9,17.95
2006-03-27,17.81,18.15,17.7,17.92
2006-03-28,17.94,18.05,17.41,17.55
2006-03-29,17.63,17.98,17.46,17.7
2006-03-30,17.62,18.04,17.12,17.51
2006-03-31,17.67,17.82,16.93,17.13
2006-04-03,17.37,17.51,17.21,17.31
2006-04-04,17.65,17.8,17.31,17.38
2006-04-05,17.28,17.99,17.26,17.89
