,Open,High,Low,Close
2013-06-19,14.81,15.63,14.56,15.13
2013-06-20,15.85,15.9,14.96,15.04
2013-06-21,15.58,15.58,15.06,15.4
2013-06-24,15.39,15.39,14.79,15.12
2013-06-25,15.1,15.27,14.95,15.26
2013-06-26,15.14,15.15,14.91,15.07
2013-06-27,14.38,15.34,14.259,14.97
2013-06-28,14.89,15.28,14.85,14.98
2013-07-01,15.08,15.1,14.44,14.47
2013-07-02,14.28,14.79,14.27,14.59
2013-07-03,14.48,14.72,14.44,14.57
2013-07-05,14.56,15.54,14.56,15.21
2013-07-08,15.43,15.68,15.15,15.62
2013-07-09,15.41,15.62,15.265,15.33
2013-07-10,15.1,15.2,14.82,15.05
2013-07-11,15.4,15.4,14.66,14.81
2013-07-12,14.6,14.78,14.57,14.59
2013-07-15,14.6,14.68,14.12,14.4
2013-07-16,14.31,15.07,14.3,14.99
2013-07-17,14.88,15.72,14.88,15.62
2013-07-18,15.64,15.85,15.06,15.2
2013-07-19,14.97,15.86,14.97,15.72
2013-07-22,15.75,15.86,15.351,15.5
2013-07-23,15.45,15.65,15.31,15.45
2013-07-24,15.39,15.65,15.22,15.52
2013-07-25,15.51,15.645,15.24,15.36
2013-07-26,15.36,15.76,15.1,15.69
2013-07-29,15.58,15.669,15.21,15.31
2013-07-30,15.33,15.78,15.27,15.74
2013-07-31,15.69,15.97,15.64,15.69
2013-08-01,15.71,16.02,15.69,15.99
2013-08-02,15.89,16.24,15.85,16.1
2013-08-05,16.01,16.08,15.68,15.81
2013-08-06,15.73,16.05,15.63,15.99
2013-08-07,15.84,15.9,15.64,15.76
2013-08-08,15.92,16.11,15.75,15.98
2013-08-09,16.01,16.01,15.82,15.84
2013-08-12,15.7,15.9,15.575,15.71
2013-08-13,15.83,15.83,15.6,15.65
2013-08-14,15.6,15.81,15.47,15.78
2013-08-15,15.66,15.9901,15.535,15.92
2013-08-16,15.86,16.05,15.76,15.79
2013-08-19,15.81,15.82,15.475,15.49
2013-08-20,15.51,15.58,15.316,15.48
2013-08-21,15.43,15.6,15.3,15.54
2013-08-22,15.59,15.63,15.42,15.48
2013-08-23,15.44,15.62,15.37,15.52
2013-08-26,15.54,15.73,15.54,15.66
2013-08-27,15.58,15.8,15.53,15.54
2013-08-28,15.57,15.62,15.49,15.57
2013-08-29,15.58,15.685,15.43,15.56
2013-08-30,15.51,15.57,15.3601,15.44
2013-09-03,15.62,15.8,15.48,15.6
2013-09-04,15.5,15.88,15.5,15.81
2013-09-05,15.8,16.04,15.67,15.99
2013-09-06,16.03,16.09,15.83,15.94
2013-09-09,15.93,16.1,15.9,16.09
2013-09-10,16.13,16.32,16.01,16.32
2013-09-11,16.31,16.8,16.28,16.8
2013-09-12,16.79,17.06,16.71,16.9
2013-09-13,16.89,16.89,16.5799,16.71
2013-09-16,16.97,16.98,16.6,16.77
2013-09-17,16.76,16.89,16.72,16.82
2013-09-18,16.8,16.94,16.67,16.845
2013-09-19,16.99,16.99,16.51,16.73
2013-09-20,16.7,16.83,16.32,16.51
2013-09-23,16.42,16.4499,16.21,16.39
2013-09-24,16.37,17.03,16.37,16.93
2013-09-25,16.83,16.9,16.59,16.69
2013-09-26,16.72,16.72,16.07,16.27
2013-09-27,16.07,16.19,15.97,16.16
2013-09-30,16.12,16.12,15.89,16.03
2013-10-01,16.05,16.05,15.76,15.89
2013-10-02,15.77,16.17,15.62,16.09
2013-10-03,16.1,16.19,15.81,15.87
2013-10-04,15.84,15.995,15.8,15.87
2013-10-07,15.75,15.96,15.71,15.87
2013-10-08,15.81,15.95,15.77,15.83
2013-10-09,15.81,15.995,15.77,15.94
2013-10-10,15.99,16.27,15.99,16.245
2013-10-11,16.2,16.66,16.2,16.52
2013-10-14,16.36,16.74,16.35,16.66
2013-10-15,16.64,16.78,16.54,16.76
2013-10-16,16.8,16.89,16.68,16.86
2013-10-17,16.79,16.875,16.7,16.86
2013-10-18,16.96,16.99,16.84,16.92
2013-10-21,16.96,17.05,16.84,16.9
2013-10-22,16.96,17.13,16.88,17.05
2013-10-23,17.05,17.24,16.89,17.09
2013-10-24,17.18,17.4,17.1,17.32
2013-10-25,17.33,17.34,17.1,17.16
2013-10-28,17.15,17.33,17.02,17.28
2013-10-29,17.29,17.53,17.27,17.47
2013-10-30,17.55,17.5999,17.32,17.35
2013-10-31,17.41,17.735,17.33,17.535
2013-11-01,17.47,17.76,17.4,17.71
2013-11-04,17.76,17.84,17.68,17.73
2013-11-05,17.73,17.86,17.48,17.7
2013-11-06,17.69,17.84,17.31,17.37
2013-11-07,17.35,17.72,17.18,17.21
2013-11-08,17.18,17.57,17.14,17.54
2013-11-11,17.46,17.58,17.28,17.38
2013-11-12,16.99,17.25,16.6,17.09
2013-11-13,17.01,17.2,16.875,17.13
2013-11-14,17.1,17.27,17.07,17.11
2013-11-15,17.2,17.68,17.2,17.62
2013-11-18,17.63,17.67,17.21,17.29
2013-11-19,17.27,17.51,17.21,17.33
2013-11-20,17.35,17.6,17.3,17.45
2013-11-21,17.44,17.57,17.36,17.4
2013-11-22,17.48,17.52,17.29,17.31
2013-11-25,17.29,17.43,17.11,17.21
2013-11-26,17.2,17.42,17.1,17.36
2013-11-27,17.31,17.6,17.2,17.49
2013-11-29,17.5,17.6,17.47,17.57
2013-12-02,17.5,17.55,17.22,17.26
2013-12-03,17.14,17.2,17.0,17.13
2013-12-04,17.01,17.2,16.89,17.1
2013-12-05,17.06,17.06,16.86,16.97
2013-12-06,17.07,17.21,16.81,16.96
2013-12-09,16.96,17.03,16.775,16.96
2013-12-10,16.9,17.16,16.7,17.1
2013-12-11,17.05,17.21,16.93,17.07
2013-12-12,16.99,17.1,16.91,16.95
2013-12-13,17.03,17.15,16.82,17.1
2013-12-16,17.03,17.25,16.975,17.23
2013-12-17,16.92,16.975,16.62,16.81
2013-12-18,16.89,17.0,16.55,16.95
2013-12-19,16.87,16.91,16.65,16.81
2013-12-20,16.88,17.38,16.88,17.18
2013-12-23,17.2,17.43,17.17,17.38
2013-12-24,17.4,17.5,17.23,17.42
2013-12-26,17.44,17.5499,17.18,17.3
2013-12-27,17.26,17.3,17.06,17.28
2013-12-30,17.28,17.43,17.2,17.35
2013-12-31,17.23,17.52,17.23,17.43
2014-01-02,17.44,17.63,17.36,17.49
2014-01-03,17.55,17.55,17.22,17.33
2014-01-06,17.42,17.47,17.03,17.15
2014-01-07,17.11,17.15,16.82,16.92
2014-01-08,16.86,16.93,16.67,16.84
2014-01-09,16.93,17.07,16.8,16.9
2014-01-10,16.88,17.01,16.83,16.94
2014-01-13,16.88,16.97,16.63,16.68
2014-01-14,16.68,16.89,16.68,16.84
2014-01-15,16.85,16.85,16.69,16.75
2014-01-16,16.66,16.77,16.59,16.64
2014-01-17,16.56,16.68,16.48,16.62
2014-01-21,16.72,16.72,16.26,16.36
2014-01-22,16.34,16.61,16.17,16.27
2014-01-23,16.18,16.18,15.99,16.15
2014-01-24,16.0,16.33,15.66,15.75
2014-01-27,15.74,16.115,15.65,15.75
2014-01-28,15.7,15.87,15.5999,15.61
2014-01-29,15.46,15.62,15.4,15.52
2014-01-30,15.65,15.65,15.35,15.4
2014-01-31,15.23,15.42,15.18,15.21
2014-02-03,15.15,15.33,14.66,14.67
2014-02-04,14.78,14.96,14.6,14.67
2014-02-05,14.8,15.09,14.72,14.91
2014-02-06,15.0,15.34,14.78,15.26
2014-02-07,16.1,17.1,16.1,16.6
2014-02-10,16.66,16.79,16.33,16.75
2014-02-11,16.74,17.1516,16.68,17.1
2014-02-12,17.05,17.18,16.84,16.9
2014-02-13,16.86,16.99,16.62,16.86
2014-02-14,16.78,16.99,16.71,16.82
2014-02-18,16.88,16.98,16.67,16.89
2014-02-19,17.02,17.12,16.8,16.85
2014-02-20,16.88,16.88,16.57,16.71
2014-02-21,16.68,16.91,16.61,16.82
2014-02-24,16.82,17.22,16.82,17.1
2014-02-25,17.18,17.31,17.18,17.22
2014-02-26,17.31,17.33,17.11,17.19
2014-02-27,17.16,17.28,17.09,17.26
2014-02-28,17.3,17.57,17.11,17.49
2014-03-03,17.31,17.49,17.11,17.3
2014-03-04,17.42,17.54,17.39,17.49
2014-03-05,17.45,17.62,17.3,17.49
2014-03-06,17.46,17.61,17.345,17.46
2014-03-07,17.58,17.58,17.07,17.14
2014-03-10,17.24,17.24,16.93,17.08
2014-03-11,17.08,17.12,16.89,16.97
2014-03-12,16.93,17.19,16.695,17.1
2014-03-13,17.21,17.21,16.63,16.67
2014-03-14,16.58,16.8,16.545,16.65
2014-03-17,16.75,16.85,16.51,16.68
2014-03-18,16.67,17.03,16.65,16.95
2014-03-19,16.92,17.01,16.72,16.84
2014-03-20,16.74,16.83,16.57,16.71
2014-03-21,16.71,16.86,16.465,16.61
2014-03-24,16.7,16.82,16.51,16.56
2014-03-25,16.6,16.724,16.36,16.44
2014-03-26,16.45,16.47,16.11,16.12
2014-03-27,16.04,16.29,16.04,16.1
2014-03-28,16.19,16.36,16.09,16.14
2014-03-31,16.17,16.33,16.1,16.3
2014-04-01,16.28,16.58,16.26,16.53
2014-04-02,16.48,16.59,16.4,16.55
2014-04-03,16.55,16.62,16.26,16.29
2014-04-04,16.26,16.67,16.26,16.31
2014-04-07,16.25,16.52,16.17,16.33
2014-04-08,16.29,16.59,16.17,16.25
2014-04-09,16.29,16.52,16.23,16.42
2014-04-10,16.38,16.53,16.06,16.08
2014-04-11,15.96,16.18,15.71,15.86
2014-04-14,16.02,16.08,15.78,16.0
2014-04-15,16.08,16.08,15.58,15.89
2014-04-16,16.02,16.16,15.9,16.01
2014-04-17,16.03,16.19,15.95,16.07
2014-04-21,16.1,16.26,15.8,16.26
2014-04-22,16.2,16.39,16.12,16.36
2014-04-23,16.4,16.535,16.36,16.52
2014-04-24,16.6,16.6,16.33,16.55
2014-04-25,16.56,16.56,16.36,16.38
2014-04-28,16.4,16.515,16.13,16.38
2014-04-29,16.4,16.655,16.33,16.41
2014-04-30,16.41,16.41,15.935,16.14
2014-05-01,16.2,16.47,16.18,16.36
2014-05-02,16.39,16.56,16.305,16.43
2014-05-05,16.28,16.52,16.27,16.44
2014-05-06,16.38,16.4,16.23,16.25
2014-05-07,16.34,16.34,16.02,16.14
2014-05-08,16.19,16.22,15.95,16.17
2014-05-09,16.33,17.035,16.33,17.0
2014-05-12,17.02,17.25,16.92,17.05
2014-05-13,17.05,17.09,16.8,16.91
2014-05-14,16.82,16.885,16.4,16.41
2014-05-15,16.42,16.42,16.12,16.16
2014-05-16,16.23,16.33,15.92,16.3
2014-05-19,16.3,16.4,16.18,16.27
2014-05-20,16.21,16.21,15.95,16.03
2014-05-21,16.08,16.27,15.98,16.1
2014-05-22,16.11,16.37,16.01,16.37
2014-05-23,16.45,16.45,16.18,16.34
2014-05-27,16.36,16.48,16.29,16.46
2014-05-28,16.49,16.49,16.25,16.31
2014-05-29,16.31,16.32,16.15,16.24
2014-05-30,16.23,16.32,16.16,16.19
2014-06-02,16.25,16.42,16.17,16.38
2014-06-03,16.4,16.63,16.33,16.52
2014-06-04,16.53,16.76,16.48,16.61
2014-06-05,16.68,16.87,16.48,16.87
2014-06-06,16.88,17.04,16.77,16.87
2014-06-09,16.83,17.12,16.78,16.85
2014-06-10,16.8,16.89,16.67,16.78
2014-06-11,16.75,16.87,16.65,16.77
2014-06-12,16.67,16.67,16.44,16.45
2014-06-13,16.51,16.51,16.24,16.33
2014-06-16,16.24,16.34,16.03,16.33
2014-06-17,16.35,16.47,16.18,16.41
2014-06-18,16.36,16.69,16.34,16.67
2014-06-19,16.76,16.78,16.37,16.76
2014-06-20,16.73,16.9,16.45,16.71
2014-06-23,16.64,16.74,16.365,16.44
2014-06-24,16.44,16.73,16.44,16.6
2014-06-25,16.6,16.87,16.5,16.8
2014-06-26,16.87,17.14,16.64,17.14
2014-06-27,17.04,17.2,16.945,17.15
2014-06-30,17.1,17.21,16.98,17.05
2014-07-01,17.05,17.265,17.04,17.2
2014-07-02,17.15,17.38,17.07,17.32
2014-07-03,17.37,17.42,17.28,17.37
2014-07-07,17.37,17.37,17.16,17.23
2014-07-08,17.22,17.27,17.06,17.18
2014-07-09,17.24,17.38,17.1601,17.27
2014-07-10,17.11,17.19,16.99,17.11
2014-07-11,17.12,17.27,17.06,17.16
2014-07-14,17.31,17.31,17.0906,17.19
2014-07-15,17.22,17.38,17.2,17.26
2014-07-16,17.34,17.39,17.17,17.23
2014-07-17,17.21,17.24,17.06,17.1
2014-07-18,17.14,17.35,17.09,17.25
2014-07-21,17.23,17.32,17.12,17.14
2014-07-22,17.23,17.27,17.06,17.11
2014-07-23,17.07,17.15,16.96,17.15
2014-07-24,17.11,17.34,17.11,17.33
2014-07-25,17.3,17.3,17.16,17.21
2014-07-28,17.17,17.26,16.97,17.09
2014-07-29,17.08,17.25,16.935,16.99
2014-07-30,17.02,17.1,16.88,16.98
2014-07-31,16.83,17.04,16.765,16.81
2014-08-01,16.75,17.0,16.7,16.96
2014-08-04,16.96,17.03,16.78,16.99
2014-08-05,16.94,16.94,16.76,16.82
2014-08-06,16.73,16.79,16.65,16.75
2014-08-07,16.8,16.86,16.53,16.6
2014-08-08,16.49,16.49,15.61,16.35
2014-08-11,16.46,16.63,16.33,16.54
2014-08-12,16.49,16.66,16.405,16.43
2014-08-13,16.54,16.54,16.23,16.36
2014-08-14,16.26,16.58,16.26,16.57
2014-08-15,16.65,16.65,16.38,16.41
2014-08-18,16.54,16.73,16.38,16.44
2014-08-19,16.48,16.48,16.3,16.35
2014-08-20,16.3,16.73,16.3,16.69
2014-08-21,16.72,16.82,16.63,16.79
2014-08-22,16.82,16.82,16.64,16.74
2014-08-25,16.82,16.92,16.695,16.91
2014-08-26,16.88,16.91,16.83,16.85
2014-08-27,16.89,16.92,16.79,16.89
2014-08-28,16.82,16.96,16.585,16.89
2014-08-29,16.95,16.95,16.76,16.86
2014-09-02,16.85,16.94,16.66,16.66
2014-09-03,16.77,16.87,16.77,16.85
2014-09-04,16.89,17.04,16.84,16.9
2014-09-05,16.92,17.01,16.85,16.99
2014-09-08,16.91,16.95,16.81,16.86
2014-09-09,16.81,16.9,16.54,16.57
2014-09-10,16.53,16.77,16.47,16.72
2014-09-11,16.65,16.74,16.53,16.55
2014-09-12,16.52,16.52,16.32,16.39
2014-09-15,16.35,16.41,16.15,16.32
2014-09-16,16.25,16.435,16.22,16.31
2014-09-17,16.31,16.37,16.23,16.27
2014-09-18,16.27,16.32,16.19,16.29
2014-09-19,16.3,16.46,16.26,16.44
2014-09-22,16.36,16.36,16.24,16.28
2014-09-23,16.25,16.32,16.18,16.26
2014-09-24,16.22,16.27,16.12,16.23
2014-09-25,16.16,16.2,15.99,16.02
2014-09-26,16.04,16.28,15.99,16.23
2014-09-29,16.09,16.205,16.01,16.1
2014-09-30,16.03,16.03,15.67,15.73
2014-10-01,15.66,15.7,15.36,15.42
2014-10-02,15.35,15.5375,15.13,15.25
2014-10-03,15.38,15.42,15.31,15.36
2014-10-06,15.36,15.49,15.32,15.36
2014-10-07,15.32,15.35,14.92,14.925
2014-10-08,14.87,15.35,14.84,15.34
2014-10-09,15.3,15.3,14.78,14.86
2014-10-10,14.84,14.895,14.55,14.57
2014-10-13,14.49,14.65,14.11,14.13
2014-10-14,14.14,14.31,14.12,14.18
2014-10-15,13.95,14.315,13.85,14.08
2014-10-16,13.86,14.06,13.69,13.84
2014-10-17,13.95,14.13,13.77,13.86
2014-10-20,13.81,14.03,13.81,14.025
2014-10-21,14.14,14.66,14.14,14.61
2014-10-22,14.67,14.67,14.44,14.46
2014-10-23,14.6,14.82,14.59,14.7
2014-10-24,14.69,14.96,14.69,14.92
2014-10-27,14.91,14.91,14.61,14.67
2014-10-28,14.7,14.74,14.52,14.67
2014-10-29,14.67,14.82,14.61,14.74
2014-10-30,14.69,14.79,14.58,14.66
2014-10-31,14.87,14.96,14.51,14.65
2014-11-03,14.62,14.83,14.62,14.7
2014-11-04,14.6,14.71,14.29,14.34
2014-11-05,14.48,14.6,14.37,14.46
2014-11-06,14.59,15.04,14.56,14.59
2014-11-07,14.63,14.66,14.41,14.44
