Date,Open,High,Low,Close
2006-01-03,23.0,23.6,22.6,23.4
2006-01-04,23.6,23.96,23.55,23.7
2006-01-05,23.7,25.05,23.6,24.8
2006-01-06,25.0,25.43,24.44,25.25
2006-01-09,25.25,25.91,25.2,25.79
2006-01-10,25.51,25.74,25.25,25.69
2006-01-11,25.76,26.35,25.57,26.2
2006-01-12,26.2,26.21,24.88,24.95
2006-01-13,24.921,25.41,24.68,25.2
2006-01-17,25.3,25.4,24.6,25.09
2006-01-18,24.4,25.12,23.95,24.77
2006-01-19,25.48,26.0,25.452688000000002,25.8
2006-01-20,25.95,26.4,24.63,24.7
2006-01-23,24.93,25.38,24.6,25.32
2006-01-24,25.49,26.36,25.36,26.19
2006-01-25,26.35,26.39,25.65,25.66
2006-01-26,25.6,26.83,25.43,26.61
2006-01-27,29.0,30.5,27.61,28.3
2006-01-30,28.24,29.1,28.06,28.59
2006-01-31,28.9,29.121,28.38,28.58
2006-02-01,28.98,29.59,28.69,29.07
2006-02-02,29.0,29.29,28.35,28.59
2006-02-03,28.75,29.77,28.6,29.42
2006-02-06,30.0,30.99,29.75,30.92
2006-02-07,30.82,30.9,29.1,29.6
2006-02-08,30.3,30.98,29.89,30.92
2006-02-09,30.97,31.38,29.89,30.02
2006-02-10,30.41,30.73,29.473000000000003,30.67
2006-02-13,30.79,31.0,30.09,30.52
2006-02-14,30.32,30.93,29.9,30.78
2006-02-15,30.82,32.41,30.7,32.25
2006-02-16,32.31,32.68,31.65,32.05
2006-02-17,32.0,32.75,31.69,32.46
2006-02-21,33.0,33.0,32.03,32.54
2006-02-22,32.54,33.48,32.29,32.85
2006-02-23,32.85,33.17,32.33,32.64
2006-02-24,32.75,33.11,32.43,33.08
2006-02-27,33.75,33.96,33.400125,33.83
2006-02-28,33.79,33.99,33.27,33.49
2006-03-01,33.45,34.7,33.35,34.45
2006-03-02,33.99,34.86,33.85,34.83
2006-03-03,34.58,34.87,34.21,34.29
2006-03-06,35.0,35.85,35.0,35.59
2006-03-07,35.48,35.51,33.51,34.27
2006-03-08,34.1,34.74,33.39,34.38
2006-03-09,34.88,35.56,34.32,34.45
2006-03-10,34.5,34.81,33.76,34.06
2006-03-13,34.54,35.08,34.33,34.8
2006-03-14,35.0,37.35,34.94,37.12
2006-03-15,37.5,37.77,36.58,37.05
2006-03-16,37.01,37.04,35.5,35.68
2006-03-17,34.5,36.64,34.4,36.6
2006-03-20,37.0,37.899875,36.49,36.61
2006-03-21,36.61,37.5,36.200125,36.4
2006-03-22,36.1,36.33,35.55,35.95
2006-03-23,36.08,37.5,36.0,37.11
2006-03-24,37.12,37.57,36.77,37.06
2006-03-27,37.07,37.71,37.07,37.36
2006-03-28,37.55,37.63,36.94,37.23
2006-03-29,37.55,38.5,37.54,38.19
2006-03-30,38.1,38.37,37.28,37.41
2006-03-31,37.6,38.13,36.63,36.92
2006-04-03,37.55,39.26,37.3,37.96
2006-04-04,37.98,38.749,37.7,38.53
2006-04-05,38.87,38.98,38.14,38.8
2006-04-06,39.0,40.48,38.85,40.38
2006-04-07,40.4,40.4,38.18,38.41
2006-04-10,38.8,38.86,36.27,36.43
2006-04-11,36.0,36.2,34.5,35.34
2006-04-12,35.38,36.56,34.93,36.37
2006-04-13,36.3,36.79,35.9,36.32
2006-04-17,37.0,37.61,36.1,36.86
2006-04-18,40.1,42.17,40.07,41.4
2006-04-19,41.8,44.07,41.8,43.92
2006-04-20,43.92,43.99,41.93,42.71
2006-04-21,42.99,43.29,41.46,41.86
2006-04-24,41.86,42.95,41.41,42.5
2006-04-25,42.14,42.6,41.57,41.57
2006-04-26,41.95,42.3,40.3,40.62
2006-04-27,42.8,43.14,38.51,41.77
2006-04-28,41.25,42.37,40.54,40.6
2006-05-01,41.25,43.5,41.18,43.4
2006-05-02,43.22,44.4,42.81,43.8
2006-05-03,43.8,45.85,43.620125,45.73
2006-05-04,45.93,47.91,45.6,47.86
2006-05-05,48.25,48.59,46.590125,47.56
2006-05-08,47.3,48.899875,47.17,48.75
2006-05-09,48.79,48.87,47.61,47.9
2006-05-10,47.85,48.51,46.15,46.9
2006-05-11,47.0,47.46,44.36,44.7
2006-05-12,44.0,44.65,42.87,44.31
2006-05-15,44.0,44.18,41.79,42.8
2006-05-16,43.3,44.29,41.1,41.22
2006-05-17,40.55,42.19,40.4,41.0
2006-05-18,41.95,42.6,37.45,37.64
2006-05-19,37.4,39.28,37.36,39.06
2006-05-22,39.0,39.05,33.5,35.2
2006-05-23,36.19,37.68,35.53,35.79
2006-05-24,35.85,36.4,32.1,32.97
2006-05-25,33.35,34.59,32.97,34.41
2006-05-26,34.41,34.62,33.5,34.4
2006-05-30,34.52,34.75,33.17,33.36
2006-05-31,33.5,35.09,33.45,35.02
2006-06-01,36.0,37.41,35.68,37.11
2006-06-02,37.7,38.45,36.87,37.7
2006-06-05,37.7,37.71,35.25,35.4
2006-06-06,35.17,35.4,34.12,34.55
2006-06-07,34.6,35.38,33.13,33.18
2006-06-08,33.17,33.19,30.0,31.94
2006-06-09,32.99,33.81,31.52,31.77
2006-06-12,32.15,32.3,30.26,30.54
2006-06-13,30.25,31.86,30.25,31.12
2006-06-14,31.2,32.57,30.95,31.83
2006-06-15,33.5,35.5,33.5,35.11
2006-06-16,35.06,35.48,34.2,35.04
2006-06-19,35.1,35.8,33.8,34.09
2006-06-20,34.1,35.2,33.74,34.17
2006-06-21,34.25,36.37,34.25,35.76
2006-06-22,35.94,36.0,34.98,35.82
2006-06-23,35.4,36.03,35.05,35.67
2006-06-26,35.8,36.46,35.16,35.36
2006-06-27,35.25,35.68,33.840125,34.16
2006-06-28,34.35,35.21,33.16,34.92
2006-06-29,35.5,36.5,34.92,36.32
2006-06-30,36.82,37.77,36.34,37.5
2006-07-03,38.05,38.12,37.6,37.94
2006-07-05,37.65,37.65,35.55,36.61
2006-07-06,39.3,39.3,36.34,36.84
2006-07-07,36.85,36.85,35.030813,35.33
2006-07-10,35.45,35.87,32.59,33.09
2006-07-11,33.1,33.21,31.81,32.78
2006-07-12,32.6,33.5,31.93,32.0
2006-07-13,31.58,33.58,31.200125,31.55
2006-07-14,31.51,32.79,31.21,32.42
2006-07-17,32.24,32.68,31.11,31.59
2006-07-18,31.6,32.23,30.0,30.87
2006-07-19,30.85,33.26,30.52,33.16
2006-07-20,33.9,34.15,31.31,31.49
2006-07-21,30.72,30.81,26.26,27.21
2006-07-24,28.25,28.93,27.61,28.61
2006-07-25,29.48,29.88,28.67,29.73
2006-07-26,31.25,31.47,28.44,28.89
2006-07-27,31.75,32.3,27.35,28.17
2006-07-28,28.18,29.98,28.030125,29.96
2006-07-31,30.35,30.85,30.07,30.42
2006-08-01,30.15,30.16,29.26,29.63
2006-08-02,30.0,30.65,29.67,29.7
2006-08-03,29.0,31.75,28.8,31.73
2006-08-04,31.85,32.81,30.93,31.34
2006-08-07,31.4,32.25,30.95,31.72
2006-08-08,31.9,32.1,30.79,31.25
2006-08-09,32.0,32.47,30.830125,31.0
2006-08-10,30.57,31.99,30.35,31.67
2006-08-11,31.85,31.91,30.42,31.11
2006-08-14,31.31,32.39,31.2,31.38
2006-08-15,32.32,34.89,32.32,34.66
2006-08-16,34.66,36.18,34.2,36.0
2006-08-17,35.96,36.67,34.78,35.0
2006-08-18,35.14,35.17,34.11,35.0
2006-08-21,34.55,35.09,33.8,34.83
2006-08-22,34.42,35.9,34.4,35.54
2006-08-23,35.4,36.0,34.55,35.06
2006-08-24,35.06,35.9,34.75,35.65
2006-08-25,35.45,36.94,35.07,36.43
2006-08-28,36.67,36.9,36.2,36.78
2006-08-29,36.98,37.11,36.03,37.01
2006-08-30,37.38,38.69,37.35,38.4
2006-08-31,38.6,38.99,38.17,38.68
2006-09-01,38.8,39.01,37.2,37.6
2006-09-05,37.54,38.73,36.75,38.5
2006-09-06,38.11,38.15,35.69,35.78
2006-09-07,35.78,36.99,35.11,36.17
2006-09-08,36.25,37.0,36.25,36.77
2006-09-11,36.62,37.48,35.35,36.91
2006-09-12,36.6,37.7,36.56,37.67
2006-09-13,38.4,40.75,38.172375,39.7
2006-09-14,38.87,39.98,38.739125,39.03
2006-09-15,39.42,39.95,37.15,38.18
2006-09-18,38.16,40.45,38.15,39.98
2006-09-19,41.0,41.23,39.15,40.67
2006-09-20,41.23,41.3,40.1,40.49
2006-09-21,40.52,40.58,38.5,38.83
2006-09-22,38.889,38.89,36.4,36.94
2006-09-25,36.75,38.34,36.43,37.95
2006-09-26,37.94,38.91,37.55,38.35
2006-09-27,38.3,39.99,38.12,38.56
2006-09-28,38.42,38.98,37.62,38.0
2006-09-29,38.0,38.08,36.6,36.63
2006-10-02,36.51,37.16,35.771,35.91
2006-10-03,35.3,35.95,34.5,35.53
2006-10-04,35.29,35.55,31.94,34.0
2006-10-05,33.91,35.42,33.66,35.23
2006-10-06,35.0,35.19,33.7,33.89
2006-10-09,34.0,35.72,34.0,34.96
2006-10-10,34.91,35.69,34.11,35.5
2006-10-11,35.46,37.12,34.9,36.42
2006-10-12,36.73,37.69,36.23,37.68
2006-10-13,37.65,38.18,36.99,37.86
2006-10-16,37.87,38.85,37.86,38.39
2006-10-17,38.15,38.16,36.5,37.67
2006-10-18,37.67,37.99,36.08,36.57
2006-10-19,36.0,36.85,35.5,36.34
2006-10-20,36.34,36.4,35.15,35.28
2006-10-23,35.1,36.38,34.91,36.0
2006-10-24,35.8,36.73,35.63,36.3
2006-10-25,36.75,37.44,36.640125,37.01
2006-10-26,38.2,39.59,37.8,38.83
2006-10-27,39.45,39.61,35.85,35.86
2006-10-30,36.2,37.48,35.5,36.31
2006-10-31,36.45,36.8,35.2,35.5
2006-11-01,35.5,36.4,35.11,35.28
2006-11-02,35.0,35.62,34.51,35.09
2006-11-03,35.16,35.87,34.93,35.3
2006-11-06,35.75,35.9,35.11,35.35
2006-11-07,35.46,37.14,35.37,36.62
2006-11-08,35.15,35.63,35.04,35.47
2006-11-09,35.72,36.139,35.07,35.08
2006-11-10,35.1,35.48,34.88,35.3
2006-11-13,35.1,36.31,35.1,35.66
2006-11-14,36.25,37.42,35.87,37.32
2006-11-15,37.5,38.04,37.01,37.49
2006-11-16,38.0,38.06,37.15,37.34
2006-11-17,37.38,37.38,36.14,36.31
2006-11-20,36.3,37.21,36.21,37.04
2006-11-21,37.3,37.56,36.49,37.15
2006-11-22,37.25,38.0,37.160125,37.62
2006-11-24,37.49,37.93,37.16,37.84
2006-11-27,38.4,39.349000000000004,38.01,38.1
2006-11-28,38.29,38.95,37.3,37.97
2006-11-29,38.25,38.6,37.6,38.39
2006-11-30,38.45,39.99,38.1,39.8
2006-12-01,40.2,41.01,39.1,40.16
2006-12-04,40.08,41.1,39.65,40.64
2006-12-05,40.85,41.78,40.57,40.99
2006-12-06,41.95,44.05,41.43,43.05
2006-12-07,43.01,43.36,42.39,42.4
2006-12-08,42.16,42.77,41.16,42.4
2006-12-11,42.84,43.51,42.7,43.32
2006-12-12,42.06,42.48,41.73,42.11
2006-12-13,42.41,42.97,41.86,42.5
2006-12-14,42.35,43.23,42.35,42.82
2006-12-15,42.99,43.88,42.93,43.55
2006-12-18,43.17,43.49,41.81100000000001,42.28
2006-12-19,41.99,42.31,41.09,41.47
2006-12-20,41.64,42.75,41.5,41.78
2006-12-21,41.68,41.85,40.03,40.16
2006-12-22,40.28,40.3,39.38,39.71
2006-12-26,39.48,40.22,39.19,39.6
2006-12-27,39.85,40.25,39.17,39.56
2006-12-28,39.52,40.04,39.15,39.21
2006-12-29,39.29,39.86,39.0,39.14
2007-01-03,39.85,41.85,39.54,40.33
2007-01-04,40.22,41.27,40.03,41.05
2007-01-05,40.53,40.53,39.51,40.29
2007-01-08,40.7,41.55,40.47,41.42
2007-01-09,41.5,42.49,41.27,42.18
2007-01-10,42.3,44.2,42.1,43.79
2007-01-11,44.13,46.06,44.03,45.84
2007-01-12,45.9,46.03,44.73,45.32
2007-01-16,45.34,45.52,44.2,45.05
2007-01-17,44.72,46.29,44.49,46.06
2007-01-18,45.71,45.84,44.56,44.81
2007-01-19,43.87,45.8,43.51,45.33
2007-01-22,45.78,46.45,45.24,46.26
2007-01-23,45.73,46.1,44.25,45.07
2007-01-24,45.48,46.3,45.36,45.7
