,Open,High,Low,Close
2006-01-03,40.88000000000001,40.88000000000001,38.95,40.08
2006-01-04,39.89,40.120000000000005,39.540000000000006,40.010000000000005
2006-01-05,40.39,40.790000000000006,39.5,39.85000000000001
2006-01-06,40.24000000000001,40.28,39.28,39.69
2006-01-09,39.56,40.019999999999996,39.510000000000005,39.760000000000005
2006-01-10,39.68000000000001,39.900000000000006,39.510000000000005,39.7
2006-01-11,39.269999999999996,39.7,39.0,39.7
2006-01-12,39.64,39.64,38.94,39.290000000000006
2006-01-13,39.519999999999996,40.06,39.44,39.74000000000001
2006-01-17,39.620000000000005,39.74000000000001,39.19,39.46000000000001
2006-01-18,39.010000000000005,39.61,38.93000000000001,39.3
2006-01-19,39.99000000000001,40.09,39.38000000000001,39.78
2006-01-20,39.95,40.03,38.94,38.94
2006-01-23,38.89,39.11,37.92,38.11
2006-01-24,39.34,40.0,38.96000000000001,39.61
2006-01-25,40.010000000000005,40.61,39.71000000000001,40.16
2006-01-26,40.36,40.480000000000004,38.86,39.260000000000005
2006-01-27,40.11,40.290000000000006,39.38000000000001,39.53
2006-01-30,39.74000000000001,40.14,39.63000000000001,39.730000000000004
2006-01-31,39.91,40.19,39.480000000000004,40.11
2006-02-01,40.13300000000001,40.53,39.43000000000001,40.10000000000001
2006-02-02,40.122,41.10000000000001,39.06,40.59
2006-02-03,40.07000000000001,40.730000000000004,39.72,40.32000000000001
2006-02-06,40.56,40.84,40.19,40.36
2006-02-07,40.393,40.53,39.53,39.67
2006-02-08,39.99000000000001,39.99000000000001,39.08,39.41
2006-02-09,39.44600000000001,39.72,39.11,39.34
2006-02-10,39.38000000000001,40.13000000000001,39.06,39.97
2006-02-13,39.72,40.19,39.61,39.900000000000006
2006-02-14,39.620000000000005,40.8,39.370000000000005,40.790000000000006
2006-02-15,40.56,41.35,40.14,41.26
2006-02-16,40.36,40.96,39.61,40.050000000000004
2006-02-17,39.910000000000004,40.230000000000004,39.53,39.77
2006-02-21,39.72,40.06,38.980000000000004,39.12
2006-02-22,39.38,40.46,39.24,40.06
2006-02-23,40.19,40.62,39.77,39.97
2006-02-24,39.910000000000004,39.97,39.31,39.51
2006-02-27,39.78,41.28,39.71,40.94
2006-02-28,40.56,40.800000000000004,39.730000000000004,39.86
2006-03-01,40.050000000000004,40.36,39.49,40.03
2006-03-02,40.03,39.910000000000004,38.86,39.17
2006-03-03,38.910000000000004,39.480000000000004,38.76,38.85
2006-03-06,38.85,39.1,38.26,38.4
2006-03-07,38.410000000000004,38.6,38.01,38.32
2006-03-08,38.31,39.230000000000004,38.160000000000004,38.83
2006-03-09,38.96,39.0,38.050000000000004,38.21
2006-03-10,38.21,39.24,38.17,38.77
2006-03-13,38.910000000000004,39.04,38.61,38.82
2006-03-14,38.62,40.07,38.62,40.0
2006-03-15,40.11,40.160000000000004,38.730000000000004,39.18
2006-03-16,39.202,39.63,39.1,39.18
2006-03-17,39.4,39.5,39.06,39.230000000000004
2006-03-20,39.11,39.36,38.730000000000004,38.99
2006-03-21,39.01,39.39,38.44,38.82
2006-03-22,38.82,39.4,38.57,39.02
2006-03-23,38.78,38.94,38.46,38.79
2006-03-24,39.06,39.29,38.49,39.17
2006-03-27,38.97,39.27,38.56,38.63
2006-03-28,38.53,39.160000000000004,38.53,38.71
2006-03-29,38.81,39.04,38.57,38.76
2006-03-30,38.58,38.910000000000004,37.96,38.21
2006-03-31,38.01,38.35,37.36,37.47
2006-04-03,37.46,37.47,36.61,36.64
2006-04-04,36.83,37.36,36.34,37.02
2006-04-05,37.35,37.81,37.26,37.64
2006-04-06,38.61,38.84,37.800000000000004,38.08
2006-04-07,38.160000000000004,38.35,37.3499,37.42
2006-04-10,37.75,37.75,36.89,37.08
