,Open,High,Low,Close
2006-01-03,33.3,34.28,30.83,33.77
2006-01-04,33.96,34.38,33.86,34.16
2006-01-05,34.05,34.6,33.93,34.43
2006-01-06,34.58,35.13,34.52,34.83
2006-01-09,34.85,35.02,34.57,34.68
2006-01-10,34.43,34.69,33.71,34.58
2006-01-11,34.53,34.58,33.82,33.99
2006-01-12,34.76,34.76,33.31,33.83
2006-01-13,33.76,34.44,33.64,34.36
2006-01-17,34.04,34.33,33.79,33.88
2006-01-18,33.88,34.06,33.3,33.92
2006-01-19,34.13,35.08,34.01,34.95
2006-01-20,34.88,34.9,34.589999999999996,34.63
2006-01-23,34.63,35.41,34.45,35.33
2006-01-24,35.4,35.73,35.21,35.64
2006-01-25,35.66,35.98,35.27,35.46
2006-01-26,35.68,36.03,35.01,35.28
2006-01-27,35.28,35.77,34.97,35.47
2006-01-30,35.45,35.52,34.61,34.73
2006-01-31,34.73,34.75,33.61,33.66
2006-02-01,33.51,34.33,33.5,34.27
2006-02-02,34.35,34.51,33.589999999999996,33.95
2006-02-03,33.7,34.26,33.7,34.17
2006-02-06,34.17,34.42,34.04,34.06
2006-02-07,34.13,34.54,34.02,34.03
2006-02-08,33.98,34.69,33.589999999999996,34.68
2006-02-09,34.56,35.07,34.38,35.03
2006-02-10,35.03,35.28,34.8,35.13
2006-02-13,35.03,35.07,34.69,34.95
2006-02-14,34.95,35.62,34.69,35.37
2006-02-15,35.18,35.68,34.98,35.58
2006-02-16,35.68,36.08,35.19,35.78
2006-02-17,35.79,35.86,35.08,35.1
2006-02-21,34.98,34.98,34.4,34.6
2006-02-22,34.63,34.65,33.7,34.08
2006-02-23,33.53,34.025,32.65,33.14
2006-02-24,32.93,32.94,32.05,32.339999999999996
2006-02-27,32.35,32.67,32.15,32.339999999999996
2006-02-28,32.33,32.42,31.979999999999997,32.14
2006-03-01,32.18,33.11,32.08,33.11
2006-03-02,33.11,32.78,31.979999999999997,32.16
2006-03-03,31.880000000000003,32.16,31.853,31.97
2006-03-06,31.97,32.15,30.729999999999997,30.810000000000002
2006-03-07,30.689999999999998,30.689999999999998,30.020000000000003,30.240000000000002
2006-03-08,30.130000000000003,30.5,29.85,30.229999999999997
2006-03-09,30.18,30.57,29.909999999999997,30.46
2006-03-10,30.479999999999997,31.130000000000003,30.380000000000003,31.03
2006-03-13,30.96,31.119999999999997,30.78,30.979999999999997
2006-03-14,30.880000000000003,31.380000000000003,30.880000000000003,31.18
2006-03-15,31.08,31.15,30.770000000000003,31.04
2006-03-16,31.08,31.08,30.479999999999997,30.490000000000002
2006-03-17,30.729999999999997,31.28,30.6,31.18
2006-03-20,31.450000000000003,31.729999999999997,31.1,31.18
2006-03-21,31.14,31.159999999999997,30.270000000000003,30.28
2006-03-22,30.130000000000003,30.71,30.089999999999996,30.380000000000003
2006-03-23,30.380000000000003,30.83,30.21,30.83
2006-03-24,30.68,30.990000000000002,30.589999999999996,30.939999999999998
2006-03-27,30.979999999999997,31.07,30.78,30.9
2006-03-28,30.729999999999997,31.049999999999997,30.549999999999997,30.880000000000003
2006-03-29,30.880000000000003,31.479999999999997,30.729999999999997,31.479999999999997
2006-03-30,31.28,31.439999999999998,30.950000000000003,31.130000000000003
2006-03-31,31.08,31.259999999999998,30.64,30.979999999999997
2006-04-03,31.229999999999997,31.589999999999996,30.619999999999997,30.64
2006-04-04,30.560000000000002,31.07,30.33,30.869999999999997
2006-04-05,30.86,31.29,30.78,31.07
2006-04-06,30.9,31.380000000000003,30.71,31.369999999999997
2006-04-07,31.369999999999997,31.75,30.880000000000003,30.9
2006-04-10,30.83,30.83,30.5,30.58
2006-04-11,30.810000000000002,30.85,30.33,30.520000000000003
2006-04-12,30.5,30.700000000000003,30.39,30.549999999999997
2006-04-13,30.189999999999998,30.880000000000003,30.189999999999998,30.86
2006-04-17,30.78,30.78,30.520000000000003,30.65
2006-04-18,30.83,30.839999999999996,30.46,30.630000000000003
2006-04-19,30.450000000000003,30.93,30.43,30.78
2006-04-20,30.78,30.96,30.6,30.880000000000003
2006-04-21,29.93,31.21,29.93,30.979999999999997
2006-04-24,30.93,31.22,30.93,31.189999999999998
2006-04-25,31.28,32.0,31.229999999999997,31.83
2006-04-26,32.03,32.42,31.729999999999997,32.339999999999996
2006-04-27,32.18,32.6,32.18,32.43
2006-04-28,32.33,32.33,31.869999999999997,32.01
2006-05-01,32.02,32.089999999999996,31.32,31.450000000000003
2006-05-02,31.479999999999997,31.560000000000002,31.03,31.04
2006-05-03,30.96,31.270000000000003,30.83,31.189999999999998
2006-05-04,31.229999999999997,32.05,31.21,31.89
2006-05-05,32.13,32.36,31.880000000000003,32.28
2006-05-08,32.2,32.58,31.909999999999997,31.93
2006-05-09,31.92,32.01,31.78,31.939999999999998
2006-05-10,31.71,31.82,31.492399999999996,31.729999999999997
2006-05-11,31.78,32.12,30.9,31.07
2006-05-12,31.1,31.18,30.479999999999997,30.490000000000002
2006-05-15,30.43,30.5,30.159999999999997,30.33
2006-05-16,30.43,30.75,30.28,30.589999999999996
2006-05-17,30.380000000000003,30.6,30.18,30.200000000000003
2006-05-18,30.33,30.369999999999997,29.450000000000003,29.450000000000003
2006-05-19,29.659999999999997,29.9,29.200000000000003,29.700000000000003
2006-05-22,29.479999999999997,30.0,29.369999999999997,29.53
2006-05-23,29.490000000000002,29.619999999999997,28.950000000000003,28.979999999999997
2006-05-24,28.78,29.130000000000003,28.58,28.96
