Date,Open,High,Low,Close
2006-01-03,38.625,39.4,38.11,39.225
2006-01-04,39.125,39.915,38.625,39.7
2006-01-05,39.675,39.69,38.445,38.625
2006-01-06,39.26,39.5,38.876,39.325
2006-01-09,39.35,39.4,38.451,38.95
2006-01-10,39.225,39.61,39.035,39.61
2006-01-11,39.85,39.91,38.965,39.625
2006-01-12,40.11,40.125,38.735,38.81
2006-01-13,38.5,39.25,38.4705,38.965
2006-01-17,39.515,39.94,39.245,39.715
2006-01-18,39.715,39.715,38.6,39.13
2006-01-19,38.5,40.3543,38.5,40.085
2006-01-20,40.8,41.29,39.52,40.06
2006-01-23,40.06,40.875,39.35,40.73
2006-01-24,40.4,41.135,40.175,40.345
2006-01-25,40.345,40.625,38.75,38.95
2006-01-26,39.015,39.575,37.8,39.13
2006-01-27,39.825,40.345,39.005,39.89
2006-01-30,40.25,41.155,40.22,41.155
2006-01-31,41.35,41.35,40.515,40.625
2006-02-01,40.63,41.23,38.985,39.165
2006-02-02,39.165,39.895,38.3,38.98
2006-02-03,39.0,39.725,38.655,38.98
2006-02-06,39.455,40.65,39.265,40.6
2006-02-07,39.25,39.385,36.755,37.555
2006-02-08,38.0,38.6,36.9,38.075
2006-02-09,38.69,38.71,36.63,36.735
2006-02-10,36.76,36.975,35.75,36.55
2006-02-13,36.55,37.085,35.9,36.275
2006-02-14,35.5,35.645,34.8,35.1
2006-02-15,35.18,35.58,33.92,34.3
2006-02-16,34.65,34.84,34.16,34.575
2006-02-17,35.075,35.335,33.88,33.93
2006-02-21,34.475,34.845,34.1,34.6
2006-02-22,34.5,34.505,33.755,34.26
2006-02-23,34.26,34.835,33.61,34.19
2006-02-24,34.68,34.83,33.785,33.82
2006-02-27,33.75,33.75,32.88,32.96
2006-02-28,32.755,33.32,32.325,32.975
2006-03-01,33.135,33.46,32.6351,33.43
2006-03-02,33.43,34.35,32.915,33.6
2006-03-03,33.605,34.265,33.5,34.095
2006-03-06,34.0,34.0,32.685,32.715
2006-03-07,32.715,32.715,31.66,32.125
2006-03-08,31.69,32.9126,31.6,31.95
2006-03-09,32.2,32.53,31.36,32.115
2006-03-10,31.95,32.645,31.775,31.95
2006-03-13,32.08,32.83,32.025,32.75
2006-03-14,32.805,33.915,32.59,33.8
2006-03-15,33.805,33.945,33.19,33.45
