Date,Open,High,Low,Close
2007-06-14,37.0,39.26,37.0,38.85
2007-06-15,39.1,39.1,38.25,38.8
2007-06-18,39.05,39.1,37.15,37.15
2007-06-19,37.15,37.7,36.1,36.7
2007-06-20,36.83,36.83,35.33,35.95
2007-06-21,36.0,36.7,35.75,36.7
2007-06-22,37.0,39.5,36.8,38.95
2007-06-25,39.1,40.0,38.25,39.25
2007-06-26,39.31,39.8,39.2,39.5
2007-06-27,39.5,39.8,39.0,39.75
2007-06-28,39.75,39.95,39.5,39.6
2007-06-29,39.83,39.9,38.75,39.06
2007-07-02,39.2,40.63,38.98,39.97
2007-07-03,39.98,40.61,39.08,39.66
2007-07-05,39.6,41.28,39.24,39.45
2007-07-06,39.4,39.92,38.8,39.82
2007-07-09,39.55,40.4,38.48,40.3
2007-07-10,39.5,39.5,38.48,39.0
2007-07-11,39.0,39.25,38.7,39.06
2007-07-12,38.95,39.06,38.31,39.01
2007-07-13,38.3,39.89,38.0,39.47
2007-07-16,38.0,39.85,37.07,39.3
2007-07-17,39.02,39.5,38.27,38.86
2007-07-18,36.95,38.86,36.6,37.94
2007-07-19,38.04,38.45,37.63,38.1
2007-07-20,38.1,38.18,37.87,38.03
2007-07-23,35.1,39.0,35.1,38.91
2007-07-24,38.72,39.22,38.13,38.4
2007-07-25,38.25,38.57,38.0,38.47
2007-07-26,38.0,38.3,36.72,37.56
2007-07-27,36.0,38.13,35.73,36.95
2007-07-30,36.4,36.45,35.58,36.05
2007-07-31,36.05,36.08,35.7,35.82
2007-08-01,34.92,36.0,34.76,35.22
2007-08-02,34.61,35.5,34.09,35.27
2007-08-03,35.1,35.43,35.0,35.09
2007-08-06,35.2,35.32,34.98,35.15
2007-08-07,34.85,35.38,34.0,34.85
2007-08-08,32.09,35.47,32.09,34.74
2007-08-09,34.3,34.77,33.62,33.73
2007-08-10,33.73,33.73,32.38,32.81
2007-08-13,33.0,33.25,32.39,32.99
2007-08-14,33.13,33.25,32.12,32.45
2007-08-15,32.53,33.24,32.5,32.96
2007-08-16,32.06,33.25,32.0,33.04
2007-08-17,33.9,35.23,33.5,35.1
2007-08-20,34.87,35.98,34.6,34.95
2007-08-21,33.9,34.97,33.85,34.67
2007-08-22,34.75,35.34,34.3,34.86
2007-08-23,35.25,35.53,34.87,35.36
2007-08-24,35.28,37.0,35.1,36.27
2007-08-27,36.2,36.56,35.4,35.47
2007-08-28,34.95,35.63,34.9,35.12
2007-08-29,35.32,35.5,34.81,35.36
2007-08-30,35.08,35.97,34.63,34.96
2007-08-31,34.53,35.55,34.0,34.87
2007-09-04,34.87,35.02,34.3,34.91
2007-09-05,34.5,34.77,33.95,34.69
2007-09-06,32.0,36.69,32.0,35.23
2007-09-07,34.8,34.81,33.15,33.5
2007-09-10,33.41,33.95,33.17,33.2
2007-09-11,33.27,33.46,32.6,33.04
2007-09-12,32.82,33.19,32.4,32.56
2007-09-13,33.01,33.22,32.65,32.89
2007-09-14,32.68,33.69,32.63,33.06
2007-09-17,32.8,33.31,32.59,33.14
2007-09-18,33.03,34.99,32.62,33.59
2007-09-19,33.95,34.59,32.5376,33.07
2007-09-20,33.07,33.66,32.8,33.46
2007-09-21,33.86,33.97,33.18,33.45
2007-09-24,33.53,33.71,33.03,33.39
2007-09-25,33.33,33.77,33.14,33.77
2007-09-26,34.25,35.35,34.22,34.54
2007-09-27,34.74,35.75,34.54,35.18
2007-09-28,35.02,35.53,34.85,35.43
2007-10-01,35.7,36.64,34.93,36.28
2007-10-02,36.0,36.25,35.72,35.95
2007-10-03,35.96,36.0,35.25,35.66
2007-10-04,35.66,36.47,34.92,35.9
2007-10-05,35.85,36.89,35.81,36.05
2007-10-08,36.23,37.33,36.18,37.12
2007-10-09,37.12,37.33,36.57,36.73
2007-10-10,36.39,37.12,36.33,36.84
2007-10-11,37.0,37.24,36.35,36.65
2007-10-12,36.49,37.09,36.37,37.0
2007-10-15,37.15,37.43,36.81,36.97
2007-10-16,37.0,37.2,36.58,36.99
2007-10-17,37.1,37.5,36.6,36.9
2007-10-18,36.77,36.93,36.65,36.88
2007-10-19,36.82,36.92,36.06,36.24
2007-10-22,35.89,36.3,35.27,35.68
2007-10-23,35.9,36.1,35.0,35.12
2007-10-24,35.1,35.1,33.89,34.56
2007-10-25,34.64,34.65,33.77,34.04
2007-10-26,34.28,34.49,33.48,33.7
2007-10-29,33.94,34.6,33.87,34.38
2007-10-30,34.25,35.54,34.08,35.0
2007-10-31,34.95,35.76,34.73,35.67
2007-11-01,35.62,36.0,35.02,35.17
2007-11-02,34.75,35.74,34.75,35.37
2007-11-05,35.23,35.23,33.54,33.76
2007-11-06,33.76,33.77,32.65,33.77
2007-11-07,33.36,33.48,32.55,32.99
2007-11-08,33.02,33.38,32.85,33.14
2007-11-09,32.64,33.22,31.77,32.57
2007-11-12,32.45,32.61,31.31,31.36
2007-11-13,31.38,33.41,31.36,32.35
2007-11-14,32.61,33.06,32.47,32.5
2007-11-15,32.31,33.15,31.98,33.1
2007-11-16,34.87,35.86,34.11,35.02
2007-11-19,34.73,35.78,34.73,35.05
2007-11-20,35.04,35.36,34.66,35.2
2007-11-21,34.84,35.55,34.55,35.01
2007-11-23,35.17,35.43,34.79,35.43
2007-11-26,35.36,35.95,34.48,34.64
2007-11-27,34.75,35.01,34.06,34.48
2007-11-28,34.67,35.96,34.28,35.69
2007-11-29,35.51,36.82,35.39,36.6
2007-11-30,36.67,37.45,36.37,37.39
2007-12-03,37.01,37.62,37.01,37.26
2007-12-04,36.96,37.26,36.67,36.8
2007-12-05,37.07,37.07,36.4,36.8
2007-12-06,36.79,37.97,36.72,37.63
2007-12-07,37.62,37.81,37.07,37.42
2007-12-10,37.45,37.49,36.6,37.38
2007-12-11,37.36,37.89,36.43,36.51
2007-12-12,37.24,37.44,36.55,37.14
2007-12-13,36.88,37.37,36.54,36.96
2007-12-14,37.04,37.09,36.25,36.54
2007-12-17,36.31,37.0,36.1,36.53
2007-12-18,36.72,37.68,36.42,36.81
2007-12-19,37.0,37.3,36.54,36.8
2007-12-20,36.99,37.02,36.3,36.58
2007-12-21,37.04,38.14,36.86,37.28
2007-12-24,36.96,38.09,36.96,37.94
2007-12-26,37.46,38.46,37.46,37.97
2007-12-27,37.82,38.12,37.0,37.45
2007-12-28,37.82,38.14,37.02,37.8
2007-12-31,37.61,37.75,36.815,37.13
2008-01-02,37.13,37.25,36.23,36.77
2008-01-03,36.56,37.78,36.56,36.68
2008-01-04,36.4,36.64,35.43,35.52
2008-01-07,35.7,35.77,34.04,34.26
2008-01-08,34.28,34.36,32.81,32.92
2008-01-09,32.82,33.53,32.37,33.37
2008-01-10,33.05,34.14,32.95,33.82
2008-01-11,33.45,34.03,33.15,33.42
2008-01-14,33.62,34.99,33.45,34.32
2008-01-15,33.84,34.28,33.08,33.17
2008-01-16,33.09,34.18,32.6,33.71
2008-01-17,33.74,34.11,32.61,32.71
2008-01-18,32.93,33.35,31.58,32.26
2008-01-22,30.65,32.31,30.65,31.74
2008-01-23,30.76,31.44,30.19,31.41
2008-01-24,31.28,32.7,31.28,32.61
2008-01-25,32.86,33.41,32.7,33.23
2008-01-28,33.41,33.41,32.41,33.36
2008-01-29,33.63,33.71,32.68,32.81
2008-01-30,32.67,34.25,31.53,33.41
