Date,Open,High,Low,Close
2011-01-25,23.0,23.0,23.0,23.0
2011-01-26,24.75,25.78,24.3,25.0
2011-01-27,24.9,25.85,24.9,25.4
2011-01-28,25.4,25.4,25.0,25.0
2011-01-31,24.98,26.5,24.75,26.07
2011-02-01,26.45,26.63,25.5,25.75
2011-02-02,25.98,26.33,25.74,25.95
2011-02-03,25.76,26.08,25.75,25.95
2011-02-04,26.05,27.1,25.75,26.08
2011-02-07,26.05,26.2,25.64,25.79
2011-02-08,25.7,26.06,25.65,26.03
2011-02-09,25.97,26.2,25.53,25.58
2011-02-10,25.5,25.64,25.0,25.4
2011-02-11,26.02,26.02,25.11,25.22
2011-02-14,25.47,25.47,25.11,25.37
2011-02-15,25.32,25.42,25.06,25.38
2011-02-16,25.31,26.0,25.31,26.0
2011-02-17,25.88,27.21,25.88,27.01
2011-02-18,27.08,27.84,26.88,27.69
2011-02-22,27.15,27.49,26.21,26.42
2011-02-23,26.15,26.72,25.97,26.66
2011-02-24,26.46,26.52,25.94,25.95
2011-02-25,26.04,26.16,25.78,25.99
2011-02-28,26.11,26.74,25.96,26.59
2011-03-01,26.0,27.5,25.9201,27.13
2011-03-02,27.05,27.25,26.74,26.92
2011-03-03,26.84,26.94,26.07,26.74
2011-03-04,26.52,27.04,26.32,26.55
2011-03-07,27.27,27.84,26.85,27.0
2011-03-08,27.0,27.49,26.9,27.1
2011-03-09,27.0,27.18,26.68,26.97
2011-03-10,26.47,26.94,25.87,26.02
2011-03-11,25.81,26.48,25.81,26.0
2011-03-14,25.79,26.76,25.77,26.46
2011-03-15,25.9,26.58,25.81,26.34
2011-03-16,26.32,26.38,25.71,26.03
2011-03-17,26.43,26.49,26.04,26.09
2011-03-18,26.2,26.66,26.2,26.64
2011-03-21,26.65,27.06,26.44,27.0
2011-03-22,26.91,27.47,26.82,27.15
2011-03-23,27.01,27.38,26.63,26.78
2011-03-24,26.85,27.14,26.43,27.06
2011-03-25,27.21,28.15,27.21,27.62
2011-03-28,27.58,28.02,27.34,27.49
2011-03-29,27.52,27.94,27.31,27.94
2011-03-30,28.01,28.15,27.62,27.82
2011-03-31,27.84,27.95,27.15,27.31
2011-04-01,27.4,27.66,27.01,27.29
2011-04-04,27.28,28.0,27.28,27.75
2011-04-05,27.64,27.64,27.17,27.41
