Date,Open,High,Low,Close
2006-01-03,28.84,29.5,28.82,29.3
2006-01-04,29.38,29.46,29.05,29.46
2006-01-05,29.48,29.82,29.34,29.68
2006-01-06,31.0,31.36,29.9,31.15
2006-01-09,30.8,31.15,30.75,31.06
2006-01-10,30.2,30.48,30.18,30.39
2006-01-11,30.4,30.64,30.06,30.64
2006-01-12,30.54,31.0,30.54,30.59
2006-01-13,30.3,30.36,30.07,30.21
2006-01-17,29.5,30.98,29.5,30.84
2006-01-18,30.42,31.0,30.41,30.99
2006-01-19,30.9,31.24,30.8,31.09
2006-01-20,31.11,31.58,31.1,31.19
2006-01-23,30.91,30.96,30.5,30.73
2006-01-24,30.55,30.7,30.1,30.59
2006-01-25,30.87,31.21,30.7802,30.97
2006-01-26,31.0,31.26,30.94,31.22
2006-01-27,31.2,31.6,31.2,31.43
2006-01-30,31.43,31.5,30.99,31.43
2006-01-31,32.35,32.35,31.15,31.53
2006-02-01,31.555,31.79,31.26,31.72
2006-02-02,31.72,31.95,31.59,31.66
2006-02-03,31.46,31.65,31.35,31.47
2006-02-06,31.45,32.0,31.41,31.99
2006-02-07,31.75,32.7,31.66,32.29
2006-02-08,32.29,32.73,32.28,32.44
2006-02-09,32.44,32.65,31.74,31.74
2006-02-10,31.65,32.02,31.51,31.97
2006-02-13,31.45,32.35,31.13,32.18
2006-02-14,32.21,32.23,31.89,31.89
2006-02-15,31.89,32.48,31.89,32.36
2006-02-16,32.45,32.86,32.2,32.83
2006-02-17,32.94,32.94,32.5,32.7
2006-02-21,32.55,32.67,32.25,32.34
2006-02-22,32.39,32.53,32.11,32.44
2006-02-23,32.5,32.51,32.22,32.39
2006-02-24,32.38,32.48,32.15,32.4
2006-02-27,32.18,33.05,32.15,32.94
2006-02-28,32.82,32.86,32.38,32.66
2006-03-01,32.76,32.94,32.57,32.63
2006-03-02,32.68,32.68,31.9,32.6
2006-03-03,32.5,32.64,32.36,32.52
2006-03-06,32.52,32.525,32.22,32.37
2006-03-07,32.17,32.26,31.44,31.88
2006-03-08,31.86,31.88,31.228,31.53
2006-03-09,31.68,31.85,31.37,31.43
2006-03-10,31.55,31.62,31.38,31.56
2006-03-13,31.55,31.75,31.41,31.55
2006-03-14,31.45,32.06,31.41,31.67
2006-03-15,31.57,32.0,31.45,31.89
2006-03-16,31.95,32.09,31.75,31.84
2006-03-17,31.77,32.02,31.5,31.51
2006-03-20,31.42,31.88,31.36,31.44
2006-03-21,31.42,32.29,31.26,31.92
2006-03-22,31.86,32.43,31.67,32.35
2006-03-23,32.26,32.37,32.05,32.16
2006-03-24,32.16,32.32,31.06,31.5
2006-03-27,31.5,31.55,30.25,30.82
2006-03-28,30.87,31.09,30.61,30.9
2006-03-29,28.8,29.23,28.21,29.11
2006-03-30,28.85,30.08,28.85,30.06
2006-03-31,30.05,30.37,29.88,30.07
2006-04-03,30.06,30.06,29.38,29.91
2006-04-04,29.905,30.48,29.54,30.35
2006-04-05,29.93,30.2,29.64,29.7
2006-04-06,29.5,29.67,29.1,29.4
2006-04-07,29.38,29.6,29.03,29.03
2006-04-10,29.03,29.16,28.82,29.01
2006-04-11,28.96,28.96,28.6,28.75
2006-04-12,28.8,29.53,28.79,29.39
2006-04-13,29.2,29.75,29.165,29.49
2006-04-17,29.25,29.95,29.21,29.68
2006-04-18,29.6,30.68,29.6,30.58
2006-04-19,30.15,30.58,30.1,30.2
2006-04-20,30.2,30.4,30.11,30.16
2006-04-21,30.05,30.31,29.81,30.01
2006-04-24,29.7,29.94,29.43,29.71
2006-04-25,29.65,29.75,29.48,29.65
2006-04-26,29.6,30.04,29.51,29.6
2006-04-27,29.53,29.84,29.16,29.69
2006-04-28,29.55,29.55,29.0,29.07
2006-05-01,29.02,29.79,29.02,29.47
2006-05-02,29.42,29.77,29.41,29.45
2006-05-03,29.4,29.66,29.24,29.36
2006-05-04,29.32,29.6,29.18,29.35
2006-05-05,29.05,29.54,29.05,29.45
2006-05-08,29.03,29.6,29.02,29.5
2006-05-09,29.5,29.67,29.2,29.41
2006-05-10,29.27,29.56,29.1,29.5
2006-05-11,29.46,30.0,29.42,29.62
2006-05-12,29.28,29.72,29.1,29.17
2006-05-15,28.7,28.86,28.36,28.86
