Date,Open,High,Low,Close
2006-01-03,57.87,58.04,57.04,57.85
2006-01-04,58.45,58.46,58.05,58.37
2006-01-05,58.39,58.39,57.41,57.7
2006-01-06,57.95,59.0,57.94,58.92
2006-01-09,58.9,59.17,57.54,59.05
2006-01-10,58.6,58.91,57.9,58.86
2006-01-11,58.8,58.85,58.15,58.54
2006-01-12,58.59,59.01,58.05,58.18
2006-01-13,58.18,58.45,57.85,58.34
2006-01-17,58.34,58.93,58.1916,58.8
2006-01-18,58.95,59.78,58.91,59.53
2006-01-19,59.6,59.87,59.35,59.54
2006-01-20,59.54,59.54,58.62,58.82
2006-01-23,58.85,59.24,58.64,59.04
2006-01-24,59.059,59.27,58.85,59.23
2006-01-25,58.8,59.23,57.13,57.27
2006-01-26,57.36,57.61,57.0,57.15
2006-01-27,58.1,58.1,56.5,57.0
2006-01-30,57.0,57.1,56.4,56.8
2006-01-31,56.88,56.88,56.02,56.47
2006-02-01,56.493,56.61,55.7,55.98
2006-02-02,55.98,56.3,55.55,55.97
2006-02-03,55.55,56.07,55.07,55.34
2006-02-06,55.1,55.3,54.55,54.75
2006-02-07,54.5,55.09,54.34,54.7
2006-02-08,55.0,55.75,54.87,55.47
2006-02-09,55.47,56.07,55.37,55.44
2006-02-10,55.49,55.79,55.14,55.79
2006-02-13,55.7,56.08,55.52,56.0
2006-02-14,56.35,56.99,56.25,56.92
2006-02-15,56.73,57.28,56.33,57.14
2006-02-16,57.162,56.93,56.05,56.47
2006-02-17,56.47,56.74,55.7,56.26
2006-02-21,55.95,56.0,55.45,55.57
2006-02-22,55.2,55.55,54.15,54.3
2006-02-23,54.35,54.65,53.6,54.27
2006-02-24,54.292,54.35,53.63,54.07
2006-02-27,54.08,54.95,54.06,54.7
2006-02-28,54.35,54.36,53.38,53.95
2006-03-01,53.95,54.18,53.46,53.78
2006-03-02,53.78,53.9,53.25,53.8
2006-03-03,53.78,53.94,53.49,53.53
2006-03-06,53.7,53.74,53.17,53.39
2006-03-07,53.17,53.44,53.02,53.23
2006-03-08,53.1,53.41,52.92,53.3
2006-03-09,53.5,53.97,53.47,53.83
2006-03-10,53.73,54.22,53.55,53.92
2006-03-13,53.86,53.88,53.15,53.31
2006-03-14,53.0,53.6,52.81,53.3
2006-03-15,53.6,53.6,52.8,53.15
2006-03-16,53.172,53.2,52.8,52.96
2006-03-17,52.98,52.99,52.47,52.66
2006-03-20,52.65,53.7,52.38,53.53
2006-03-21,53.54,53.65,53.01,53.11
2006-03-22,52.5,53.9,52.5,53.83
2006-03-23,54.52,54.52,53.31,53.86
2006-03-24,53.86,54.0999,53.2,53.23
2006-03-27,53.0,53.01,51.79,51.84
2006-03-28,51.8,52.33,51.42,52.02
2006-03-29,52.0,52.33,51.5,51.88
2006-03-30,51.75,51.7914,51.28,51.58
2006-03-31,51.1,51.11,50.55,50.75
2006-04-03,51.26,51.44,50.92,51.14
2006-04-04,51.3,51.71,50.87,51.5
2006-04-05,50.5,50.9,50.0,50.58
2006-04-06,50.8,51.64,50.75,51.49
2006-04-07,51.45,51.55,50.9,50.95
2006-04-10,50.66,51.16,50.45,50.93
2006-04-11,51.0,51.09,50.34,50.5
2006-04-12,50.78,51.71,50.44,51.04
2006-04-13,50.57,51.04,49.62,49.93
2006-04-17,49.93,50.52,49.5,49.56
2006-04-18,49.65,49.97,48.95,49.29
2006-04-19,49.29,49.55,48.96,49.11
2006-04-20,49.19,50.0,49.19,49.45
2006-04-21,49.85,50.28,49.28,49.52
2006-04-24,49.5,49.92,49.2,49.79
2006-04-25,49.8,49.85,48.77,49.05
2006-04-26,49.3,49.9,49.22,49.73
2006-04-27,50.73,50.73,49.69,49.89
2006-04-28,49.9,50.25,49.85,50.12
2006-05-01,50.15,50.31,49.8,49.95
2006-05-02,50.06,50.06,49.16,49.52
2006-05-03,49.53,49.53,48.28,48.49
2006-05-04,48.65,48.93,48.2,48.54
2006-05-05,48.75,48.82,48.02,48.36
2006-05-08,48.37,48.39,47.94,48.05
2006-05-09,48.02,48.43,48.0,48.35
2006-05-10,48.17,48.49,48.05,48.34
2006-05-11,48.33,48.77,48.25,48.75
2006-05-12,48.74,48.84,48.35,48.72
2006-05-15,48.5,49.12,48.44,49.05
2006-05-16,49.4,49.53,49.28,49.38
2006-05-17,49.3,49.66,49.12,49.19
2006-05-18,49.0,49.55,48.9,49.35
2006-05-19,49.5,49.65,49.0,49.3
2006-05-22,49.05,49.11,48.51,48.57
2006-05-23,48.4,48.65,47.8,47.95
2006-05-24,49.48,50.64,48.84,50.17
2006-05-25,50.18,51.15,50.17,50.6
2006-05-26,50.61,50.87,50.01,50.26
2006-05-30,50.45,50.62,50.09,50.27
2006-05-31,50.37,50.5,49.95,50.49
2006-06-01,50.5,51.05,50.5,51.02
2006-06-02,51.2,51.4,51.07,51.2
2006-06-05,51.0,51.35,50.55,50.71
2006-06-06,50.72,51.07,50.52,50.87
2006-06-07,51.1,51.83,51.05,51.43
2006-06-08,51.4,51.63,50.8,51.33
2006-06-09,51.1,51.5,50.74,50.88
2006-06-12,50.88,51.07,50.56,50.58
2006-06-13,50.45,51.2,50.39,50.65
2006-06-14,50.85,51.0,50.35,50.57
2006-06-15,50.5,50.58,49.92,50.53
2006-06-16,50.37,50.68,50.15,50.25
2006-06-19,50.5,50.51,49.66,49.75
2006-06-20,49.6,49.9,49.5,49.75
2006-06-21,50.35,50.35,49.2,49.38
2006-06-22,49.15,49.48,48.81,48.95
2006-06-23,48.5,48.93,48.46,48.48
2006-06-26,48.6,48.74,48.16,48.28
2006-06-27,48.1,48.35,47.14,47.24
2006-06-28,47.14,47.5,46.77,46.99
2006-06-29,47.15,47.24,46.91,47.0
2006-06-30,47.1,47.15,46.58,46.92
2006-07-03,47.0,47.15,46.75,46.86
2006-07-05,46.5,47.18,46.41,47.05
2006-07-06,47.25,47.57,47.12,47.43
2006-07-07,47.41,47.74,47.21,47.59
2006-07-10,47.25,47.95,46.94,47.7
2006-07-11,47.57,48.13,47.57,47.98
2006-07-12,47.8,48.0864,47.64,47.73
2006-07-13,47.73,47.92,47.43,47.5
2006-07-14,47.45,47.73,46.74,47.05
2006-07-17,47.0,47.71,46.99,47.5
2006-07-18,47.51,47.68,46.72,47.28
2006-07-19,47.45,48.1,47.35,47.82
2006-07-20,47.7,48.23,47.5775,47.95
2006-07-21,48.0,48.22,47.54,47.81
2006-07-24,47.9,48.15,47.62,47.7
2006-07-25,47.4,49.64,47.32,49.32
2006-07-26,49.5,50.1,49.09,49.9
2006-07-27,50.08,50.09,49.38,49.81
2006-07-28,50.12,50.72,49.9,50.5
2006-07-31,50.3,50.66,49.91,50.52
2006-08-01,50.2,50.47,49.94,50.47
2006-08-02,52.75,52.75,50.8,50.93
2006-08-03,45.01,45.89,44.2,44.32
2006-08-04,44.5,44.85,43.48,43.62
2006-08-07,43.6,43.85,43.55,43.8
2006-08-08,44.0,44.05,42.83,42.88
2006-08-09,43.5,43.9,43.23,43.55
2006-08-10,43.25,43.75,43.1599,43.4
2006-08-11,43.1,43.33,42.96,43.06
2006-08-14,42.87,43.25,42.37,42.47
2006-08-15,42.5,43.37,42.44,43.25
2006-08-16,43.4,43.55,43.16,43.3
2006-08-17,43.11,45.45,43.1,44.5
2006-08-18,44.58,45.75,44.5,45.53
2006-08-21,45.0,45.83,44.9,45.57
2006-08-22,45.25,45.6,44.97,45.36
2006-08-23,45.95,46.25,44.61,45.31
2006-08-24,44.41,46.49,44.41,46.2
2006-08-25,46.32,46.49,45.67,46.14
2006-08-28,46.1,46.46,45.89,45.94
2006-08-29,46.39,46.39,45.7,45.98
2006-08-30,46.22,46.75,46.07,46.55
2006-08-31,47.0,47.02,46.55,46.9
2006-09-01,47.1,47.1,46.64,46.91
2006-09-05,47.1,47.2,46.42,46.53
2006-09-06,46.55,46.93,46.38,46.8
2006-09-07,46.8,46.9,46.5,46.74
2006-09-08,44.1,46.96,44.1,46.66
2006-09-11,48.49,48.49,44.86,46.85
2006-09-12,46.85,47.18,46.19,47.18
2006-09-13,47.14,47.15,46.3,46.36
2006-09-14,46.36,46.62,46.352,46.41
2006-09-15,46.47,46.58,46.01,46.2
2006-09-18,45.5,46.53,45.5,46.52
2006-09-19,46.52,46.9,46.37,46.49
2006-09-20,46.75,47.84,46.6,47.53
2006-09-21,47.65,47.75,47.02,47.23
2006-09-22,46.9,46.91,46.17,46.6
2006-09-25,47.0,47.05,46.06,46.47
2006-09-26,46.2,46.55,45.93,46.28
2006-09-27,46.03,46.27,45.88,45.97
2006-09-28,45.88,46.36,45.3,46.35
2006-09-29,46.1,46.68,46.03,46.44
2006-10-02,46.5,47.18,46.5,46.7
2006-10-03,46.92,47.6,46.82,47.25
2006-10-04,47.35,49.0,47.2,48.92
2006-10-05,48.5,49.63,48.17,49.18
2006-10-06,49.18,49.48,49.02,49.29
2006-10-09,49.2,49.4,49.05,49.29
2006-10-10,49.31,49.47,49.0,49.44
2006-10-11,49.44,49.49,49.0,49.09
2006-10-12,49.09,49.1,48.5,49.02
2006-10-13,49.0,49.1,48.55,48.62
2006-10-16,48.79,49.15,48.51,48.63
2006-10-17,48.63,48.78,48.46,48.65
2006-10-18,48.65,48.86,47.91,48.1
2006-10-19,47.8,48.12,47.59,48.08
2006-10-20,48.3,48.83,47.953,48.44
2006-10-23,48.22,48.68,48.1,48.52
2006-10-24,48.95,49.38,48.73,49.02
2006-10-25,49.22,49.25,48.64,48.99
2006-10-26,48.92,48.98,48.6,48.76
2006-10-27,48.65,48.9,48.57,48.67
2006-10-30,48.79,49.16,48.62,48.7
2006-10-31,48.63,48.81,48.42,48.68
2006-11-01,48.72,48.91,48.5,48.66
2006-11-02,48.44,48.93,48.44,48.92
2006-11-03,49.0,49.2,48.86,49.01
2006-11-06,49.04,49.62,49.0,49.59
2006-11-07,49.84,50.08,49.5,49.51
2006-11-08,49.37,49.54,49.05,49.45
2006-11-09,49.36,49.85,48.88,49.02
2006-11-10,48.97,49.25,48.84,48.96
2006-11-13,49.01,49.35,48.86,48.9
2006-11-14,48.51,49.23,48.26,48.96
2006-11-15,48.97,49.23,48.2,48.33
2006-11-16,48.21,49.09,48.21,48.81
2006-11-17,48.83,48.83,48.05,48.71
2006-11-20,48.85,49.23,48.63,48.95
2006-11-21,52.5,53.86,52.29,53.55
2006-11-22,53.0,54.18,52.95,53.87
2006-11-24,53.47,53.57,53.26,53.45
2006-11-27,53.03,53.08,52.19,52.82
2006-11-28,52.51,52.99,52.46,52.65
2006-11-29,52.56,52.96,52.28,52.73
2006-11-30,52.68,52.82,52.07,52.13
2006-12-01,51.72,52.58,51.4,52.16
2006-12-04,52.33,53.51,52.11,53.35
2006-12-05,53.0,53.55,52.81,53.1
2006-12-06,53.1,53.72,53.0,53.58
2006-12-07,53.58,53.87,53.24,53.53
2006-12-08,53.25,53.7,53.06,53.43
2006-12-11,53.49,54.22,53.45,53.92
2006-12-12,53.75,54.39,53.31,54.16
2006-12-13,54.28,54.48,53.9,54.11
2006-12-14,54.1,54.4,53.84,53.94
2006-12-15,53.45,54.49,53.45,54.3
2006-12-18,54.0,54.35,53.75,54.13
2006-12-19,54.14,54.66,53.96,54.38
2006-12-20,53.69,54.53,53.69,54.31
2006-12-21,54.26,54.53,53.65,53.7
2006-12-22,53.73,53.79,53.22,53.22
2006-12-26,53.17,53.51,53.05,53.44
2006-12-27,53.81,54.41,53.25,53.32
2006-12-28,53.32,53.46,52.82,53.2
2006-12-29,53.25,53.75,53.05,53.51
2007-01-03,53.08,53.57,52.4,52.57
2007-01-04,52.57,53.32,52.21,53.2
2007-01-05,52.91,53.6,52.76,53.36
