Date,Open,High,Low,Close
2006-01-03,32.6,32.98,32.4,32.94
2006-01-04,33.01,33.3,32.84,32.91
2006-01-05,32.75,33.14,32.6,33.02
2006-01-06,33.07,33.5,32.95,33.42
2006-01-09,33.36,33.68,33.33,33.55
2006-01-10,33.66,35.27,33.6,34.76
2006-01-11,34.5,34.55,34.05,34.21
2006-01-12,34.25,34.28,33.84,34.0
2006-01-13,33.94,34.16,33.72,33.88
2006-01-17,33.61,33.72,33.38,33.56
2006-01-18,33.5,33.6,33.35,33.48
2006-01-19,33.32,33.55,33.1,33.37
2006-01-20,33.47,33.69,33.29,33.5
2006-01-23,33.47,33.68,33.3,33.38
2006-01-24,33.361,33.45,32.98,33.28
2006-01-25,33.24,33.53,33.01,33.51
2006-01-26,33.59,33.89,33.24,33.55
2006-01-27,33.45,33.75,33.36,33.55
2006-01-30,33.47,33.53,33.27,33.47
2006-01-31,33.37,33.45,32.81,33.09
2006-02-01,33.113,33.25,32.62,33.22
2006-02-02,32.85,32.9,32.14,32.33
2006-02-03,32.26,32.61,31.93,32.06
2006-02-06,32.06,32.09,31.63,31.75
2006-02-07,31.67,32.22,31.65,31.95
2006-02-08,32.03,32.54,31.96,32.39
2006-02-09,32.34,32.58,32.05,32.19
2006-02-10,32.19,32.2,31.73,32.13
2006-02-13,32.05,32.29,31.92,32.12
2006-02-14,32.19,32.55,32.15,32.4
2006-02-15,32.39,32.59,32.1,32.59
2006-02-16,32.5,32.67,32.17,32.5
2006-02-17,31.9,31.95,30.37,30.76
2006-02-21,29.42,30.6,29.42,29.83
2006-02-22,29.91,30.61,29.91,30.41
2006-02-23,30.31,30.5,29.92,30.0
2006-02-24,30.17,30.33,30.08,30.1
2006-02-27,30.25,30.65,30.24,30.36
2006-02-28,30.25,30.29,29.85,29.98
2006-03-01,30.01,30.08,29.75,30.08
2006-03-02,30.08,30.33,29.95,30.02
2006-03-03,29.96,30.45,29.83,30.1
2006-03-06,30.14,30.39,30.07,30.11
2006-03-07,30.17,30.46,29.88,29.97
2006-03-08,30.0,30.49,29.97,30.44
2006-03-09,30.41,30.45,29.4,29.55
2006-03-10,29.56,29.94,29.53,29.55
2006-03-13,29.25,29.25,27.9,29.0
2006-03-14,28.8,29.28,28.69,29.04
2006-03-15,29.18,29.39,29.1,29.32
2006-03-16,29.31,29.93,29.17,29.5
2006-03-17,29.4,29.46,28.94,29.08
2006-03-20,29.05,29.66,29.03,29.35
2006-03-21,29.42,29.48,28.9,29.0
2006-03-22,28.93,29.02,28.77,28.96
2006-03-23,28.87,29.0,28.72,28.77
2006-03-24,28.76,28.9,28.67,28.85
2006-03-27,28.65,28.85,28.23,28.62
2006-03-28,28.54,28.72,28.41,28.52
2006-03-29,28.51,28.87,28.51,28.77
2006-03-30,28.77,28.98,28.53,28.67
2006-03-31,28.66,29.018,28.65,28.74
2006-04-03,28.91,29.19,28.82,29.01
2006-04-04,29.05,29.09,28.64,28.95
2006-04-05,28.95,29.2,28.86,29.03
2006-04-06,29.0,29.03,28.41,28.44
2006-04-07,28.46,28.51,27.87,27.93
2006-04-10,28.0,28.0,27.39,27.58
2006-04-11,27.57,27.61,27.21,27.35
2006-04-12,27.31,27.49,27.29,27.41
2006-04-13,27.44,27.47,27.14,27.33
2006-04-17,27.29,27.63,27.2,27.29
2006-04-18,27.33,27.82,27.32,27.82
2006-04-19,27.88,28.06,27.726,28.06
2006-04-20,28.02,28.2,27.66,28.15
2006-04-21,28.35,28.88,28.316,28.56
2006-04-24,28.55,28.79,28.21,28.7
2006-04-25,28.75,28.8,28.31,28.55
2006-04-26,28.7,28.91,28.56,28.64
2006-04-27,28.6,28.73,28.29,28.33
2006-04-28,28.37,28.59,28.02,28.44
2006-05-01,28.45,29.18,28.45,29.02
2006-05-02,29.13,29.56,28.94,29.25
2006-05-03,29.15,29.5,29.09,29.31
2006-05-04,29.28,29.49,28.96,29.03
2006-05-05,29.22,29.45,29.04,29.18
2006-05-08,29.21,30.48,29.21,29.99
2006-05-09,27.75,28.0,26.65,27.45
2006-05-10,27.5,27.6,26.8,26.95
2006-05-11,27.0,27.1,26.75,26.79
2006-05-12,26.79,27.25,26.6,26.63
2006-05-15,26.67,26.89,26.57,26.71
2006-05-16,26.76,26.9,26.5,26.53
2006-05-17,26.36,26.46,25.74,25.8
2006-05-18,25.8,25.96,25.56,25.6
2006-05-19,25.73,25.92,25.46,25.55
2006-05-22,25.47,25.6,25.39,25.43
2006-05-23,25.5,25.6,25.08,25.11
2006-05-24,25.12,25.42,25.02,25.28
2006-05-25,25.5,25.58,25.32,25.37
2006-05-26,25.41,25.74,25.32,25.57
2006-05-30,25.54,25.66,25.26,25.29
2006-05-31,25.34,25.59,25.21,25.33
2006-06-01,25.29,25.88,25.29,25.8
2006-06-02,25.8,25.88,25.31,25.46
2006-06-05,25.41,25.44,24.88,24.93
2006-06-06,25.0,25.06,24.6,24.65
2006-06-07,24.68,24.87,24.54,24.62
2006-06-08,24.52,24.69,24.2,24.57
2006-06-09,24.66,24.88,24.62,24.84
2006-06-12,24.99,25.2,24.66,24.7
2006-06-13,24.73,24.78,24.24,24.36
2006-06-14,24.43,24.8,24.07,24.35
2006-06-15,24.27,25.06,24.27,25.01
2006-06-16,25.1,25.2,24.51,24.58
2006-06-19,24.72,24.98,24.52,24.7
2006-06-20,24.59,24.73,24.24,24.3
2006-06-21,24.17,24.23,23.51,23.67
2006-06-22,23.43,23.47,22.87,23.1
2006-06-23,22.87,23.3,22.86,23.21
2006-06-26,23.12,23.61,23.12,23.38
2006-06-27,23.38,23.63,23.23,23.27
2006-06-28,23.38,23.44,23.1,23.32
2006-06-29,23.39,23.6,23.24,23.44
2006-06-30,23.42,23.62,23.23,23.28
2006-07-03,23.4,23.85,23.39,23.73
2006-07-05,23.55,23.67,23.33,23.55
2006-07-06,23.47,23.7,23.25,23.31
2006-07-07,23.29,23.29,22.67,22.75
2006-07-10,22.75,23.0,22.58,22.7
2006-07-11,22.65,22.83,22.56,22.62
2006-07-12,22.69,22.95,22.5,22.74
2006-07-13,22.55,22.89,22.55,22.77
2006-07-14,22.55,22.6,22.03,22.18
2006-07-17,22.21,22.68,22.19,22.34
2006-07-18,22.3,22.42,21.75,21.95
2006-07-19,21.97,22.36,21.88,22.03
2006-07-20,22.1,22.231,21.55,21.67
2006-07-21,21.67,21.69,21.35,21.42
2006-07-24,21.43,21.74,21.43,21.63
2006-07-25,21.52,21.77,21.49,21.6
2006-07-26,21.82,22.22,21.68,22.0
2006-07-27,22.0,22.22,21.87,22.02
2006-07-28,21.98,22.49,21.98,22.42
2006-07-31,22.35,22.56,22.22,22.39
2006-08-01,22.3,22.681,22.14,22.25
2006-08-02,22.25,22.85,22.21,22.73
2006-08-03,22.73,22.85,22.39,22.55
2006-08-04,22.62,22.95,22.5,22.59
2006-08-07,22.44,22.49,21.77,21.99
2006-08-08,22.1,22.78,22.1,22.4
2006-08-09,23.92,24.36,23.51,23.85
2006-08-10,23.8,24.11,23.79,23.94
2006-08-11,23.98,24.41,23.86,24.28
2006-08-14,24.58,24.77,24.38,24.43
2006-08-15,24.51,24.89,24.32,24.68
2006-08-16,24.91,25.43,24.88,25.27
2006-08-17,25.2,25.5,25.09,25.39
2006-08-18,25.43,25.78,25.28,25.6
2006-08-21,25.52,25.7,25.27,25.29
2006-08-22,25.33,25.76,25.31,25.66
2006-08-23,25.57,25.88,25.16,25.16
2006-08-24,25.33,25.78,25.33,25.64
2006-08-25,25.56,25.68,25.42,25.52
2006-08-28,25.5,25.65,25.47,25.53
2006-08-29,25.62,25.82,25.43,25.55
2006-08-30,25.59,25.92,25.54,25.61
2006-08-31,25.66,25.74,25.42,25.64
2006-09-01,25.81,26.04,25.7,25.86
2006-09-05,26.0,26.05,25.75,25.78
2006-09-06,25.6,25.8,25.38,25.71
2006-09-07,25.79,26.0,25.61,25.73
2006-09-08,25.73,26.12,25.66,26.02
2006-09-11,25.82,26.21,25.76,26.01
2006-09-12,25.93,26.26,25.85,26.09
2006-09-13,25.99,26.09,25.82,26.09
2006-09-14,26.15,26.39,26.02,26.36
2006-09-15,26.67,27.17,26.49,27.07
2006-09-18,26.96,27.03,26.72,26.75
2006-09-19,26.92,26.94,26.7,26.82
2006-09-20,26.79,27.05,26.59,26.59
2006-09-21,26.44,26.48,25.89,26.22
2006-09-22,26.29,26.29,25.8,25.91
2006-09-25,26.1,26.42,25.87,25.96
2006-09-26,25.88,26.22,25.88,25.93
2006-09-27,25.91,26.0,25.56,25.95
2006-09-28,25.99,26.14,25.86,25.95
2006-09-29,26.06,26.17,25.92,26.17
2006-10-02,26.3,26.36,25.92,25.93
2006-10-03,25.94,26.53,25.88,26.3
2006-10-04,26.43,26.52,26.1,26.47
2006-10-05,26.42,26.68,26.32,26.48
2006-10-06,26.57,26.9,26.4,26.86
2006-10-09,26.8,26.89,26.54,26.75
2006-10-10,26.8,26.8,25.6,25.79
2006-10-11,25.88,26.15,25.8,25.92
2006-10-12,26.1,26.13,25.71,25.92
2006-10-13,26.02,26.37,25.9,26.3
2006-10-16,26.44,26.64,26.34,26.46
2006-10-17,26.56,26.65,26.39,26.41
2006-10-18,26.56,26.94,26.41,26.71
2006-10-19,26.66,26.67,26.24,26.34
2006-10-20,26.34,26.45,26.2,26.4
2006-10-23,26.46,26.87,26.35,26.86
2006-10-24,26.76,26.92,26.49,26.86
2006-10-25,26.97,27.04,26.6,26.97
2006-10-26,26.98,26.99,26.6,26.84
2006-10-27,26.75,26.81,26.46,26.67
2006-10-30,26.7,26.84,26.39,26.55
2006-10-31,26.52,26.94,26.52,26.91
2006-11-01,27.0,27.13,26.43,26.43
2006-11-02,26.3,26.33,26.0,26.2
2006-11-03,26.2,26.4,26.08,26.2
2006-11-06,26.23,26.34,26.17,26.34
2006-11-07,26.34,26.4,25.92,26.25
2006-11-08,25.45,25.45,24.31,24.56
2006-11-09,24.52,24.99,24.5,24.56
2006-11-10,24.72,24.95,24.69,24.84
2006-11-13,24.9,24.97,24.54,24.71
2006-11-14,24.71,25.1,24.6,24.98
2006-11-15,24.86,25.0,24.69,24.78
2006-11-16,24.76,25.35,24.75,25.28
2006-11-17,25.03,25.46,25.02,25.17
2006-11-20,25.17,25.338,25.11,25.13
2006-11-21,25.19,25.3,24.89,24.99
2006-11-22,24.86,25.15,24.76,25.1
2006-11-24,24.97,25.2,24.95,25.07
2006-11-27,25.01,25.12,24.89,25.0
