Date,Open,High,Low,Close
2006-01-03,20.1,20.35,19.81,20.0
2006-01-04,20.0,20.4,19.88,19.92
2006-01-05,20.0,20.99,20.0,20.72
2006-01-06,20.87,20.99,20.54,20.65
2006-01-09,20.85,20.99,20.69,20.77
2006-01-10,20.78,21.2,20.76,20.86
2006-01-11,20.83,20.83,20.03,20.5
2006-01-12,21.55,21.55,20.47,20.84
2006-01-13,20.88,20.93,20.24,20.56
2006-01-17,20.42,20.56,20.2,20.32
2006-01-18,20.32,20.4,20.05,20.26
2006-01-19,20.26,20.35,20.15,20.28
2006-01-20,20.26,20.29,19.9,20.03
2006-01-23,20.0,20.29,19.91,19.97
2006-01-24,19.989,20.15,19.8,19.83
2006-01-25,19.8,19.81,19.32,19.4
2006-01-26,19.47,19.84,19.45,19.7
2006-01-27,19.7,19.98,19.69,19.85
2006-01-30,19.84,20.1,19.75,19.81
2006-01-31,19.81,19.9,19.38,19.7
2006-02-01,19.6,20.02,19.6,19.87
2006-02-02,19.8,19.87,19.05,19.3
2006-02-03,20.75,21.86,20.75,21.32
2006-02-06,21.5,21.69,21.339,21.56
2006-02-07,21.03,21.97,21.03,21.79
2006-02-08,21.95,22.049,21.59,21.92
2006-02-09,21.9,22.08,21.63,21.79
2006-02-10,21.84,21.99,21.25,21.55
2006-02-13,21.47,22.06,21.44,22.05
2006-02-14,22.02,22.4,21.94,22.12
2006-02-15,22.12,22.72,21.98,22.56
2006-02-16,22.582,22.71,22.35,22.7
2006-02-17,22.63,22.85,22.5,22.58
2006-02-21,22.63,23.08,22.6,23.0
2006-02-22,22.82,23.04,22.61,22.94
2006-02-23,23.49,23.49,23.16,23.23
2006-02-24,23.15,23.28,22.96,23.21
2006-02-27,23.32,23.69,23.222,23.67
2006-02-28,23.55,23.56,22.75,23.0
2006-03-01,22.9,23.27,22.73,23.25
2006-03-02,23.1,23.4,23.07,23.18
2006-03-03,23.17,23.23,22.62,22.68
2006-03-06,22.85,23.12,22.77,22.95
2006-03-07,22.95,23.35,22.851,23.29
2006-03-08,23.19,23.28,22.89,23.13
2006-03-09,23.18,23.39,22.89,22.9
2006-03-10,22.94,23.16,22.73,22.94
2006-03-13,23.2,23.23,22.83,23.03
2006-03-14,23.02,23.61,23.02,23.56
2006-03-15,23.47,24.0,23.36,23.92
2006-03-16,23.99,24.83,23.96,24.82
2006-03-17,25.0,25.0,24.36,24.92
2006-03-20,24.77,24.82,24.1,24.23
2006-03-21,24.23,24.55,24.11,24.26
2006-03-22,24.05,24.05,23.77,23.99
2006-03-23,24.02,24.02,23.51,23.71
2006-03-24,23.8,24.5,23.74,24.31
2006-03-27,24.2,24.31,23.78,23.87
2006-03-28,23.82,23.98,23.6,23.94
2006-03-29,23.8,23.97,23.75,23.97
2006-03-30,23.97,24.0,23.48,23.54
2006-03-31,23.52,23.73,23.26,23.4
2006-04-03,23.55,23.59,22.85,22.99
2006-04-04,23.02,23.58,23.0,23.55
2006-04-05,23.57,23.73,23.27,23.27
2006-04-06,23.18,23.18,22.82,23.01
2006-04-07,23.03,23.21,22.71,22.78
2006-04-10,22.88,22.88,22.61,22.72
2006-04-11,22.7,22.75,21.87,22.17
2006-04-12,22.27,22.61,22.17,22.26
2006-04-13,22.3,22.5,22.07,22.42
2006-04-17,22.47,22.56,22.04,22.12
2006-04-18,22.15,22.37,21.99,22.0
2006-04-19,21.3,21.69,21.15,21.57
2006-04-20,21.57,21.8,21.57,21.66
2006-04-21,21.79,21.8,21.41,21.53
2006-04-24,21.47,21.59,21.22,21.25
2006-04-25,21.25,21.38,21.1,21.26
2006-04-26,21.22,21.43,20.9,21.01
2006-04-27,21.97,21.97,20.99,21.72
2006-04-28,21.72,21.97,21.53,21.84
2006-05-01,21.88,22.22,21.82,22.13
2006-05-02,22.08,22.21,21.77,21.98
2006-05-03,21.93,22.26,21.88,21.97
2006-05-04,21.95,22.14,21.8,21.8
2006-05-05,21.82,21.87,21.53,21.59
2006-05-08,21.59,21.98,21.57,21.98
