Date,Open,High,Low,Close
2006-01-03,47.19,47.19,46.31,47.03
2006-01-04,46.975,47.39,46.82,47.21
2006-01-05,47.21,47.575,46.595,46.715
2006-01-06,47.185,47.42,46.105,46.895
2006-01-09,46.985,47.33,46.57,46.615
2006-01-10,46.315,46.81,46.045,46.325
2006-01-11,46.2,46.435,45.25,45.265
2006-01-12,45.285,46.593,45.2,45.735
2006-01-13,45.275,45.43,44.375,44.97
2006-01-17,44.875,44.9,44.385,44.605
2006-01-18,45.5,46.62,45.5,46.29
2006-01-19,46.7,46.8,45.46,46.025
2006-01-20,45.865,45.9,44.765,44.77
2006-01-23,44.77,45.296,44.325,44.535
2006-01-24,44.85,45.6,44.83,45.535
2006-01-25,46.0,46.05,45.04,45.275
2006-01-26,45.575,45.925,45.145,45.46
2006-01-27,45.35,46.655,45.35,46.345
2006-01-30,46.775,47.1,46.63,46.66
2006-01-31,46.975,48.595,46.78,48.4
2006-02-01,48.0,49.0,48.0,48.695
2006-02-02,48.8,48.8,48.15,48.51
2006-02-03,48.25,49.266,48.005,49.16
2006-02-06,49.035,49.035,48.615,48.8
2006-02-07,48.925,49.36,48.315,48.315
2006-02-08,47.84,48.26,47.35,48.06
2006-02-09,49.55,50.855,49.315,49.635
2006-02-10,49.99,50.38,49.125,50.205
2006-02-13,49.965,49.975,49.45,49.75
2006-02-14,49.9,51.395,49.9,51.3
2006-02-15,51.05,51.325,50.735,51.25
2006-02-16,51.239,50.99,50.23,50.75
2006-02-17,50.725,50.871,50.325,50.625
2006-02-21,50.15,50.98,49.67,49.71
2006-02-22,50.11,51.89,50.11,51.7
2006-02-23,51.7,52.48,50.7,52.32
2006-02-24,52.47,52.47,51.66,52.17
2006-02-27,52.01,52.45,51.8,52.11
2006-02-28,52.01,52.06,50.99,51.0
2006-03-01,51.28,51.63,50.888,51.29
2006-03-02,51.29,51.49,50.39,50.45
2006-03-03,50.01,51.31,49.55,50.56
2006-03-06,50.26,50.45,48.84,48.96
2006-03-07,48.96,50.34,48.9,49.97
2006-03-08,50.12,50.92,50.014,50.76
2006-03-09,50.87,50.98,49.67,49.71
2006-03-10,49.98,51.18,49.76,50.94
2006-03-13,51.28,51.692,49.7,50.55
2006-03-14,50.0,51.29,49.87,51.0
2006-03-15,51.01,51.61,51.01,51.37
2006-03-16,51.38,51.66,51.01,51.37
2006-03-17,51.69,51.94,50.9,51.06
2006-03-20,50.89,52.09,50.89,51.92
2006-03-21,51.6,51.97,50.22,50.43
2006-03-22,49.9,51.74,49.9,51.54
2006-03-23,51.36,51.41,50.02,50.55
2006-03-24,50.5,50.69,50.14,50.33
2006-03-27,50.48,50.49,49.77,49.98
2006-03-28,49.71,50.19,48.91,49.11
2006-03-29,49.43,50.74,49.27,50.55
2006-03-30,50.3,51.17,49.85,49.99
2006-03-31,49.9,49.96,49.11,49.14
2006-04-03,49.4,50.02,49.03,49.31
2006-04-04,49.22,49.43,48.21,49.12
2006-04-05,49.12,49.78,49.065,49.33
2006-04-06,48.87,49.28,46.8,47.88
2006-04-07,47.9,48.6,47.0,47.09
2006-04-10,47.09,47.09,45.26,47.06
2006-04-11,47.25,47.7,45.25,45.61
2006-04-12,46.15,47.49,46.11,46.94
2006-04-13,47.1,48.01,46.86,47.98
2006-04-17,47.98,47.99,47.179,47.5
2006-04-18,48.18,48.82,46.09,46.94
2006-04-19,46.72,47.11,44.51,45.67
2006-04-20,45.49,48.0,45.49,47.23
2006-04-21,47.67,47.9,46.79,47.1
2006-04-24,47.0,47.63,46.82,46.82
2006-04-25,46.68,47.28,45.88,46.07
2006-04-26,46.7,46.98,45.29,46.43
2006-04-27,42.86,42.86,34.83,37.0
2006-04-28,37.9,38.7,37.88,38.5
2006-05-01,38.77,40.07,38.55,39.75
2006-05-02,40.0,40.05,38.85,39.82
2006-05-03,39.0,39.01,36.9,37.22
2006-05-04,36.85,37.58,36.5,36.93
2006-05-05,37.24,38.03,37.16,37.99
2006-05-08,38.1,39.19,38.1,38.67
2006-05-09,38.43,38.95,37.76,37.8
2006-05-10,38.5,39.81,38.3,39.36
2006-05-11,39.03,39.84,39.03,39.71
2006-05-12,39.69,39.96,39.55,39.61
2006-05-15,39.6,40.35,39.56,39.85
2006-05-16,40.15,41.13,39.52,40.97
2006-05-17,40.85,41.3,40.5,40.73
2006-05-18,41.0,41.0,40.15,40.31
2006-05-19,40.29,40.52,39.8,40.25
