Date,Open,High,Low,Close
2006-01-03,211.465,218.046,209.313,217.826
2006-01-04,222.165,224.698,220.088,222.836
2006-01-05,223.216,225.994,220.964,225.839
2006-01-06,228.656,235.478,226.84,233.056
2006-01-09,233.431,236.929,230.693,233.676
2006-01-10,232.435,235.353,231.244,235.108
2006-01-11,235.863,237.785,234.817,236.044
2006-01-12,237.09,237.725,230.974,232.04
2006-01-13,232.38,233.671,231.029,233.351
2006-01-17,231.754,235.178,231.489,233.781
2006-01-18,223.867,228.902,221.84,222.671
2006-01-19,225.804,226.965,216.71,218.434
2006-01-20,219.563,220.228,197.561,199.924
2006-01-23,203.887,214.403,203.062,213.957
2006-01-24,218.226,222.691,217.451,221.73
2006-01-25,225.849,227.335,214.818,216.71
2006-01-26,219.983,220.208,211.985,217.343
2006-01-27,217.711,219.322,214.698,216.955
2006-01-30,214.823,216.85,212.706,213.617
2006-01-31,215.494,220.013,212.192,216.54
2006-02-01,194.703,201.195,193.948,201.085
2006-02-02,202.106,203.447,198.182,198.212
2006-02-03,197.001,197.141,186.466,190.962
2006-02-06,192.842,195.139,189.964,192.737
2006-02-07,191.681,192.036,181.849,184.138
2006-02-08,184.419,185.525,177.507,184.719
2006-02-09,185.78,187.381,178.228,179.559
2006-02-10,181.15,182.427,176.741,181.481
2006-02-13,173.488,175.47,171.111,173.017
2006-02-14,172.832,176.015,171.366,171.826
2006-02-15,170.8,173.168,169.079,171.356
2006-02-16,173.002,183.678,172.412,183.408
2006-02-17,185.109,186.25,181.986,184.554
2006-02-21,183.398,186.951,182.732,183.473
2006-02-22,183.753,184.654,182.106,182.922
2006-02-23,182.982,190.805,182.872,189.218
2006-02-24,188.833,190.219,186.926,188.883
2006-02-27,190.82,196.04,190.324,195.377
2006-02-28,196.791,198.963,169.419,181.486
2006-03-01,184.459,184.904,180.825,182.577
2006-03-02,182.316,190.735,181.275,188.407
2006-03-03,192.336,193.808,188.062,189.273
2006-03-06,190.64,191.886,183.748,184.228
2006-03-07,182.687,184.404,179.249,182.402
2006-03-08,177.139,180.189,175.44,177.111
2006-03-09,177.867,179.439,170.915,171.666
2006-03-10,171.916,172.417,165.936,168.914
2006-03-13,170.63,173.218,167.888,168.693
2006-03-14,168.736,176.356,166.471,175.75
2006-03-15,175.555,176.321,170.43,172.417
2006-03-16,174.474,174.544,169.114,169.549
2006-03-17,169.564,171.056,167.627,170.06
2006-03-20,171.336,175.215,170.935,174.264
2006-03-21,175.175,176.0,169.704,170.125
2006-03-22,170.04,172.217,168.914,170.275
2006-03-23,171.341,173.043,170.265,171.111
2006-03-24,184.489,185.224,181.431,183.077
2006-03-27,183.723,186.035,182.677,185.024
2006-03-28,186.035,189.113,185.765,188.783
2006-03-29,190.154,199.693,189.939,197.681
2006-03-30,194.784,196.941,191.991,194.408
2006-03-31,194.558,196.125,192.201,195.189
2006-04-03,194.954,196.425,194.153,195.039
2006-04-04,195.139,202.646,194.258,202.366
2006-04-05,204.3,207.486,201.605,204.193
2006-04-06,203.442,207.146,202.911,205.789
2006-04-07,206.405,206.625,202.206,203.277
2006-04-10,203.737,208.787,202.821,208.392
2006-04-11,208.412,209.753,203.307,205.028
2006-04-12,204.698,205.864,202.791,204.673
2006-04-13,204.513,205.079,200.444,201.275
2006-04-17,201.92,206.45,200.614,203.607
2006-04-18,204.163,205.114,200.945,202.316
2006-04-19,206.485,207.02,203.562,205.449
2006-04-20,205.704,208.202,204.298,207.701
2006-04-21,224.667,225.578,218.296,218.762
2006-04-24,219.913,222.565,218.471,220.463
2006-04-25,220.028,220.734,213.206,213.787
2006-04-26,214.077,215.228,211.97,213.191
2006-04-27,211.66,213.662,209.898,210.219
2006-04-28,209.515,213.071,208.352,209.172
2006-05-01,209.438,209.923,199.468,199.643
2006-05-02,200.734,201.44,194.388,197.591
2006-05-03,198.367,200.945,195.629,197.276
2006-05-04,197.706,199.628,196.295,197.566
2006-05-05,198.993,200.534,196.08,197.341
2006-05-08,197.746,198.752,195.214,197.581
2006-05-09,198.039,204.698,197.066,204.598
2006-05-10,204.353,206.054,201.125,201.685
2006-05-11,201.905,202.551,192.677,193.688
2006-05-12,191.956,192.621,186.956,187.246
2006-05-15,188.147,190.259,184.303,188.282
2006-05-16,188.177,188.613,185.124,185.83
2006-05-17,185.485,190.104,185.289,187.431
2006-05-18,189.574,191.09,185.535,185.675
2006-05-19,186.821,187.431,180.46,185.189
2006-05-22,184.103,186.696,182.802,185.655
2006-05-23,187.286,192.126,186.961,187.972
2006-05-24,188.858,191.906,185.985,190.81
2006-05-25,189.724,191.686,186.335,191.681
2006-05-26,192.461,193.127,190.199,190.86
2006-05-30,189.323,190.685,185.905,186.15
2006-05-31,187.082,189.308,183.568,186.09
2006-06-01,186.951,191.681,185.98,191.495
2006-06-02,193.607,193.728,188.908,189.904
