Date,Open,High,Low,Close
2006-01-03,19.6167,20.1267,19.46,20.0967
2006-01-04,20.1667,20.6633,20.04,20.3167
2006-01-05,20.3167,20.8067,20.2667,20.6333
2006-01-06,20.6367,20.7733,20.32,20.7333
2006-01-09,20.7967,21.11,20.76,20.9167
2006-01-10,20.92,21.25,20.7533,21.1667
2006-01-11,21.12,21.3667,20.88,21.29
2006-01-12,21.29,21.3,20.7553,21.2567
2006-01-13,20.9667,20.97,19.7333,20.45
2006-01-17,20.45,20.4667,20.0667,20.3333
2006-01-18,20.0667,20.5467,20.0467,20.5467
2006-01-19,20.59,20.87,20.59,20.75
2006-01-20,20.7533,21.0867,20.4367,20.6533
2006-01-23,20.6533,21.06,20.6533,21.0567
2006-01-24,21.0333,21.5933,21.0,21.09
2006-01-25,21.2567,21.2733,20.67,20.8067
2006-01-26,20.8733,21.2967,20.8533,21.1633
2006-01-27,21.17,21.4833,20.9,20.9967
2006-01-30,20.98,21.6133,20.8933,21.4167
2006-01-31,21.3667,21.3667,20.7533,21.04
2006-02-01,21.0477,21.39,20.6667,21.23
2006-02-02,22.3167,23.2463,21.8,23.02
2006-02-03,22.97,22.97,22.5633,22.7533
2006-02-06,22.6767,22.6767,22.45,22.54
2006-02-07,22.5,22.5133,22.1133,22.1367
2006-02-08,21.9,21.9567,21.4533,21.9067
2006-02-09,21.9333,22.4433,21.9133,22.1333
2006-02-10,22.1333,22.1333,21.5833,21.7067
2006-02-13,21.4667,21.97,21.4667,21.7333
2006-02-14,21.6667,22.35,21.4333,22.24
2006-02-15,22.22,22.66,22.0933,22.66
2006-02-16,22.6667,23.2733,22.3833,23.1767
2006-02-17,23.2767,23.3367,23.1167,23.3167
2006-02-21,23.3333,23.41,22.5333,22.6367
2006-02-22,22.65,23.0833,22.6267,23.05
2006-02-23,22.8333,23.4167,22.77,22.9933
2006-02-24,22.9933,23.2833,22.8432,23.2767
2006-02-27,23.31,23.9067,23.2933,23.7067
2006-02-28,23.6833,23.7533,22.5967,22.8933
2006-03-01,23.2267,23.9633,22.9533,23.88
2006-03-02,23.8333,24.2,23.2433,24.11
2006-03-03,24.11,24.62,23.5833,24.56
2006-03-06,24.67,24.7833,24.04,24.1333
2006-03-07,23.9667,24.0333,22.96,23.4167
2006-03-08,23.4167,23.4167,23.0,23.2867
2006-03-09,23.1667,23.3567,22.95,23.16
2006-03-10,23.16,23.6,23.0,23.6
2006-03-13,23.8333,23.9933,23.41,23.5
2006-03-14,23.5667,24.41,23.5367,24.41
2006-03-15,24.5833,25.3,24.4167,25.2833
2006-03-16,25.4333,25.5,24.83,24.8833
2006-03-17,25.0,25.0867,24.7667,24.9033
2006-03-20,25.2333,25.27,24.7833,24.8833
2006-03-21,24.8833,25.06,24.54,24.6333
2006-03-22,24.6833,25.02,24.6133,24.7833
2006-03-23,24.7333,25.2733,24.723300000000002,25.1167
2006-03-24,25.0033,25.9863,25.0,25.8133
2006-03-27,25.8133,26.31,25.7533,26.2033
2006-03-28,26.6667,27.0667,26.55,26.8133
2006-03-29,26.9,27.4133,26.9,27.4
2006-03-30,27.45,27.82,27.1133,27.42
2006-03-31,27.3833,27.4833,26.6767,26.9
2006-04-03,26.95,27.01,26.45,26.45
2006-04-04,26.2167,26.74,25.973300000000002,26.6
2006-04-05,26.6,27.0633,26.6,26.9
2006-04-06,26.8867,27.4367,26.5967,27.36
2006-04-07,27.4167,27.74,26.9267,27.2367
2006-04-10,27.3167,27.4997,26.78,26.96
2006-04-11,26.9867,27.3,26.9367,27.1567
2006-04-12,26.8667,27.3733,26.8667,27.2667
2006-04-13,27.1667,27.4,26.8667,27.25
2006-04-17,27.2,27.2433,26.52,26.8167
2006-04-18,26.8133,28.19,26.7933,28.1867
2006-04-19,28.2667,28.55,27.89,28.5067
