Date,Open,High,Low,Close
2006-01-03,10.37,10.41,10.278,10.35
2006-01-04,10.35,10.593,10.338,10.575
2006-01-05,10.598,10.65,10.52,10.54
2006-01-06,10.563,10.625,10.503,10.615
2006-01-09,10.645,10.663,10.46,10.485
2006-01-10,10.485,10.635,10.483,10.625
2006-01-11,10.625,10.78,10.538,10.563
2006-01-12,10.55,10.708,10.535,10.693
2006-01-13,10.693,10.813,10.693,10.745
2006-01-17,10.723,10.763,10.555,10.59
2006-01-18,10.54,10.685,10.538,10.67
2006-01-19,10.678,10.678,10.585,10.643
2006-01-20,10.625,10.645,10.55,10.55
2006-01-23,10.593,10.623,10.55,10.558
2006-01-24,10.583,10.64,10.54,10.56
2006-01-25,10.565,10.578,10.4,10.435
2006-01-26,10.463,10.67,10.463,10.62
2006-01-27,10.658,10.738,10.6,10.638
2006-01-30,10.635,10.723,10.61,10.7
2006-01-31,10.668,10.748,10.65,10.735
2006-02-01,10.673,10.858,10.673,10.833
2006-02-02,10.825,10.833,10.688,10.703
2006-02-03,11.125,11.83,11.125,11.55
2006-02-06,11.525,11.525,11.128,11.168
2006-02-07,11.2,11.27,10.94,11.003
2006-02-08,11.008,11.05,10.973,11.01
2006-02-09,11.068,11.135,10.943,11.128
2006-02-10,11.125,11.125,10.875,10.905
2006-02-13,10.833,10.928,10.75,10.828
2006-02-14,10.828,10.923,10.75,10.773
2006-02-15,10.765,10.818,10.683,10.75
2006-02-16,10.763,10.808,10.695,10.758
2006-02-17,10.768,10.768,10.593,10.598
2006-02-21,10.59,10.59,10.415,10.528
2006-02-22,10.528,10.6,10.513,10.59
2006-02-23,10.588,10.628,10.515,10.518
2006-02-24,10.503,10.555,10.478,10.508
2006-02-27,10.5,10.508,10.475,10.5
2006-02-28,10.488,10.503,10.25,10.338
2006-03-01,10.275,10.515,10.26,10.475
2006-03-02,10.5,10.573,10.473,10.565
2006-03-03,10.588,10.688,10.54,10.625
2006-03-06,10.6,10.65,10.5,10.553
2006-03-07,10.538,10.61,10.408,10.458
2006-03-08,10.413,10.46,10.323,10.36
2006-03-09,10.39,10.495,10.37,10.43
2006-03-10,10.423,10.5,10.4,10.448
2006-03-13,10.438,10.525,10.36,10.39
2006-03-14,10.396,10.48,10.345,10.47
2006-03-15,10.458,10.57,10.445,10.57
2006-03-16,10.553,10.575,10.505,10.575
2006-03-17,10.575,10.688,10.553,10.65
2006-03-20,10.615,10.688,10.598,10.675
2006-03-21,10.718,10.77,10.663,10.76
2006-03-22,10.76,10.973,10.703,10.958
2006-03-23,10.963,11.218,10.96,11.215
2006-03-24,11.215,11.288,11.178,11.205
2006-03-27,11.213,11.215,11.118,11.118
2006-03-28,11.118,11.123,11.008,11.07
2006-03-29,11.043,11.11,10.953,10.955
2006-03-30,10.955,10.955,10.7,10.833
2006-03-31,10.858,10.905,10.818,10.875
2006-04-03,10.73,10.91,10.73,10.858
2006-04-04,10.845,10.863,10.75,10.85
2006-04-05,10.848,10.885,10.738,10.863
2006-04-06,10.825,10.885,10.753,10.838
2006-04-07,10.863,10.975,10.795,10.815
2006-04-10,10.813,10.85,10.718,10.78
2006-04-11,10.763,10.795,10.658,10.705
2006-04-12,10.703,10.788,10.688,10.725
2006-04-13,10.713,10.715,10.503,10.713
2006-04-17,10.713,10.73,10.645,10.693
2006-04-18,10.705,10.998,10.705,10.883
2006-04-19,10.883,10.975,10.87,10.938
2006-04-20,10.98,11.263,10.963,11.223
2006-04-21,11.375,11.528,11.25,11.375
2006-04-24,11.338,11.343,11.138,11.228
2006-04-25,11.225,11.228,11.123,11.17
2006-04-26,11.188,11.225,11.098,11.16
2006-04-27,11.16,11.18,11.108,11.165
2006-04-28,11.125,11.238,11.09,11.11
2006-05-01,11.0,11.098,10.953,10.975
2006-05-02,10.985,11.025,10.935,10.975
2006-05-03,10.99,11.025,10.87,10.915
2006-05-04,10.915,11.035,10.915,11.018
2006-05-05,11.018,11.11,10.943,11.08
2006-05-08,11.038,11.105,11.0,11.025
2006-05-09,11.0,11.025,10.873,10.875
2006-05-10,10.875,11.005,10.875,10.978
2006-05-11,10.938,11.195,10.92,11.05
2006-05-12,11.06,11.08,10.905,10.995
2006-05-15,10.935,11.13,10.935,11.125
2006-05-16,11.125,11.188,11.085,11.103
2006-05-17,11.063,11.13,10.875,10.963
2006-05-18,10.978,11.098,10.93,10.943
2006-05-19,11.005,11.098,10.96,11.06
2006-05-22,11.053,11.095,10.9,11.013
2006-05-23,11.025,11.028,10.84,10.88
2006-05-24,10.87,11.018,10.775,10.96
2006-05-25,10.968,11.025,10.88,10.988
2006-05-26,10.998,11.12,10.963,11.0
2006-05-30,10.975,11.098,10.958,11.048
2006-05-31,11.038,11.115,10.965,11.085
2006-06-01,11.058,11.155,11.0,11.143
2006-06-02,11.188,11.293,11.145,11.268
2006-06-05,11.238,11.295,11.09,11.133
2006-06-06,11.123,11.188,11.048,11.1
2006-06-07,11.1,11.268,11.1,11.225
2006-06-08,11.2,11.353,11.18,11.333
2006-06-09,11.325,11.375,11.243,11.27
2006-06-12,11.285,11.293,11.14,11.165
2006-06-13,11.138,11.303,11.135,11.195
2006-06-14,11.158,11.183,11.083,11.16
2006-06-15,11.175,11.335,11.11,11.328
2006-06-16,11.353,11.425,11.29,11.353
2006-06-19,11.338,11.403,11.225,11.253
2006-06-20,11.233,11.325,11.2,11.248
2006-06-21,11.22,11.35,11.22,11.325
2006-06-22,11.313,11.315,11.055,11.083
2006-06-23,11.055,11.148,11.0,11.078
2006-06-26,11.063,11.26,11.033,11.14
2006-06-27,11.138,11.143,11.005,11.04
2006-06-28,11.07,11.113,10.968,10.99
2006-06-29,11.028,11.18,11.005,11.14
2006-06-30,11.168,11.358,11.078,11.358
2006-07-03,11.358,11.408,11.255,11.38
2006-07-05,11.375,11.398,11.158,11.2
2006-07-06,11.188,11.34,11.188,11.238
2006-07-07,11.21,11.325,11.195,11.228
2006-07-10,11.25,11.363,11.183,11.205
2006-07-11,11.175,11.24,11.16,11.2
2006-07-12,11.178,11.298,11.178,11.233
2006-07-13,11.213,11.275,11.163,11.165
2006-07-14,11.165,11.222,11.0,11.053
2006-07-17,11.013,11.173,11.013,11.125
2006-07-18,11.125,11.228,11.023,11.15
2006-07-19,11.163,11.49,11.163,11.43
2006-07-20,11.453,11.475,11.308,11.4
2006-07-21,11.4,11.425,11.193,11.288
2006-07-24,11.285,11.383,11.12,11.23
2006-07-25,10.775,10.913,10.388,10.815
2006-07-26,10.79,10.893,10.588,10.848
2006-07-27,10.848,10.913,10.688,10.873
