Date,Open,High,Low,Close
2006-01-03,40.43,41.95,40.01,41.43
2006-01-04,41.29,43.04,41.25,42.45
2006-01-05,42.67,43.45,42.14,43.25
2006-01-06,43.21,43.673,43.01,43.49
2006-01-09,43.11,44.65,43.11,44.11
2006-01-10,44.0,44.11,43.38,43.92
2006-01-11,43.8,45.12,43.8,44.92
2006-01-12,44.79,45.53,44.79,45.33
2006-01-13,45.15,46.43,45.15,45.995
2006-01-17,45.48,46.49,45.48,46.37
2006-01-18,45.95,46.91,45.4,46.57
2006-01-19,46.55,47.52,46.07,47.34
2006-01-20,47.3,47.3,45.88,46.14
2006-01-23,46.44,46.44,45.99,46.2
2006-01-24,46.0,46.69,45.97,46.57
2006-01-25,46.69,47.25,46.21,46.85
2006-01-26,46.73,46.8,46.15,46.61
2006-01-27,46.45,47.8,46.45,47.4
2006-01-30,47.48,47.48,46.64,47.12
2006-01-31,46.88,47.25,46.66,46.93
2006-02-01,46.57,47.15,46.57,47.05
2006-02-02,46.83,47.04,46.43,46.62
2006-02-03,46.58,47.01,46.27,46.49
2006-02-06,46.23,46.67,45.88,46.48
2006-02-07,46.16,46.87,46.09,46.69
2006-02-08,46.58,48.28,46.58,48.0
2006-02-09,46.23,47.27,44.58,47.25
2006-02-10,47.0,47.72,46.48,47.5
2006-02-13,47.14,47.22,44.83,44.97
2006-02-14,44.78,45.34,44.43,44.95
2006-02-15,45.06,45.08,44.43,45.08
2006-02-16,45.14,47.07,45.14,47.05
2006-02-17,46.96,47.19,46.55,46.9
2006-02-21,46.84,46.98,46.09,46.12
2006-02-22,46.06,47.75,46.06,47.27
2006-02-23,46.78,49.5,46.64,48.05
2006-02-24,48.17,51.2,47.77,50.52
2006-02-27,50.39,52.2,50.26,52.16
2006-02-28,51.85,52.63,51.75,52.44
2006-03-01,52.28,52.9,51.64,52.85
2006-03-02,52.95,53.2,51.71,52.51
2006-03-03,52.21,52.28,51.74,51.81
2006-03-06,51.81,52.25,51.26,51.86
2006-03-07,51.72,51.92,50.15,50.8
2006-03-08,50.49,50.93,50.157,50.71
2006-03-09,50.74,51.79,50.74,51.66
2006-03-10,51.4,53.54,51.4,53.54
2006-03-13,53.58,56.08,53.45,54.96
2006-03-14,55.07,56.4,55.07,55.5
2006-03-15,55.33,55.42,54.21,55.16
2006-03-16,55.31,55.72,54.09,54.34
2006-03-17,54.61,56.65,54.42,56.05
2006-03-20,55.99,56.0,54.89,55.49
2006-03-21,55.31,56.2,55.13,55.31
2006-03-22,54.98,56.37,54.98,56.25
2006-03-23,56.39,58.0,55.7,57.53
2006-03-24,57.94,60.67,57.44,58.54
2006-03-27,58.94,59.04,58.13,58.59
2006-03-28,58.32,58.82,57.87,58.3
2006-03-29,58.65,59.73,58.0,59.02
2006-03-30,59.47,61.89,58.58,61.83
2006-03-31,61.44,64.41,61.44,64.22
2006-04-03,63.0,63.01,60.71,62.1
2006-04-04,62.34,62.39,59.29,59.52
2006-04-05,59.25,59.31,55.91,58.06
2006-04-06,58.19,60.04,57.48,60.0
2006-04-07,59.77,60.0,57.9,59.01
2006-04-10,58.96,59.2,55.85,56.64
2006-04-11,56.37,56.95,55.27,56.0
2006-04-12,56.05,57.05,56.0,56.89
2006-04-13,57.13,58.209,56.59,57.35
2006-04-17,56.91,57.72,55.13,56.78
2006-04-18,56.79,57.72,56.79,57.15
2006-04-19,57.38,58.15,57.09,57.35
2006-04-20,57.04,57.66,57.0,57.06
2006-04-21,57.36,58.03,57.17,57.52
2006-04-24,58.03,58.28,55.84,56.49
2006-04-25,56.42,57.91,56.42,57.83
2006-04-26,57.52,58.2,55.35,56.43
2006-04-27,59.87,63.82,58.77,62.0
2006-04-28,61.61,66.33,61.61,65.9
2006-05-01,65.57,65.8,63.18,63.61
2006-05-02,63.42,64.27,62.81,62.86
2006-05-03,62.63,63.0,61.13,61.54
2006-05-04,61.43,64.0,61.12,63.89
2006-05-05,63.77,64.32,63.06,63.11
2006-05-08,62.91,64.83,62.72,64.56
2006-05-09,64.19,65.0,63.79,64.44
2006-05-10,64.2,65.92,64.11,65.2
2006-05-11,65.3,65.3,62.35,62.54
2006-05-12,61.8,63.58,61.6,63.09
2006-05-15,62.58,63.0,61.26,62.85
2006-05-16,62.71,63.65,62.46,63.39
2006-05-17,62.71,63.2,60.94,61.9
2006-05-18,62.32,63.33,59.0,59.67
2006-05-19,59.45,59.8,55.93,56.97
2006-05-22,56.7,58.09,55.46,57.12
2006-05-23,57.2,57.38,56.2,56.26
2006-05-24,56.44,56.64,53.47,55.25
2006-05-25,55.52,55.93,54.36,54.7
2006-05-26,55.16,59.31,54.91,58.81
2006-05-30,58.12,58.68,57.05,57.65
2006-05-31,57.9,58.31,57.28,58.28
2006-06-01,58.26,60.55,56.7,60.43
2006-06-02,60.65,61.65,60.08,61.03
2006-06-05,60.5,61.08,59.0,59.65
2006-06-06,59.85,60.53,58.68,59.03
2006-06-07,59.27,60.0,58.69,58.73
2006-06-08,58.49,58.49,54.35,57.24
2006-06-09,57.23,58.65,55.8,56.16
2006-06-12,52.34,53.99,50.79,52.38
2006-06-13,52.5,52.68,47.82,49.24
2006-06-14,49.11,50.59,48.31,48.98
2006-06-15,49.4,52.14,49.29,51.0
2006-06-16,51.0,51.13,49.08,49.67
2006-06-19,49.96,50.15,47.5,48.01
2006-06-20,48.13,48.51,47.66,47.7
2006-06-21,47.63,51.85,47.51,50.96
2006-06-22,51.0,51.21,49.96,50.41
2006-06-23,50.45,52.14,49.804,51.62
2006-06-26,51.87,52.31,51.0,51.3
2006-06-27,51.49,52.0,50.44,50.81
2006-06-28,51.15,51.16,49.48,51.12
2006-06-29,51.27,55.17,51.27,54.2
2006-06-30,52.6,55.5,52.5,54.86
2006-07-03,54.19,55.49,54.19,54.9
2006-07-05,53.94,54.75,52.89,53.09
2006-07-06,53.13,53.95,52.3,52.58
2006-07-07,52.33,52.94,51.69,51.71
2006-07-10,51.67,52.06,49.48,50.41
2006-07-11,50.13,50.77,48.61,50.62
2006-07-12,50.55,51.6,50.55,50.67
2006-07-13,50.87,50.87,48.06,48.24
2006-07-14,48.0,48.61,45.93,46.89
2006-07-17,46.54,47.2,45.61,46.37
2006-07-18,46.66,47.66,46.3,47.18
2006-07-19,47.33,49.71,46.97,49.23
2006-07-20,49.17,49.56,47.17,47.48
2006-07-21,47.19,47.71,46.13,46.88
2006-07-24,47.02,48.5,47.02,48.35
2006-07-25,48.55,50.33,48.01,49.9
2006-07-26,49.99,50.64,48.68,50.09
2006-07-27,50.17,51.07,48.8,49.01
2006-07-28,51.0,51.33,49.48,50.68
2006-07-31,51.18,52.69,50.5,52.38
2006-08-01,51.78,52.25,50.41,50.67
2006-08-02,51.0,52.2,50.14,52.04
2006-08-03,49.72,50.6,47.43,50.5
2006-08-04,51.0,51.0,49.0,49.73
2006-08-07,49.15,49.49,47.33,48.8
2006-08-08,48.82,50.5,48.65,49.93
2006-08-09,50.67,51.81,49.94,50.23
2006-08-10,49.78,50.64,49.36,50.2
2006-08-11,49.78,50.64,49.37,50.05
2006-08-14,50.46,51.125,49.78,50.33
2006-08-15,52.53,58.82,52.25,58.0
2006-08-16,58.87,59.21,57.29,59.1
2006-08-17,58.37,59.68,58.37,59.37
2006-08-18,59.13,59.5,57.6,59.44
2006-08-21,58.94,58.94,57.02,57.35
2006-08-22,57.29,57.6,56.5,57.13
2006-08-23,57.01,57.35,55.65,55.84
