Date,Open,High,Low,Close
2006-01-03,53.63,54.69,52.94,54.62
2006-01-04,54.86,54.86,53.62,54.62
2006-01-05,54.64,54.86,54.2,54.39
2006-01-06,54.64,55.47,54.365,55.47
2006-01-09,55.32,55.45,54.77,55.33
2006-01-10,55.92,55.92,54.37,54.95
2006-01-11,54.7,55.03,54.33,54.66
2006-01-12,54.66,54.87,54.31,54.67
2006-01-13,55.04,56.23,54.95,55.92
2006-01-17,55.45,57.02,55.38,56.98
2006-01-18,56.98,57.87,56.86,57.58
2006-01-19,57.52,57.81,57.22,57.8
2006-01-20,57.88,58.57,57.46,57.99
2006-01-23,58.2,58.68,57.97,58.55
2006-01-24,58.531,58.87,57.7,58.86
2006-01-25,58.15,59.9,57.75,57.84
2006-01-26,58.4,58.44,56.91,57.27
2006-01-27,57.28,58.77,57.23,57.61
2006-01-30,57.61,57.47,56.48,56.72
2006-01-31,56.6,57.69,56.46,57.42
2006-02-01,57.443,57.44,56.53,57.22
2006-02-02,57.26,57.43,55.83,56.15
2006-02-03,56.15,56.4,55.1,55.97
2006-02-06,55.6,56.35,55.6,56.05
2006-02-07,55.75,55.87,55.04,55.41
2006-02-08,55.27,55.37,54.59,54.79
2006-02-09,54.69,55.99,54.5,55.51
2006-02-10,55.9,56.94,55.61,56.45
2006-02-13,56.1,56.31,55.55,55.59
2006-02-14,55.5,56.09,54.42,56.01
2006-02-15,55.9,56.67,55.49,56.02
2006-02-16,56.042,56.03,55.11,55.48
2006-02-17,55.25,55.96,55.03,55.95
2006-02-21,55.97,56.88,55.83,56.65
2006-02-22,57.15,57.3,56.78,57.1
2006-02-23,57.1,57.62,56.7,57.23
2006-02-24,57.18,57.37,56.95,57.11
2006-02-27,57.33,58.34,57.27,58.06
2006-02-28,57.9,57.91,56.53,57.11
2006-03-01,56.95,56.98,56.14,56.45
2006-03-02,56.45,56.67,55.48,56.52
2006-03-03,56.52,57.42,56.26,57.02
2006-03-06,57.02,56.91,54.82,55.05
2006-03-07,55.05,55.05,54.33,54.91
2006-03-08,55.05,55.49,53.71,55.12
2006-03-09,55.099,55.47,54.55,54.68
2006-03-10,54.8,55.95,54.69,55.48
2006-03-13,55.49,55.62,55.14,55.42
2006-03-14,55.398,56.35,55.24,56.2
2006-03-15,56.15,56.23,55.46,56.08
2006-03-16,56.0,56.85,56.0,56.37
2006-03-17,56.55,56.59,55.8,55.9
2006-03-20,56.05,56.32,55.38,55.45
2006-03-21,55.28,55.43,54.36,54.63
2006-03-22,53.54,55.49,53.54,55.34
2006-03-23,55.65,55.65,54.89,55.05
2006-03-24,54.95,55.42,54.69,54.79
2006-03-27,54.82,54.83,53.95,53.97
2006-03-28,53.975,54.41,53.3,53.65
2006-03-29,53.8,54.31,53.6,54.17
2006-03-30,53.8,54.03,52.79,53.19
2006-03-31,54.07,54.07,52.8,52.9
2006-04-03,52.9,53.68,52.62,52.74
2006-04-04,52.8,53.6,52.5,53.47
2006-04-05,53.47,54.39,53.05,54.28
2006-04-06,54.41,54.45,53.02,53.32
2006-04-07,53.3,53.51,51.9,51.95
2006-04-10,51.87,52.58,51.87,52.19
2006-04-11,52.46,52.5,51.37,51.54
2006-04-12,51.6,51.85,51.14,51.76
2006-04-13,51.76,52.0,51.13,51.73
2006-04-17,51.45,51.73,51.31,51.67
2006-04-18,51.55,53.24,51.53,53.15
2006-04-19,52.97,53.47,52.76,53.13
2006-04-20,53.1,53.98,53.0,53.66
2006-04-21,53.95,53.99,53.13,53.43
2006-04-24,53.17,55.96,52.99,55.65
2006-04-25,55.65,55.65,54.6,54.78
2006-04-26,54.25,54.45,53.16,53.41
2006-04-27,53.42,54.65,52.81,54.16
2006-04-28,54.15,54.33,53.55,54.0
2006-05-01,53.85,54.25,53.41,53.8
2006-05-02,54.5,54.95,54.36,54.9
2006-05-03,55.0,55.4,54.77,55.3
2006-05-04,55.3,56.05,55.23,55.84
