Date,Open,High,Low,Close
2006-01-03,25.485,25.485,23.375,23.71
2006-01-04,23.6,24.165,23.545,24.14
2006-01-05,24.14,24.945,24.05,24.78
2006-01-06,25.135,25.135,24.645,24.68
2006-01-09,24.75,25.19,24.75,25.04
2006-01-10,25.0,25.64,24.87,25.5
2006-01-11,25.5,25.505,24.92,25.3
2006-01-12,25.3,25.465,25.125,25.355
2006-01-13,25.375,25.375,24.93,24.945
2006-01-17,24.945,25.31,24.7,25.23
2006-01-18,25.0,25.59,25.0,25.19
2006-01-19,25.285,25.615,25.25,25.505
2006-01-20,25.505,25.55,24.97,25.05
2006-01-23,25.25,25.72,25.14,25.445
2006-01-24,25.4545,25.625,25.305,25.38
2006-01-25,25.515,25.725,25.4,25.635
2006-01-26,25.81,26.14,24.88,24.905
2006-01-27,24.905,25.04,24.73,24.925
2006-01-30,24.94,25.3595,24.78,25.34
2006-01-31,25.34,25.55,25.19,25.465
2006-02-01,25.34,25.565,25.165,25.505
2006-02-02,25.6,25.675,25.255,25.3
2006-02-03,25.3,25.445,24.835,24.87
2006-02-06,24.95,24.95,24.41,24.65
2006-02-07,24.055,24.785,24.0455,24.65
2006-02-08,24.655,24.655,24.28,24.405
2006-02-09,24.5,24.555,24.145,24.19
2006-02-10,24.185,24.425,24.005,24.425
2006-02-13,24.425,24.47,24.19,24.375
2006-02-14,24.35,24.375,23.717,24.175
2006-02-15,24.125,24.315,23.975,24.25
2006-02-16,24.31,24.88,24.31,24.685
2006-02-17,24.725,25.215,24.71,24.96
2006-02-21,24.865,25.05,24.78,24.87
2006-02-22,24.92,25.29,24.88,25.135
2006-02-23,25.22,25.435,25.175,25.265
2006-02-24,25.26,25.73,25.1,25.625
2006-02-27,25.7,26.245,25.68,26.185
2006-02-28,26.21,26.375,25.825,26.03
2006-03-01,26.03,26.255,25.875,26.21
2006-03-02,26.24,26.725,26.105,26.675
2006-03-03,26.665,26.84,26.4262,26.445
2006-03-06,26.475,26.475,26.125,26.36
2006-03-07,26.39,26.39,25.665,25.805
2006-03-08,25.805,26.415,25.6501,26.305
2006-03-09,26.52,26.565,26.25,26.255
2006-03-10,26.05,26.265,25.885,25.995
2006-03-13,25.995,26.0,25.625,25.72
2006-03-14,25.709,26.0,25.6125,25.97
2006-03-15,25.985,26.025,25.745,25.85
2006-03-16,25.925,26.755,25.832,26.39
2006-03-17,26.395,26.635,25.99,26.605
2006-03-20,26.625,27.095,26.42,27.09
2006-03-21,27.24,27.39,26.885,26.93
2006-03-22,26.875,26.875,26.395,26.495
2006-03-23,26.575,26.74,26.43,26.68
2006-03-24,26.85,27.185,26.465,26.495
2006-03-27,25.775,26.025,25.375,25.85
2006-03-28,25.79,26.05,24.82,25.12
2006-03-29,24.65,25.0,24.145,24.79
2006-03-30,24.65,25.495,24.65,25.435
2006-03-31,26.05,26.925,25.64,26.505
2006-04-03,26.35,26.355,25.305,25.69
2006-04-04,25.69,26.095,25.44,25.995
2006-04-05,25.5,25.745,24.105,24.305
2006-04-06,24.425,24.765,24.35,24.445
2006-04-07,24.445,24.525,24.06,24.175
2006-04-10,23.92,23.935,23.25,23.38
2006-04-11,23.625,23.73,23.345,23.67
2006-04-12,23.67,24.29,23.655,24.14
2006-04-13,24.14,24.365,23.935,24.01
2006-04-17,23.97,24.06,23.545,23.59
2006-04-18,23.57,23.925,23.57,23.64
2006-04-19,23.65,23.825,23.355,23.59
2006-04-20,23.76,24.15,23.76,23.95
2006-04-21,23.995,24.02,23.785,23.93
2006-04-24,23.885,24.04,23.825,24.015
2006-04-25,24.005,24.155,23.935,23.995
2006-04-26,23.995,24.385,23.995,24.31
2006-04-27,24.15,24.15,23.625,23.66
2006-04-28,23.515,24.05,23.405,23.715
2006-05-01,23.84,23.915,23.445,23.52
2006-05-02,23.52,23.53,23.17,23.275
2006-05-03,23.27,23.46,23.14,23.39
2006-05-04,23.355,23.595,23.27,23.41
2006-05-05,23.485,23.745,23.485,23.6
2006-05-08,23.55,23.55,23.1,23.155
2006-05-09,23.15,23.195,22.93,23.0
2006-05-10,22.945,23.05,22.785,22.8
2006-05-11,22.6,22.7,22.225,22.275
2006-05-12,22.225,22.655,22.095,22.56
2006-05-15,23.015,23.745,22.82,23.42
2006-05-16,23.445,23.84,23.42,23.8
2006-05-17,23.805,23.81,23.085,23.085
2006-05-18,23.105,23.36,23.04,23.04
2006-05-19,23.11,23.11,22.545,22.63
2006-05-22,22.155,22.625,22.12,22.555
2006-05-23,22.555,22.885,22.51,22.66
2006-05-24,22.66,23.045,22.595,22.9
2006-05-25,23.07,23.24,22.835,22.885
2006-05-26,22.85,23.085,22.605,23.015
2006-05-30,22.9,22.9,22.43,22.43
2006-05-31,22.58,23.31,22.555,23.29
2006-06-01,23.295,23.565,23.14,23.36
2006-06-02,23.555,23.615,22.87,22.93
2006-06-05,22.64,23.135,22.64,23.06
2006-06-06,23.15,23.21,22.555,22.77
2006-06-07,22.725,23.045,22.565,22.595
2006-06-08,22.485,22.485,22.185,22.42
2006-06-09,22.42,22.86,22.405,22.745
2006-06-12,22.79,23.005,22.55,22.575
2006-06-13,22.625,22.795,22.525,22.595
2006-06-14,22.625,23.465,22.625,23.395
2006-06-15,23.39,24.605,23.39,24.515
2006-06-16,24.515,24.695,24.035,24.035
2006-06-19,24.01,24.195,23.58,23.585
2006-06-20,23.58,23.7,23.335,23.665
2006-06-21,23.735,24.05,23.73,24.05
2006-06-22,23.95,23.955,23.555,23.75
2006-06-23,23.825,24.425,23.725,24.235
2006-06-26,24.305,24.425,23.98,24.015
2006-06-27,23.97,24.075,23.64,23.69
2006-06-28,23.485,24.26,23.3,24.1
2006-06-29,24.125,24.61,24.11,24.57
2006-06-30,24.65,24.745,24.1475,24.275
2006-07-03,24.275,24.92,24.275,24.74
2006-07-05,24.58,24.595,23.745,23.89
2006-07-06,23.95,23.97,23.185,23.335
2006-07-07,23.335,23.34,22.805,22.935
2006-07-10,22.935,22.935,22.4451,22.68
2006-07-11,22.45,22.455,21.625,21.92
2006-07-12,21.92,22.11,21.755,21.815
2006-07-13,21.815,21.82,20.195,20.25
2006-07-14,20.25,20.585,20.025,20.43
2006-07-17,20.555,20.85,20.48,20.56
2006-07-18,20.56,20.815,20.3,20.545
2006-07-19,20.705,20.995,20.63,20.88
2006-07-20,20.875,20.905,20.365,20.4
2006-07-21,20.37,20.37,19.79,19.85
2006-07-24,20.025,20.425,19.89,20.42
2006-07-25,20.405,20.46,20.1,20.215
2006-07-26,20.265,20.535,20.075,20.27
2006-07-27,20.385,20.735,20.025,20.08
2006-07-28,21.05,22.465,21.05,22.4
2006-07-31,22.275,22.28,20.89,21.27
2006-08-01,21.25,21.305,20.205,20.28
2006-08-02,20.155,20.58,20.155,20.425
2006-08-03,20.175,20.665,20.105,20.64
2006-08-04,20.745,20.745,20.18,20.31
2006-08-07,20.235,20.265,19.52,19.63
2006-08-08,19.63,19.815,19.355,19.4
2006-08-09,19.5,19.645,19.305,19.335
2006-08-10,19.125,19.515,19.0,19.39
2006-08-11,19.35,19.6,19.22,19.27
2006-08-14,19.25,19.74,19.201,19.34
2006-08-15,19.395,19.55,19.2,19.24
2006-08-16,19.3,19.75,19.29,19.72
2006-08-17,19.945,20.305,19.83,20.25
2006-08-18,20.25,20.335,20.135,20.185
2006-08-21,20.15,20.165,19.85,19.88
2006-08-22,19.88,19.9,19.27,19.43
