Date,Open,High,Low,Close
2006-01-03,126.7,129.44,124.23,128.87
2006-01-04,127.35,128.91,126.38,127.09
2006-01-05,127.09,127.32,125.61,127.04
2006-01-06,127.29,129.25,127.29,128.84
2006-01-09,128.831,130.62,128.0,130.39
2006-01-10,130.351,132.95,130.02,132.03
2006-01-11,131.45,133.8,131.42,131.97
2006-01-12,131.4,133.21,131.38,132.25
2006-01-13,132.02,133.66,131.9,133.26
2006-01-17,131.0,133.13,130.59,132.59
2006-01-18,131.06,132.68,131.01,132.37
2006-01-19,132.72,134.82,132.71,133.82
2006-01-20,132.85,134.06,131.25,131.44
2006-01-23,131.64,134.18,131.64,132.87
2006-01-24,132.63,134.09,132.34,133.0
2006-01-25,133.65,134.04,132.46,133.56
2006-01-26,133.01,138.36,133.01,137.4
2006-01-27,137.43,139.75,137.1,138.94
2006-01-30,139.55,140.64,138.71,139.87
2006-01-31,139.73,141.86,138.45,141.25
2006-02-01,141.4,142.95,140.43,141.71
2006-02-02,142.27,143.77,141.4,142.52
2006-02-03,141.55,143.12,140.7,142.74
2006-02-06,142.61,144.1,141.6,142.82
2006-02-07,142.35,143.31,139.48,139.48
2006-02-08,140.1,141.93,139.32,141.14
2006-02-09,141.14,142.85,140.49,140.85
2006-02-10,140.81,141.85,137.8,140.81
2006-02-13,139.65,141.8,139.15,139.65
2006-02-14,141.2,142.32,138.77,141.78
2006-02-15,142.0,145.5,141.4,145.14
2006-02-16,146.1,146.35,144.21,145.9
2006-02-17,146.19,146.22,144.06,145.54
2006-02-21,145.56,145.75,143.01,143.45
2006-02-22,143.45,145.53,143.23,145.53
2006-02-23,145.61,145.61,143.79,143.96
2006-02-24,143.05,145.4,143.05,144.16
2006-02-27,144.81,145.25,143.34,143.82
2006-02-28,143.6,144.16,141.11,141.29
2006-03-01,141.98,143.74,141.56,143.15
2006-03-02,143.15,144.86,142.24,144.0
2006-03-03,143.5,147.48,143.1,146.0
2006-03-06,146.0,147.08,144.31,145.02
2006-03-07,144.37,144.46,143.17,144.28
2006-03-08,144.3,144.67,141.26,142.49
2006-03-09,142.66,143.4,141.2,141.7
2006-03-10,141.63,142.45,140.15,141.53
2006-03-13,141.55,142.95,139.18,140.72
2006-03-14,145.92,149.5,145.62,149.42
2006-03-15,148.3,149.64,147.59,149.0
2006-03-16,149.1,149.69,147.45,147.69
2006-03-17,148.25,151.54,148.03,150.36
2006-03-20,150.05,152.66,149.8,152.18
2006-03-21,151.61,152.0,149.01,149.4
2006-03-22,148.3,152.36,148.3,151.82
2006-03-23,151.17,151.96,150.45,151.67
2006-03-24,151.68,152.57,150.88,152.17
2006-03-27,152.13,155.36,152.13,155.0
2006-03-28,155.01,157.82,154.16,154.16
2006-03-29,154.9,157.57,154.84,156.9
2006-03-30,157.73,159.63,155.71,156.81
2006-03-31,157.0,158.38,156.25,156.96
2006-04-03,157.99,159.88,156.92,158.12
2006-04-04,158.12,161.36,158.12,161.0
2006-04-05,160.5,161.92,160.0,160.75
2006-04-06,160.07,162.07,160.07,162.04
2006-04-07,162.04,163.16,159.89,161.02
2006-04-10,162.5,164.05,161.45,162.46
2006-04-11,163.0,163.3,158.51,159.15
2006-04-12,159.63,160.3,158.4,159.52
2006-04-13,158.45,159.69,158.2,159.43
2006-04-17,160.25,163.21,160.0,161.94
2006-04-18,162.75,166.18,161.32,165.55
2006-04-19,164.55,167.57,163.6,167.05
2006-04-20,166.06,169.31,166.06,168.55
2006-04-21,168.62,168.66,165.32,165.89
2006-04-24,165.5,166.27,163.5,165.35
2006-04-25,165.35,165.6,161.76,162.8
2006-04-26,163.5,164.65,162.2,163.4
2006-04-27,163.35,165.79,162.1,163.97
2006-04-28,163.81,164.89,158.65,160.29
2006-05-01,160.3,161.67,156.08,156.45
2006-05-02,157.6,160.0,157.12,158.83
2006-05-03,159.5,159.85,157.75,159.15
2006-05-04,159.16,160.33,158.0,158.04
2006-05-05,159.75,164.6,159.69,164.39
2006-05-08,164.39,166.55,162.2,163.53
2006-05-09,163.75,166.26,163.7,165.75
2006-05-10,164.85,165.41,162.05,164.09
2006-05-11,164.38,164.49,158.6,159.28
2006-05-12,158.75,159.7,156.07,156.11
2006-05-15,154.6,157.0,151.11,153.14
2006-05-16,153.6,155.11,150.62,152.7
2006-05-17,150.85,151.15,147.0,148.21
2006-05-18,149.36,150.25,146.25,147.03
2006-05-19,148.3,150.45,146.75,149.41
2006-05-22,148.51,148.51,143.34,146.15
2006-05-23,148.05,148.88,143.7,143.7
2006-05-24,143.65,145.59,140.42,143.92
2006-05-25,145.2,147.32,144.68,147.32
2006-05-26,150.0,152.94,149.47,152.94
2006-05-30,151.0,151.95,149.25,149.83
2006-05-31,151.3,152.39,149.15,150.95
2006-06-01,150.92,153.59,150.19,153.55
2006-06-02,155.5,157.0,153.6,154.09
2006-06-05,154.95,156.29,149.85,150.4
2006-06-06,151.39,152.06,147.5,149.24
2006-06-07,149.25,152.53,148.3,149.95
2006-06-08,148.8,150.67,144.5,149.76
2006-06-09,151.0,152.1,148.99,149.89
2006-06-12,150.3,150.72,145.0,145.0
2006-06-13,144.5,145.5,138.01,139.25
2006-06-14,139.75,141.765,136.79,138.5
2006-06-15,140.4,145.19,140.07,144.12
2006-06-16,143.3,144.59,142.61,144.0
2006-06-19,144.98,145.75,142.95,143.75
2006-06-20,144.65,145.99,143.59,145.26
2006-06-21,145.77,150.32,145.5,149.83
2006-06-22,149.71,150.5,146.95,148.31
2006-06-23,147.85,149.4,147.21,147.92
2006-06-26,148.92,149.95,148.1,149.9
2006-06-27,149.05,150.89,147.16,147.16
2006-06-28,147.41,148.5,145.07,146.49
2006-06-29,148.1,152.2,146.35,152.2
2006-06-30,152.2,152.72,149.5,150.43
2006-07-03,151.93,152.792,151.34,152.45
2006-07-05,151.7,151.7,150.0,150.95
2006-07-06,152.29,152.3,150.2,150.58
2006-07-07,150.01,150.5,148.44,148.51
2006-07-10,149.25,150.41,148.16,148.85
2006-07-11,148.4,149.0,146.55,148.67
2006-07-12,148.7,149.23,145.07,145.27
2006-07-13,144.03,145.2,142.1,142.55
2006-07-14,143.1,143.5,138.97,140.1
2006-07-17,140.1,142.27,139.2,140.87
2006-07-18,140.62,142.48,139.9,142.34
2006-07-19,142.7,147.85,142.7,146.97
2006-07-20,146.7,147.8,145.0,145.18
2006-07-21,145.05,145.06,141.8,142.04
2006-07-24,143.3,147.5,143.06,146.9
2006-07-25,146.9,149.67,145.34,148.49
2006-07-26,147.5,148.82,146.69,147.38
2006-07-27,148.7,149.63,147.59,148.26
2006-07-28,149.65,152.35,149.33,151.72
2006-07-31,151.6,153.73,150.66,152.75
2006-08-01,151.63,151.74,149.59,151.26
2006-08-02,150.26,150.5,147.54,149.9
2006-08-03,148.75,153.15,148.47,152.1
2006-08-04,154.0,156.29,152.17,152.99
2006-08-07,152.12,154.85,151.76,152.65
2006-08-08,152.65,155.4,150.49,151.45
2006-08-09,153.5,153.75,149.6,150.01
2006-08-10,149.5,152.12,148.5,151.63
2006-08-11,152.35,152.87,149.99,151.11
2006-08-14,152.48,153.01,149.43,150.37
2006-08-15,152.38,153.99,151.21,152.65
2006-08-16,153.95,155.05,152.72,154.99
2006-08-17,153.9,156.87,153.85,154.45
2006-08-18,154.45,154.75,153.0,154.68
2006-08-21,153.16,154.25,151.64,153.83
2006-08-22,154.36,155.01,153.05,154.15
2006-08-23,153.41,154.75,152.15,152.7
2006-08-24,153.55,153.6,150.75,151.4
2006-08-25,150.69,151.42,149.75,150.07
2006-08-28,148.25,150.54,147.88,149.53
2006-08-29,149.6,149.79,145.66,147.09
2006-08-30,147.2,147.76,146.42,147.06
2006-08-31,147.07,148.75,147.07,148.65
2006-09-01,148.7,149.43,147.13,149.14
2006-09-05,149.75,151.51,149.05,151.28
2006-09-06,150.65,151.44,149.92,150.67
2006-09-07,150.1,150.68,148.35,148.57
2006-09-08,151.0,151.0,147.52,149.8
2006-09-11,149.25,151.23,149.15,151.0
2006-09-12,154.75,159.75,154.71,158.29
2006-09-13,157.7,162.26,156.81,160.86
2006-09-14,159.75,163.18,159.52,162.52
2006-09-15,162.5,163.75,161.52,162.71
2006-09-18,162.02,164.8,162.0,163.22
2006-09-19,163.08,164.22,162.31,163.39
2006-09-20,164.63,167.16,164.228,166.6
2006-09-21,167.5,169.69,165.86,167.15
2006-09-22,166.95,168.33,165.76,167.52
2006-09-25,167.9,169.42,167.0,168.69
2006-09-26,167.94,169.92,167.02,168.68
2006-09-27,168.93,169.9,167.25,169.0
2006-09-28,168.95,170.0,167.8,170.0
2006-09-29,170.05,171.15,169.1,169.17
2006-10-02,168.51,171.45,168.51,170.69
2006-10-03,170.44,174.4,170.1,174.2
2006-10-04,173.31,176.66,173.31,176.56
2006-10-05,176.52,176.52,174.69,175.5
2006-10-06,174.32,176.0,173.8,175.65
2006-10-09,175.4,177.49,175.32,177.45
2006-10-10,177.05,179.85,176.79,178.86
2006-10-11,177.3,178.97,176.75,178.97
2006-10-12,179.27,181.92,178.61,181.51
2006-10-13,181.21,183.96,180.65,183.85
2006-10-16,183.82,185.48,183.09,185.22
2006-10-17,184.22,184.71,182.14,183.07
2006-10-18,184.07,184.65,181.85,182.97
2006-10-19,181.25,182.63,179.9,180.05
2006-10-20,179.72,180.69,178.85,180.4
2006-10-23,180.23,184.87,180.21,184.7
2006-10-24,184.52,188.25,184.4,187.84
2006-10-25,188.64,189.69,187.16,188.61
2006-10-26,189.18,193.6,188.29,193.38
2006-10-27,192.01,193.23,188.39,188.67
2006-10-30,188.0,190.55,186.7,189.75
2006-10-31,190.0,191.02,188.88,189.79
2006-11-01,191.0,192.21,184.75,185.0
2006-11-02,184.51,187.79,182.7,187.39
2006-11-03,188.9,188.95,185.3,187.13
2006-11-06,187.68,191.7,187.68,190.0
2006-11-07,190.2,191.42,188.56,188.68
2006-11-08,187.65,189.92,186.5,188.77
2006-11-09,188.4,189.0,184.78,184.78
2006-11-10,185.46,187.07,184.6,187.06
2006-11-13,187.65,189.8,187.23,187.73
2006-11-14,188.4,190.94,185.4,190.36
2006-11-15,190.37,194.32,189.84,193.11
2006-11-16,194.0,196.8,194.0,196.72
2006-11-17,195.98,197.0,194.88,195.04
2006-11-20,195.35,198.11,195.03,197.45
2006-11-21,199.0,199.89,198.29,199.76
2006-11-22,200.0,202.47,199.99,202.29
2006-11-24,200.23,203.35,199.15,201.6
2006-11-27,201.35,202.1,193.11,193.11
2006-11-28,193.0,197.49,191.5,197.12
2006-11-29,197.99,199.45,193.06,196.22
2006-11-30,195.98,196.45,193.18,194.8
2006-12-01,195.7,196.43,191.52,194.5
2006-12-04,195.65,200.083,195.39,200.05
2006-12-05,199.7,202.25,198.21,201.61
2006-12-06,202.0,205.05,201.0,205.0
2006-12-07,206.7,206.7,200.0,200.2
2006-12-08,200.24,205.26,200.0,205.1
2006-12-11,205.5,205.5,201.84,202.52
2006-12-12,200.21,203.85,198.44,200.0
2006-12-13,200.16,201.78,198.0,198.31
2006-12-14,199.2,200.8,197.63,200.13
2006-12-15,200.61,201.95,199.8,199.84
2006-12-18,200.5,203.59,199.64,203.24
2006-12-19,201.98,202.67,200.43,201.24
2006-12-20,201.79,204.31,201.24,201.37
2006-12-21,202.36,202.69,197.7,198.1
2006-12-22,199.1,199.15,195.66,198.09
2006-12-26,198.9,200.6,198.29,199.86
2006-12-27,199.86,202.29,199.72,201.95
2006-12-28,202.33,202.48,199.76,200.8
2006-12-29,200.93,202.4,199.32,199.35
2007-01-03,200.6,203.32,197.82,200.72
2007-01-04,200.22,200.67,198.07,198.85
2007-01-05,198.43,200.0,197.9,199.05
2007-01-08,199.05,203.95,198.1,203.73
2007-01-09,203.54,204.9,202.0,204.08
2007-01-10,203.4,208.44,201.5,208.11
2007-01-11,208.34,213.17,207.6,211.88
2007-01-12,210.9,214.22,210.4,213.99
2007-01-16,213.01,215.13,212.44,213.59
2007-01-17,212.2,214.09,210.85,213.23
2007-01-18,213.75,214.81,209.1,209.68
2007-01-19,209.08,211.44,208.84,210.29
2007-01-22,211.09,213.25,209.6,212.97
2007-01-23,212.82,213.42,210.65,212.64
2007-01-24,213.51,220.17,213.03,220.1
2007-01-25,219.83,220.51,212.51,213.07
2007-01-26,214.56,214.9,210.6,213.5
2007-01-29,213.9,215.08,210.13,211.04
2007-01-30,211.08,212.31,208.37,208.78
2007-01-31,208.3,212.75,207.29,212.16
2007-02-01,213.44,213.9,209.73,212.0
2007-02-02,211.0,213.9,211.0,213.43
2007-02-05,213.3,213.72,211.5,212.55
2007-02-06,213.29,215.86,212.7,214.65
2007-02-07,215.03,215.85,213.1,213.55
2007-02-08,212.09,215.21,209.81,213.9
2007-02-09,215.77,219.26,210.58,213.28
2007-02-12,213.75,214.0,209.87,211.13
2007-02-13,211.98,213.3,210.47,212.53
2007-02-14,213.7,219.1,212.79,217.4
2007-02-15,217.94,218.84,216.41,216.82
2007-02-16,215.96,217.5,215.02,216.92
2007-02-20,218.33,221.9,215.97,220.94
2007-02-21,219.25,221.5,218.16,220.15
2007-02-22,221.0,222.75,218.0,218.97
2007-02-23,219.16,219.8,215.55,216.5
2007-02-26,217.99,218.37,212.66,214.0
2007-02-27,209.75,210.4,194.65,199.76
2007-02-28,200.4,203.85,197.79,201.75
2007-03-01,197.12,202.7,194.08,199.66
2007-03-02,198.2,200.92,195.59,195.67
2007-03-05,193.55,197.49,189.85,190.0
2007-03-06,193.9,198.2,193.7,197.37
2007-03-07,197.48,199.0,195.5,195.59
2007-03-08,198.03,202.02,198.0,199.94
2007-03-09,202.95,202.99,198.86,201.7
2007-03-12,200.0,202.89,198.86,202.6
2007-03-13,204.96,208.56,198.52,199.03
2007-03-14,200.0,202.16,197.54,200.15
2007-03-15,200.0,202.37,199.5,200.89
2007-03-16,200.79,201.05,198.27,199.0
2007-03-19,201.32,202.5,200.44,202.44
2007-03-20,202.49,204.43,202.0,204.0
2007-03-21,205.34,211.51,204.16,210.95
2007-03-22,211.7,211.75,209.29,210.08
2007-03-23,210.06,211.89,209.71,211.89
2007-03-26,212.01,212.22,209.3,211.73
2007-03-27,211.01,211.73,209.74,209.87
2007-03-28,208.21,208.67,206.19,206.76
2007-03-29,208.09,208.89,206.3,207.2
2007-03-30,207.44,209.03,204.7,206.63
2007-04-02,207.67,207.68,203.29,205.65
2007-04-03,207.0,209.75,206.47,209.75
2007-04-04,209.45,209.95,208.21,208.79
2007-04-05,208.5,208.5,207.41,207.93
2007-04-09,208.57,209.87,207.45,208.94
2007-04-10,208.3,209.81,208.21,209.05
2007-04-11,208.7,208.87,206.61,206.93
2007-04-12,206.25,207.52,205.39,207.05
2007-04-13,207.95,207.95,205.61,206.5
2007-04-16,208.24,215.23,208.12,214.52
2007-04-17,215.15,216.87,213.54,214.9
2007-04-18,214.1,218.54,213.97,216.75
2007-04-19,215.34,221.71,214.8,219.29
2007-04-20,221.23,222.19,218.37,220.0
2007-04-23,221.0,223.98,220.48,222.42
2007-04-24,222.75,223.24,218.71,220.72
2007-04-25,221.9,226.05,220.1,225.6
2007-04-26,225.9,226.61,224.17,224.81
2007-04-27,224.05,225.71,222.99,224.28
2007-04-30,224.36,224.98,218.48,218.61
2007-05-01,219.08,219.91,215.35,218.58
2007-05-02,218.0,221.92,217.45,219.49
2007-05-03,220.39,221.93,218.55,221.56
2007-05-04,222.6,227.34,221.43,227.34
2007-05-07,227.0,229.9,225.6,227.22
2007-05-08,225.92,225.99,222.96,224.95
2007-05-09,224.95,227.68,223.35,226.57
2007-05-10,225.5,226.98,222.95,223.1
2007-05-11,223.91,227.55,223.6,227.5
2007-05-14,228.03,229.0,225.35,226.18
2007-05-15,226.19,228.33,224.26,224.38
2007-05-16,225.59,227.96,224.52,227.11
2007-05-17,226.75,227.93,225.25,227.38
2007-05-18,228.55,231.22,227.95,230.34
2007-05-21,230.65,231.69,228.56,229.23
2007-05-22,229.79,231.66,228.75,230.71
2007-05-23,231.7,232.41,228.43,228.54
