Date,Open,High,Low,Close
2006-01-03,18.4483,19.2406,18.4483,19.2082
2006-01-04,19.3053,19.7095,19.2082,19.4023
2006-01-05,19.5316,19.8065,19.4023,19.5478
2006-01-06,19.7095,19.8065,19.5154,19.6933
2006-01-09,19.8065,19.8873,19.4023,19.4508
2006-01-10,19.4669,19.8065,19.3699,19.4184
2006-01-11,19.4184,19.4344,19.1921,19.3053
2006-01-12,19.3214,19.3214,19.0304,19.0304
2006-01-13,19.0789,19.2082,18.9819,19.0789
2006-01-17,19.4023,19.4667,19.0627,19.0789
2006-01-18,19.1112,19.3214,18.9819,19.1274
2006-01-19,19.2891,19.5154,19.1597,19.4669
2006-01-20,19.5963,19.6448,18.8525,18.884900000000002
2006-01-23,19.0304,20.243,19.0142,19.0304
2006-01-24,19.1274,19.1759,18.9657,19.0142
2006-01-25,19.0304,19.2406,18.804,18.8364
2006-01-26,18.9981,19.0787,18.6262,19.0466
2006-01-27,19.0142,19.1597,18.9495,19.1274
2006-01-30,19.2891,19.4023,19.0789,19.1759
2006-01-31,19.0789,19.3214,19.0304,19.0627
2006-02-01,19.0255,19.2406,18.901,18.9172
2006-02-02,18.9981,19.1274,18.5779,18.6585
2006-02-03,18.6585,19.0627,18.594,18.9981
2006-02-06,19.1274,19.2729,18.9981,19.0466
2006-02-07,19.0789,19.2082,18.901,18.901
2006-02-08,19.0466,19.0951,18.8527,18.9334
2006-02-09,18.9334,19.2568,18.9334,19.1274
2006-02-10,19.1274,19.2406,18.7879,18.9981
2006-02-13,18.9981,19.1597,18.9172,18.9334
2006-02-14,18.884900000000002,19.1597,18.8525,19.0304
2006-02-15,18.9819,19.1112,18.8687,19.0142
2006-02-16,18.9657,19.2406,18.9657,19.1274
2006-02-17,19.2406,19.4023,19.1597,19.2406
2006-02-21,19.4023,19.5478,19.1597,19.2406
2006-02-22,19.2891,19.6286,19.2891,19.4023
2006-02-23,19.4023,19.8873,19.3214,19.6448
2006-02-24,19.6448,19.7256,19.4023,19.4669
2006-02-27,19.4831,19.758,19.4023,19.4669
2006-02-28,19.4669,20.0975,19.4508,19.9682
2006-03-01,20.0167,20.6149,19.855,20.2107
2006-03-02,20.1622,20.3724,19.9358,20.0005
2006-03-03,19.9682,20.6311,19.7418,20.3562
2006-03-06,19.2406,20.5341,19.2406,20.4532
2006-03-07,20.4532,20.4532,20.0005,20.049
2006-03-08,20.1299,20.2592,19.6771,19.8712
2006-03-09,19.9197,20.1299,19.7418,19.8227
2006-03-10,19.855,20.243,19.758,20.2107
2006-03-13,20.2754,20.4047,20.1299,20.2592
2006-03-14,20.3239,20.4371,20.1622,20.4047
2006-03-15,20.4047,20.6311,20.2915,20.34
2006-03-16,20.34,20.6149,20.243,20.5826
2006-03-17,20.5826,21.0515,20.4047,20.8574
2006-03-20,20.8574,21.1808,20.8574,21.0353
2006-03-21,21.1161,21.5042,21.0191,21.3425
2006-03-22,21.2778,21.4557,21.1646,21.3263
2006-03-23,21.3102,21.5203,21.197,21.4718
2006-03-24,21.488,21.5365,21.3102,21.391
2006-03-27,21.4072,21.4233,21.0515,21.294
2006-03-28,21.3102,21.6982,21.3102,21.6659
2006-03-29,21.0515,21.4072,20.6958,21.4072
2006-03-30,21.3102,21.4072,20.9383,20.9544
2006-03-31,20.9221,21.3425,20.8736,21.2778
2006-04-03,21.2778,21.5042,21.0191,21.1485
2006-04-04,21.197,21.585,21.197,21.4072
2006-04-05,21.4718,21.779,21.3102,21.585
2006-04-06,21.6174,21.6982,21.4233,21.585
2006-04-07,21.6012,21.8276,21.197,21.2455
2006-04-10,21.3425,21.6012,20.9547,21.0515
2006-04-11,21.0676,21.2617,20.9221,20.9544
2006-04-12,20.9868,21.3102,20.9674,21.0676
2006-04-13,21.1161,21.4233,21.0676,21.2131
2006-04-17,21.2455,21.4233,20.9221,21.0353
2006-04-18,21.197,21.4557,20.6958,21.4072
2006-04-19,21.4557,21.8276,21.2455,21.779
2006-04-20,21.7305,21.8761,21.4718,21.7467
2006-04-21,21.8922,21.8922,21.4235,21.585
2006-04-24,21.6012,21.8761,21.5462,21.779
2006-04-25,21.7952,21.7952,21.2455,21.294
2006-04-26,21.2617,21.488,21.0515,21.1
2006-04-27,21.0191,21.3263,20.9383,21.0676
2006-04-28,21.0191,21.4072,21.0191,21.1
2006-05-01,21.0676,21.1808,21.003,21.0676
2006-05-02,21.0191,21.5042,20.9383,21.3748
2006-05-03,21.294,21.4718,21.1,21.3263
2006-05-04,21.2455,21.3102,20.8574,20.8736
2006-05-05,20.8736,21.1,20.8253,21.0515
2006-05-08,21.1323,21.3263,21.0676,21.3263
2006-05-09,21.2778,21.4233,21.2778,21.3587
2006-05-10,21.3425,21.4233,21.3263,21.391
2006-05-11,21.3263,21.391,21.2617,21.3587
2006-05-12,21.2778,21.4072,21.0838,21.3425
2006-05-15,21.3425,21.3425,20.4209,20.7766
2006-05-16,20.8736,21.3425,20.8251,21.0676
2006-05-17,21.0191,21.4072,20.9223,21.3102
2006-05-18,21.3102,21.4233,21.0191,21.0191
2006-05-19,21.0353,21.1646,20.7119,20.7119
2006-05-22,20.6958,20.9383,20.5826,20.6634
2006-05-23,20.7766,20.9383,20.3724,20.4209
2006-05-24,20.3886,20.8413,20.0652,20.4694
2006-05-25,20.5987,20.6472,20.1945,20.3239
2006-05-26,20.4694,20.4856,20.2754,20.3077
2006-05-30,20.3239,20.4047,19.9843,20.0005
2006-05-31,20.146,20.5826,19.661,19.9197
2006-06-01,20.0005,20.5826,20.0005,20.0005
2006-06-02,20.1299,20.2107,19.4831,19.7903
2006-06-05,19.758,19.951999999999998,19.0627,19.2406
2006-06-06,19.1274,19.4831,19.0951,19.3861
2006-06-07,20.6149,20.7766,19.6448,19.6448
2006-06-08,19.7095,20.3886,19.4184,20.0167
2006-06-09,20.1784,20.2592,19.8873,20.0005
2006-06-12,20.3239,20.3562,19.9197,19.9197
2006-06-13,19.951999999999998,20.2107,19.5154,19.7418
2006-06-14,19.8227,20.0652,19.5963,19.8388
2006-06-15,20.0167,20.1784,19.8873,20.0975
2006-06-16,20.0975,20.146,19.3053,19.4023
2006-06-19,19.564,19.8227,19.3214,19.3538
2006-06-20,19.7256,19.8227,19.3376,19.3376
2006-06-21,19.3538,19.564,19.3538,19.3861
2006-06-22,19.3861,19.4993,19.2891,19.4508
2006-06-23,19.4023,19.4993,19.2406,19.2406
2006-06-26,19.3053,19.4023,19.0789,19.2568
2006-06-27,19.2568,19.564,19.2406,19.3376
2006-06-28,19.1597,19.1921,18.7555,18.901
2006-06-29,18.9819,19.4993,18.9334,19.3053
2006-06-30,19.3053,19.3538,18.2381,18.513
2006-07-03,18.4483,18.804,18.4322,18.7394
2006-07-05,18.7394,18.884900000000002,18.2058,18.5453
2006-07-06,18.5938,18.5938,18.1896,18.3513
2006-07-07,18.3513,19.1597,18.2866,18.8364
2006-07-10,18.8525,19.1436,18.7555,18.901
2006-07-11,18.9172,18.9334,18.5615,18.804
2006-07-12,19.1597,19.4831,18.8687,18.8687
2006-07-13,19.0304,19.1436,18.707,18.8202
2006-07-14,18.8202,18.8202,18.4322,18.6423
2006-07-17,18.6423,18.804,18.4807,18.5938
2006-07-18,18.5938,20.2107,17.9956,19.4346
2006-07-19,18.5938,19.564,18.5938,19.0789
2006-07-20,18.9172,19.0951,18.6909,18.7555
2006-07-21,18.6747,18.9172,18.4645,18.8364
2006-07-24,18.4807,18.884900000000002,18.3675,18.7879
2006-07-25,18.4483,18.707,18.1896,18.4645
2006-07-26,18.2058,18.7879,18.0279,18.5938
2006-07-27,18.5938,19.6448,18.5453,19.5316
2006-07-28,19.4023,19.9035,19.2568,19.8065
