Date,EQY_DVD_YLD_12M
2012-12-06,0.2849
2012-12-07,0.2744
2012-12-10,0.2762
2012-12-11,0.2776
2012-12-12,0.2764
2012-12-13,0.2778
2012-12-14,0.2723
2012-12-17,0.2698
2012-12-18,0.2733
2012-12-19,0.278
2012-12-20,0.2755
2012-12-21,0.2795
2012-12-24,0.277
2012-12-26,0.2774
2012-12-27,0.2704
2012-12-28,0.2756
2012-12-31,0.2689
2013-01-02,0.2716
2013-01-03,0.2711
2013-01-04,0.2674
2013-01-07,0.2679
2013-01-08,0.269
2013-01-09,0.2717
2013-01-10,0.2688
2013-01-11,0.2669
2013-01-14,0.2638
2013-01-15,0.2646
2013-01-16,0.2616
2013-01-17,0.2605
2013-01-18,0.2605
2013-01-22,0.2605
2013-01-23,0.2639
2013-01-24,0.267
2013-01-25,0.2649
2013-01-28,0.5323
2013-01-29,0.5375
2013-01-30,0.5208
2013-01-31,0.5263
2013-02-01,0.5253
2013-02-04,0.5302
2013-02-05,0.5207
2013-02-06,0.5217
2013-02-07,0.5192
2013-02-08,0.5244
2013-02-11,0.5249
2013-02-12,0.5287
2013-02-13,0.5274
2013-02-14,0.535
2013-02-15,0.5388
2013-02-19,0.5289
2013-02-20,0.5279
2013-02-21,0.5389
2013-02-22,0.5321
2013-02-25,0.5407
2013-02-26,0.5368
2013-02-27,0.5209
2013-02-28,0.522
2013-03-01,0.5216
2013-03-04,0.5132
2013-03-05,0.5104
2013-03-06,0.5171
2013-03-07,0.5204
2013-03-08,0.5221
2013-03-11,0.516
2013-03-12,0.5129
2013-03-13,0.5027
2013-03-14,0.5078
2013-03-15,0.506
2013-03-18,0.5085
2013-03-19,0.5092
2013-03-20,0.51
2013-03-21,0.5115
2013-03-22,0.512
2013-03-25,0.5158
2013-03-26,0.5171
2013-03-27,0.5145
2013-03-28,0.5108
2013-04-01,0.5208
2013-04-02,0.538
2013-04-03,0.5441
2013-04-04,0.5577
2013-04-05,0.5397
2013-04-08,0.5367
2013-04-09,0.5554
2013-04-10,0.5481
2013-04-11,0.5547
2013-04-12,0.5437
2013-04-15,0.5679
2013-04-16,0.5762
2013-04-17,0.5691
2013-04-18,0.5726
2013-04-19,0.5703
2013-04-22,0.8554
2013-04-23,0.8569
2013-04-24,0.8635
2013-04-25,0.8515
2013-04-26,0.854
2013-04-29,0.8593
2013-04-30,0.8593
2013-05-01,0.9227
2013-05-02,0.8834
2013-05-03,0.8621
2013-05-06,0.8454
2013-05-07,0.8446
2013-05-08,0.8433
2013-05-09,0.8389
2013-05-10,0.8498
2013-05-13,0.876
2013-05-14,0.8745
2013-05-15,0.8844
2013-05-16,0.8965
2013-05-17,0.8661
2013-05-20,0.8954
2013-05-21,0.8855
2013-05-22,0.9109
2013-05-23,0.8907
2013-05-24,0.8859
2013-05-28,0.8861
2013-05-29,0.8929
2013-05-30,0.91
2013-05-31,0.9239
2013-06-03,0.9135
2013-06-04,0.9282
2013-06-05,0.9436
2013-06-06,0.9375
2013-06-07,0.9326
2013-06-10,0.9373
2013-06-11,0.9394
2013-06-12,0.9579
2013-06-13,0.9672
2013-06-14,0.9515
2013-06-17,0.9465
2013-06-18,0.9198
2013-06-19,0.9248
2013-06-20,0.9513
2013-06-21,0.9525
2013-06-24,0.9581
2013-06-25,0.9368
2013-06-26,0.9158
2013-06-27,0.9294
2013-06-28,0.941
2013-07-01,0.9275
2013-07-02,0.9472
2013-07-03,0.9557
2013-07-05,0.9467
2013-07-08,0.9387
2013-07-09,0.8924
2013-07-10,0.8954
2013-07-11,0.8784
2013-07-12,0.8717
2013-07-15,0.855
2013-07-16,0.8729
2013-07-17,0.8782
2013-07-18,0.8826
2013-07-19,0.8893
2013-07-22,0.8929
2013-07-23,0.8861
2013-07-24,0.8909
2013-07-25,0.9014
2013-07-26,0.9111
2013-07-29,1.2148
2013-07-30,1.1879
2013-07-31,1.2475
2013-08-01,1.2579
2013-08-02,1.2315
2013-08-05,1.2121
2013-08-06,1.2435
2013-08-07,1.2395
2013-08-08,1.218
2013-08-09,1.2136
2013-08-12,1.2207
2013-08-13,1.2195
2013-08-14,1.2231
2013-08-15,1.2463
2013-08-16,1.2177
2013-08-19,1.224
2013-08-20,1.2121
2013-08-21,1.2234
2013-08-22,1.2045
2013-08-23,1.2121
2013-08-26,1.2118
2013-08-27,1.2355
2013-08-28,1.2361
2013-08-29,1.2282
2013-08-30,1.2553
2013-09-03,1.2775
2013-09-04,1.2784
2013-09-05,1.2516
2013-09-06,1.2665
2013-09-09,1.2509
2013-09-10,1.2346
2013-09-11,1.2456
2013-09-12,1.2594
2013-09-13,1.2491
2013-09-16,1.2054
2013-09-17,1.2098
2013-09-18,1.1925
2013-09-19,1.1712
2013-09-20,1.1815
2013-09-23,1.166
2013-09-24,1.171
2013-09-25,1.1919
2013-09-26,1.1868
2013-09-27,1.2118
2013-09-30,1.2297
2013-10-01,1.2352
2013-10-02,1.2291
2013-10-03,1.2538
2013-10-04,1.2481
2013-10-07,1.2623
2013-10-08,1.2821
2013-10-09,1.2713
2013-10-10,1.2585
2013-10-11,1.271
2013-10-14,1.2497
2013-10-15,1.2771
2013-10-16,1.2544
2013-10-17,1.2407
2013-10-18,1.2198
2013-10-21,1.2246
2013-10-22,1.2063
2013-10-23,1.2025
2013-10-24,1.1854
