Date,EQY_DVD_YLD_12M
2009-11-18,10.0452
2009-11-19,10.0705
2009-11-20,10.005
2009-11-23,9.8184
2009-11-24,9.5602
2009-11-25,9.4697
2009-11-27,9.6852
2009-11-30,9.6572
2009-12-01,9.542
2009-12-02,9.5602
2009-12-03,9.6759
2009-12-04,9.434
2009-12-07,9.3458
2009-12-08,9.434
2009-12-09,9.4652
2009-12-10,9.311
2009-12-11,9.4073
2009-12-14,9.4429
2009-12-15,9.4563
2009-12-16,9.4429
2009-12-17,9.5238
2009-12-18,9.542
2009-12-21,9.4967
2009-12-22,9.542
2009-12-23,9.4742
2009-12-24,9.5511
2009-12-28,9.6061
2009-12-29,9.4877
2009-12-30,9.4563
2009-12-31,9.6293
2010-01-04,9.4429
2010-01-05,9.5012
2010-01-06,9.6618
2010-01-07,9.62
2010-01-08,9.4518
2010-01-11,9.4206
2010-01-12,9.8425
2010-01-13,9.7609
2010-01-14,9.9059
2010-01-15,10.0452
2010-01-19,9.9206
2010-01-20,10.0604
2010-01-21,10.4657
2010-01-22,10.6326
2010-01-25,10.5208
2010-01-26,10.6952
2010-01-27,10.7181
2010-01-28,10.846
2010-01-29,10.9529
2010-02-01,10.5208
2010-02-02,10.5876
2010-02-03,10.661
2010-02-04,11.1607
2010-02-05,11.2676
2010-02-08,11.2676
2010-02-09,11.0681
2010-02-10,11.1173
2010-02-11,10.9709
2010-02-12,10.8814
2010-02-16,10.4932
2010-02-17,10.3093
2010-02-18,10.1885
2010-02-19,10.1626
2010-02-22,10.0806
2010-02-23,10.0553
2010-02-24,10.02
2010-02-25,10.0654
2010-02-26,10.015
2010-03-01,9.3023
2010-03-02,9.3941
2010-03-03,9.2123
2010-03-04,9.7135
2010-03-05,9.4429
2010-03-08,9.3589
2010-03-09,9.2851
2010-03-10,9.1743
2010-03-11,9.1785
2010-03-12,9.2208
2010-03-15,9.2336
2010-03-16,9.2807
2010-03-17,9.3853
2010-03-18,9.3809
2010-03-19,9.5602
2010-03-22,9.5465
2010-03-23,9.6108
2010-03-24,9.6759
2010-03-25,9.7847
2010-03-26,9.7752
2010-03-29,9.7656
2010-03-30,9.7229
2010-03-31,9.6061
2010-04-01,9.6479
2010-04-05,9.4073
2010-04-06,9.0868
2010-04-07,9.6246
2010-04-08,9.5102
2010-04-09,9.187
2010-04-12,9.2507
2010-04-13,9.187
2010-04-14,9.2039
2010-04-15,9.1575
2010-04-16,9.2937
2010-04-19,9.3023
2010-04-20,9.1659
2010-04-21,9.2507
2010-04-22,9.1533
2010-04-23,8.8928
2010-04-26,8.8731
2010-04-27,9.0868
2010-04-28,9.2039
2010-04-29,8.9969
2010-04-30,9.0212
2010-05-03,8.7298
2010-05-04,9.0253
2010-05-05,9.1659
2010-05-06,9.434
2010-05-07,9.3897
2010-05-10,9.1408
2010-05-11,9.1785
2010-05-12,8.9405
2010-05-13,9.1075
2010-05-14,8.7336
2010-05-17,8.6393
2010-05-18,8.9008
2010-05-19,9.0293
2010-05-20,9.6108
2010-05-21,9.5102
2010-05-24,9.6479
2010-05-25,9.6061
2010-05-26,9.5923
