Date,EQY_DVD_YLD_12M
2006-01-03,4.1471
2006-01-04,4.1184
2006-01-05,4.0759
2006-01-06,4.0637
2006-01-09,4.0637
2006-01-10,4.0448
2006-01-11,4.0705
2006-01-12,4.1698
2006-01-13,4.1686
2006-01-17,4.2111
2006-01-18,4.1932
2006-01-19,4.1774
2006-01-20,4.1956
2006-01-23,4.1098
2006-01-24,4.0671
2006-01-25,4.1196
2006-01-26,4.1056
2006-01-27,4.2581
2006-01-30,4.234
2006-01-31,4.2369
2006-02-01,4.2369
2006-02-02,4.1439
2006-02-03,4.2074
2006-02-06,4.1944
2006-02-07,4.2631
2006-02-08,4.2833
2006-02-09,4.1976
2006-02-10,4.2001
2006-02-13,4.2123
2006-02-14,4.1895
2006-02-15,4.1153
2006-02-16,4.0728
2006-02-17,4.0663
2006-02-21,4.0897
2006-02-22,4.097
2006-02-23,4.1219
2006-02-24,4.1235
2006-02-27,4.0901
2006-02-28,4.1361
2006-03-01,4.097
2006-03-02,4.1001
2006-03-03,4.1204
2006-03-06,4.1219
2006-03-07,4.0939
2006-03-08,4.3809
2006-03-09,4.407
2006-03-10,4.3783
2006-03-13,4.4078
2006-03-14,4.2842
2006-03-15,4.2572
2006-03-16,4.1872
2006-03-17,4.0988
2006-03-20,4.0675
2006-03-21,4.0922
2006-03-22,4.0546
2006-03-23,4.0603
2006-03-24,4.0524
2006-03-27,3.9827
2006-03-28,4.0396
2006-03-29,3.9655
2006-03-30,3.9546
2006-03-31,4.077
2006-04-03,4.0639
2006-04-04,4.0704
2006-04-05,4.0632
2006-04-06,4.1098
2006-04-07,4.1674
2006-04-10,4.1956
2006-04-11,4.2258
2006-04-12,4.2018
2006-04-13,4.2242
2006-04-17,4.2707
2006-04-18,4.2683
2006-04-19,4.2572
2006-04-20,4.2738
2006-04-21,4.2874
2006-04-24,4.2603
2006-04-25,4.2572
2006-04-26,4.2344
2006-04-27,4.3157
2006-04-28,4.0762
2006-05-01,4.1069
2006-05-02,4.1003
2006-05-03,4.1084
2006-05-04,4.0603
2006-05-05,4.0446
2006-05-08,4.0524
2006-05-09,4.0332
2006-05-10,4.0532
2006-05-11,4.0532
2006-05-12,4.0908
2006-05-15,4.1121
2006-05-16,4.0603
2006-05-17,4.3827
2006-05-18,4.5343
2006-05-19,4.5139
2006-05-22,4.607
2006-05-23,4.6505
2006-05-24,4.6785
2006-05-25,4.6694
2006-05-26,4.6273
2006-05-30,4.647
2006-05-31,4.6265
2006-06-01,4.5013
2006-06-02,4.5454
2006-06-05,4.6631
2006-06-06,4.7345
2006-06-07,4.8129
2006-06-08,4.8457
2006-06-09,4.8496
2006-06-12,5.0443
2006-06-13,5.0317
2006-06-14,4.9019
2006-06-15,4.8264
2006-06-16,4.8801
2006-06-19,5.0422
2006-06-20,4.9634
2006-06-21,4.9279
2006-06-22,5.0191
2006-06-23,5.0066
2006-06-26,4.9319
2006-06-27,5.038
2006-06-28,4.9767
2006-06-29,4.8899
2006-06-30,4.8741
2006-07-03,4.888
2006-07-05,4.9189
2006-07-06,4.8129
2006-07-07,4.8244
2006-07-10,4.8351
2006-07-11,4.8781
2006-07-12,4.9522
2006-07-13,5.0623
2006-07-14,5.1808
2006-07-17,5.3026
2006-07-18,5.0591
2006-07-19,4.9299
2006-07-20,4.9818
2006-07-21,5.0475
2006-07-24,5.016
2006-07-25,5.0317
2006-07-26,5.0507
2006-07-27,5.1008
2006-07-28,4.8254
2006-07-31,4.7729
2006-08-01,4.8389
2006-08-02,4.8023
2006-08-03,4.7767
2006-08-04,4.7644
2006-08-07,4.8081
2006-08-08,4.9029
2006-08-09,4.987
2006-08-10,5.0066
2006-08-11,4.987
2006-08-14,5.0087
2006-08-15,4.9068
2006-08-16,4.7871
2006-08-17,4.8428
2006-08-18,4.8594
2006-08-21,4.8604
2006-08-22,4.8653
2006-08-23,5.1522
2006-08-24,5.1934
2006-08-25,5.1711
2006-08-28,5.1711
2006-08-29,5.1966
2006-08-30,5.1753
2006-08-31,5.1753
2006-09-01,5.1178
2006-09-05,5.1522
2006-09-06,5.2712
2006-09-07,5.2581
2006-09-08,5.2407
2006-09-11,5.2988
2006-09-12,5.3099
2006-09-13,5.1753
2006-09-14,5.187
2006-09-15,5.1511
2006-09-18,5.1732
2006-09-19,5.1859
2006-09-20,5.1241
2006-09-21,5.2073
2006-09-22,5.2526
2006-09-25,5.1806
2006-09-26,5.0758
2006-09-27,4.9732
2006-09-28,4.9373
2006-09-29,4.9412
2006-10-02,5.0165
2006-10-03,4.979
2006-10-04,4.8972
2006-10-05,4.7916
2006-10-06,4.8071
2006-10-09,4.8438
2006-10-10,4.8328
2006-10-11,4.7943
2006-10-12,4.7001
2006-10-13,4.7167
2006-10-16,4.6441
2006-10-17,4.6689
2006-10-18,4.6663
2006-10-19,4.6483
2006-10-20,4.681
2006-10-23,4.6663
2006-10-24,4.6594
2006-10-25,4.6313
2006-10-26,4.6381
2006-10-27,4.6526
2006-10-30,4.6441
2006-10-31,4.6577
2006-11-01,4.6914
2006-11-02,4.737
2006-11-03,4.7556
2006-11-06,4.7228
2006-11-07,4.7255
2006-11-08,4.7036
2006-11-09,4.7601
2006-11-10,4.7423
2006-11-13,4.6957
2006-11-14,4.6758
2006-11-15,4.8706
2006-11-16,4.859
2006-11-17,4.8519
2006-11-20,4.8359
2006-11-21,4.7845
2006-11-22,4.8131
2006-11-24,4.8158
2006-11-27,4.9349
2006-11-28,4.9266
2006-11-29,4.9084
2006-11-30,4.9193
2006-12-01,4.9765
2006-12-04,4.8616
2006-12-05,4.933
2006-12-06,4.9413
2006-12-07,4.9579
2006-12-08,4.9211
2006-12-11,5.0056
2006-12-12,5.0065
2006-12-13,5.0047
2006-12-14,4.945
2006-12-15,4.884
2006-12-18,4.8448
2006-12-19,4.7716
2006-12-20,4.724
2006-12-21,4.7257
2006-12-22,4.709
2006-12-26,4.6659
2006-12-27,4.661
2006-12-28,4.684
2006-12-29,4.6708
2007-01-03,4.6849
2007-01-04,4.6651
2007-01-05,4.6012
2007-01-08,4.5452
2007-01-09,4.5251
2007-01-10,4.477
2007-01-11,4.4233
2007-01-12,4.4373
2007-01-16,4.4455
2007-01-17,4.468
2007-01-18,4.5005
2007-01-19,4.4605
2007-01-22,4.4861
2007-01-23,4.4922
2007-01-24,4.4846
2007-01-25,4.5351
2007-01-26,4.5421
2007-01-29,4.5359
2007-01-30,4.5182
2007-01-31,4.4492
2007-02-01,4.3795
2007-02-02,4.4597
2007-02-05,4.4575
2007-02-06,4.4218
2007-02-07,4.4255
2007-02-08,4.4013
2007-02-09,4.4463
2007-02-12,4.4329
2007-02-13,4.3723
2007-02-14,4.3838
2007-02-15,4.3744
2007-02-16,4.4013
2007-02-20,4.3752
2007-02-21,4.333
2007-02-22,4.3394
2007-02-23,4.3536
2007-02-26,4.3316
2007-02-27,4.4366
2007-02-28,4.4815
2007-03-01,4.5468
2007-03-02,4.618
2007-03-05,4.6487
2007-03-06,4.5711
2007-03-07,4.8886
2007-03-08,4.8049
2007-03-09,4.7178
2007-03-12,4.7131
2007-03-13,4.7911
2007-03-14,4.7646
2007-03-15,4.7831
2007-03-16,4.767
2007-03-19,4.7131
2007-03-20,4.6928
2007-03-21,4.6171
2007-03-22,4.6292
2007-03-23,4.5739
2007-03-26,4.633
2007-03-27,4.6612
2007-03-28,4.7272
2007-03-29,4.7107
2007-03-30,4.6998
2007-04-02,4.6658
2007-04-03,4.6051
2007-04-04,4.5932
2007-04-05,4.5895
2007-04-09,4.5702
2007-04-10,4.5962
2007-04-11,4.6451
2007-04-12,4.6239
2007-04-13,4.6104
2007-04-16,4.636
2007-04-17,4.6375
2007-04-18,4.6627
2007-04-19,4.6398
2007-04-20,4.588
2007-04-23,4.5629
2007-04-24,4.5666
2007-04-25,4.4999
2007-04-26,4.502
2007-04-27,4.383
2007-04-30,4.4428
2007-05-01,4.3621
2007-05-02,4.3281
2007-05-03,4.3374
2007-05-04,4.3454
2007-05-07,4.2979
2007-05-08,4.2875
2007-05-09,4.256
2007-05-10,4.3005
2007-05-11,4.3012
2007-05-14,4.2947
2007-05-15,4.2856
2007-05-16,4.542
2007-05-17,4.5161
2007-05-18,4.4933
2007-05-21,4.5182
2007-05-22,4.5249
2007-05-23,4.5764
2007-05-24,4.5834
2007-05-25,4.5509
2007-05-29,4.5481
2007-05-30,4.4986
2007-05-31,4.4812
2007-06-01,4.4919
2007-06-04,4.4779
2007-06-05,4.5074
2007-06-06,4.5585
2007-06-07,4.6157
2007-06-08,4.5974
2007-06-11,4.5605
2007-06-12,4.5695
2007-06-13,4.4286
2007-06-14,4.367
2007-06-15,4.3475
2007-06-18,4.4034
2007-06-19,4.3475
2007-06-20,4.367
2007-06-21,4.3332
2007-06-22,4.3727
2007-06-25,4.4124
2007-06-26,4.4137
2007-06-27,4.4332
2007-06-28,4.4416
2007-06-29,4.4169
2007-07-02,4.3708
2007-07-03,4.3406
2007-07-05,4.3269
2007-07-06,4.3084
2007-07-09,4.2815
2007-07-10,4.3513
2007-07-11,4.3294
2007-07-12,4.2227
2007-07-13,4.2411
2007-07-16,4.2429
2007-07-17,4.1864
2007-07-18,4.1969
2007-07-19,4.1427
2007-07-20,4.2615
2007-07-23,4.2465
2007-07-24,4.3344
2007-07-25,4.3035
2007-07-26,4.4826
2007-07-27,4.6969
2007-07-30,4.6086
2007-07-31,4.7962
2007-08-01,4.5855
2007-08-02,4.5509
2007-08-03,4.7457
2007-08-06,4.5695
2007-08-07,4.5195
2007-08-08,4.5
2007-08-09,4.7315
2007-08-10,4.7286
2007-08-13,4.6823
2007-08-14,4.8769
2007-08-15,4.9142
2007-08-16,5.0433
2007-08-17,4.9611
2007-08-20,4.8417
2007-08-21,4.8262
2007-08-22,4.9834
2007-08-23,5.1059
2007-08-24,4.9982
2007-08-27,4.9579
2007-08-28,5.1043
2007-08-29,4.9341
2007-08-30,4.9494
2007-08-31,4.7019
2007-09-04,4.7593
2007-09-05,4.8437
2007-09-06,4.7936
2007-09-07,5.0021
2007-09-10,5.0154
2007-09-11,4.9571
2007-09-12,4.9982
2007-09-13,4.9402
2007-09-14,4.9725
2007-09-17,5.0344
2007-09-18,4.8569
2007-09-19,4.7964
2007-09-20,4.8283
2007-09-21,4.7749
2007-09-24,4.7885
2007-09-25,4.7885
2007-09-26,4.7068
2007-09-27,4.6291
2007-09-28,4.7061
2007-10-01,4.617
2007-10-02,4.6459
2007-10-03,4.7678
2007-10-04,4.8247
2007-10-05,4.7572
2007-10-08,4.7508
2007-10-09,4.6984
2007-10-10,4.7494
2007-10-11,4.7374
2007-10-12,4.6957
2007-10-15,4.7522
2007-10-16,4.8643
2007-10-17,4.8599
2007-10-18,4.8496
2007-10-19,5.0937
2007-10-22,5.1198
2007-10-23,4.9803
2007-10-24,4.9779
2007-10-25,5.0832
2007-10-26,4.8621
2007-10-29,4.8356
2007-10-30,4.9046
2007-10-31,4.7771
2007-11-01,4.9741
2007-11-02,4.9265
