Date,EQY_DVD_YLD_12M
2006-01-03,1.594
2006-01-04,1.5786
2006-01-05,1.605
2006-01-06,1.5873
2006-01-09,1.5847
2006-01-10,1.573
2006-01-11,1.558
2006-01-12,1.5487
2006-01-13,1.5428
2006-01-17,1.5265
2006-01-18,1.5351
2006-01-19,1.3873
2006-01-20,1.3822
2006-01-23,1.3737
2006-01-24,1.3718
2006-01-25,1.383
2006-01-26,1.3683
2006-01-27,1.3615
2006-01-30,1.3687
2006-01-31,1.3695
2006-02-01,1.3592
2006-02-02,1.3649
2006-02-03,1.3676
2006-02-06,1.3577
2006-02-07,1.3611
2006-02-08,1.3517
2006-02-09,1.3532
2006-02-10,1.3301
2006-02-13,1.3308
2006-02-14,1.3388
2006-02-15,1.3403
2006-02-16,1.3341
2006-02-17,1.3458
2006-02-21,1.371
2006-02-22,1.3745
2006-02-23,1.3699
2006-02-24,1.3547
2006-02-27,1.3384
2006-02-28,1.3699
2006-03-01,1.3604
2006-03-02,1.3795
2006-03-03,1.383
2006-03-06,1.3917
2006-03-07,1.3826
2006-03-08,1.3772
2006-03-09,1.402
2006-03-10,1.398
2006-03-13,1.3956
2006-03-14,1.4
2006-03-15,1.3905
2006-03-16,1.4072
2006-03-17,1.4151
2006-03-20,1.4249
2006-03-21,1.4183
2006-03-22,1.4461
2006-03-23,1.4533
2006-03-24,1.4286
2006-03-27,1.429
2006-03-28,1.4319
2006-03-29,1.4078
2006-03-30,1.3967
2006-03-31,1.4055
2006-04-03,1.3808
2006-04-04,1.3682
2006-04-05,1.3629
2006-04-06,1.3455
2006-04-07,1.3495
2006-04-10,1.3659
2006-04-11,1.3827
2006-04-12,1.4087
2006-04-13,1.4043
2006-04-17,1.3979
2006-04-18,1.4127
2006-04-19,1.4175
2006-04-20,1.2979
2006-04-21,1.3404
2006-04-24,1.314
2006-04-25,1.2791
2006-04-26,1.2992
2006-04-27,1.2968
2006-04-28,1.305
2006-05-01,1.3133
2006-05-02,1.3158
2006-05-03,1.3009
2006-05-04,1.2644
2006-05-05,1.2628
2006-05-08,1.2624
2006-05-09,1.2611
2006-05-10,1.2628
2006-05-11,1.2634
2006-05-12,1.2738
2006-05-15,1.2794
2006-05-16,1.2911
2006-05-17,1.3158
2006-05-18,1.3407
2006-05-19,1.3451
2006-05-22,1.3551
2006-05-23,1.3712
2006-05-24,1.375
2006-05-25,1.3539
2006-05-26,1.3346
2006-05-30,1.3562
2006-05-31,1.3296
2006-06-01,1.3289
2006-06-02,1.3539
2006-06-05,1.3663
2006-06-06,1.3959
2006-06-07,1.394
2006-06-08,1.3659
2006-06-09,1.3591
2006-06-12,1.3862
2006-06-13,1.3952
2006-06-14,1.3901
2006-06-15,1.3588
2006-06-16,1.3588
2006-06-19,1.3835
2006-06-20,1.3731
2006-06-21,1.3618
2006-06-22,1.3908
2006-06-23,1.4053
2006-06-26,1.4108
2006-06-27,1.4196
2006-06-28,1.3912
2006-06-29,1.3444
2006-06-30,1.3179
2006-07-03,1.3426
2006-07-05,1.3514
2006-07-06,1.3477
2006-07-07,1.3587
2006-07-10,1.3717
2006-07-11,1.3546
2006-07-12,1.3695
2006-07-13,1.3812
2006-07-14,1.3966
2006-07-17,1.3873
2006-07-18,1.3916
2006-07-19,1.3631
2006-07-20,1.321
2006-07-21,1.338
2006-07-24,1.2917
2006-07-25,1.2907
2006-07-26,1.3041
2006-07-27,1.3245
2006-07-28,1.3228
2006-07-31,1.2933
2006-08-01,1.2807
2006-08-02,1.2977
2006-08-03,1.3075
2006-08-04,1.3224
2006-08-07,1.3401
2006-08-08,1.3423
2006-08-09,1.3466
2006-08-10,1.3412
2006-08-11,1.3546
2006-08-14,1.3695
2006-08-15,1.3477
2006-08-16,1.3358
2006-08-17,1.3405
2006-08-18,1.3312
2006-08-21,1.3437
2006-08-22,1.3228
2006-08-23,1.3344
2006-08-24,1.3344
2006-08-25,1.3419
2006-08-28,1.3161
