Date,EQY_DVD_YLD_12M
2008-08-05,0.0453
2008-08-06,0.0443
2008-08-07,0.0452
2008-08-08,0.0479
2008-08-11,0.0519
2008-08-12,0.0515
2008-08-13,0.0467
2008-08-14,0.0479
2008-08-15,0.0513
2008-08-18,0.0492
2008-08-19,0.0483
2008-08-20,0.0468
2008-08-21,0.0462
2008-08-22,0.0466
2008-08-25,0.0467
2008-08-26,0.0469
2008-08-27,0.0458
2008-08-28,0.0471
2008-08-29,0.0468
2008-09-02,0.0514
2008-09-03,0.0537
2008-09-04,0.057
2008-09-05,0.0529
2008-09-08,0.0572
2008-09-09,0.0649
2008-09-10,0.0604
2008-09-11,0.0584
2008-09-12,0.0544
2008-09-15,0.0594
2008-09-16,0.0573
2008-09-17,0.0598
2008-09-18,0.059
2008-09-19,0.0524
2008-09-22,0.0525
2008-09-23,0.0581
2008-09-24,0.0593
2008-09-25,0.0591
2008-09-26,0.0657
2008-09-29,0.0784
2008-09-30,0.0735
2008-10-01,0.0741
2008-10-02,0.1261
2008-10-03,0.1223
2008-10-06,0.1346
2008-10-07,0.1474
2008-10-08,0.1399
2008-10-09,0.1369
2008-10-10,0.1374
2008-10-13,0.1131
2008-10-14,0.1274
2008-10-15,0.1476
2008-10-16,0.1508
2008-10-17,0.1485
2008-10-20,0.1284
2008-10-21,0.1361
2008-10-22,0.1552
2008-10-23,0.1734
2008-10-24,0.18
2008-10-27,0.1887
2008-10-28,0.1668
2008-10-29,0.1486
2008-10-30,0.1322
2008-10-31,0.1269
2008-11-03,0.134
2008-11-04,0.2396
2008-11-05,0.2607
2008-11-06,0.2952
2008-11-07,0.274
2008-11-10,0.2735
2008-11-11,0.2922
2008-11-12,0.3336
2008-11-13,0.2949
2008-11-14,0.308
2008-11-17,0.3168
2008-11-18,0.3188
2008-11-19,0.3478
2008-11-20,0.4482
2008-11-21,0.401
2008-11-24,0.3682
2008-11-25,0.3591
2008-11-26,0.3389
2008-11-28,0.3295
2008-12-01,0.3937
2008-12-02,0.3682
2008-12-03,0.3717
2008-12-04,0.3804
2008-12-05,0.3627
2008-12-08,0.3328
2008-12-09,0.3134
2008-12-10,0.2916
2008-12-11,0.3246
2008-12-12,0.3175
2008-12-15,0.3179
2008-12-16,0.2781
2008-12-17,0.269
2008-12-18,0.2878
2008-12-19,0.2975
2008-12-22,0.3216
2008-12-23,0.3189
2008-12-24,0.3202
2008-12-26,0.3068
2008-12-29,0.2952
2008-12-30,0.2924
2008-12-31,0.289
2009-01-02,0.2713
2009-01-05,0.2655
2009-01-06,0.2593
2009-01-07,0.2601
2009-01-08,0.2514
2009-01-09,0.2578
2009-01-12,0.2894
2009-01-13,0.2851
2009-01-14,0.3011
2009-01-15,0.2901
2009-01-16,0.2821
2009-01-20,0.311
2009-01-21,0.2973
2009-01-22,0.2946
2009-01-23,0.2826
2009-01-26,0.2737
2009-01-27,0.2737
2009-01-28,0.2648
2009-01-29,0.2768
2009-01-30,0.2803
2009-02-02,0.2813
2009-02-03,0.4128
2009-02-04,0.3846
2009-02-05,0.3628
2009-02-06,0.333
2009-02-09,0.3287
2009-02-10,0.3396
2009-02-11,0.3555
2009-02-12,0.3484
2009-02-13,0.3498
2009-02-17,0.3794
2009-02-18,0.3669
2009-02-19,0.3595
2009-02-20,0.3528
2009-02-23,0.4179
2009-02-24,0.386
2009-02-25,0.3834
2009-02-26,0.3782
2009-02-27,0.3484
2009-03-02,0.3977
2009-03-03,0.3736
2009-03-04,0.3582
2009-03-05,0.3742
2009-03-06,0.383
2009-03-09,0.3717
2009-03-10,0.3402
2009-03-11,0.3295
2009-03-12,0.3471
2009-03-13,0.3565
2009-03-16,0.3628
2009-03-17,0.3549
2009-03-18,0.3526
2009-03-19,0.3448
2009-03-20,0.3604
2009-03-23,0.335
2009-03-24,0.3333
2009-03-25,0.3299
2009-03-26,0.3112
2009-03-27,0.3188
2009-03-30,0.351
2009-03-31,0.3573
2009-04-01,0.3415
2009-04-02,0.3419
2009-04-03,0.3287
2009-04-06,0.3342
2009-04-07,0.3493
2009-04-08,0.3289
2009-04-09,0.3365
2009-04-13,0.339
2009-04-14,0.337
2009-04-15,0.3362
2009-04-16,0.3433
2009-04-17,0.3556
2009-04-20,0.3814
2009-04-21,0.3858
2009-04-22,0.3887
2009-04-23,0.3926
2009-04-24,0.3662
2009-04-27,0.3849
2009-04-28,0.3856
2009-04-29,0.3747
2009-04-30,0.3708
2009-05-01,0.3542
2009-05-04,0.3388
2009-05-05,0.4322
2009-05-06,0.4367
2009-05-07,0.4393
2009-05-08,0.44
2009-05-11,0.4487
2009-05-12,0.4196
2009-05-13,0.4316
2009-05-14,0.3974
2009-05-15,0.3899
2009-05-18,0.3636
2009-05-19,0.3517
2009-05-20,0.352
2009-05-21,0.3749
2009-05-22,0.3613
2009-05-26,0.3548
2009-05-27,0.3666
2009-05-28,0.3625
2009-05-29,0.3656
2009-06-01,0.3542
2009-06-02,0.3573
2009-06-03,0.3814
2009-06-04,0.3726
2009-06-05,0.3764
2009-06-08,0.3864
2009-06-09,0.3722
2009-06-10,0.3618
2009-06-11,0.3551
2009-06-12,0.3605
2009-06-15,0.3765
2009-06-16,0.3905
2009-06-17,0.4324
2009-06-18,0.4369
2009-06-19,0.4306
2009-06-22,0.4731
2009-06-23,0.4561
2009-06-24,0.4536
2009-06-25,0.4567
2009-06-26,0.4614
2009-06-29,0.4354
2009-06-30,0.4515
2009-07-01,0.4566
2009-07-02,0.4434
2009-07-06,0.4583
2009-07-07,0.4848
2009-07-08,0.4918
2009-07-09,0.4677
2009-07-10,0.4863
2009-07-13,0.471
2009-07-14,0.4627
2009-07-15,0.4489
2009-07-16,0.4002
2009-07-17,0.4036
2009-07-20,0.4072
2009-07-21,0.4071
2009-07-22,0.4131
2009-07-23,0.3887
2009-07-24,0.3742
2009-07-27,0.3794
2009-07-28,0.3933
2009-07-29,0.4063
2009-07-30,0.3868
2009-07-31,0.3835
2009-08-03,0.3628
2009-08-04,0.3726
2009-08-05,0.37
2009-08-06,0.3677
2009-08-07,0.3719
2009-08-10,0.3781
2009-08-11,0.3852
2009-08-12,0.3771
2009-08-13,0.366
2009-08-14,0.3699
2009-08-17,0.3912
2009-08-18,0.3797
2009-08-19,0.375
2009-08-20,0.3672
2009-08-21,0.3672
2009-08-24,0.3727
2009-08-25,0.3842
2009-08-26,0.387
2009-08-27,0.3893
2009-08-28,0.4015
2009-08-31,0.4126
2009-09-01,0.4048
2009-09-02,0.3949
2009-09-03,0.3932
2009-09-04,0.3894
2009-09-08,0.3822
2009-09-09,0.3877
2009-09-10,0.3943
2009-09-11,0.3827
2009-09-14,0.388
2009-09-15,0.3726
2009-09-16,0.3771
2009-09-17,0.3722
2009-09-18,0.3687
2009-09-21,0.389
2009-09-22,0.3853
2009-09-23,0.3968
2009-09-24,0.3968
2009-09-25,0.4064
2009-09-28,0.4037
2009-09-29,0.4101
2009-09-30,0.4161
2009-10-01,0.4308
2009-10-02,0.4331
2009-10-05,0.4352
2009-10-06,0.4176
2009-10-07,0.4146
2009-10-08,0.4027
2009-10-09,0.4062
2009-10-12,0.406
2009-10-13,0.4077
2009-10-14,0.3965
2009-10-15,0.3947
2009-10-16,0.3875
2009-10-19,0.3729
2009-10-20,0.3759
2009-10-21,0.3752
2009-10-22,0.3758
2009-10-23,0.3862
2009-10-26,0.401
2009-10-27,0.4074
2009-10-28,0.4212
2009-10-29,0.4085
2009-10-30,0.428
2009-11-02,0.4216
2009-11-03,0.4155
2009-11-04,0.4101
2009-11-05,0.4041
2009-11-06,0.3972
2009-11-09,2.9869
2009-11-10,2.9418
2009-11-11,2.8969
2009-11-12,3.0175
2009-11-13,3.1172
2009-11-16,3.0066
2009-11-17,2.8425
2009-11-18,2.7553
2009-11-19,2.7747
2009-11-20,2.712
2009-11-23,2.7283
2009-11-24,2.7726
2009-11-25,2.6795
2009-11-27,2.7599
2009-11-30,2.7548
2009-12-01,2.6238
2009-12-02,2.4315
2009-12-03,2.4761
2009-12-04,2.5733
2009-12-07,2.5025
2009-12-08,2.5308
2009-12-09,2.5155
2009-12-10,2.513
2009-12-11,2.5428
2009-12-14,2.5432
2009-12-15,2.5381
2009-12-16,2.5134
2009-12-17,2.6771
2009-12-18,2.7164
2009-12-21,2.5725
2009-12-22,2.5575
2009-12-23,2.4876
2009-12-24,2.4748
2009-12-28,2.4659
