Date,EQY_DVD_YLD_12M
2012-11-20,0.6527
2012-11-21,0.6345
2012-11-23,0.6303
2012-11-26,0.6196
2012-11-27,0.617
2012-11-28,0.6117
2012-11-29,0.6229
2012-11-30,0.6266
2012-12-03,0.6383
2012-12-04,0.6201
2012-12-05,0.6271
2012-12-06,0.626
2012-12-07,0.6274
2012-12-10,0.6068
2012-12-11,0.5929
2012-12-12,0.599
2012-12-13,0.5986
2012-12-14,0.5957
2012-12-17,0.5983
2012-12-18,0.5971
2012-12-19,0.5929
2012-12-20,0.5934
2012-12-21,0.6073
2012-12-24,0.6122
2012-12-26,0.6127
2012-12-27,0.6168
2012-12-28,0.6198
2012-12-31,0.6117
2013-01-02,0.5896
2013-01-03,0.5892
2013-01-04,0.5703
2013-01-07,0.5873
2013-01-08,0.6004
2013-01-09,0.6143
2013-01-10,0.6132
2013-01-11,0.6143
2013-01-14,0.6148
2013-01-15,0.626
2013-01-16,0.6203
2013-01-17,0.6122
2013-01-18,0.6163
2013-01-22,0.6193
2013-01-23,0.6183
2013-01-24,0.6153
2013-01-25,0.6044
2013-01-28,0.5948
2013-01-29,0.6078
2013-01-30,0.6088
2013-01-31,0.6117
2013-02-01,0.6063
2013-02-04,0.6168
2013-02-05,0.6029
2013-02-06,0.6078
2013-02-07,0.6103
2013-02-08,0.6063
2013-02-11,0.5995
2013-02-12,0.6034
2013-02-13,0.6063
2013-02-14,0.5892
2013-02-15,0.5891
2013-02-19,0.5974
2013-02-20,0.6058
2013-02-21,0.6103
2013-02-22,0.599
2013-02-25,0.6098
2013-02-26,1.2126
2013-02-27,1.1905
2013-02-28,1.1848
2013-03-01,1.1802
2013-03-04,1.1853
2013-03-05,1.1719
2013-03-06,1.1728
2013-03-07,1.1755
2013-03-08,1.17
2013-03-11,1.1816
2013-03-12,1.1774
2013-03-13,1.1774
2013-03-14,1.1765
2013-03-15,1.1867
2013-03-18,1.1952
2013-03-19,1.2029
2013-03-20,1.1886
2013-03-21,1.2077
2013-03-22,1.2019
2013-03-25,1.2087
2013-03-26,1.2
2013-03-27,1.1858
2013-03-28,1.1691
2013-04-01,1.2087
2013-04-02,1.222
2013-04-03,1.237
2013-04-04,1.225
2013-04-05,1.2039
2013-04-08,1.2068
2013-04-09,1.1876
2013-04-10,1.1691
2013-04-11,1.1746
2013-04-12,1.1459
2013-04-15,1.17
2013-04-16,1.1574
2013-04-17,1.1732
2013-04-18,1.1962
2013-04-19,1.1933
2013-04-22,1.1914
2013-04-23,1.161
2013-04-24,1.1228
2013-04-25,1.1136
2013-04-26,1.1186
2013-04-29,1.1054
2013-04-30,1.0893
2013-05-01,1.0989
2013-05-02,1.0862
2013-05-03,1.0815
2013-05-06,1.0846
2013-05-07,1.0989
2013-05-08,1.0792
2013-05-09,1.0784
2013-05-10,1.0316
2013-05-13,1.0534
2013-05-14,1.0381
2013-05-15,1.0208
2013-05-16,1.0253
2013-05-17,1.0087
2013-05-20,1.0108
2013-05-21,1.508
2013-05-22,1.5625
2013-05-23,1.5379
2013-05-24,1.5475
2013-05-28,1.5485
2013-05-29,1.5582
2013-05-30,1.5379
2013-05-31,1.5549
2013-06-03,1.5571
2013-06-04,1.5549
2013-06-05,1.589
2013-06-06,1.5789
2013-06-07,1.5576
2013-06-10,1.5582
2013-06-11,1.5879
2013-06-12,1.6014
2013-06-13,1.5658
2013-06-14,1.5679
2013-06-17,1.5528
2013-06-18,1.5625
2013-06-19,1.5162
2013-06-20,1.5582
2013-06-21,1.5609
2013-06-24,1.5935
2013-06-25,1.5823
2013-06-26,1.5912
2013-06-27,1.606
2013-06-28,1.6026
2013-07-01,1.5957
2013-07-02,1.5969
2013-07-03,1.5924
2013-07-05,1.5801
2013-07-08,1.5884
2013-07-09,1.5799
2013-07-10,1.5593
2013-07-11,1.5379
2013-07-12,1.5369
2013-07-15,1.54
