Date,EQY_DVD_YLD_12M
2006-01-03,1.3289
2006-01-04,1.323
2006-01-05,1.3241
2006-01-06,1.3133
2006-01-09,1.2958
2006-01-10,1.3006
2006-01-11,1.2691
2006-01-12,1.2731
2006-01-13,1.2761
2006-01-17,1.2928
2006-01-18,1.276
2006-01-19,1.2648
2006-01-20,1.2827
2006-01-23,1.2733
2006-01-24,1.2622
2006-01-25,1.2565
2006-01-26,1.2265
2006-01-27,1.2417
2006-01-30,1.2609
2006-01-31,1.2691
2006-02-01,1.2662
2006-02-02,1.2627
2006-02-03,1.269
2006-02-06,1.2713
2006-02-07,1.3008
2006-02-08,1.2933
2006-02-09,1.2994
2006-02-10,1.3036
2006-02-13,1.3124
2006-02-14,1.2902
2006-02-15,1.2807
2006-02-16,1.2705
2006-02-17,1.2703
2006-02-21,1.286
2006-02-22,1.2668
2006-02-23,1.2648
2006-02-24,1.2645
2006-02-27,1.2558
2006-02-28,1.2633
2006-03-01,1.256
2006-03-02,1.2516
2006-03-03,1.2622
2006-03-06,1.2746
2006-03-07,1.2787
2006-03-08,1.2877
2006-03-09,1.2866
2006-03-10,1.2778
2006-03-13,1.2887
2006-03-14,1.2657
2006-03-15,1.2647
2006-03-16,1.25
2006-03-17,1.2469
2006-03-20,1.2632
2006-03-21,1.2795
2006-03-22,1.3384
2006-03-23,1.3562
2006-03-24,1.3567
2006-03-27,1.3602
2006-03-28,1.3849
2006-03-29,1.3673
2006-03-30,1.3724
2006-03-31,1.3042
2006-04-03,1.2902
2006-04-04,1.2463
2006-04-05,1.2503
2006-04-06,1.2469
2006-04-07,1.2649
2006-04-10,1.248
2006-04-11,1.2674
2006-04-12,1.2638
2006-04-13,1.2593
2006-04-17,1.2474
2006-04-18,1.2267
2006-04-19,1.2251
2006-04-20,1.2162
2006-04-21,1.2198
2006-04-24,1.2191
2006-04-25,1.2213
2006-04-26,1.1859
2006-04-27,1.2006
2006-04-28,1.2115
2006-05-01,1.246
2006-05-02,1.2365
2006-05-03,1.2447
2006-05-04,1.2371
2006-05-05,1.2214
2006-05-08,1.2246
2006-05-09,1.2298
2006-05-10,1.2356
2006-05-11,1.2636
2006-05-12,1.2926
2006-05-15,1.2864
2006-05-16,1.299
2006-05-17,1.3309
2006-05-18,1.3435
2006-05-19,1.3143
2006-05-22,1.3109
2006-05-23,1.3124
2006-05-24,1.3127
2006-05-25,1.298
2006-05-26,1.2837
2006-05-30,1.3074
2006-05-31,1.2895
2006-06-01,1.2838
2006-06-02,1.2602
2006-06-05,1.307
2006-06-06,1.3122
2006-06-07,1.3189
2006-06-08,1.3166
2006-06-09,1.3165
2006-06-12,1.3379
2006-06-13,1.3929
2006-06-14,1.4137
2006-06-15,1.3564
2006-06-16,1.3624
2006-06-19,1.3756
2006-06-20,1.3728
2006-06-21,1.3514
2006-06-22,1.4282
2006-06-23,1.4562
2006-06-26,1.459
2006-06-27,1.4742
2006-06-28,1.4783
2006-06-29,1.4347
2006-06-30,1.415
2006-07-03,1.4072
2006-07-05,1.4351
2006-07-06,1.4312
2006-07-07,1.4386
2006-07-10,1.4274
2006-07-11,1.4424
2006-07-12,1.4645
2006-07-13,1.4882
2006-07-14,1.5096
2006-07-17,1.5024
2006-07-18,1.5182
2006-07-19,1.4491
2006-07-20,1.4746
2006-07-21,1.4932
2006-07-24,1.4467
2006-07-25,1.4378
2006-07-26,1.444
2006-07-27,1.3707
2006-07-28,1.3236
2006-07-31,1.2951
2006-08-01,1.3055
2006-08-02,1.3103
2006-08-03,1.3081
2006-08-04,1.2892
2006-08-07,1.3008
2006-08-08,1.2967
2006-08-09,1.2916
2006-08-10,1.2678
2006-08-11,1.2642
2006-08-14,1.2621
2006-08-15,1.2209
2006-08-16,1.2156
2006-08-17,1.2173
2006-08-18,1.2176
2006-08-21,1.2336
2006-08-22,1.2223
2006-08-23,1.2248
2006-08-24,1.2526
2006-08-25,1.257
2006-08-28,1.241
2006-08-29,1.2381
2006-08-30,1.2316
2006-08-31,1.2143
2006-09-01,1.205
2006-09-05,1.2047
2006-09-06,1.2107
2006-09-07,1.2212
