Date,EQY_DVD_YLD_12M
2006-01-03,4.2628
2006-01-04,4.2272
2006-01-05,4.2628
2006-01-06,4.2182
2006-01-09,4.0976
2006-01-10,4.1054
2006-01-11,4.1498
2006-01-12,4.1643
2006-01-13,4.0934
2006-01-17,4.1111
2006-01-18,4.1556
2006-01-19,4.2975
2006-01-20,4.3006
2006-01-23,4.2674
2006-01-24,4.2575
2006-01-25,4.2728
2006-01-26,4.262
2006-01-27,4.1863
2006-01-30,4.2766
2006-01-31,4.2514
2006-02-01,4.2636
2006-02-02,4.2789
2006-02-03,4.2697
2006-02-06,4.2521
2006-02-07,4.2659
2006-02-08,4.2674
2006-02-09,4.2835
2006-02-10,4.2998
2006-02-13,4.2491
2006-02-14,4.2613
2006-02-15,4.2982
2006-02-16,4.2897
2006-02-17,4.2689
2006-02-21,4.2858
2006-02-22,4.1892
2006-02-23,4.1922
2006-02-24,4.1745
2006-02-27,4.1797
2006-02-28,4.2175
2006-03-01,4.2985
2006-03-02,4.3249
2006-03-03,4.3098
2006-03-06,4.3563
2006-03-07,4.3873
2006-03-08,4.3826
2006-03-09,4.4006
2006-03-10,4.4443
2006-03-13,4.4411
2006-03-14,4.4299
2006-03-15,4.4596
2006-03-16,4.4323
2006-03-17,4.4299
2006-03-20,4.4685
2006-03-21,4.5012
2006-03-22,4.5111
2006-03-23,4.5841
2006-03-24,4.5833
2006-03-27,4.6168
2006-03-28,4.6124
2006-03-29,4.6254
2006-03-30,4.6746
2006-03-31,4.7421
2006-04-03,4.7076
2006-04-04,4.609
2006-04-05,4.6341
2006-04-06,4.6879
2006-04-07,4.7476
2006-04-10,4.7798
2006-04-11,4.8134
2006-04-12,4.8333
2006-04-13,4.8295
2006-04-17,4.8609
2006-04-18,4.8485
2006-04-19,4.7632
2006-04-20,4.5477
2006-04-21,4.6534
2006-04-24,4.6499
2006-04-25,4.7194
2006-04-26,4.6773
2006-04-27,4.6202
2006-04-28,4.6578
2006-05-01,4.6773
2006-05-02,4.7149
2006-05-03,4.7339
2006-05-04,4.7312
2006-05-05,4.723
2006-05-08,4.5739
2006-05-09,4.6021
2006-05-10,4.5927
2006-05-11,4.6376
2006-05-12,4.6508
2006-05-15,4.5561
2006-05-16,4.5561
2006-05-17,4.5747
2006-05-18,4.5927
2006-05-19,4.5276
2006-05-22,4.5469
2006-05-23,4.5858
2006-05-24,4.5185
2006-05-25,4.493
2006-05-26,4.5086
2006-05-30,4.5901
2006-05-31,4.7377
2006-06-01,4.6863
2006-06-02,4.6984
2006-06-05,4.7858
2006-06-06,4.7307
2006-06-07,4.7369
2006-06-08,4.7333
2006-06-09,4.8102
2006-06-12,4.8422
2006-06-13,4.8812
2006-06-14,4.8765
2006-06-15,4.812
2006-06-16,4.8066
2006-06-19,4.8635
2006-06-20,4.8487
2006-06-21,4.8349
2006-06-22,4.8906
2006-06-23,4.9028
2006-06-26,4.8579
2006-06-27,4.8747
2006-06-28,4.8831
2006-06-29,4.8057
2006-06-30,4.8129
2006-07-03,4.8294
2006-07-05,4.8202
2006-07-06,4.8339
2006-07-07,4.8349
2006-07-10,4.8395
2006-07-11,4.8093
2006-07-12,4.8441
2006-07-13,4.8971
2006-07-14,4.9447
2006-07-17,4.9047
2006-07-18,4.857
2006-07-19,4.8285
2006-07-20,5.0646
2006-07-21,5.0606
2006-07-24,5.0227
2006-07-25,5.0476
2006-07-26,5.0476
2006-07-27,5.0636
2006-07-28,5.094
2006-07-31,5.0636
2006-08-01,5.1001
2006-08-02,5.095
2006-08-03,5.0138
2006-08-04,5.0326
2006-08-07,5.0656
2006-08-08,5.092
2006-08-09,5.2001
2006-08-10,5.2483
2006-08-11,5.3052
2006-08-14,5.3207
2006-08-15,5.3129
2006-08-16,5.3229
2006-08-17,5.2974
2006-08-18,5.3129
2006-08-21,5.4031
2006-08-22,5.4516
2006-08-23,5.3996
2006-08-24,5.537
2006-08-25,5.5334
2006-08-28,5.4881
2006-08-29,5.4307
2006-08-30,5.5007
2006-08-31,5.4213
2006-09-01,5.3858
2006-09-05,5.2672
2006-09-06,5.3087
2006-09-07,5.3562
2006-09-08,5.2831
2006-09-11,5.1638
2006-09-12,5.1436
2006-09-13,5.0383
2006-09-14,5.0596
2006-09-15,5.0557
2006-09-18,5.1097
2006-09-19,5.0968
2006-09-20,5.087
2006-09-21,5.1578
2006-09-22,5.1146
2006-09-25,5.0373
2006-09-26,5.044
2006-09-27,5.1018
2006-09-28,5.0615
2006-09-29,5.0615
2006-10-02,5.1568
2006-10-03,5.1659
2006-10-04,5.1286
2006-10-05,5.1236
2006-10-06,5.1934
2006-10-09,5.1659
2006-10-10,5.1127
2006-10-11,5.2078
2006-10-12,5.2831
2006-10-13,5.4359
2006-10-16,5.4325
2006-10-17,5.4675
2006-10-18,5.5191
2006-10-19,5.5635
2006-10-20,5.5812
2006-10-23,5.5157
2006-10-24,5.5611
2006-10-25,5.4858
2006-10-26,5.4292
2006-10-27,5.4778
2006-10-30,5.4653
2006-10-31,5.4046
2006-11-01,5.4213
2006-11-02,5.3891
2006-11-03,5.3172
2006-11-06,5.3248
2006-11-07,5.3044
2006-11-08,5.5729
2006-11-09,5.6121
2006-11-10,5.5836
2006-11-13,5.5529
2006-11-14,5.511
2006-11-15,5.5553
2006-11-16,5.5041
2006-11-17,5.5284
2006-11-20,5.5741
2006-11-21,5.6849
2006-11-22,5.68
2006-11-24,5.7195
2006-11-27,5.8207
2006-11-28,5.8479
2006-11-29,5.9985
2006-11-30,5.9226
2006-12-01,5.9538
2006-12-04,5.8336
2006-12-05,5.6656
2006-12-06,5.5577
2006-12-07,5.5691
2006-12-08,5.6703
2006-12-11,5.5317
2006-12-12,5.5611
2006-12-13,5.5852
2006-12-14,5.4715
2006-12-15,5.5148
2006-12-18,5.5059
2006-12-19,5.4671
2006-12-20,5.4083
2006-12-21,5.4245
2006-12-22,5.4869
2006-12-26,5.4495
2006-12-27,5.5003
2006-12-28,5.5305
2006-12-29,5.5668
2007-01-03,5.6893
2007-01-04,5.4847
2007-01-05,5.4671
2007-01-08,5.4781
2007-01-09,5.4726
2007-01-10,5.5783
2007-01-11,5.5464
2007-01-12,5.5657
2007-01-16,5.6094
2007-01-17,5.6561
2007-01-18,5.9708
2007-01-19,5.9748
2007-01-22,6.0025
2007-01-23,6.0359
2007-01-24,5.888
2007-01-25,5.9787
2007-01-26,5.9787
2007-01-29,5.9291
2007-01-30,5.9356
2007-01-31,5.9072
2007-02-01,5.946
2007-02-02,5.8436
2007-02-05,6.4077
2007-02-06,6.4703
2007-02-07,6.3433
2007-02-08,6.3537
2007-02-09,6.3806
2007-02-12,6.3881
2007-02-13,6.4001
2007-02-14,6.3716
2007-02-15,6.3138
2007-02-16,6.1802
2007-02-20,6.217
2007-02-21,6.1549
2007-02-22,6.1647
2007-02-23,6.2341
2007-02-26,6.2701
2007-02-27,6.3971
2007-02-28,6.5625
2007-03-01,6.5518
2007-03-02,6.6356
2007-03-05,6.6928
2007-03-06,6.5748
2007-03-07,6.6609
2007-03-08,6.6736
2007-03-09,6.6467
2007-03-12,6.7056
2007-03-13,6.7902
2007-03-14,6.7902
2007-03-15,6.7362
2007-03-16,6.7427
2007-03-19,6.7379
2007-03-20,6.672
2007-03-21,6.5502
2007-03-22,6.6641
2007-03-23,6.7362
2007-03-26,6.7705
2007-03-27,6.7803
2007-03-28,6.8466
2007-03-29,6.8634
2007-03-30,6.8433
2007-04-02,6.7819
2007-04-03,6.733
2007-04-04,6.7951
2007-04-05,6.7541
2007-04-09,6.733
2007-04-10,6.6752
2007-04-11,6.7836
2007-04-12,6.8685
2007-04-13,5.9857
2007-04-16,3.8132
2007-04-17,3.7485
2007-04-18,3.7953
2007-04-19,3.8188
2007-04-20,3.8874
2007-04-23,3.8623
2007-04-24,3.9062
2007-04-25,3.8859
2007-04-26,3.896
2007-04-27,3.8709
2007-04-30,3.8997
2007-05-01,3.9237
2007-05-02,3.8737
2007-05-03,3.8531
2007-05-04,3.832
2007-05-07,3.8659
2007-05-08,3.8859
2007-05-09,3.8745
2007-05-10,3.9018
2007-05-11,3.8766
2007-05-14,3.8773
2007-05-15,3.8823
2007-05-16,3.8341
2007-05-17,3.7919
2007-05-18,3.7891
2007-05-21,3.796
2007-05-22,3.7919
2007-05-23,3.7728
2007-05-24,3.7579
2007-05-25,3.7472
2007-05-29,3.7319
2007-05-30,3.7266
2007-05-31,3.7345
2007-06-01,3.7339
2007-06-04,3.7292
2007-06-05,3.7352
2007-06-06,3.7332
2007-06-07,3.7439
2007-06-08,3.7379
2007-06-11,3.7385
2007-06-12,3.7081
2007-06-13,3.6699
2007-06-14,3.6828
2007-06-15,3.6808
2007-06-18,3.6757
2007-06-19,3.6368
2007-06-20,3.6387
2007-06-21,3.6368
2007-06-22,3.6482
2007-06-25,3.6603
2007-06-26,3.6508
2007-06-27,3.6469
2007-06-28,3.6495
2007-06-29,3.6457
2007-07-02,3.6318
2007-07-03,3.6243
2007-07-05,3.6287
2007-07-06,3.6255
2007-07-09,3.6205
2007-07-10,3.6318
2007-07-11,4.0253
2007-07-12,3.9091
2007-07-13,3.9135
2007-07-16,3.9645
2007-07-17,4.0595
2007-07-18,4.108
2007-07-19,4.0753
2007-07-20,4.1225
2007-07-23,4.1217
2007-07-24,3.9757
2007-07-25,4.1048
2007-07-26,4.19
2007-07-27,4.2494
2007-07-30,4.2356
2007-07-31,4.2692
2007-08-01,4.3078
2007-08-02,4.322
2007-08-03,4.3733
2007-08-06,4.2658
2007-08-07,4.2254
2007-08-08,4.1917
2007-08-09,4.271
2007-08-10,4.3551
2007-08-13,4.4759
2007-08-14,4.4493
2007-08-15,4.4902
2007-08-16,4.5163
2007-08-17,4.3497
2007-08-20,4.3407
2007-08-21,4.2554
2007-08-22,4.1942
2007-08-23,4.2118
2007-08-24,4.211
2007-08-27,4.2632
2007-08-28,4.2849
2007-08-29,4.2263
2007-08-30,4.2632
2007-08-31,4.175
2007-09-04,4.2059
2007-09-05,4.2753
2007-09-06,4.3131
2007-09-07,4.3497
2007-09-10,4.3354
2007-09-11,4.3034
2007-09-12,4.3184
2007-09-13,4.3506
2007-09-14,4.3843
2007-09-17,4.4673
2007-09-18,4.4054
2007-09-19,4.3238
2007-09-20,4.3515
2007-09-21,4.3452
2007-09-24,4.3925
2007-09-25,4.5388
2007-09-26,4.6638
2007-09-27,4.2736
2007-09-28,4.2263
2007-10-01,2.8045
2007-10-02,2.7939
2007-10-03,2.8272
2007-10-04,2.83
2007-10-05,2.8272
2007-10-08,2.8438
2007-10-09,2.8855
2007-10-10,2.8778
2007-10-11,2.8701
2007-10-12,2.8885
2007-10-15,3.0483
2007-10-16,2.9719
2007-10-17,2.9612
2007-10-18,2.8789
2007-10-19,2.9668
2007-10-22,3.0122
2007-10-23,2.9675
2007-10-24,2.9512
2007-10-25,2.9643
2007-10-26,2.9456
2007-10-29,2.9649
2007-10-30,2.9744
2007-10-31,2.9675
2007-11-01,3.0717
2007-11-02,3.1168
2007-11-05,3.2335
2007-11-06,3.2652
2007-11-07,3.4009
2007-11-08,3.4717
2007-11-09,3.5048
2007-11-12,3.6115
2007-11-13,3.3722
2007-11-14,3.5013
2007-11-15,3.561
2007-11-16,3.5838
2007-11-19,3.8341
2007-11-20,3.766
2007-11-21,3.7731
2007-11-23,3.6106
2007-11-26,3.7956
2007-11-27,3.806
2007-11-28,3.7042
2007-11-29,3.7399
2007-11-30,3.675
2007-12-03,3.7833
2007-12-04,3.7905
2007-12-05,3.7762
2007-12-06,3.7691
2007-12-07,3.8745
2007-12-10,4.0099
2007-12-11,4.3815
2007-12-12,4.9121
2007-12-13,5.0286
2007-12-14,5.2434
2007-12-17,5.016
2007-12-18,4.8474
2007-12-19,6.1138
2007-12-20,6.8166
2007-12-21,7.0501
2007-12-24,6.3439
2007-12-26,6.3238
2007-12-27,7.1219
2007-12-28,7.1219
2007-12-31,6.9486
2008-01-02,3.6143
2008-01-03,3.652
2008-01-04,4.1975
2008-01-07,3.9244
2008-01-08,4.0447
2008-01-09,3.7539
2008-01-10,3.5393
2008-01-11,3.4674
2008-01-14,3.4469
2008-01-15,3.6199
2008-01-16,3.5039
2008-01-17,3.7762
2008-01-18,3.7121
2008-01-22,3.6789
2008-01-23,3.7439
2008-01-24,3.5519
2008-01-25,3.5198
2008-01-28,3.4216
2008-01-29,3.4284
2008-01-30,3.4691
2008-01-31,3.2545
2008-02-01,3.0423
2008-02-04,3.2606
2008-02-05,3.4284
2008-02-06,3.4317
2008-02-07,3.238
2008-02-08,3.3722
2008-02-11,3.4726
2008-02-12,3.534
2008-02-13,3.3225
2008-02-14,3.232
2008-02-15,3.1835
2008-02-19,3.1734
2008-02-20,3.0975
2008-02-21,3.1777
2008-02-22,3.135
2008-02-25,3.1734
2008-02-26,3.2246
2008-02-27,3.2024
2008-02-28,3.2591
2008-02-29,3.5682
2008-03-03,3.5375
2008-03-04,3.6255
2008-03-05,3.5994
2008-03-06,3.9399
2008-03-07,3.7967
2008-03-10,4.1925
2008-03-11,3.5501
2008-03-12,3.8531
2008-03-13,3.978
2008-03-14,4.2076
2008-03-17,4.2305
2008-03-18,4.0587
2008-03-19,4.2511
2008-03-20,4.4343
2008-03-24,4.3273
2008-03-25,4.3246
2008-03-26,4.2614
2008-03-27,4.2744
2008-03-28,4.6156
2008-03-31,4.5585
2011-06-01,1.6891
2011-06-02,1.6621
2011-06-03,1.7171
2011-06-06,1.7299
2011-06-07,1.7129
2011-06-08,1.7493
2011-06-09,1.7592
2011-06-10,1.7771
2011-06-13,1.7805
2011-06-14,1.7782
2011-06-15,1.7839
2011-06-16,1.7692
2011-06-17,1.7537
2011-06-20,1.7161
2011-06-21,1.6943
2011-06-22,1.7067
2011-06-23,1.683
2011-06-24,1.68
2011-06-27,1.667
2011-06-28,1.6503
2011-06-29,1.6454
2011-06-30,1.665
2011-07-01,1.6484
2011-07-05,1.6464
2011-07-06,1.665
2011-07-07,1.6532
2011-07-08,1.676
2011-07-11,1.7203
2011-07-12,1.7256
2011-07-13,1.7224
2011-07-14,1.7331
2011-07-15,1.7439
2011-07-18,1.757
2011-07-19,1.7341
2011-07-20,1.7192
2011-07-21,1.665
2011-07-22,1.675
2011-07-25,1.7256
2011-07-26,1.7428
2011-07-27,1.7976
2011-07-28,1.8034
2011-07-29,1.7953
2011-08-01,1.7862
2011-08-02,1.8462
2011-08-03,1.8426
2011-08-04,1.9464
2011-08-05,1.9921
2011-08-08,2.3363
2011-08-09,2.0445
2011-08-10,2.1398
2011-08-11,1.9711
2011-08-12,2.0151
2011-08-15,1.9628
2011-08-16,2.0341
2011-08-17,2.0194
2011-08-18,2.1663
2011-08-19,2.1987
2011-08-22,2.1481
2011-08-23,2.0356
2011-08-24,2.018
2011-08-25,2.0445
2011-08-26,2.0505
2011-08-29,2.0194
2011-08-30,2.0595
2011-08-31,4.0771
2011-09-01,4.2057
2011-09-02,4.4147
2011-09-06,4.4604
2011-09-07,4.1869
2011-09-08,4.2862
2011-09-09,4.4043
2011-09-12,4.3027
2011-09-13,4.2472
2011-09-14,4.1373
2011-09-15,4.1373
2011-09-16,4.1527
2011-09-19,4.19
2011-09-20,4.2504
2011-09-21,4.4182
2011-09-22,4.4926
2011-09-23,4.5107
2011-09-26,4.4182
2011-09-27,4.3597
2011-09-28,4.4711
2011-09-29,4.3836
2011-09-30,4.4962
2011-10-03,4.932
2011-10-04,4.7479
2011-10-05,4.5884
2011-10-06,4.3495
2011-10-07,4.4569
2011-10-10,4.1775
2011-10-11,4.116
2011-10-12,4.0771
2011-10-13,4.1527
2011-10-14,4.1343
2011-10-17,4.3093
2011-10-18,4.095
2011-10-19,4.1994
2011-10-20,4.098
2011-10-21,4.0013
2011-10-24,3.9477
2011-10-25,4.529
2011-10-26,4.3293
2011-10-27,4.0272
2011-10-28,4.101
2011-10-31,4.095
2011-11-01,4.2634
2011-11-02,4.0771
2011-11-03,3.9701
2011-11-04,3.9533
2011-11-07,3.9533
2011-11-08,3.9036
2011-11-09,4.1496
2011-11-10,4.0623
2011-11-11,3.9421
2011-11-14,4.0593
2011-11-15,4.0417
2011-11-16,4.101
2011-11-17,4.2731
2011-11-18,4.283
2011-11-21,4.4427
2011-11-22,4.4747
2011-11-23,4.6571
2011-11-25,4.6687
2011-11-28,4.5696
2011-11-29,4.6301
2011-11-30,6.5192
2011-12-01,6.6012
2011-12-02,6.643
2011-12-05,6.6064
2011-12-06,6.3805
2011-12-07,6.2897
2011-12-08,6.5548
2011-12-09,6.4195
2011-12-12,6.5497
2011-12-13,6.489
2011-12-14,6.469
2011-12-15,6.3228
2011-12-16,6.2615
2011-12-19,6.4097
2011-12-20,6.1832
2011-12-21,6.2152
2011-12-22,6.138
2011-12-23,6.0539
2011-12-27,6.1923
2011-12-28,6.2337
2011-12-29,6.1923
2011-12-30,6.2662
2012-01-03,6.1023
2012-01-04,6.2429
2012-01-05,6.1335
2012-01-06,6.0934
2012-01-09,6.0802
2012-01-10,6.0978
2012-01-11,6.1023
2012-01-12,6.129
2012-01-13,6.156
2012-01-17,6.156
2012-01-18,5.8759
2012-01-19,5.7709
2012-01-20,5.7433
2012-01-23,5.763
2012-01-24,5.763
2012-01-25,5.7433
2012-01-26,5.5941
2012-01-27,5.5497
2012-01-30,5.6128
2012-01-31,5.6165
2012-02-01,5.4845
2012-02-02,5.4207
2012-02-03,5.2512
2012-02-06,5.2893
2012-02-07,5.3077
2012-02-08,5.3279
2012-02-09,5.2776
2012-02-10,5.2876
2012-02-13,5.2447
2012-02-14,5.2251
2012-02-15,5.271
2012-02-16,5.2529
2012-02-17,5.2024
2012-02-21,5.1609
2012-02-22,5.18
2012-02-23,5.1325
2012-02-24,5.1864
2012-02-27,5.1736
2012-02-28,5.1864
2012-02-29,7.5478
2012-03-01,7.3247
2012-03-02,7.3838
2012-03-05,7.4439
2012-03-06,7.6057
2012-03-07,7.4486
2012-03-08,7.361
2012-03-09,7.271
2012-03-12,7.3112
2012-03-13,7.1789
2012-03-14,7.3884
2012-03-15,7.3656
2012-03-16,7.3112
2012-03-19,7.2093
2012-03-20,7.2224
2012-03-21,7.3023
2012-03-22,7.4207
2012-03-23,7.3793
2012-03-26,7.3023
2012-03-27,7.4253
2012-03-28,7.5002
2012-03-29,7.505
2012-03-30,7.5478
2012-04-02,7.524
2012-04-03,7.5097
2012-04-04,7.6993
2012-04-05,7.7951
2012-04-09,7.8621
2012-04-10,8.0103
2012-04-11,7.9674
2012-04-12,7.813
2012-04-13,8.0103
2012-04-16,8.0184
2012-04-17,7.8986
2012-04-18,7.9568
2012-04-19,7.9808
2012-04-20,7.8882
2012-04-23,7.9728
2012-04-24,7.9461
2012-04-25,8.0103
2012-04-26,8.005
2012-04-27,8.005
2012-04-30,8.0212
2012-05-01,8.0647
2012-05-02,8.2321
2012-05-03,8.377
2012-05-04,8.5701
2012-05-07,8.5455
2012-05-08,8.6638
2012-05-09,8.5825
2012-05-10,8.5701
2012-05-11,8.6827
2012-05-14,8.7337
2012-05-15,8.7789
2012-05-16,9.0116
2012-05-17,9.1785
2012-05-18,9.2284
2012-05-21,8.9641
2012-05-22,8.8971
2012-05-23,8.9372
2012-05-24,8.7724
2012-05-25,8.7659
2012-05-29,8.6198
2012-05-30,8.9709
2012-05-31,9.0158
2012-06-01,9.2036
2012-06-04,9.1335
2012-06-05,8.9359
2012-06-06,8.6505
2012-06-07,8.8139
2012-06-08,8.6683
2012-06-11,8.876
2012-06-12,8.6803
2012-06-13,8.8232
2012-06-14,8.6683
2012-06-15,8.3911
2012-06-18,8.38
2012-06-19,8.2321
2012-06-20,8.3688
2012-06-21,8.5045
2012-06-22,8.3136
2012-06-25,8.4136
2012-06-26,8.5652
2012-06-27,8.2862
2012-06-28,8.2375
2012-06-29,8.0172
2012-07-02,7.8793
2012-07-03,7.8621
2012-07-05,7.8621
2012-07-06,7.7365
2012-07-09,7.7508
2012-07-10,7.8523
2012-07-11,7.7747
2012-07-12,7.867
2012-07-13,7.7176
2012-07-16,7.6893
2012-07-17,7.7892
2012-07-18,7.8523
2012-07-19,8.289
2012-07-20,8.0275
2012-07-23,8.1522
2012-07-24,8.2348
2012-07-25,8.0583
2012-07-26,7.8892
2012-07-27,7.8182
2012-07-30,7.8523
2012-07-31,7.8769
2012-08-01,8.0071
2012-08-02,8.105
2012-08-03,7.8621
2012-08-06,7.9565
2012-08-07,7.8621
2012-08-08,7.8474
2012-08-09,7.8769
2012-08-10,7.8133
2012-08-13,7.8133
2012-08-14,7.8425
2012-08-15,7.7508
2012-08-16,7.8328
2012-08-17,7.8572
2012-08-20,7.8867
2012-08-21,8.0224
2012-08-22,7.9665
2012-08-23,8.0172
2012-08-24,7.9615
2012-08-27,8.0121
2012-08-28,8.0121
2012-08-29,8.0224
2012-08-30,8.1102
2012-08-31,7.9969
2012-09-04,7.964
2012-09-05,8.5884
2012-09-06,8.4251
2012-09-07,8.3405
2012-09-10,8.3353
2012-09-11,8.227
2012-09-12,8.1664
2012-09-13,8.0133
2012-09-14,7.923
2012-09-17,8.0138
2012-09-18,8.0234
2012-09-19,7.9897
2012-09-20,8.077
2012-09-21,8.1613
2012-09-24,8.0869
2012-09-25,8.286
2012-09-26,8.4465
2012-09-27,8.3985
2012-09-28,8.4573
2012-10-01,8.3197
2012-10-02,8.2117
2012-10-03,8.1613
2012-10-04,7.9705
2012-10-05,7.9753
2012-10-08,7.9277
2012-10-09,7.9897
2012-10-10,7.9801
2012-10-11,7.6804
2012-10-12,7.8205
2012-10-15,7.7747
2012-10-16,7.7611
2012-10-17,7.7476
2012-10-18,7.8412
2012-10-19,8.0065
2012-10-22,7.9657
2012-10-23,7.9183
2012-10-24,7.7566
2012-10-25,7.5797
2012-10-26,7.6014
2012-10-31,7.5625
2012-11-01,7.5112
2012-11-02,7.5197
2012-11-05,7.5197
2012-11-06,7.49
2012-11-07,7.7702
2012-11-08,7.8948
2012-11-09,7.8901
2012-11-12,7.9136
2012-11-13,7.9183
2012-11-14,8.0307
2012-11-15,8.0428
2012-11-16,7.9419
2012-11-19,7.8389
2012-11-20,7.8901
2012-11-21,7.8714
2012-11-23,7.7975
2012-11-26,7.9443
2012-11-27,7.9418
2012-11-28,7.7975
2012-11-29,7.9183
2012-11-30,8.0331
2012-12-03,8.0624
2012-12-04,7.9897
2012-12-05,8.3103
2012-12-06,8.2321
2012-12-07,8.2808
2012-12-10,8.1601
2012-12-11,8.08
2012-12-12,8.1935
2012-12-13,8.2857
2012-12-14,8.385
2012-12-17,8.1792
2012-12-18,8.1316
2012-12-19,8.2955
2012-12-20,8.3202
2012-12-21,8.3202
2012-12-24,8.335
2012-12-26,8.3674
2012-12-27,8.345
2012-12-28,8.3301
2012-12-31,8.1696
2013-01-02,8.0428
2013-01-03,8.066
2013-01-04,7.9969
2013-01-07,8.0475
2013-01-08,8.0244
2013-01-09,7.9696
2013-01-10,7.9334
2013-01-11,8.0567
2013-01-14,8.0614
2013-01-15,8.0753
2013-01-16,8.0893
2013-01-17,8.3202
2013-01-18,8.2906
2013-01-22,8.271
2013-01-23,8.2466
2013-01-24,8.2808
2013-01-25,8.2808
2013-01-28,8.355
2013-01-29,8.2906
2013-01-30,8.345
2013-01-31,8.2857
2013-02-01,8.1983
2013-02-04,8.2321
2013-02-05,8.1553
2013-02-06,7.8489
2013-02-07,7.8138
2013-02-08,7.4998
2013-02-11,7.6223
2013-02-12,7.6599
2013-02-13,7.614
2013-02-14,7.3889
2013-02-15,7.3811
2013-02-19,7.2888
2013-02-20,7.3155
2013-02-21,7.4045
2013-02-22,7.4045
2013-02-25,7.4558
2013-02-26,7.4957
2013-02-27,7.7706
2013-02-28,7.7461
2013-03-01,7.4326
2013-03-04,7.4894
2013-03-05,7.478
2013-03-06,7.5047
2013-03-07,7.5861
2013-03-08,7.7054
2013-03-11,7.5705
