Date,EQY_DVD_YLD_12M
2006-01-03,0.3826
2006-01-04,0.3788
2006-01-05,0.3798
2006-01-06,0.3722
2006-01-09,0.3698
2006-01-10,0.3664
2006-01-11,0.3652
2006-01-12,0.3624
2006-01-13,0.3571
2006-01-17,0.3457
2006-01-18,0.3522
2006-01-19,0.3454
2006-01-20,0.3448
2006-01-23,0.34
2006-01-24,0.3449
2006-01-25,0.3563
2006-01-26,0.3515
2006-01-27,0.3464
2006-01-30,0.3291
2006-01-31,0.3332
2006-02-01,0.3488
2006-02-02,0.3575
2006-02-03,0.3548
2006-02-06,0.3496
2006-02-07,0.3674
2006-02-08,0.372
2006-02-09,0.3926
2006-02-10,0.4107
2006-02-13,0.4544
2006-02-14,0.4621
2006-02-15,0.4546
2006-02-16,0.4271
2006-02-17,0.4219
2006-02-21,0.4141
2006-02-22,0.4214
2006-02-23,0.4191
2006-02-24,0.4091
2006-02-27,0.4146
2006-02-28,0.4274
2006-03-01,0.4184
2006-03-02,0.4052
2006-03-03,0.4067
2006-03-06,0.4197
2006-03-07,0.4286
2006-03-08,0.4274
2006-03-09,0.4316
2006-03-10,0.4294
2006-03-13,0.4131
2006-03-14,0.4056
2006-03-15,0.3986
2006-03-16,0.3928
2006-03-17,0.3973
2006-03-20,0.4051
2006-03-21,0.4045
2006-03-22,0.4001
2006-03-23,0.391
2006-03-24,0.3884
2006-03-27,0.3869
2006-03-28,0.384
2006-03-29,0.3811
2006-03-30,0.3811
2006-03-31,0.3846
2006-04-03,0.3898
2006-04-04,0.3842
2006-04-05,0.3678
2006-04-06,0.3661
2006-04-07,0.3744
2006-04-10,0.3673
2006-04-11,0.3699
2006-04-12,0.3604
2006-04-13,0.3575
2006-04-17,0.3502
2006-04-18,0.3408
2006-04-19,0.3332
2006-04-20,0.3402
2006-04-21,0.333
2006-04-24,0.3327
2006-04-25,0.3467
2006-04-26,0.3643
2006-04-27,0.357
2006-04-28,0.3551
2006-05-01,0.3486
2006-05-02,0.3424
2006-05-03,0.3515
2006-05-04,0.3538
2006-05-05,0.3537
2006-05-08,0.3579
2006-05-09,0.3541
2006-05-10,0.3524
2006-05-11,0.3556
2006-05-12,0.3678
2006-05-15,0.4338
2006-05-16,0.4273
2006-05-17,0.4394
2006-05-18,0.4449
2006-05-19,0.4461
2006-05-22,0.4604
2006-05-23,0.4477
2006-05-24,0.4521
2006-05-25,0.4351
2006-05-26,0.4276
2006-05-30,0.4347
2006-05-31,0.4283
2006-06-01,0.4272
2006-06-02,0.4167
2006-06-05,0.4332
2006-06-06,0.4318
2006-06-07,0.4479
2006-06-08,0.4482
2006-06-09,0.4436
2006-06-12,0.4571
2006-06-13,0.4713
2006-06-14,0.4577
2006-06-15,0.4364
2006-06-16,0.4379
2006-06-19,0.4581
2006-06-20,0.4562
2006-06-21,0.4423
2006-06-22,0.4331
2006-06-23,0.4229
2006-06-26,0.4204
2006-06-27,0.4203
2006-06-28,0.4142
2006-06-29,0.3973
2006-06-30,0.395
2006-07-03,0.3927
2006-07-05,0.3952
2006-07-06,0.3965
2006-07-07,0.4015
2006-07-10,0.4018
2006-07-11,0.3974
2006-07-12,0.4026
2006-07-13,0.4073
2006-07-14,0.4051
2006-07-17,0.4166
2006-07-18,0.4115
2006-07-19,0.4087
2006-07-20,0.4151
2006-07-21,0.4241
2006-07-24,0.413
2006-07-25,0.4047
2006-07-26,0.3966
2006-07-27,0.4009
2006-07-28,0.3914
2006-07-31,0.3896
2006-08-01,0.392
2006-08-02,0.391
2006-08-03,0.3895
2006-08-04,0.3969
2006-08-07,0.3958
2006-08-08,0.3928
2006-08-09,0.3914
2006-08-10,0.404
2006-08-11,0.4052
2006-08-14,0.4674
2006-08-15,0.4689
2006-08-16,0.469
2006-08-17,0.4843
2006-08-18,0.478
2006-08-21,0.4714
2006-08-22,0.4658
2006-08-23,0.4784
2006-08-24,0.4724
2006-08-25,0.4737
2006-08-28,0.4894
2006-08-29,0.4935
2006-08-30,0.505
2006-08-31,0.5149
2006-09-01,0.5116
2006-09-05,0.5302
2006-09-06,0.5575
2006-09-07,0.5547
2006-09-08,0.5712
2006-09-11,0.5806
2006-09-12,0.5759
2006-09-13,0.564
2006-09-14,0.5844
2006-09-15,0.5884
2006-09-18,0.5646
2006-09-19,0.59
2006-09-20,0.6108
2006-09-21,0.6005
2006-09-22,0.6134
2006-09-25,0.6139
2006-09-26,0.5956
2006-09-27,0.5698
2006-09-28,0.5764
2006-09-29,0.5743
2006-10-02,0.5802
2006-10-03,0.6136
2006-10-04,0.59
2006-10-05,0.5893
2006-10-06,0.5837
2006-10-09,0.5932
2006-10-10,0.5859
2006-10-11,0.5897
2006-10-12,0.5666
2006-10-13,0.5515
2006-10-16,0.5502
2006-10-17,0.5618
2006-10-18,0.5665
2006-10-19,0.5583
2006-10-20,0.5674
2006-10-23,0.5727
2006-10-24,0.5607
2006-10-25,0.5474
2006-10-26,0.5592
2006-10-27,0.5568
2006-10-30,0.5669
2006-10-31,0.5648
2006-11-01,0.5779
2006-11-02,0.5852
2006-11-03,0.5695
2006-11-06,0.6279
2006-11-07,0.6399
2006-11-08,0.6302
2006-11-09,0.6188
2006-11-10,0.6225
2006-11-13,0.6194
2006-11-14,0.6194
2006-11-15,0.6054
2006-11-16,0.6257
2006-11-17,0.6213
2006-11-20,0.6347
2006-11-21,0.619
2006-11-22,0.6273
2006-11-24,0.6278
2006-11-27,0.633
2006-11-28,0.6184
2006-11-29,0.5984
2006-11-30,0.5964
2006-12-01,0.588
2006-12-04,0.5897
2006-12-05,0.5886
2006-12-06,0.5835
2006-12-07,0.5909
2006-12-08,0.5981
2006-12-11,0.5892
2006-12-12,0.6003
2006-12-13,0.6022
2006-12-14,0.5977
2006-12-15,0.5958
2006-12-18,0.6158
2006-12-19,0.6032
2006-12-20,0.6179
2006-12-21,0.6257
2006-12-22,0.6366
2006-12-26,0.6347
2006-12-27,0.6315
2006-12-28,0.6363
2006-12-29,0.6419
2007-01-03,0.6562
2007-01-04,0.6717
2007-01-05,0.6654
2007-01-08,0.6652
2007-01-09,0.6711
2007-01-10,0.6812
2007-01-11,0.6749
2007-01-12,0.6494
2007-01-16,0.6596
2007-01-17,0.6483
2007-01-18,0.6574
2007-01-19,0.6435
2007-01-22,0.6325
2007-01-23,0.6198
2007-01-24,0.6133
2007-01-25,0.6299
2007-01-26,0.6257
2007-01-29,0.6242
2007-01-30,0.6099
