Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.6921
2006-06-30,2.0759
2006-09-30,3.669
2006-12-31,5.0174
2007-03-31,11.5983
2007-06-30,53.6151
2007-09-30,10.9011
2007-12-31,3.7986
2008-03-31,4.2852
2008-06-30,0.092
2008-09-30,-0.1194
2008-12-31,1.0232
2009-03-31,-1.3346
2009-06-30,-0.123
2009-09-30,0.2264
2009-12-31,0.7503
2010-03-31,1.1824
2010-06-30,-6.0867
2010-09-30,0.6638
2010-12-31,1.0031
2011-03-31,1.7665
2011-06-30,1.7189
2011-09-30,1.2527
2011-12-31,2.1825
2012-03-31,0.9604
2012-06-30,1.0257
2012-09-30,1.355
2012-12-31,0.8415
2013-03-31,0.4066
2013-06-30,0.5961
2013-09-30,1.0436
2013-12-31,-7.0975
2014-03-31,-5.9062
2014-06-30,-0.7255
2014-09-30,0.3451
2014-12-31,0.8781
2015-03-31,0.1846
2015-06-30,0.3238
2015-09-30,0.5074
2015-12-31,0.5657
2016-03-31,0.3326
2016-06-30,0.5157
2016-09-30,0.5148
2016-12-31,1.2068
2017-03-31,4.9221
