Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-0.0428
2006-06-30,-0.2784
2006-09-30,-0.5759
2006-12-31,-3.9487
2007-03-31,-0.0096
2007-06-30,-3.3816
2007-09-30,-3.3905
2007-12-31,0.0639
2008-03-31,-2.8783
2008-06-30,2.4905
2008-09-30,1.0199
2008-12-31,1.6431
2009-03-31,2.0116
2009-06-30,-2.0354
2009-09-30,1.3821
2009-12-31,2.5638
2010-03-31,2.2016
2010-06-30,5.9223
2010-09-30,2.3002
2010-12-31,0.7609
2011-03-31,0.8556
2011-06-30,0.6449
2011-09-30,-0.3518
2011-12-31,0.1568
2012-03-31,2.4551
2012-06-30,1.1035
2012-09-30,0.4138
2012-12-31,0.6323
2013-03-31,-0.1448
2013-06-30,0.245
2013-09-30,0.0948
2013-12-31,0.323
2014-03-31,-2.5291
2014-06-30,-0.7555
2014-09-30,-0.3705
2014-12-31,3.6184
2015-03-31,3.2403
2015-06-30,10.9336
2015-09-30,3.7199
2015-12-31,1.4481
2016-03-31,-0.0853
2016-06-30,-0.831
2016-09-30,-0.5982
2016-12-31,-1.7789
2017-03-31,-0.2191
