Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-01-27,1.6996
2006-04-28,1.9168
2006-07-28,2.9071
2006-10-27,1.5175
2007-01-26,1.1978
2007-04-27,0.4654
2007-07-27,-0.3641
2007-10-26,-3.333
2008-01-25,-0.0777
2008-04-25,0.3025
2008-07-25,0.491
2008-10-24,0.5613
2009-01-23,3.5712
2009-04-24,-14.2026
2009-07-31,1.6374
2009-10-30,1.2451
2010-01-29,0.2671
2010-04-30,0.4024
2010-07-30,-1.4004
2010-10-29,6.4494
2011-01-28,93.5643
2011-04-29,-13.4822
2011-07-29,3.1946
2011-10-28,4.0781
2012-01-27,5.1501
2012-04-27,3.5835
2012-07-27,1.6193
2012-10-26,1.1236
2013-01-25,1.3833
2013-04-26,-1.2968
2013-07-26,-2.1906
2013-10-25,-1.1459
2014-01-24,-1.6772
2014-04-25,0.3164
2014-07-25,0.701
2014-10-24,0.6413
2015-01-23,1.4017
2015-04-24,1.6802
2015-07-31,1.216
2015-10-30,1.4227
2016-01-29,1.4622
2016-04-29,0.0802
2016-07-29,-3.4824
2016-10-28,1.4059
2017-01-27,1.0339
