Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,8.8521
2006-06-30,7.826
2006-09-30,4.6891
2006-12-31,4.6084
2007-03-31,5.3696
2007-06-30,-1.151
2007-09-30,-0.783
2007-12-31,-0.5048
2008-03-31,0.1918
2008-06-30,-0.1179
2008-09-30,-1.419
2008-12-31,0.0943
2009-03-31,0.4068
2009-06-30,1.3075
2009-09-30,1.8648
2009-12-31,-4.4484
2010-03-31,-1.0405
2010-06-30,-0.621
2010-09-30,-0.2826
2010-12-31,1.8625
2011-03-31,42.9972
2011-06-30,961.1405
2011-09-30,-4.2921
2011-12-31,2.2073
2012-03-31,0.7453
2012-06-30,0.4831
2012-09-30,0.054
2012-12-31,2.5608
2013-03-31,-2.871
2013-06-30,-1.4047
2013-09-30,-1.5641
2013-12-31,-4.0024
2014-03-31,-5.7956
2014-06-30,-8.7435
2014-09-30,-1.4378
2014-12-31,-3.9725
2015-03-31,-0.8478
2015-06-30,0.1698
2015-09-30,-5.4024
2015-12-31,-1.7731
2016-03-31,-2.8585
2016-06-30,-3.7303
2016-09-30,-6.8965
