Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.1777
2006-06-30,0.37
2006-09-30,0.6729
2006-12-31,2.1751
2007-03-31,0.9581
2007-06-30,1.2087
2007-09-30,1.4357
2007-12-31,0.7395
2008-03-31,0.7261
2008-06-30,0.7643
2008-09-30,0.0717
2008-12-31,-3.0251
2009-03-31,-1.2295
2009-06-30,-1.3335
2009-09-30,50.0446
2009-12-31,-0.399
2010-03-31,-0.5336
2010-06-30,-3.6503
2010-09-30,1.0287
2010-12-31,-148.1035
2011-03-31,2.2942
2011-06-30,2.3655
2011-09-30,1.6054
2011-12-31,0.5745
2012-03-31,0.8328
2012-06-30,0.7768
2012-09-30,0.5082
2012-12-31,5.4995
2013-03-31,1.5927
2013-06-30,-28.6087
2013-09-30,6.5333
2013-12-31,179.9702
2014-03-31,-33.8389
2014-06-30,11.6759
2014-09-30,-9.5941
2014-12-31,2.5546
2015-03-31,1.6301
2015-06-30,2.132
2015-09-30,1.7285
2015-12-31,1.8094
2016-03-31,2.7027
2016-06-30,0.8523
2016-09-30,1.1477
2016-12-31,1.0706
