Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.6379
2006-06-30,2.0228
2006-09-30,0.7869
2006-12-31,0.3602
2007-03-31,0.3974
2007-06-30,1.7819
2007-09-30,9.8971
2007-12-31,1.274
2008-03-31,2.3449
2008-06-30,0.4567
2008-09-30,0.5697
2008-12-31,1.0299
2009-03-31,-3.2552
2009-06-30,-0.3401
2009-09-30,-0.152
2009-12-31,-0.1821
2010-03-31,-1.9219
2010-06-30,0.1367
2010-09-30,0.1694
2010-12-31,3.6792
2011-03-31,-0.6067
2011-06-30,-2.0393
2011-09-30,1.4957
2011-12-31,-1.2015
2012-03-31,-0.4802
2012-06-30,-0.4723
2012-09-30,-0.4453
2012-12-31,-1.9553
2013-03-31,0.2658
2013-06-30,0.0873
2013-09-30,-0.2207
2013-12-31,-0.1535
2014-03-31,-0.1054
2014-06-30,-0.3064
2014-09-30,0.1574
2014-12-31,0.0009
2015-03-31,-0.3828
2015-06-30,-0.3886
2015-09-30,0.5218
2015-12-31,0.2564
2016-03-31,0.4654
2016-06-30,0.3613
2016-09-30,-0.1581
2016-12-31,-3.4983
2017-03-31,27.2865
