Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-0.8715
2006-06-30,-1.7638
2006-09-30,2.7216
2006-12-31,1.9018
2007-03-31,-2.409
2007-06-30,-0.5978
2007-09-30,-2.8167
2007-12-31,-10.8457
2008-03-31,-2.3396
2008-06-30,-7.5983
2008-09-30,-10.9605
2008-12-31,-7.0604
2009-03-31,-0.2798
2009-06-30,0.245
2009-09-30,1.4613
2009-12-31,1.9077
2010-03-31,-14.5343
2010-06-30,4.5266
2010-10-02,5.1297
2010-12-31,2.0206
2011-03-31,7.3061
2011-06-30,-6.8479
2011-10-01,-1.822
2011-12-31,11.8387
2012-03-31,-1.1211
2012-06-30,1.553
2012-09-30,1.6117
2012-12-31,-0.2515
2013-03-31,-0.1219
2013-06-30,-0.9536
2013-09-30,-15.8511
2013-12-31,-9.0391
2014-03-31,1.0313
2014-06-30,0.3214
2014-09-30,1.3699
2014-12-31,0.2005
