Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-5.4912
2006-06-30,8.8687
2006-09-29,3.4285
2006-12-29,8.367
2007-03-30,6.6139
2007-06-29,1.5964
2007-09-28,-0.5129
2007-12-28,2.752
2008-03-28,1.99
2008-06-27,0.6418
2008-10-03,1.1942
2009-01-02,-101.5498
2009-04-03,0.1877
2009-07-03,0.6417
2009-10-02,8.97
2010-01-01,-0.0373
2010-04-02,0.3671
2010-07-02,0.7352
2010-10-01,1.2127
2010-12-31,1.2385
2011-04-01,1.2203
2011-07-01,2.0416
2011-09-30,2.0575
2011-12-30,1.4068
2012-03-30,2.4868
2012-06-29,1.2103
2012-09-28,3.7515
2012-12-28,1.9233
2013-03-29,0.9273
2013-06-28,0.8801
2013-09-27,-0.1106
2013-12-27,-0.1856
2014-03-28,-0.3427
2014-06-27,-0.418
2014-10-03,0.3559
2015-01-02,0.3676
2015-04-03,0.4708
2015-07-03,0.9803
2015-10-02,-0.0473
2016-01-01,0.0631
2016-04-01,12.2043
2016-07-01,-8.4014
2016-09-30,-11.3045
2016-12-30,-39.2716
2017-03-31,3.3598
