Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,2.5917
2006-06-30,-8.3139
2006-09-30,-35.7458
2006-12-31,27.6515
2007-03-31,-94.8758
2007-06-30,12.0868
2007-09-30,6.0212
2007-12-31,10.8172
2008-03-31,13.7191
2008-06-30,678.0192
2008-09-30,-118.8772
2008-12-31,-1.9658
2009-03-31,-1.1887
2009-06-30,-0.601
2009-09-30,-0.4272
2009-12-31,5.1391
2010-03-31,-5.5342
2010-06-30,-2.6432
2010-09-30,-3.0083
2010-12-31,0.3216
2011-03-31,1.4594
2011-06-30,1.2436
2011-09-30,1.0892
2011-12-31,0.0875
2012-03-31,-0.9186
2012-06-30,-3.3895
2012-09-30,-8.5447
2012-12-31,-425.173
2013-03-31,4.6773
2013-06-30,13.0363
2013-09-30,-12.2676
2013-12-31,22.6482
2014-03-31,5.7191
2014-06-30,13.69
2014-09-30,13.6093
2014-12-31,-10.1432
2015-03-31,-5.3537
2015-06-30,-1.1249
2015-09-30,-7.4126
2015-12-31,-8.7513
2016-03-31,-60.0657
2016-06-30,-233.0659
