Date,CUR_MKT_CAP
2006-01-03,6769.1513
2006-01-04,6835.1203
2006-01-05,6913.0003
2006-01-06,6991.7966
2006-01-09,7057.7656
2006-01-10,7024.7811
2006-01-11,7116.4047
2006-01-12,7126.4833
2006-01-13,7196.1172
2006-01-17,7250.1752
2006-01-18,7238.2641
2006-01-19,7429.7574
2006-01-20,7290.4895
2006-01-23,7209.8608
2006-01-24,7263.0025
2006-01-25,7224.5206
2006-01-26,7208.9445
2006-01-27,7208.9445
2006-01-30,7375.6995
2006-01-31,7481.0666
2006-02-01,7545.2031
2006-02-02,7462.7419
2006-02-03,7439.836
2006-02-06,7582.7688
2006-02-07,7505.805
2006-02-08,7530.5434
2006-02-09,7620.3345
2006-02-10,7598.3448
2006-02-13,7541.5382
2006-02-14,7568.109
2006-02-15,7528.7109
2006-02-16,7578.1876
2006-02-17,7579.1039
2006-02-21,7623.0832
2006-02-22,7727.5341
2006-02-23,7645.9891
2006-02-24,7701.8795
2006-02-27,7748.6075
2006-02-28,7668.895
2006-03-01,7620.0886
2006-03-02,7547.56
2006-03-03,7651.3034
2006-03-06,7598.0546
2006-03-07,7565.9217
2006-03-08,7578.7749
2006-03-09,7611.8258
2006-03-10,7614.5801
2006-03-13,7638.4502
2006-03-14,7777.9989
2006-03-15,7762.3914
2006-03-16,7791.7701
2006-03-17,7779.835
2006-03-20,7688.9448
2006-03-21,7705.4703
2006-03-22,7793.6063
2006-03-23,7791.7701
2006-03-24,7845.0189
2006-03-27,7947.8442
2006-03-28,7954.2708
2006-03-29,7973.5505
2006-03-30,8900.0719
2006-03-31,8921.6317
2006-04-03,8921.6317
2006-04-04,8868.2456
2006-04-05,8889.8054
2006-04-06,8826.1528
2006-04-07,8808.6996
2006-04-10,8737.8604
2006-04-11,8665.9946
2006-04-12,8759.4202
2006-04-13,8756.3402
2006-04-17,8762.5002
2006-04-18,8875.4322
2006-04-19,8981.1777
2006-04-20,9478.0787
2006-04-21,9611.5438
2006-04-24,9656.7166
2006-04-25,9564.3177
2006-04-26,9506.825
2006-04-27,9383.6264
2006-04-28,9388.7597
2006-05-01,9533.518
2006-05-02,8670.2673
2006-05-03,8673.0394
2006-05-04,8781.1521
2006-05-05,8824.5819
2006-05-08,8806.1011
2006-05-09,8752.5068
2006-05-10,8711.8491
2006-05-11,8522.4209
2006-05-12,8456.814
2006-05-15,8412.4601
2006-05-16,8408.7639
2006-05-17,8201.779
2006-05-18,8065.0211
2006-05-19,8101.0586
2006-05-22,7919.0227
2006-05-23,8115.8433
2006-05-24,8206.3992
2006-05-25,8315.4359
2006-05-26,8313.5878
2006-05-30,8182.3741
2006-05-31,8229.5002
2006-06-01,8223.9559
2006-06-02,8185.1463
2006-06-05,8110.299
2006-06-06,7946.7439
2006-06-07,7882.9852
2006-06-08,7812.7581
2006-06-09,7746.2273
2006-06-12,7640.8867
2006-06-13,7600.2289
2006-06-14,7805.3658
2006-06-15,8034.5277
2006-06-16,7971.693
2006-06-19,7819.2264
2006-06-20,7765.6321
2006-06-21,7845.0995
2006-06-22,7957.8324
2006-06-23,8089.9701
2006-06-26,8233.1963
2006-06-27,8091.8182
2006-06-28,8184.2222
2006-06-29,8543.6738
2006-06-30,8586.1796
2006-07-03,8648.0903
2006-07-05,8489.1554
2006-07-06,8667.4951
2006-07-07,8454.9659
2006-07-10,8408.7639
2006-07-11,8511.3324
2006-07-12,8470.6746
2006-07-13,8213.7915
2006-07-14,8088.1221
2006-07-17,8002.1863
2006-07-18,8014.1989
2006-07-19,8095.5144
2006-07-20,7992.9459
2006-07-21,7761.9359
2006-07-24,7965.2247
2006-07-25,7943.0478
2006-07-26,7928.2631
2006-07-27,7822.9226
2006-07-28,7948.592
2006-07-31,7961.5286
2006-08-01,7964.3007
2006-08-02,8003.1104
2006-08-03,7979.2978
2006-08-04,8000.3514
2006-08-07,7901.4912
2006-08-08,7736.7242
2006-08-09,7551.8191
2006-08-10,7634.2026
2006-08-11,7647.9331
2006-08-14,7698.2786
2006-08-15,7808.1232
2006-08-16,7936.2753
2006-08-17,7949.0905
2006-08-18,7942.6829
2006-08-21,7884.0991
2006-08-22,7887.7606
2006-08-23,7894.1682
2006-08-24,7719.3322
2006-08-25,7638.7794
2006-08-28,7649.7639
2006-08-29,7491.4045
2006-08-30,7478.5893
2006-08-31,7495.066
2006-09-01,7660.7483
2006-09-05,7643.3563
2006-09-06,7438.3129
2006-09-07,7380.6445
2006-09-08,7428.2439
2006-09-11,7365.9986
2006-09-12,7430.0746
2006-09-13,7530.7655
2006-09-14,7555.4806
2006-09-15,7510.6273
2006-09-18,7606.7414
2006-09-19,7634.2026
2006-09-20,7691.871
2006-09-21,7614.9797
2006-09-22,7556.3959
2006-09-25,7675.3943
2006-09-26,7755.0317
2006-09-27,7771.5084
2006-09-28,7765.1008
2006-09-29,7800.8003
2006-10-02,7902.4066
2006-10-03,7798.9695
2006-10-04,7930.7831
2006-10-05,8040.6277
2006-10-06,8018.6588
2006-10-09,8109.2806
2006-10-10,8083.6502
2006-10-11,8149.557
2006-10-12,8184.3411
2006-10-13,8245.6711
2006-10-16,8357.3464
2006-10-17,8287.7782
2006-10-18,8254.8248
2006-10-19,8267.64
2006-10-20,8151.3877
2006-10-23,8209.0562
2006-10-24,8425.9993
2006-10-25,8393.9613
2006-10-26,8384.8076
2006-10-27,8238.3481
2006-10-30,8273.1322
2006-10-31,8188.0026
2006-11-01,8112.0267
2006-11-02,8122.0958
2006-11-03,8174.272
2006-11-06,8313.4086
2006-11-07,8304.61
2006-11-08,8371.8833
2006-11-09,8340.0648
2006-11-10,8380.9742
2006-11-13,8464.6113
2006-11-14,8500.0661
2006-11-15,8503.7025
2006-11-16,8500.0661
2006-11-17,8490.9751
2006-11-20,8465.5204
2006-11-21,8490.066
2006-11-22,8480.0659
2006-11-24,8477.3386
2006-11-27,8243.7005
2006-11-28,8202.791
2006-11-29,8321.8829
2006-11-30,8312.7919
2006-12-01,8286.4281
2006-12-04,8451.8839
2006-12-05,8454.6112
2006-12-06,8494.6115
2006-12-07,8474.6113
2006-12-08,8476.4295
2006-12-11,8181.8818
2006-12-12,8149.1543
2006-12-13,8257.3369
2006-12-14,8279.1553
2006-12-15,8176.4272
2006-12-18,8125.5177
2006-12-19,8246.4277
2006-12-20,8309.1555
2006-12-21,8318.2465
2006-12-22,8304.61
2006-12-26,8285.519
2006-12-27,8286.4281
2006-12-28,8286.4281
2006-12-29,8220.973
2007-01-03,8284.6099
2007-01-04,8192.791
2007-01-05,8163.6998
2007-01-08,8177.3363
2007-01-09,8228.2458
2007-01-10,8216.4275
2007-01-11,8278.2462
2007-01-12,8287.3372
2007-01-16,8338.2466
2007-01-17,8337.3375
2007-01-18,8219.1548
2007-01-19,8211.882
2007-01-22,8209.1547
2007-01-23,8219.1548
2007-01-24,8310.0646
2007-01-25,8563.7029
2007-01-26,8425.52
2007-01-29,8136.4269
2007-01-30,8122.7904
2007-01-31,8308.2464
2007-02-01,8423.7019
2007-02-02,8395.5198
2007-02-05,8374.6106
2007-02-06,8280.0644
2007-02-07,8319.1556
2007-02-08,8251.8823
2007-02-09,8171.8817
2007-02-12,8300.9736
2007-02-13,8390.9743
2007-02-14,8504.6116
2007-02-15,8578.2485
2007-02-16,8573.703
2007-02-20,8640.0672
2007-02-21,8679.139
2007-02-22,8744.8348
2007-02-23,8736.6228
2007-02-26,8649.9409
2007-02-27,8397.1948
2007-02-28,8363.4344
2007-03-01,8390.8077
2007-03-02,8268.5406
2007-03-05,8207.407
2007-03-06,8298.6511
2007-03-07,8278.5774
2007-03-08,8393.545
2007-03-09,8445.5541
2007-03-12,8485.7015
2007-03-13,8257.5913
2007-03-14,8348.8354
2007-03-15,8428.2177
2007-03-16,8385.3281
2007-03-19,8458.3233
2007-03-20,8409.0516
2007-03-21,8467.4478
2007-03-22,8412.7013
2007-03-23,8370.7291
2007-03-26,8281.3099
2007-03-27,8272.1855
2007-03-28,8239.3376
2007-03-29,8270.3606
2007-03-30,8210.1395
2007-04-02,8279.485
2007-04-03,8374.3788
2007-04-04,8363.4295
2007-04-05,8357.9549
2007-04-09,8383.5032
2007-04-10,8363.4295
2007-04-11,8292.2592
2007-04-12,8348.8305
2007-04-13,8310.508
2007-04-16,8449.1989
2007-04-17,8412.7013
2007-04-18,8595.1894
2007-04-19,8994.8384
2007-04-20,9014.912
2007-04-23,9180.9762
2007-04-24,9013.0872
2007-04-25,9124.4049
2007-04-26,9173.6767
2007-04-27,9226.5982
2007-04-30,9080.6078
2007-05-01,9237.5475
2007-05-02,9301.4184
2007-05-03,9469.3074
2007-05-04,9622.5974
2007-05-07,9490.842
2007-05-08,9441.4201
2007-05-09,9509.1464
2007-05-10,9327.9327
2007-05-11,9419.4548
2007-05-14,9370.0328
2007-05-15,9373.6937
2007-05-16,9470.7072
2007-05-17,9655.5818
2007-05-18,9607.9903
2007-05-21,9527.4509
2007-05-22,9509.1464
2007-05-23,9483.5202
2007-05-24,9450.5723
2007-05-25,9470.7072
2007-05-29,9439.5896
2007-05-30,9576.8728
2007-05-31,9807.5085
2007-06-01,9853.2695
2007-06-04,10008.8571
2007-06-05,10007.0267
2007-06-06,9882.5566
2007-06-07,9822.152
2007-06-08,9825.8129
2007-06-11,9920.9959
2007-06-12,9728.7995
2007-06-13,10126.0054
2007-06-14,10204.7144
2007-06-15,10442.6719
2007-06-18,10444.5023
2007-06-19,10411.5544
2007-06-20,10422.537
2007-06-21,10391.4195
2007-06-22,10449.9936
2007-06-25,10431.6892
2007-06-26,10473.7894
2007-06-27,10411.5544
2007-06-28,10515.8896
2007-06-29,10449.9936
2007-07-02,10607.4117
2007-07-03,10618.3943
2007-07-05,10574.4637
2007-07-06,10697.1033
2007-07-09,10748.3557
2007-07-10,10572.6333
2007-07-11,10598.2595
2007-07-12,10689.7816
2007-07-13,10676.9685
2007-07-16,10731.8817
2007-07-17,10708.086
2007-07-18,10697.1033
2007-07-19,10451.8241
2007-07-20,10420.7066
2007-07-23,10259.6277
2007-07-24,10127.8358
2007-07-25,9983.2309
2007-07-26,9873.4044
2007-07-27,9635.4469
2007-07-30,9717.8168
2007-07-31,9686.6993
2007-08-01,9750.7648
2007-08-02,9710.4951
2007-08-03,9326.1022
2007-08-06,9421.2852
2007-08-07,9223.2106
2007-08-08,9228.7214
2007-08-09,9103.8104
2007-08-10,9302.1985
2007-08-13,9506.0974
2007-08-14,9204.8414
2007-08-15,9101.9734
2007-08-16,8679.4802
2007-08-17,9109.3212
2007-08-20,9276.4815
2007-08-21,9241.5799
2007-08-22,9452.8265
2007-08-23,9188.309
2007-08-24,9289.34
2007-08-27,9081.7672
2007-08-28,8839.2929
2007-08-29,9283.8292
2007-08-30,9173.6136
2007-08-31,9399.5556
2007-09-04,9485.8912
2007-09-05,9372.0017
2007-09-06,9531.8144
2007-09-07,9430.7834
2007-09-10,9197.4937
2007-09-11,9577.7375
2007-09-12,9533.6513
2007-09-13,9368.3279
2007-09-14,9263.623
2007-09-17,9129.5274
2007-09-18,9267.2969
2007-09-19,9254.4384
2007-09-20,9120.3427
2007-09-21,9173.6136
2007-09-24,8969.7147
2007-09-25,9054.2133
2007-09-26,9293.0139
2007-09-27,9405.0664
2007-09-28,9384.8602
2007-10-01,9728.3656
2007-10-02,9801.8426
2007-10-03,9928.5906
2007-10-04,10082.8925
2007-10-05,10301.4868
2007-10-08,10284.9545
2007-10-09,10514.5703
2007-10-10,10341.8992
2007-10-11,10351.0838
2007-10-12,10332.7146
2007-10-15,10110.4464
2007-10-16,10062.6863
2007-10-17,10073.7078
2007-10-18,10036.9693
2007-10-19,9682.4424
2007-10-22,9755.9195
2007-10-23,9757.7564
2007-10-24,9878.9936
2007-10-25,9687.9532
2007-10-26,9559.3683
2007-10-29,9417.734
2007-10-30,9271.8762
2007-10-31,9433.9404
2007-11-01,9271.8762
2007-11-02,9397.9262
2007-11-05,9415.9333
2007-11-06,9869.7132
2007-11-07,9574.3961
2007-11-08,9718.4532
2007-11-09,9498.7661
2007-11-12,9343.9047
2007-11-13,9754.4675
2007-11-14,9581.599
2007-11-15,9066.5948
2007-11-16,9154.8298
2007-11-19,8852.3098
2007-11-20,8699.2491
2007-11-21,8547.9892
2007-11-23,8558.7934
2007-11-26,8699.2491
2007-11-27,8744.267
2007-11-28,8913.5341
2007-11-29,8951.3491
2007-11-30,9043.1855
2007-12-03,9037.7834
2007-12-04,9034.1819
2007-12-05,9311.4919
2007-12-06,9487.9618
2007-12-07,9691.4425
2007-12-10,9961.5496
2007-12-11,9556.389
2007-12-12,9567.1933
2007-12-13,9626.6168
2007-12-14,9448.3461
2007-12-17,9176.4383
2007-12-18,9194.4455
2007-12-19,9343.9047
2007-12-20,9428.5383
2007-12-21,9592.4033
2007-12-24,9743.6632
2007-12-26,9770.6739
2007-12-27,9621.2147
2007-12-28,9642.8232
2007-12-31,9522.1754
2008-01-02,9273.6769
2008-01-03,9248.4669
2008-01-04,9039.5841
2008-01-07,8859.5127
2008-01-08,8609.2134
2008-01-09,8767.6763
2008-01-10,8774.8791
2008-01-11,8335.5049
2008-01-14,8584.0034
2008-01-15,8205.8535
2008-01-16,8079.8035
2008-01-17,7717.86
2008-01-18,7667.44
2008-01-22,7996.9707
2008-01-23,8225.6614
2008-01-24,8175.2414
2008-01-25,7887.1271
2008-01-28,7975.3621
2008-01-29,8009.5757
2008-01-30,7984.3657
2008-01-31,8002.3728
2008-02-01,8225.6614
2008-02-04,8227.4621
2008-02-05,7876.3229
2008-02-06,7780.885
2008-02-07,7867.3193
2008-02-08,7824.1022
2008-02-11,7960.9564
2008-02-12,8045.59
2008-02-13,8171.6399
2008-02-14,7973.5614
2008-02-15,7860.1164
2008-02-19,8058.195
2008-02-20,8168.0385
2008-02-21,7807.8957
2008-02-22,7607.2997
2008-02-25,7677.8029
2008-02-26,7847.0107
2008-02-27,7859.3488
2008-02-28,7772.9823
2008-02-29,7390.5022
2008-03-03,7455.7177
2008-03-04,7207.1938
2008-03-05,7328.8119
2008-03-06,7029.1731
2008-03-07,6953.3821
2008-03-10,6893.4544
2008-03-11,7166.6544
2008-03-12,7053.8493
2008-03-13,7078.5254
2008-03-14,6902.2673
2008-03-17,6629.0672
2008-03-18,6722.484
2008-03-19,6516.262
2008-03-20,6614.9666
2008-03-24,6932.2312
2008-03-25,7120.8273
2008-03-26,7062.6622
2008-03-27,7126.1151
2008-03-28,6993.9215
2008-03-31,7076.7628
2008-04-01,7399.3151
2008-04-02,7464.5306
2008-04-03,7446.9048
2008-04-04,7535.0339
2008-04-07,7481.9211
2008-04-08,7441.3352
2008-04-09,7257.8164
2008-04-10,7418.3954
2008-04-11,7323.1067
2008-04-14,7358.3988
2008-04-15,7487.2149
2008-04-16,7594.8558
2008-04-17,7566.6221
2008-04-18,7838.3711
2008-04-21,7773.0808
2008-04-22,7727.2011
2008-04-23,7591.3266
2008-04-24,7349.5758
2008-04-25,7520.7424
2008-04-28,7732.4949
2008-04-29,7787.1976
2008-04-30,7480.1565
2008-05-01,7668.9691
2008-05-02,7552.2033
2008-05-05,7578.3054
2008-05-06,7700.1151
2008-05-07,7499.9991
2008-05-08,7546.9829
2008-05-09,7494.7787
2008-05-12,7656.6116
2008-05-13,7863.6882
2008-05-14,8018.5605
2008-05-15,7952.4353
2008-05-16,8072.5049
2008-05-19,8027.2612
2008-05-20,7961.136
2008-05-21,8018.5605
2008-05-22,7928.0733
2008-05-23,7797.5629
2008-05-27,7941.9944
2008-05-28,7922.8529
2008-05-29,7987.238
2008-05-30,8114.2682
2008-06-02,8069.0246
2008-06-03,8034.2218
2008-06-04,8042.9225
2008-06-05,8042.9225
2008-06-06,7731.4376
2008-06-09,7895.0107
2008-06-10,7865.4283
2008-06-11,7576.5652
2008-06-12,7569.6047
2008-06-13,7797.5629
2008-06-16,7705.3355
2008-06-17,7668.7926
2008-06-18,7421.6929
2008-06-19,7399.0711
2008-06-20,7294.6627
2008-06-23,7287.7022
2008-06-24,7160.672
2008-06-25,7174.5931
2008-06-26,6927.4934
2008-06-27,6957.0758
2008-06-30,6873.5491
2008-07-01,6894.4307
2008-07-02,6457.6559
2008-07-03,6544.6628
2008-07-07,6541.1825
2008-07-08,6671.693
2008-07-09,6558.5839
2008-07-10,6908.3519
2008-07-11,6890.9505
2008-07-14,6810.9041
2008-07-15,7005.7996
2008-07-16,7259.8599
2008-07-17,7559.1638
2008-07-18,7494.7787
2008-07-21,7515.6604
2008-07-22,7644.4307
2008-07-23,7564.3843
2008-07-24,7717.5165
2008-07-25,7640.9504
2008-07-28,7453.0154
2008-07-29,7559.1638
2008-07-30,7569.6047
2008-07-31,7338.1662
2008-08-01,7294.6627
2008-08-04,7247.679
2008-08-05,7526.1012
2008-08-06,7648.7677
2008-08-07,7544.3714
2008-08-08,7704.4457
2008-08-11,7789.7026
2008-08-12,7824.5014
2008-08-13,7801.8822
2008-08-14,7911.4983
2008-08-15,8128.9906
2008-08-18,8048.9534
2008-08-19,8097.6717
2008-08-20,8128.9906
2008-08-21,8090.7119
2008-08-22,8202.068
2008-08-25,8088.972
2008-08-26,8082.0122
2008-08-27,8170.7491
2008-08-28,8381.2816
2008-08-29,8289.0649
2008-09-02,8282.1051
2008-09-03,8179.4488
2008-09-04,7866.2599
2008-09-05,7925.4178
2008-09-08,8149.8698
2008-09-09,7723.585
2008-09-10,7904.5386
2008-09-11,7991.5355
2008-09-12,8000.2352
2008-09-15,7434.7553
2008-09-16,7660.9472
2008-09-17,7232.9225
2008-09-18,7446.9349
2008-09-19,7537.4116
2008-09-22,7412.1361
2008-09-23,7356.4581
2008-09-24,7363.4178
2008-09-25,7368.6376
2008-09-26,7278.1609
2008-09-29,6804.8977
2008-09-30,6951.0525
2008-10-01,6657.003
2008-10-02,6075.8637
2008-10-03,5823.5727
2008-10-06,5619.9999
2008-10-07,5519.0835
2008-10-08,5820.0928
2008-10-09,5378.1485
2008-10-10,5233.7337
2008-10-13,5828.7925
2008-10-14,5586.9411
2008-10-15,5084.099
2008-10-16,5421.647
2008-10-17,5310.2909
2008-10-20,5590.421
2008-10-21,5360.7491
2008-10-22,4871.8265
2008-10-23,4623.0154
2008-10-24,4238.4891
2008-10-27,4146.2724
2008-10-28,4372.4643
2008-10-29,4861.3869
2008-10-30,5191.9751
