Date,CUR_MKT_CAP
2013-11-18,4663.2949
2013-11-19,4405.9599
2013-11-20,4295.3299
2013-11-21,4212.5979
2013-11-22,4231.8379
2013-11-25,4250.1159
2013-11-26,4155.8399
2013-11-27,4159.6879
2013-11-29,4159.6879
2013-12-02,4150.0679
2013-12-03,4126.9799
2013-12-04,4024.0459
2013-12-05,3949.0099
2013-12-06,3915.3399
2013-12-09,3961.5159
2013-12-10,4094.2719
2013-12-11,4084.6519
2013-12-12,4133.7139
2013-12-13,4160.6499
2013-12-16,4202.9779
2013-12-17,4208.7499
2013-12-18,4258.7739
2013-12-19,4276.0899
2013-12-20,4257.8119
2013-12-23,4295.3299
2013-12-24,4288.5959
2013-12-26,4300.1399
2013-12-27,4294.3679
2013-12-30,4244.3439
2013-12-31,4251.0779
2014-01-02,4199.1299
2014-01-03,4228.9519
2014-01-06,4202.0159
2014-01-07,4220.2939
2014-01-08,4221.2559
2014-01-09,4245.3059
2014-01-10,4399.2259
2014-01-13,4525.2479
2014-01-14,4598.3599
2014-01-15,4569.4999
2014-01-16,4559.8799
2014-01-17,4617.5999
2014-01-21,4633.9539
2014-01-22,4666.6619
2014-01-23,4590.6639
2014-01-24,4506.0079
2014-01-27,4482.9199
2014-01-28,4591.6259
2014-01-29,4596.4359
2014-01-30,4754.2038
2014-01-31,4747.4698
2014-02-03,4563.7279
2014-02-04,4622.4099
2014-02-05,4579.1199
2014-02-06,4736.8878
2014-02-07,4804.2278
2014-02-10,4794.6078
2014-02-11,4799.4178
2014-02-12,4809.9998
2014-02-13,4821.5438
2014-02-14,4774.4058
2014-02-18,4820.5818
2014-02-19,4729.1918
2014-02-20,4956.2238
2014-02-21,5037.9938
2014-02-24,5085.1318
2014-02-25,5248.6718
2014-02-26,5245.9196
2014-02-27,5312.1414
2014-02-28,5216.1678
2014-03-03,5133.6304
2014-03-04,5182.577
2014-03-05,5177.7783
2014-03-06,5104.8383
2014-03-07,5124.0331
2014-03-10,5141.8804
2014-03-11,5258.6317
2014-03-12,5237.4042
2014-03-13,5171.7919
2014-03-14,5142.8453
2014-03-17,5110.0392
2014-03-18,5140.9155
2014-03-19,5140.9155
2014-03-20,5226.7904
2014-03-21,5192.0545
2014-03-24,5159.2484
2014-03-25,5134.1613
2014-03-26,5021.2696
2014-03-27,4964.3413
2014-03-28,5032.8482
2014-03-31,5033.8131
2014-04-01,5202.6683
2014-04-02,5275.0348
2014-04-03,5302.0516
2014-04-04,5184.3354
2014-04-07,4980.7444
2014-04-08,4960.4818
2014-04-09,4969.1657
2014-04-10,4890.045
2014-04-11,4825.3976
2014-04-14,4802.2404
2014-04-15,4820.5732
2014-04-16,4846.6251
2014-04-17,4838.9061
2014-04-21,4885.2206
2014-04-22,4920.9214
2014-04-23,4863.0282
2014-04-24,4847.59
2014-04-25,4780.048
2014-04-28,4710.5761
2014-04-29,4718.2952
2014-04-30,4763.7189
2014-05-01,4947.1245
2014-05-02,4894.0334
2014-05-05,4832.2547
2014-05-06,4815.8447
2014-05-07,4819.7059
2014-05-08,4764.6842
2014-05-09,4826.4629
2014-05-12,4872.797
2014-05-13,4872.797
2014-05-14,4806.1918
2014-05-15,4661.3979
2014-05-16,4756.9619
2014-05-19,4846.7341
2014-05-20,4874.7276
2014-05-21,4894.9987
2014-05-22,4970.2915
2014-05-23,5063.9249
2014-05-27,5064.8902
2014-05-28,5110.259
2014-05-29,5166.2459
2014-05-30,5057.1679
2014-06-02,5026.2785
2014-06-03,5059.0984
2014-06-04,5130.5301
2014-06-05,5242.504
2014-06-06,5389.2285
2014-06-09,5439.4237
2014-06-10,5476.1048
2014-06-11,5438.4584
2014-06-12,5417.222
2014-06-13,5414.3261
2014-06-16,5514.7166
2014-06-17,5526.3001
2014-06-18,5534.9877
2014-06-19,5528.2306
2014-06-20,5562.0159
2014-06-23,5556.2241
2014-06-24,5471.2784
2014-06-25,5472.2437
2014-06-26,5436.5279
2014-06-27,5365.0962
2014-06-30,5471.2784
2014-07-01,5507.9595
2014-07-02,5537.8836
2014-07-03,5517.6124
2014-07-07,5409.4997
2014-07-08,5358.3392
2014-07-09,5367.9921
2014-07-10,5367.0268
2014-07-11,5408.5344
2014-07-14,5403.7079
2014-07-15,5367.9921
2014-07-16,5350.6168
2014-07-17,5238.6429
2014-07-18,5298.491
2014-07-21,5285.9422
2014-07-22,5299.4563
2014-07-23,5256.0181
2014-07-24,5306.2134
2014-07-25,5318.7622
2014-07-28,5171.0724
2014-07-29,5062.9596
2014-07-30,5155.7503
2014-07-31,4941.4879
2014-08-01,4838.6803
2014-08-04,4815.6207
2014-08-05,4842.5236
2014-08-06,4815.6207
2014-08-07,4791.6002
2014-08-08,4862.7008
2014-08-11,4838.6803
2014-08-12,4896.3294
2014-08-13,5019.3142
2014-08-14,4998.1762
2014-08-15,5021.2358
2014-08-18,5057.7469
2014-08-19,5054.8644
2014-08-20,5046.2171
2014-08-21,5009.706
2014-08-22,4993.3721
2014-08-25,5041.413
2014-08-26,5032.7656
2014-08-27,4997.2153
2014-08-28,4953.0177
2014-08-29,4941.4879
2014-09-02,5022.1966
2014-09-03,5014.5101
2014-09-04,5027.9615
2014-09-05,5042.3738
2014-09-08,5017.3925
2014-09-09,4971.2732
2014-09-10,4991.4504
2014-09-11,5002.0194
2014-09-12,4887.6821
2014-09-15,4880.9563
2014-09-16,4909.7809
2014-09-17,4905.9376
2014-09-18,4863.6616
2014-09-19,4790.6394
2014-09-22,4727.2254
2014-09-23,4700.3225
2014-09-24,4708.0091
2014-09-25,4632.1044
2014-09-26,4650.36
2014-09-29,4611.9272
2014-09-30,4577.3378
2014-10-01,4589.8284
2014-10-02,4599.4366
2014-10-03,4721.4605
2014-10-06,4668.6155
2014-10-07,4476.4519
2014-10-08,4538.9051
2014-10-09,4487.0209
2014-10-10,4443.7841
2014-10-13,4354.428
2014-10-14,4329.4467
2014-10-15,4392.8607
2014-10-16,4451.4706
2014-10-17,4491.825
2014-10-20,4506.2372
2014-10-21,4634.0261
2014-10-22,4525.4536
2014-10-23,4655.1641
2014-10-24,4719.5389
2014-10-27,4722.4213
2014-10-28,4823.3072
2014-10-29,4831.9546
2014-10-30,5039.1527
2014-10-31,5082.2305
2014-11-03,5114.7783
2014-11-04,5085.1024
2014-11-05,5078.4014
2014-11-06,5113.821
2014-11-07,5069.7858
2014-11-10,5042.9818
2014-11-11,5027.6652
2014-11-12,5025.7507
2014-11-13,4989.3738
2014-11-14,5003.7331
2014-11-17,5058.2984
2014-11-18,5156.8988
2014-11-19,5169.3436
2014-11-20,5177.9591
2014-11-21,5188.4893
2014-11-24,5164.5571
2014-11-25,5128.1803
2014-11-26,5079.3587
2014-11-28,5154.9843
2014-12-01,5140.625
2014-12-02,5203.8058
2014-12-03,5235.3963
2014-12-04,5225.8234
2014-12-05,5317.7229
2014-12-08,5256.4566
2014-12-09,5265.0721
2014-12-10,5183.7028
2014-12-11,5187.532
2014-12-12,5151.1551
2014-12-15,5140.625
2014-12-16,5114.7783
2014-12-17,5179.8737
2014-12-18,5260.2857
2014-12-19,5264.1149
2014-12-22,5323.4666
2014-12-23,5330.1676
2014-12-24,5334.954
2014-12-26,5327.2957
2014-12-29,5352.1851
2014-12-30,5328.253
2014-12-31,5309.1073
2015-01-02,5269.8586
2015-01-05,5259.3284
2015-01-06,5250.7128
2015-01-07,5322.5093
2015-01-08,5394.3057
2015-01-09,5349.3133
2015-01-12,5264.1149
2015-01-13,5274.645
2015-01-14,5296.6626
2015-01-15,5150.1978
2015-01-16,5109.0345
2015-01-20,5053.512
2015-01-21,5065.9567
2015-01-22,5203.8058
2015-01-23,5215.2933
2015-01-26,5160.728
2015-01-27,5150.1978
2015-01-28,5202.8486
2015-01-29,5244.9691
2015-01-30,5170.3008
2015-02-02,5216.2506
2015-02-03,5269.8586
2015-02-04,5325.3811
2015-02-05,5456.5293
2015-02-06,5509.18
2015-02-09,5447.9137
2015-02-10,5445.0419
2015-02-11,5429.7253
2015-02-12,5529.283
2015-02-13,5615.4388
2015-02-17,5605.8659
2015-02-18,5360.8007
2015-02-19,5515.881
2015-02-20,5609.695
2015-02-23,5584.8056
2015-02-24,5590.5493
2015-02-25,5604.9086
2015-02-26,5580.0192
2015-02-27,5542.6077
2015-03-02,5647.2576
2015-03-03,5616.5347
2015-03-04,5611.7342
2015-03-05,5579.0911
2015-03-06,5515.7251
2015-03-09,5567.57
2015-03-10,5531.0866
2015-03-11,5559.8893
2015-03-12,5606.9338
2015-03-13,5583.8916
2015-03-16,5639.5769
2015-03-17,5601.1732
2015-03-18,5745.1869
2015-03-19,5761.5085
2015-03-20,5869.9988
2015-03-23,5846.9566
2015-03-24,5846.9566
2015-03-25,5790.3112
2015-03-26,5809.5131
2015-03-27,5878.6396
2015-03-30,5943.9259
2015-03-31,5872.8791
2015-04-01,5864.2383
2015-04-02,5899.7617
2015-04-06,5918.9635
2015-04-07,5911.2828
2015-04-08,5922.8038
2015-04-09,5898.8016
2015-04-10,5879.5997
2015-04-13,5787.431
2015-04-14,5757.6681
2015-04-15,5807.5929
2015-04-16,5775.9099
2015-04-17,5674.1402
2015-04-20,5694.3021
2015-04-21,5742.3067
2015-04-22,5795.1117
2015-04-23,5735.586
2015-04-24,5830.8725
2015-04-27,5795.4817
2015-04-28,5816.5248
2015-04-29,5791.6556
2015-04-30,5850.6216
2015-05-01,5879.3246
2015-05-04,5955.8658
2015-05-05,5884.1084
2015-05-06,5863.0596
2015-05-07,5883.1516
2015-05-08,5968.3038
2015-05-11,6044.845
2015-05-12,5910.8978
2015-05-13,5907.0708
2015-05-14,5919.5087
2015-05-15,5911.8546
2015-05-18,5921.4223
2015-05-19,5915.6817
2015-05-20,5887.9355
2015-05-21,5874.5408
2015-05-22,5861.146
2015-05-26,5825.7457
2015-05-27,5914.7249
2015-05-28,5926.2061
2015-05-29,5974.0444
2015-06-01,5935.7737
2015-06-02,5969.2605
2015-06-03,6009.4447
2015-06-04,5915.6817
2015-06-05,5922.379
2015-06-08,5874.5408
2015-06-09,5831.4863
2015-06-10,5895.5896
2015-06-11,5898.4599
2015-06-12,5845.8378
2015-06-15,5822.8754
2015-06-16,5798.9563
2015-06-17,5852.5351
2015-06-18,5875.4975
2015-06-19,5900.3734
2015-06-22,5939.6008
2015-06-23,5939.6008
2015-06-24,5936.7305
2015-06-25,5906.114
2015-06-26,5896.5464
2015-06-29,5731.0259
2015-06-30,5753.9883
2015-07-01,5760.6856
2015-07-02,5718.588
2015-07-06,5698.4959
2015-07-07,5707.1068
2015-07-08,5595.1652
2015-07-09,5663.0956
2015-07-10,5766.4262
2015-07-13,5835.3134
2015-07-14,5886.0219
2015-07-15,5825.7457
2015-07-16,5862.1028
2015-07-17,5873.584
2015-07-20,5900.3734
2015-07-21,5819.0483
2015-07-22,5842.9675
2015-07-23,5843.9243
2015-07-24,5877.411
2015-07-27,5855.4054
2015-07-28,5969.2605
2015-07-29,6099.3807
2015-07-30,6055.3365
2015-07-31,6057.2527
2015-08-03,6006.4722
2015-08-04,6000.7235
2015-08-05,6024.6766
2015-08-06,5968.1473
2015-08-07,6004.556
2015-08-10,6072.5827
2015-08-11,6051.504
2015-08-12,6042.8809
2015-08-13,6063.9596
2015-08-14,6093.6614
2015-08-17,6197.1387
2015-08-18,6186.5993
2015-08-19,6154.0232
2015-08-20,5997.8491
2015-08-21,5785.1459
2015-08-24,5610.7675
2015-08-25,5456.5097
2015-08-26,5654.8411
2015-08-27,5797.6014
2015-08-28,5774.6065
2015-08-31,5711.3704
2015-09-01,5610.7675
2015-09-02,5683.5848
2015-09-03,5728.6166
2015-09-04,5626.0975
2015-09-08,5783.2296
2015-09-09,5767.8996
2015-09-10,5777.4809
2015-09-11,5809.0989
2015-09-14,5817.722
2015-09-15,5905.8693
2015-09-16,5922.1574
