Date,CUR_MKT_CAP
2006-01-03,10581.4338
2006-01-04,11032.1245
2006-01-05,10927.6165
2006-01-06,11103.9738
2006-01-09,10914.553
2006-01-10,10842.7038
2006-01-11,10810.045
2006-01-12,10666.3466
2006-01-13,10796.9815
2006-01-17,10718.6005
2006-01-18,10947.2118
2006-01-19,11597.8383
2006-01-20,11571.5988
2006-01-23,11558.4791
2006-01-24,11525.6798
2006-01-25,11164.8873
2006-01-26,11066.4894
2006-01-27,11112.4084
2006-01-30,11151.7676
2006-01-31,11178.007
2006-02-01,11250.1655
2006-02-02,11217.3662
2006-02-03,11361.6832
2006-02-06,11309.2043
2006-02-07,11269.8451
2006-02-08,11315.7642
2006-02-09,11263.2853
2006-02-10,11263.2853
2006-02-13,11118.9683
2006-02-14,11092.7288
2006-02-15,11223.9261
2006-02-16,11460.0812
2006-02-17,11617.5179
2006-02-21,11473.2009
2006-02-22,11427.2818
2006-02-23,11414.1621
2006-02-24,11532.2396
2006-02-27,11584.7186
2006-02-28,11348.5635
2006-03-01,11479.7607
2006-03-02,11243.6057
2006-03-03,11355.1233
2006-03-06,11158.3274
2006-03-07,11237.0458
2006-03-08,11217.3662
2006-03-09,11342.0036
2006-03-10,11296.0846
2006-03-13,11204.2465
2006-03-14,11145.2077
2006-03-15,11322.324
2006-03-16,11532.2396
2006-03-17,11525.6798
2006-03-20,11243.6057
2006-03-21,11112.4084
2006-03-22,11184.5669
2006-03-23,11164.8873
2006-03-24,11059.9295
2006-03-27,11105.8485
2006-03-28,11033.69
2006-03-29,11125.5281
2006-03-30,11099.2887
2006-03-31,11191.1268
2006-04-03,10941.852
2006-04-04,11264.7116
2006-04-05,11179.2234
2006-04-06,11074.0072
2006-04-07,10804.3907
2006-04-10,11067.4312
2006-04-11,10955.639
2006-04-12,10784.6626
2006-04-13,10935.9109
2006-04-17,11027.9751
2006-04-18,11106.8873
2006-04-19,10916.1829
2006-04-20,10995.0951
2006-04-21,10916.1829
2006-04-24,10981.943
2006-04-25,10909.6069
2006-04-26,10791.2386
2006-04-27,10935.9109
2006-04-28,11159.4954
2006-05-01,11054.2792
2006-05-02,10975.367
2006-05-03,10909.6069
2006-05-04,10909.6069
2006-05-05,11396.2319
2006-05-08,11685.1975
2006-05-09,11704.9471
2006-05-10,11691.7807
2006-05-11,11606.1989
2006-05-12,11968.2755
2006-05-15,12014.358
2006-05-16,11961.6923
2006-05-17,11816.8617
2006-05-18,11889.277
2006-05-19,11751.0296
2006-05-22,11869.5273
2006-05-23,11724.6967
2006-05-24,11612.7822
2006-05-25,11718.1135
2006-05-26,11849.7777
2006-05-30,11816.8617
2006-05-31,12113.1061
2006-06-01,12244.7703
2006-06-02,12350.1017
2006-06-05,12238.1871
2006-06-06,12304.0192
2006-06-07,12271.1031
2006-06-08,12047.274
2006-06-09,12047.274
2006-06-12,12060.4404
2006-06-13,11856.3609
2006-06-14,11764.196
2006-06-15,11566.6997
2006-06-16,11520.6172
2006-06-19,11132.2078
2006-06-20,11336.2873
2006-06-21,11546.9501
2006-06-22,11527.2004
2006-06-23,11356.037
2006-06-26,11514.034
2006-06-27,11830.0281
2006-06-28,11889.277
2006-06-29,12198.6878
2006-06-30,12146.0222
2006-07-03,12244.7703
2006-07-05,12415.9338
2006-07-06,12501.5155
2006-07-07,12685.8454
2006-07-10,12810.9263
2006-07-11,12916.2577
2006-07-12,12679.2621
2006-07-13,12620.0133
