Date,CUR_MKT_CAP
2013-12-09,6422.2974
2013-12-10,6495.3967
2013-12-11,6785.1833
2013-12-12,6644.2061
2013-12-13,6847.8399
2013-12-16,6947.0461
2013-12-17,6813.9009
2013-12-18,6847.8399
2013-12-19,6819.1223
2013-12-20,6873.9468
2013-12-23,6834.7864
2013-12-24,6853.0613
2013-12-26,6821.733
2013-12-27,6511.0609
2013-12-30,6469.2898
2013-12-31,6591.9923
2014-01-02,6620.7098
2014-01-03,6928.7713
2014-01-06,7056.6951
2014-01-07,7024.0615
2014-01-08,7213.3365
2014-01-09,7680.65
2014-01-10,7662.3752
2014-01-13,7479.6269
2014-01-14,7537.062
2014-01-15,7529.23
2014-01-16,7659.7645
2014-01-17,7837.2914
2014-01-21,8004.3755
2014-01-22,8145.3528
2014-01-23,8184.5132
2014-01-24,7936.4976
2014-01-27,7879.0624
2014-01-28,8343.7652
2014-01-29,8610.0556
2014-01-30,8824.1322
2014-01-31,8758.865
2014-02-03,8865.9032
2014-02-04,8889.3995
2014-02-05,8824.1322
2014-02-06,9048.6515
2014-02-07,9312.3312
2014-02-10,9288.835
2014-02-11,9171.354
2014-02-12,9056.4836
2014-02-13,9143.9417
2014-02-14,8983.3843
2014-02-18,8957.2774
2014-02-19,9030.3767
2014-02-20,9309.7205
2014-02-21,17054.7698
2014-02-24,17281.098
2014-02-25,17446.1289
2014-02-26,17328.2497
2014-02-27,17238.6615
2014-02-28,17413.1227
2014-03-03,17021.7636
2014-03-04,17606.4481
2014-03-05,17851.637
2014-03-06,18299.5783
2014-03-07,18398.5968
2014-03-10,18370.3058
2014-03-11,17955.3708
2014-03-12,17710.123
2014-03-13,17323.5379
2014-03-14,17134.931
2014-03-17,17776.1943
2014-03-18,17611.1633
2014-03-19,17483.8537
2014-03-20,17238.6648
2014-03-21,17026.4821
2014-03-24,17351.8289
2014-03-25,17870.4977
2014-03-26,17304.6772
2014-03-27,16866.1663
2014-03-28,16686.9898
2014-03-31,17257.5255
2014-04-01,17889.3584
2014-04-02,17780.9095
2014-04-03,17606.4481
2014-04-04,17238.6648
2014-04-07,16870.8815
2014-04-08,16965.1849
2014-04-09,17398.9806
2014-04-10,16639.8381
2014-04-11,15880.6366
2014-04-14,15734.5253
2014-04-15,15899.5563
2014-04-16,16743.5719
2014-04-17,16691.705
2014-04-21,16819.0146
2014-04-22,17050.058
2014-04-23,17488.5689
2014-04-24,26834.5115
2014-04-25,25927.0642
2014-04-28,25322.0994
2014-04-29,25574.1681
2014-04-30,25257.2817
2014-05-01,26207.9407
2014-05-02,26279.9604
2014-05-05,26359.1819
2014-05-06,26409.5957
2014-05-07,26805.7036
2014-05-08,27547.5057
2014-05-09,27554.7077
2014-05-12,28368.5294
2014-05-13,28310.9137
2014-05-14,27972.4215
2014-05-15,27504.2939
2014-05-16,27745.5597
2014-05-19,27777.9685
2014-05-20,27540.3038
2014-05-21,27597.9195
2014-05-22,27885.9979
2014-05-23,28166.8745
2014-05-27,28339.7216
2014-05-28,28663.8099
2014-05-29,28678.2138
2014-05-30,28923.0805
2014-06-02,29686.4885
2014-06-03,29844.9317
2014-06-04,30838.8025
2014-06-05,30543.522
2014-06-06,31602.2105
2014-06-09,31393.3536
2014-06-10,31443.7673
2014-06-11,30457.0985
2014-06-12,28951.8884
2014-06-13,29081.5237
2014-06-16,29571.2571
2014-06-17,30154.6161
2014-06-18,30723.5711
2014-06-19,31011.6496
2014-06-20,32084.742
2014-06-23,31947.9047
2014-06-24,31097.3529
2014-06-25,31623.8164
2014-06-26,32084.742
2014-06-27,31688.634
2014-06-30,30939.63
2014-07-01,31587.8066
2014-07-02,30212.2318
2014-07-03,29974.567
2014-07-07,28879.8687
2014-07-08,28995.1001
2014-07-09,30237.4386
2014-07-10,30838.8025
2014-07-11,30882.0143
2014-07-14,30954.0339
2014-07-15,31472.5752
2014-07-16,31314.132
2014-07-17,30032.0927
2014-07-18,30910.7321
2014-07-21,30593.9358
2014-07-22,30521.9161
2014-07-23,31206.1026
2014-07-24,30359.5359
2014-07-25,30013.8865
2014-07-28,29012.9436
2014-07-29,28465.6654
2014-07-30,28480.0675
2014-07-31,27975.9955
2014-08-01,28393.6551
2014-08-04,27464.7225
2014-08-05,26773.4237
2014-08-06,26975.0525
2014-08-07,26542.9908
2014-08-08,26773.4237
2014-08-11,27342.305
2014-08-12,27018.2587
2014-08-13,27450.3204
2014-08-14,28494.4695
2014-08-15,28220.8305
2014-08-18,29279.3816
2014-08-19,29113.758
2014-08-20,29236.1755
2014-08-21,28451.2634
2014-08-22,28696.0983
2014-08-25,28386.4541
2014-08-26,28148.8202
2014-08-27,28076.8099
2014-08-28,28206.4284
2014-08-29,27998.3187
2014-09-02,29164.1652
2014-09-03,28184.8253
2014-09-04,27702.3564
2014-09-05,27255.8927
2014-09-08,27529.5317
2014-09-09,27335.104
2014-09-10,27781.5677
2014-09-11,27428.7173
2014-09-12,27111.8721
2014-09-15,26694.2124
2014-09-16,27349.506
2014-09-17,26975.0525
2014-09-18,27399.9132
2014-09-19,26377.3672
2014-09-22,25621.2592
2014-09-23,25441.2335
2014-09-24,26010.1147
2014-09-25,25354.8211
2014-09-26,25873.2952
2014-09-29,25225.2026
2014-09-30,25549.2489
2014-10-01,24764.3368
2014-10-02,24433.0895
2014-10-03,26089.326
2014-10-06,25153.1923
2014-10-07,24548.306
2014-10-08,23763.3939
2014-10-09,23028.889
2014-10-10,22164.7655
2014-10-13,20580.5393
2014-10-14,22690.4406
2014-10-15,22820.0591
2014-10-16,23741.7908
2014-10-17,24037.0329
2014-10-20,25362.0222
2014-10-21,27255.8927
2014-10-22,26672.6094
2014-10-23,27600.3014
2014-10-24,28561.4346
2014-10-27,28625.9883
2014-10-28,28862.6852
2014-10-29,28647.5062
2014-10-30,28905.7211
2014-10-31,29658.8478
2014-11-03,30125.0691
2014-11-04,30627.1536
2014-11-05,30304.385
2014-11-06,30942.7495
2014-11-07,30985.7854
2014-11-10,31437.6614
2014-11-11,31157.9286
2014-11-12,31150.756
2014-11-13,31645.6678
2014-11-14,31566.7688
2014-11-17,31337.2445
2014-11-18,32312.7229
2014-11-19,31631.3225
2014-11-20,31674.3584
2014-11-21,31064.6843
2014-11-24,30992.958
2014-11-25,31667.1857
2014-11-26,32255.3418
2014-11-28,34808.8001
2014-12-01,34342.5788
2014-12-02,34328.2335
2014-12-03,34600.7936
2014-12-04,35612.1352
2014-12-05,36587.6137
2014-12-08,36451.3336
2014-12-09,34651.0021
2014-12-10,35102.8781
2014-12-11,36243.3272
2014-12-12,35841.6596
2014-12-15,36465.6789
2014-12-16,34399.9598
2014-12-17,35002.4612
2014-12-18,35963.5944
2014-12-19,36372.4346
2014-12-22,36465.6789
2014-12-23,36013.8028
2014-12-24,36888.8644
2014-12-26,37265.4277
2014-12-29,37907.3786
2014-12-30,38316.2188
2014-12-31,38466.8442
2015-01-02,38667.678
2015-01-05,38642.5737
2015-01-06,38043.6587
